,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,葡萄柚-進口紅肉,H49,32.0,22.0,鳳山區,830,24.7,24.7,5340.0,2013,6,30,6
1,葡萄柚-進口紅肉,H49,23.0,18.0,鳳山區,830,20.3,20.3,5080.0,2014,9,12,4
2,葡萄柚-進口紅肉,H49,19.0,17.0,鳳山區,830,18.0,18.0,7130.0,2014,9,16,1
3,葡萄柚-進口紅肉,H49,19.1,15.0,鳳山區,830,16.7,16.7,6810.0,2014,9,21,6
4,葡萄柚-進口紅肉,H49,20.0,17.0,鳳山區,830,18.5,18.5,6170.0,2014,9,23,1
5,葡萄柚-進口紅肉,H49,21.0,18.0,鳳山區,830,19.2,19.2,7020.0,2014,9,27,5
6,葡萄柚-進口紅肉,H49,20.0,17.0,鳳山區,830,18.2,18.2,6280.0,2014,9,28,6
7,葡萄柚-進口紅肉,H49,19.1,17.0,鳳山區,830,18.0,18.0,5680.0,2014,9,30,1
8,葡萄柚-進口紅肉,H49,20.0,19.0,鳳山區,830,19.3,19.3,6630.0,2014,10,1,2
9,葡萄柚-進口紅肉,H49,20.0,17.0,鳳山區,830,18.5,18.5,5510.0,2014,10,2,3
10,葡萄柚-進口紅肉,H49,20.0,18.0,鳳山區,830,18.9,18.9,6760.0,2014,10,3,4
11,葡萄柚-進口紅肉,H49,24.1,21.1,鳳山區,830,22.3,22.3,6070.0,2014,10,7,1
