,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,巴西蘑菇,MG1,2012-02-26,100.0,100.0,三重區,241,100.0,100.0,2.0,2012,2,26,6
1,巴西蘑菇,MG1,2012-03-17,100.0,100.0,三重區,241,100.0,100.0,2.0,2012,3,17,5
2,巴西蘑菇,MG1,2012-03-29,100.0,100.0,三重區,241,100.0,100.0,2.0,2012,3,29,3
3,巴西蘑菇,MG1,2012-03-30,100.0,100.0,三重區,241,100.0,100.0,2.0,2012,3,30,4
4,巴西蘑菇,MG1,2012-03-31,100.0,100.0,三重區,241,100.0,100.0,2.0,2012,3,31,5
5,巴西蘑菇,MG1,2012-04-19,100.0,100.0,三重區,241,100.0,100.0,2.0,2012,4,19,3
6,巴西蘑菇,MG1,2012-04-25,100.0,100.0,三重區,241,100.0,100.0,2.0,2012,4,25,2
7,巴西蘑菇,MG1,2012-04-27,100.0,100.0,三重區,241,100.0,100.0,2.0,2012,4,27,4
8,巴西蘑菇,MG1,2012-04-29,100.0,100.0,三重區,241,100.0,100.0,2.0,2012,4,29,6
9,巴西蘑菇,MG1,2012-11-29,20.0,20.0,三重區,241,20.0,20.0,10.0,2012,11,29,3
10,巴西蘑菇,MG1,2014-11-29,80.0,80.0,三重區,241,80.0,80.0,4.0,2014,11,29,5
11,巴西蘑菇,MG1,2014-12-02,80.0,80.0,三重區,241,80.0,80.0,4.0,2014,12,2,1
12,巴西蘑菇,MG1,2014-12-20,80.0,80.0,三重區,241,80.0,80.0,7.5,2014,12,20,5
13,巴西蘑菇,MG1,2014-12-23,80.0,80.0,三重區,241,80.0,80.0,10.5,2014,12,23,1
14,巴西蘑菇,MG1,2014-12-24,80.0,80.0,三重區,241,80.0,80.0,3.0,2014,12,24,2
15,巴西蘑菇,MG1,2014-12-27,80.0,80.0,三重區,241,80.0,80.0,4.0,2014,12,27,5
16,巴西蘑菇,MG1,2015-01-04,80.0,80.0,三重區,241,80.0,80.0,2.0,2015,1,4,6
17,巴西蘑菇,MG1,2015-01-06,80.0,80.0,三重區,241,80.0,80.0,11.5,2015,1,6,1
18,巴西蘑菇,MG1,2015-01-07,80.0,80.0,三重區,241,80.0,80.0,9.5,2015,1,7,2
19,巴西蘑菇,MG1,2015-01-09,80.0,80.0,三重區,241,80.0,80.0,10.5,2015,1,9,4
20,巴西蘑菇,MG1,2015-01-10,80.0,80.0,三重區,241,80.0,80.0,5.0,2015,1,10,5
21,巴西蘑菇,MG1,2015-01-13,80.0,80.0,三重區,241,80.0,80.0,4.0,2015,1,13,1
22,巴西蘑菇,MG1,2015-01-14,80.0,80.0,三重區,241,80.0,80.0,3.0,2015,1,14,2
23,巴西蘑菇,MG1,2015-01-15,80.0,80.0,三重區,241,80.0,80.0,3.0,2015,1,15,3
24,巴西蘑菇,MG1,2015-01-18,80.0,80.0,三重區,241,80.0,80.0,3.0,2015,1,18,6
25,巴西蘑菇,MG1,2015-01-20,80.0,80.0,三重區,241,80.0,80.0,4.0,2015,1,20,1
26,巴西蘑菇,MG1,2015-01-27,80.0,80.0,三重區,241,80.0,80.0,2.0,2015,1,27,1
27,巴西蘑菇,MG1,2015-01-28,80.0,80.0,三重區,241,80.0,80.0,3.0,2015,1,28,2
28,巴西蘑菇,MG1,2015-02-03,80.0,80.0,三重區,241,80.0,80.0,10.0,2015,2,3,1
29,巴西蘑菇,MG1,2015-02-04,80.0,80.0,三重區,241,80.0,80.0,3.0,2015,2,4,2
30,巴西蘑菇,MG1,2015-02-05,80.0,80.0,三重區,241,80.0,80.0,3.0,2015,2,5,3
31,巴西蘑菇,MG1,2015-02-25,80.0,80.0,三重區,241,80.0,80.0,3.0,2015,2,25,2
32,巴西蘑菇,MG1,2015-02-28,80.0,80.0,三重區,241,80.0,80.0,4.0,2015,2,28,5
33,巴西蘑菇,MG1,2015-12-13,80.0,80.0,三重區,241,80.0,80.0,3.0,2015,12,13,6
34,巴西蘑菇,MG1,2015-12-15,80.0,80.0,三重區,241,80.0,80.0,10.0,2015,12,15,1
35,巴西蘑菇,MG1,2015-12-16,80.0,80.0,三重區,241,80.0,80.0,6.0,2015,12,16,2
36,巴西蘑菇,MG1,2015-12-29,80.0,80.0,三重區,241,80.0,80.0,6.0,2015,12,29,1
37,巴西蘑菇,MG1,2015-12-31,80.0,80.0,三重區,241,80.0,80.0,2.0,2015,12,31,3
38,巴西蘑菇,MG1,2016-01-02,80.0,80.0,三重區,241,80.0,80.0,6.0,2016,1,2,5
39,巴西蘑菇,MG1,2016-01-03,80.0,80.0,三重區,241,80.0,80.0,2.0,2016,1,3,6
40,巴西蘑菇,MG1,2016-01-05,60.0,60.0,三重區,241,60.0,60.0,6.0,2016,1,5,1
41,巴西蘑菇,MG1,2016-01-13,80.0,80.0,三重區,241,80.0,80.0,6.0,2016,1,13,2
42,巴西蘑菇,MG1,2016-01-14,80.0,80.0,三重區,241,80.0,80.0,5.0,2016,1,14,3
43,巴西蘑菇,MG1,2016-01-15,80.0,80.0,三重區,241,80.0,80.0,6.0,2016,1,15,4
44,巴西蘑菇,MG1,2016-01-16,80.0,80.0,三重區,241,80.0,80.0,6.0,2016,1,16,5
45,巴西蘑菇,MG1,2016-02-14,80.0,80.0,三重區,241,80.0,80.0,3.0,2016,2,14,6
46,巴西蘑菇,MG1,2016-02-25,80.0,80.0,三重區,241,80.0,80.0,6.0,2016,2,25,3
47,巴西蘑菇,MG1,2016-02-26,80.0,80.0,三重區,241,80.0,80.0,50.0,2016,2,26,4
48,巴西蘑菇,MG1,2016-09-13,25.0,25.0,三重區,241,25.0,25.0,28.0,2016,9,13,1
49,巴西蘑菇,MG1,2016-09-14,20.0,20.0,三重區,241,20.0,20.0,21.0,2016,9,14,2
50,巴西蘑菇,MG1,2016-09-20,33.0,33.0,三重區,241,33.0,33.0,18.0,2016,9,20,1
51,巴西蘑菇,MG1,2016-09-23,80.0,80.0,三重區,241,80.0,80.0,4.0,2016,9,23,4
52,巴西蘑菇,MG1,2016-09-27,25.0,25.0,三重區,241,25.0,25.0,43.0,2016,9,27,1
53,巴西蘑菇,MG1,2016-09-28,25.0,25.0,三重區,241,25.0,25.0,80.0,2016,9,28,2
54,巴西蘑菇,MG1,2017-01-03,80.0,80.0,三重區,241,80.0,80.0,4.0,2017,1,3,1
55,巴西蘑菇,MG1,2017-02-24,80.0,80.0,三重區,241,80.0,80.0,2.0,2017,2,24,4
56,巴西蘑菇,MG1,2017-02-28,80.0,80.0,三重區,241,80.0,80.0,4.0,2017,2,28,1
57,巴西蘑菇,MG1,2017-03-02,80.0,80.0,三重區,241,80.0,80.0,4.0,2017,3,2,3
58,巴西蘑菇,MG1,2017-11-11,20.0,20.0,三重區,241,20.0,20.0,80.0,2017,11,11,5
59,巴西蘑菇,MG1,2017-12-03,80.0,80.0,三重區,241,80.0,80.0,1.0,2017,12,3,6
60,巴西蘑菇,MG1,2017-12-05,80.0,80.0,三重區,241,80.0,80.0,2.0,2017,12,5,1
61,巴西蘑菇,MG1,2017-12-06,80.0,80.0,三重區,241,80.0,80.0,2.0,2017,12,6,2
62,巴西蘑菇,MG1,2017-12-07,80.0,80.0,三重區,241,80.0,80.0,3.0,2017,12,7,3
63,巴西蘑菇,MG1,2017-12-20,80.0,80.0,三重區,241,80.0,80.0,1.0,2017,12,20,2
64,巴西蘑菇,MG1,2017-12-21,80.0,80.0,三重區,241,80.0,80.0,2.0,2017,12,21,3
65,巴西蘑菇,MG1,2017-12-22,80.0,80.0,三重區,241,80.0,80.0,1.0,2017,12,22,4
66,巴西蘑菇,MG1,2017-12-23,80.0,80.0,三重區,241,80.0,80.0,1.0,2017,12,23,5
67,巴西蘑菇,MG1,2017-12-24,80.0,80.0,三重區,241,80.0,80.0,1.0,2017,12,24,6
68,巴西蘑菇,MG1,2017-12-27,80.0,80.0,三重區,241,80.0,80.0,1.0,2017,12,27,2
69,巴西蘑菇,MG1,2018-01-02,80.0,80.0,三重區,241,80.0,80.0,1.0,2018,1,2,1
70,巴西蘑菇,MG1,2018-01-06,80.0,80.0,三重區,241,80.0,80.0,2.0,2018,1,6,5
71,巴西蘑菇,MG1,2018-01-10,80.0,80.0,三重區,241,80.0,80.0,1.0,2018,1,10,2
72,巴西蘑菇,MG1,2018-01-16,80.0,80.0,三重區,241,80.0,80.0,1.0,2018,1,16,1
73,巴西蘑菇,MG1,2018-01-25,80.0,80.0,三重區,241,80.0,80.0,1.0,2018,1,25,3
74,巴西蘑菇,MG1,2018-01-27,80.0,80.0,三重區,241,80.0,80.0,1.0,2018,1,27,5
75,巴西蘑菇,MG1,2018-01-30,80.0,80.0,三重區,241,80.0,80.0,1.0,2018,1,30,1
76,巴西蘑菇,MG1,2018-01-31,80.0,80.0,三重區,241,80.0,80.0,1.0,2018,1,31,2
77,巴西蘑菇,MG1,2018-02-21,80.0,80.0,三重區,241,80.0,80.0,1.0,2018,2,21,2
78,巴西蘑菇,MG1,2018-02-22,80.0,80.0,三重區,241,80.0,80.0,1.0,2018,2,22,3
79,巴西蘑菇,MG1,2018-02-27,80.0,80.0,三重區,241,80.0,80.0,1.0,2018,2,27,1
80,巴西蘑菇,MG1,2018-03-02,80.0,80.0,三重區,241,80.0,80.0,1.0,2018,3,2,4
81,巴西蘑菇,MG1,2018-03-03,80.0,80.0,三重區,241,80.0,80.0,1.0,2018,3,3,5
82,巴西蘑菇,MG1,2018-03-09,80.0,80.0,三重區,241,80.0,80.0,1.0,2018,3,9,4
83,巴西蘑菇,MG1,2018-03-11,80.0,80.0,三重區,241,80.0,80.0,1.0,2018,3,11,6
84,巴西蘑菇,MG1,2018-03-13,80.0,80.0,三重區,241,80.0,80.0,1.0,2018,3,13,1
85,巴西蘑菇,MG1,2018-03-14,80.0,80.0,三重區,241,80.0,80.0,2.0,2018,3,14,2
86,巴西蘑菇,MG1,2018-12-08,80.0,80.0,三重區,241,80.0,80.0,2.0,2018,12,8,5
87,巴西蘑菇,MG1,2018-12-09,80.0,80.0,三重區,241,80.0,80.0,1.0,2018,12,9,6
88,巴西蘑菇,MG1,2019-01-02,80.0,80.0,三重區,241,80.0,80.0,1.0,2019,1,2,2
89,巴西蘑菇,MG1,2019-01-12,35.0,35.0,三重區,241,35.0,35.0,37.0,2019,1,12,5
90,巴西蘑菇,MG1,2019-01-15,80.0,80.0,三重區,241,80.0,80.0,1.0,2019,1,15,1
