,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,芥菜-芥菜仁,LJ1,2012-01-01,32.0,25.0,三重區,241,28.1,27.9,960.0,2012,1,1,6
1,芥菜-芥菜仁,LJ1,2012-01-03,30.0,22.0,三重區,241,25.5,25.2,1100.0,2012,1,3,1
2,芥菜-芥菜仁,LJ1,2012-01-04,30.0,22.0,三重區,241,26.8,27.3,772.0,2012,1,4,2
3,芥菜-芥菜仁,LJ1,2012-01-05,30.0,22.0,三重區,241,25.7,25.4,620.0,2012,1,5,3
4,芥菜-芥菜仁,LJ1,2012-01-06,28.0,28.0,三重區,241,28.0,28.0,300.0,2012,1,6,4
5,芥菜-芥菜仁,LJ1,2012-01-07,32.0,30.2,三重區,241,31.4,31.5,780.0,2012,1,7,5
6,芥菜-芥菜仁,LJ1,2012-01-08,30.0,21.1,三重區,241,26.3,26.8,1100.0,2012,1,8,6
7,芥菜-芥菜仁,LJ1,2012-01-10,30.0,22.7,三重區,241,26.3,26.3,1212.0,2012,1,10,1
8,芥菜-芥菜仁,LJ1,2012-01-11,28.0,23.0,三重區,241,26.0,26.3,1000.0,2012,1,11,2
9,芥菜-芥菜仁,LJ1,2012-01-12,25.0,7.1,三重區,241,14.7,13.9,1654.0,2012,1,12,3
10,芥菜-芥菜仁,LJ1,2012-01-13,25.0,19.4,三重區,241,23.9,25.0,494.0,2012,1,13,4
11,芥菜-芥菜仁,LJ1,2012-01-14,25.0,20.0,三重區,241,21.8,21.3,560.0,2012,1,14,5
12,芥菜-芥菜仁,LJ1,2012-01-15,19.8,14.1,三重區,241,16.4,16.0,1100.0,2012,1,15,6
13,芥菜-芥菜仁,LJ1,2012-01-17,18.0,15.5,三重區,241,17.0,17.2,534.0,2012,1,17,1
14,芥菜-芥菜仁,LJ1,2012-01-18,18.0,13.0,三重區,241,15.4,15.3,692.0,2012,1,18,2
15,芥菜-芥菜仁,LJ1,2012-01-19,18.0,17.0,三重區,241,17.6,17.7,220.0,2012,1,19,3
16,芥菜-芥菜仁,LJ1,2012-01-20,32.0,32.0,三重區,241,32.0,32.0,100.0,2012,1,20,4
17,芥菜-芥菜仁,LJ1,2012-01-21,34.6,25.0,三重區,241,28.6,27.8,1060.0,2012,1,21,5
18,芥菜-芥菜仁,LJ1,2012-01-22,30.0,30.0,三重區,241,30.0,30.0,300.0,2012,1,22,6
19,芥菜-芥菜仁,LJ1,2012-01-28,28.0,28.0,三重區,241,28.0,28.0,440.0,2012,1,28,5
20,芥菜-芥菜仁,LJ1,2012-01-29,25.0,20.0,三重區,241,23.9,24.9,640.0,2012,1,29,6
21,芥菜-芥菜仁,LJ1,2012-01-30,22.0,22.0,三重區,241,22.0,22.0,100.0,2012,1,30,0
22,芥菜-芥菜仁,LJ1,2012-02-01,12.9,7.0,三重區,241,11.1,11.8,900.0,2012,2,1,2
23,芥菜-芥菜仁,LJ1,2012-02-02,14.0,12.0,三重區,241,13.1,13.2,220.0,2012,2,2,3
24,芥菜-芥菜仁,LJ1,2012-02-03,15.0,7.6,三重區,241,10.5,9.9,660.0,2012,2,3,4
25,芥菜-芥菜仁,LJ1,2012-02-04,14.0,14.0,三重區,241,14.0,14.0,200.0,2012,2,4,5
26,芥菜-芥菜仁,LJ1,2012-02-05,10.0,10.0,三重區,241,10.0,10.0,140.0,2012,2,5,6
27,芥菜-芥菜仁,LJ1,2012-02-06,13.0,13.0,三重區,241,13.0,13.0,80.0,2012,2,6,0
