,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,荔枝-黑葉,J2,2012-05-12,45.0,45.0,三重區,241,45.0,45.0,84.0,2012,5,12,5
1,荔枝-黑葉,J2,2012-05-13,70.0,70.0,三重區,241,70.0,70.0,43.0,2012,5,13,6
2,荔枝-黑葉,J2,2012-05-15,50.0,45.9,三重區,241,49.2,50.0,172.0,2012,5,15,1
3,荔枝-黑葉,J2,2012-05-16,50.0,35.0,三重區,241,40.3,38.8,170.0,2012,5,16,2
4,荔枝-黑葉,J2,2012-05-17,45.0,45.0,三重區,241,45.0,45.0,34.0,2012,5,17,3
5,荔枝-黑葉,J2,2012-05-18,41.6,32.0,三重區,241,34.9,33.6,323.0,2012,5,18,4
6,荔枝-黑葉,J2,2012-05-19,45.0,45.0,三重區,241,45.0,45.0,29.0,2012,5,19,5
7,荔枝-黑葉,J2,2012-05-20,43.8,31.5,三重區,241,39.0,40.0,187.0,2012,5,20,6
8,荔枝-黑葉,J2,2012-05-22,42.6,40.0,三重區,241,40.5,40.0,287.0,2012,5,22,1
9,荔枝-黑葉,J2,2012-05-23,50.0,30.0,三重區,241,39.4,39.0,102.0,2012,5,23,2
10,荔枝-黑葉,J2,2012-05-24,37.8,25.0,三重區,241,30.9,30.6,1341.0,2012,5,24,3
11,荔枝-黑葉,J2,2012-05-25,30.0,25.0,三重區,241,28.1,28.6,1338.0,2012,5,25,4
12,荔枝-黑葉,J2,2012-05-26,30.0,24.8,三重區,241,29.0,30.0,1095.0,2012,5,26,5
13,荔枝-黑葉,J2,2012-05-27,28.3,22.5,三重區,241,26.2,26.8,4809.0,2012,5,27,6
14,荔枝-黑葉,J2,2012-05-29,30.0,21.2,三重區,241,26.6,27.3,1944.0,2012,5,29,1
15,荔枝-黑葉,J2,2012-05-30,30.0,20.4,三重區,241,25.1,25.0,3147.0,2012,5,30,2
16,荔枝-黑葉,J2,2012-05-31,30.2,24.9,三重區,241,27.5,27.5,5753.0,2012,5,31,3
17,荔枝-黑葉,J2,2012-06-01,30.2,25.0,三重區,241,27.0,26.6,4818.0,2012,6,1,4
18,荔枝-黑葉,J2,2012-06-02,38.6,25.0,三重區,241,29.6,28.1,8507.0,2012,6,2,5
19,荔枝-黑葉,J2,2012-06-03,43.4,27.3,三重區,241,35.2,35.1,10848.0,2012,6,3,6
20,荔枝-黑葉,J2,2012-06-05,41.7,29.6,三重區,241,36.0,36.2,9429.0,2012,6,5,1
21,荔枝-黑葉,J2,2012-06-06,41.0,33.5,三重區,241,37.1,37.1,6959.0,2012,6,6,2
22,荔枝-黑葉,J2,2012-06-07,38.3,27.1,三重區,241,32.6,32.6,12313.0,2012,6,7,3
23,荔枝-黑葉,J2,2012-06-08,37.4,27.2,三重區,241,31.3,30.6,14636.0,2012,6,8,4
24,荔枝-黑葉,J2,2012-06-09,41.0,29.3,三重區,241,32.4,30.5,18878.0,2012,6,9,5
25,荔枝-黑葉,J2,2012-06-10,43.9,29.7,三重區,241,34.9,33.7,28175.0,2012,6,10,6
26,荔枝-黑葉,J2,2012-06-12,39.8,29.3,三重區,241,33.0,32.0,32899.0,2012,6,12,1
27,荔枝-黑葉,J2,2012-06-13,37.5,22.9,三重區,241,28.1,26.8,24014.0,2012,6,13,2
28,荔枝-黑葉,J2,2012-06-14,46.8,31.6,三重區,241,37.9,37.1,31923.0,2012,6,14,3
29,荔枝-黑葉,J2,2012-06-15,45.9,35.0,三重區,241,39.1,38.2,36611.0,2012,6,15,4
30,荔枝-黑葉,J2,2012-06-16,51.0,35.0,三重區,241,40.8,39.4,34918.0,2012,6,16,5
31,荔枝-黑葉,J2,2012-06-17,58.7,41.2,三重區,241,47.0,45.0,42376.0,2012,6,17,6
32,荔枝-黑葉,J2,2012-06-19,63.3,48.5,三重區,241,52.6,50.4,47479.0,2012,6,19,1
33,荔枝-黑葉,J2,2012-06-20,59.0,45.0,三重區,241,50.5,49.6,49451.0,2012,6,20,2
34,荔枝-黑葉,J2,2012-06-21,58.1,45.2,三重區,241,50.7,50.0,37340.0,2012,6,21,3
35,荔枝-黑葉,J2,2012-06-22,64.5,48.4,三重區,241,54.1,52.5,37857.0,2012,6,22,4
36,荔枝-黑葉,J2,2012-06-23,68.5,52.1,三重區,241,57.6,55.8,34144.0,2012,6,23,5
37,荔枝-黑葉,J2,2012-06-26,64.2,49.9,三重區,241,55.5,54.4,26622.0,2012,6,26,1
38,荔枝-黑葉,J2,2012-06-27,58.2,44.4,三重區,241,50.0,49.2,21290.0,2012,6,27,2
39,荔枝-黑葉,J2,2012-06-28,57.6,42.6,三重區,241,47.9,46.4,18441.0,2012,6,28,3
40,荔枝-黑葉,J2,2012-06-29,54.3,44.9,三重區,241,48.4,47.6,17125.0,2012,6,29,4
41,荔枝-黑葉,J2,2012-06-30,51.4,40.0,三重區,241,43.8,42.4,20323.0,2012,6,30,5
42,荔枝-黑葉,J2,2012-07-01,54.4,45.0,三重區,241,48.7,48.1,18955.0,2012,7,1,6
43,荔枝-黑葉,J2,2012-07-03,52.8,45.0,三重區,241,49.0,49.1,17049.0,2012,7,3,1
44,荔枝-黑葉,J2,2012-07-04,54.7,45.0,三重區,241,48.6,47.8,12074.0,2012,7,4,2
45,荔枝-黑葉,J2,2012-07-05,54.0,45.0,三重區,241,48.1,47.2,7253.0,2012,7,5,3
46,荔枝-黑葉,J2,2012-07-06,50.3,44.4,三重區,241,47.5,47.6,6003.0,2012,7,6,4
47,荔枝-黑葉,J2,2012-07-07,51.5,44.0,三重區,241,47.1,46.7,10233.0,2012,7,7,5
48,荔枝-黑葉,J2,2012-07-08,50.0,43.1,三重區,241,46.0,45.6,6557.0,2012,7,8,6
49,荔枝-黑葉,J2,2012-07-10,50.0,41.2,三重區,241,45.5,45.4,6086.0,2012,7,10,1
50,荔枝-黑葉,J2,2012-07-11,50.0,42.0,三重區,241,46.1,46.1,3552.0,2012,7,11,2
51,荔枝-黑葉,J2,2012-07-12,50.0,41.4,三重區,241,45.7,45.6,2263.0,2012,7,12,3
52,荔枝-黑葉,J2,2012-07-13,50.0,42.7,三重區,241,45.6,45.1,2129.0,2012,7,13,4
53,荔枝-黑葉,J2,2012-07-14,49.1,40.0,三重區,241,44.3,44.2,1380.0,2012,7,14,5
54,荔枝-黑葉,J2,2012-07-15,46.5,40.0,三重區,241,44.3,45.0,1319.0,2012,7,15,6
55,荔枝-黑葉,J2,2012-07-17,50.0,43.4,三重區,241,46.3,46.0,2108.0,2012,7,17,1
56,荔枝-黑葉,J2,2012-07-18,52.3,45.0,三重區,241,47.9,47.5,2004.0,2012,7,18,2
57,荔枝-黑葉,J2,2012-07-19,51.0,43.9,三重區,241,48.5,49.2,2906.0,2012,7,19,3
58,荔枝-黑葉,J2,2012-07-20,55.0,32.9,三重區,241,47.3,49.5,832.0,2012,7,20,4
59,荔枝-黑葉,J2,2012-07-21,52.6,45.0,三重區,241,49.0,49.1,424.0,2012,7,21,5
60,荔枝-黑葉,J2,2012-07-22,51.4,50.0,三重區,241,50.3,50.0,994.0,2012,7,22,6
61,荔枝-黑葉,J2,2012-07-24,50.0,40.0,三重區,241,47.2,48.7,748.0,2012,7,24,1
62,荔枝-黑葉,J2,2012-07-25,45.0,45.0,三重區,241,45.0,45.0,100.0,2012,7,25,2
63,荔枝-黑葉,J2,2012-07-29,55.0,50.0,三重區,241,51.4,50.6,466.0,2012,7,29,6
64,荔枝-黑葉,J2,2012-08-01,55.0,50.0,三重區,241,52.4,52.4,594.0,2012,8,1,2
65,荔枝-黑葉,J2,2012-08-02,30.0,30.0,三重區,241,30.0,30.0,180.0,2012,8,2,3
66,荔枝-黑葉,J2,2013-05-02,40.0,40.0,三重區,241,40.0,40.0,36.0,2013,5,2,3
67,荔枝-黑葉,J2,2013-05-15,39.0,39.0,三重區,241,39.0,39.0,180.0,2013,5,15,2
68,荔枝-黑葉,J2,2013-05-16,48.1,39.0,三重區,241,40.8,39.0,194.0,2013,5,16,3
69,荔枝-黑葉,J2,2013-05-17,38.0,38.0,三重區,241,38.0,38.0,98.0,2013,5,17,4
70,荔枝-黑葉,J2,2013-05-18,39.1,37.2,三重區,241,38.1,38.0,802.0,2013,5,18,5
71,荔枝-黑葉,J2,2013-05-19,55.0,38.2,三重區,241,44.0,42.2,414.0,2013,5,19,6
72,荔枝-黑葉,J2,2013-05-21,47.1,38.0,三重區,241,40.1,38.5,1308.0,2013,5,21,1
73,荔枝-黑葉,J2,2013-05-22,50.6,33.0,三重區,241,43.9,45.3,723.0,2013,5,22,2
74,荔枝-黑葉,J2,2013-05-23,48.8,35.0,三重區,241,37.8,35.0,3066.0,2013,5,23,3
75,荔枝-黑葉,J2,2013-05-24,42.1,35.0,三重區,241,36.4,35.0,2516.0,2013,5,24,4
76,荔枝-黑葉,J2,2013-05-25,40.0,38.8,三重區,241,39.2,39.0,1941.0,2013,5,25,5
77,荔枝-黑葉,J2,2013-05-26,40.0,33.0,三重區,241,35.3,34.4,326.0,2013,5,26,6
78,荔枝-黑葉,J2,2013-05-28,31.8,29.7,三重區,241,30.3,30.0,1518.0,2013,5,28,1
79,荔枝-黑葉,J2,2013-05-29,26.7,23.6,三重區,241,24.5,24.0,4994.0,2013,5,29,2
80,荔枝-黑葉,J2,2013-05-30,23.7,18.8,三重區,241,19.9,19.0,10374.0,2013,5,30,3
81,荔枝-黑葉,J2,2013-05-31,19.3,16.0,三重區,241,16.7,16.0,6057.0,2013,5,31,4
82,荔枝-黑葉,J2,2013-06-01,26.1,18.0,三重區,241,20.0,18.7,6655.0,2013,6,1,5
83,荔枝-黑葉,J2,2013-06-02,20.7,18.0,三重區,241,18.5,18.0,4834.0,2013,6,2,6
84,荔枝-黑葉,J2,2013-06-04,20.4,16.0,三重區,241,16.9,16.0,11199.0,2013,6,4,1
85,荔枝-黑葉,J2,2013-06-05,21.9,20.0,三重區,241,20.4,20.0,23089.0,2013,6,5,2
86,荔枝-黑葉,J2,2013-06-06,24.5,22.7,三重區,241,23.2,23.0,20853.0,2013,6,6,3
87,荔枝-黑葉,J2,2013-06-07,30.0,19.9,三重區,241,22.0,20.1,16204.0,2013,6,7,4
88,荔枝-黑葉,J2,2013-06-08,21.9,18.8,三重區,241,19.5,19.0,32289.0,2013,6,8,5
89,荔枝-黑葉,J2,2013-06-09,18.3,16.0,三重區,241,16.5,16.0,45563.0,2013,6,9,6
90,荔枝-黑葉,J2,2013-06-11,19.5,15.0,三重區,241,15.9,15.0,66920.0,2013,6,11,1
91,荔枝-黑葉,J2,2013-06-12,21.8,17.9,三重區,241,18.7,18.0,58589.0,2013,6,12,2
92,荔枝-黑葉,J2,2013-06-15,21.2,18.8,三重區,241,19.4,19.0,75932.0,2013,6,15,5
93,荔枝-黑葉,J2,2013-06-16,20.6,17.8,三重區,241,18.5,18.0,91062.0,2013,6,16,6
94,荔枝-黑葉,J2,2013-06-18,20.2,17.7,三重區,241,18.4,18.0,92025.0,2013,6,18,1
95,荔枝-黑葉,J2,2013-06-19,18.8,16.3,三重區,241,17.2,17.0,74516.0,2013,6,19,2
96,荔枝-黑葉,J2,2013-06-20,17.5,14.9,三重區,241,15.5,15.0,59611.0,2013,6,20,3
97,荔枝-黑葉,J2,2013-06-21,19.3,15.0,三重區,241,15.9,15.0,55633.0,2013,6,21,4
98,荔枝-黑葉,J2,2013-06-22,20.4,18.0,三重區,241,18.5,18.0,58960.0,2013,6,22,5
99,荔枝-黑葉,J2,2013-06-23,20.2,18.8,三重區,241,19.2,19.0,63619.0,2013,6,23,6
100,荔枝-黑葉,J2,2013-06-25,20.9,18.0,三重區,241,18.6,18.0,36559.0,2013,6,25,1
101,荔枝-黑葉,J2,2013-06-26,22.4,20.8,三重區,241,21.3,21.0,29879.0,2013,6,26,2
102,荔枝-黑葉,J2,2013-06-27,19.8,18.0,三重區,241,18.4,18.0,32616.0,2013,6,27,3
103,荔枝-黑葉,J2,2013-06-28,18.8,17.0,三重區,241,17.4,17.0,29355.0,2013,6,28,4
104,荔枝-黑葉,J2,2013-06-29,18.9,16.9,三重區,241,17.4,17.0,24325.0,2013,6,29,5
105,荔枝-黑葉,J2,2013-06-30,19.2,18.0,三重區,241,18.2,18.0,18839.0,2013,6,30,6
106,荔枝-黑葉,J2,2013-07-02,20.9,19.6,三重區,241,20.1,20.0,20427.0,2013,7,2,1
107,荔枝-黑葉,J2,2013-07-03,17.6,16.8,三重區,241,17.1,17.0,15796.0,2013,7,3,2
108,荔枝-黑葉,J2,2013-07-04,17.8,17.0,三重區,241,17.2,17.0,16563.0,2013,7,4,3
109,荔枝-黑葉,J2,2013-07-05,24.0,23.0,三重區,241,23.2,23.0,16172.0,2013,7,5,4
110,荔枝-黑葉,J2,2013-07-06,24.7,23.0,三重區,241,23.4,23.0,18290.0,2013,7,6,5
111,荔枝-黑葉,J2,2013-07-07,36.7,35.5,三重區,241,36.0,36.0,20189.0,2013,7,7,6
112,荔枝-黑葉,J2,2013-07-09,29.8,29.0,三重區,241,29.2,29.0,8159.0,2013,7,9,1
113,荔枝-黑葉,J2,2013-07-10,38.0,37.6,三重區,241,37.9,38.0,992.0,2013,7,10,2
114,荔枝-黑葉,J2,2013-07-11,28.0,28.0,三重區,241,28.0,28.0,8545.0,2013,7,11,3
115,荔枝-黑葉,J2,2013-07-12,21.8,21.0,三重區,241,21.2,21.0,8127.0,2013,7,12,4
116,荔枝-黑葉,J2,2013-07-14,21.0,21.0,三重區,241,21.0,21.0,182.0,2013,7,14,6
117,荔枝-黑葉,J2,2013-07-16,28.0,28.0,三重區,241,28.0,28.0,168.0,2013,7,16,1
118,荔枝-黑葉,J2,2013-07-17,21.0,21.0,三重區,241,21.0,21.0,2520.0,2013,7,17,2
119,荔枝-黑葉,J2,2013-07-20,28.0,18.0,三重區,241,20.5,18.8,312.0,2013,7,20,5
120,荔枝-黑葉,J2,2013-07-24,28.0,28.0,三重區,241,28.0,28.0,168.0,2013,7,24,2
121,荔枝-黑葉,J2,2013-08-03,21.0,21.0,三重區,241,21.0,21.0,252.0,2013,8,3,5
122,荔枝-黑葉,J2,2014-05-11,80.0,80.0,三重區,241,80.0,80.0,12.0,2014,5,11,6
123,荔枝-黑葉,J2,2014-05-16,60.0,60.0,三重區,241,60.0,60.0,12.0,2014,5,16,4
124,荔枝-黑葉,J2,2014-05-17,53.9,33.6,三重區,241,41.0,39.1,259.0,2014,5,17,5
125,荔枝-黑葉,J2,2014-05-18,90.0,20.0,三重區,241,48.9,44.8,90.0,2014,5,18,6
126,荔枝-黑葉,J2,2014-05-20,50.0,27.6,三重區,241,37.2,36.1,249.0,2014,5,20,1
127,荔枝-黑葉,J2,2014-05-21,36.2,30.0,三重區,241,31.8,31.0,290.0,2014,5,21,2
128,荔枝-黑葉,J2,2014-05-22,25.0,25.0,三重區,241,25.0,25.0,73.0,2014,5,22,3
129,荔枝-黑葉,J2,2014-05-23,37.1,25.0,三重區,241,30.4,30.0,328.0,2014,5,23,4
130,荔枝-黑葉,J2,2014-05-24,44.8,27.4,三重區,241,35.1,34.4,950.0,2014,5,24,5
131,荔枝-黑葉,J2,2014-05-25,71.2,29.3,三重區,241,46.9,44.7,2492.0,2014,5,25,6
132,荔枝-黑葉,J2,2014-05-27,65.0,26.5,三重區,241,37.5,32.1,6434.0,2014,5,27,1
133,荔枝-黑葉,J2,2014-05-28,45.0,28.4,三重區,241,34.8,33.6,2432.0,2014,5,28,2
134,荔枝-黑葉,J2,2014-05-29,36.5,24.1,三重區,241,31.1,31.6,3129.0,2014,5,29,3
135,荔枝-黑葉,J2,2014-05-30,28.3,21.3,三重區,241,24.8,24.8,8088.0,2014,5,30,4
136,荔枝-黑葉,J2,2014-05-31,31.5,19.3,三重區,241,24.8,24.3,6657.0,2014,5,31,5
137,荔枝-黑葉,J2,2014-06-01,30.3,21.6,三重區,241,24.7,23.8,9820.0,2014,6,1,6
138,荔枝-黑葉,J2,2014-06-02,32.6,22.9,三重區,241,28.4,28.9,6866.0,2014,6,2,0
139,荔枝-黑葉,J2,2014-06-05,31.3,24.7,三重區,241,28.3,28.6,14982.0,2014,6,5,3
140,荔枝-黑葉,J2,2014-06-06,30.0,21.6,三重區,241,26.4,26.9,20180.0,2014,6,6,4
141,荔枝-黑葉,J2,2014-06-07,25.3,20.0,三重區,241,22.1,21.7,18625.0,2014,6,7,5
142,荔枝-黑葉,J2,2014-06-08,25.1,19.7,三重區,241,21.9,21.6,25330.0,2014,6,8,6
143,荔枝-黑葉,J2,2014-06-10,25.0,19.4,三重區,241,21.6,21.2,34942.0,2014,6,10,1
144,荔枝-黑葉,J2,2014-06-11,26.4,18.6,三重區,241,22.0,21.7,39534.0,2014,6,11,2
145,荔枝-黑葉,J2,2014-06-12,28.2,19.8,三重區,241,22.1,20.8,49720.0,2014,6,12,3
146,荔枝-黑葉,J2,2014-06-13,26.6,18.0,三重區,241,21.4,20.8,33004.0,2014,6,13,4
147,荔枝-黑葉,J2,2014-06-14,25.8,17.7,三重區,241,20.6,19.8,50936.0,2014,6,14,5
148,荔枝-黑葉,J2,2014-06-15,25.1,17.5,三重區,241,19.9,19.0,60796.0,2014,6,15,6
149,荔枝-黑葉,J2,2014-06-17,25.3,17.5,三重區,241,19.8,18.8,66848.0,2014,6,17,1
150,荔枝-黑葉,J2,2014-06-18,22.7,16.0,三重區,241,19.0,18.8,60915.0,2014,6,18,2
151,荔枝-黑葉,J2,2014-06-19,20.6,15.0,三重區,241,17.7,17.6,62872.0,2014,6,19,3
152,荔枝-黑葉,J2,2014-06-20,17.8,13.6,三重區,241,15.3,15.0,56135.0,2014,6,20,4
153,荔枝-黑葉,J2,2014-06-21,19.3,14.6,三重區,241,16.1,15.5,53216.0,2014,6,21,5
154,荔枝-黑葉,J2,2014-06-22,19.7,13.9,三重區,241,16.0,15.5,49598.0,2014,6,22,6
155,荔枝-黑葉,J2,2014-06-24,22.2,16.4,三重區,241,18.1,17.3,55888.0,2014,6,24,1
156,荔枝-黑葉,J2,2014-06-25,23.3,17.5,三重區,241,19.4,18.7,53914.0,2014,6,25,2
157,荔枝-黑葉,J2,2014-06-26,26.8,20.2,三重區,241,22.7,22.1,61579.0,2014,6,26,3
158,荔枝-黑葉,J2,2014-06-27,27.5,20.4,三重區,241,23.9,23.9,62738.0,2014,6,27,4
159,荔枝-黑葉,J2,2014-06-28,26.4,19.7,三重區,241,22.3,21.8,64052.0,2014,6,28,5
160,荔枝-黑葉,J2,2014-06-29,24.0,19.9,三重區,241,21.5,21.1,48904.0,2014,6,29,6
161,荔枝-黑葉,J2,2014-07-01,22.7,18.0,三重區,241,20.0,19.7,43888.0,2014,7,1,1
162,荔枝-黑葉,J2,2014-07-02,22.5,17.6,三重區,241,19.3,18.8,39865.0,2014,7,2,2
163,荔枝-黑葉,J2,2014-07-03,21.2,17.7,三重區,241,19.1,18.9,30704.0,2014,7,3,3
164,荔枝-黑葉,J2,2014-07-04,20.3,16.2,三重區,241,17.9,17.7,32090.0,2014,7,4,4
165,荔枝-黑葉,J2,2014-07-05,20.8,16.1,三重區,241,18.0,17.6,28574.0,2014,7,5,5
166,荔枝-黑葉,J2,2014-07-06,20.6,16.4,三重區,241,18.2,18.1,32421.0,2014,7,6,6
167,荔枝-黑葉,J2,2014-07-08,22.4,17.0,三重區,241,19.3,19.1,28049.0,2014,7,8,1
168,荔枝-黑葉,J2,2014-07-09,21.9,17.6,三重區,241,19.4,19.2,23994.0,2014,7,9,2
169,荔枝-黑葉,J2,2014-07-10,24.3,20.0,三重區,241,22.1,22.1,22871.0,2014,7,10,3
170,荔枝-黑葉,J2,2014-07-11,21.3,17.4,三重區,241,19.1,19.0,23065.0,2014,7,11,4
171,荔枝-黑葉,J2,2014-07-12,18.5,15.0,三重區,241,16.1,15.7,17575.0,2014,7,12,5
172,荔枝-黑葉,J2,2014-07-13,18.0,14.8,三重區,241,16.6,16.7,22019.0,2014,7,13,6
173,荔枝-黑葉,J2,2014-07-15,19.9,15.5,三重區,241,17.1,16.7,7557.0,2014,7,15,1
174,荔枝-黑葉,J2,2014-07-16,18.0,14.5,三重區,241,16.1,16.0,13209.0,2014,7,16,2
175,荔枝-黑葉,J2,2014-07-17,14.9,12.5,三重區,241,13.5,13.4,4949.0,2014,7,17,3
176,荔枝-黑葉,J2,2014-07-18,16.0,12.1,三重區,241,14.2,14.2,13793.0,2014,7,18,4
177,荔枝-黑葉,J2,2014-07-19,15.0,12.0,三重區,241,13.4,13.4,8869.0,2014,7,19,5
178,荔枝-黑葉,J2,2014-07-20,14.8,13.0,三重區,241,13.4,13.1,9184.0,2014,7,20,6
179,荔枝-黑葉,J2,2014-07-22,15.0,12.4,三重區,241,14.4,14.9,2293.0,2014,7,22,1
180,荔枝-黑葉,J2,2014-07-23,15.5,13.0,三重區,241,14.3,14.4,2781.0,2014,7,23,2
181,荔枝-黑葉,J2,2014-07-24,16.0,16.0,三重區,241,16.0,16.0,301.0,2014,7,24,3
182,荔枝-黑葉,J2,2014-07-25,16.0,12.8,三重區,241,14.2,14.0,7968.0,2014,7,25,4
183,荔枝-黑葉,J2,2014-07-26,20.0,20.0,三重區,241,20.0,20.0,2930.0,2014,7,26,5
184,荔枝-黑葉,J2,2014-07-27,25.6,16.0,三重區,241,19.3,18.2,694.0,2014,7,27,6
185,荔枝-黑葉,J2,2014-07-29,18.0,18.0,三重區,241,18.0,18.0,391.0,2014,7,29,1
186,荔枝-黑葉,J2,2014-07-30,18.0,13.7,三重區,241,15.7,15.6,4558.0,2014,7,30,2
187,荔枝-黑葉,J2,2014-07-31,18.0,15.0,三重區,241,16.4,16.3,2938.0,2014,7,31,3
188,荔枝-黑葉,J2,2014-08-01,16.0,13.0,三重區,241,14.5,14.6,2240.0,2014,8,1,4
189,荔枝-黑葉,J2,2014-08-02,18.0,18.0,三重區,241,18.0,18.0,600.0,2014,8,2,5
190,荔枝-黑葉,J2,2014-08-05,16.0,12.0,三重區,241,14.6,15.0,1526.0,2014,8,5,1
191,荔枝-黑葉,J2,2014-08-06,18.0,15.0,三重區,241,16.4,16.3,1320.0,2014,8,6,2
192,荔枝-黑葉,J2,2014-08-07,15.0,15.0,三重區,241,15.0,15.0,720.0,2014,8,7,3
193,荔枝-黑葉,J2,2014-08-08,30.0,25.0,三重區,241,26.5,25.8,683.0,2014,8,8,4
194,荔枝-黑葉,J2,2014-10-09,35.0,35.0,三重區,241,35.0,35.0,110.0,2014,10,9,3
195,荔枝-黑葉,J2,2015-05-13,30.0,30.0,三重區,241,30.0,30.0,24.0,2015,5,13,2
196,荔枝-黑葉,J2,2015-05-17,40.0,30.0,三重區,241,32.0,30.0,120.0,2015,5,17,6
197,荔枝-黑葉,J2,2015-05-19,55.0,40.0,三重區,241,45.3,43.8,183.0,2015,5,19,1
198,荔枝-黑葉,J2,2015-05-20,30.0,24.3,三重區,241,28.9,30.0,183.0,2015,5,20,2
199,荔枝-黑葉,J2,2015-05-21,35.0,30.0,三重區,241,33.6,34.3,438.0,2015,5,21,3
200,荔枝-黑葉,J2,2015-05-22,45.0,32.9,三重區,241,42.3,44.5,504.0,2015,5,22,4
201,荔枝-黑葉,J2,2015-05-23,50.0,37.3,三重區,241,44.1,44.4,268.0,2015,5,23,5
202,荔枝-黑葉,J2,2015-05-24,45.0,25.5,三重區,241,37.3,38.7,798.0,2015,5,24,6
