,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,莧菜-紅莧菜,LM1,2012-01-01,25.0,25.0,三重區,241,25.0,25.0,15.0,2012,1,1,6
1,莧菜-紅莧菜,LM1,2012-01-07,10.0,10.0,三重區,241,10.0,10.0,26.0,2012,1,7,5
2,莧菜-紅莧菜,LM1,2012-01-12,15.0,15.0,三重區,241,15.0,15.0,15.0,2012,1,12,3
3,莧菜-紅莧菜,LM1,2012-02-01,14.0,12.0,三重區,241,12.8,12.7,50.0,2012,2,1,2
4,莧菜-紅莧菜,LM1,2012-04-06,12.0,12.0,三重區,241,12.0,12.0,30.0,2012,4,6,4
5,莧菜-紅莧菜,LM1,2012-04-15,20.0,20.0,三重區,241,20.0,20.0,30.0,2012,4,15,6
6,莧菜-紅莧菜,LM1,2012-04-18,20.0,20.0,三重區,241,20.0,20.0,25.0,2012,4,18,2
7,莧菜-紅莧菜,LM1,2012-04-19,25.0,22.0,三重區,241,23.5,23.5,60.0,2012,4,19,3
8,莧菜-紅莧菜,LM1,2012-04-20,22.0,22.0,三重區,241,22.0,22.0,45.0,2012,4,20,4
9,莧菜-紅莧菜,LM1,2012-04-21,22.0,2.0,三重區,241,14.9,16.9,150.0,2012,4,21,5
10,莧菜-紅莧菜,LM1,2012-04-22,22.0,15.0,三重區,241,17.8,17.3,75.0,2012,4,22,6
11,莧菜-紅莧菜,LM1,2012-04-24,23.0,20.0,三重區,241,21.1,20.7,115.0,2012,4,24,1
12,莧菜-紅莧菜,LM1,2012-04-26,20.0,20.0,三重區,241,20.0,20.0,30.0,2012,4,26,3
13,莧菜-紅莧菜,LM1,2012-04-27,24.0,24.0,三重區,241,24.0,24.0,30.0,2012,4,27,4
14,莧菜-紅莧菜,LM1,2012-04-29,45.0,35.0,三重區,241,40.8,41.3,65.0,2012,4,29,6
15,莧菜-紅莧菜,LM1,2012-05-01,45.0,38.0,三重區,241,40.7,40.1,90.0,2012,5,1,1
16,莧菜-紅莧菜,LM1,2012-05-02,37.0,21.0,三重區,241,28.5,28.2,60.0,2012,5,2,2
17,莧菜-紅莧菜,LM1,2012-05-03,35.0,35.0,三重區,241,35.0,35.0,30.0,2012,5,3,3
18,莧菜-紅莧菜,LM1,2012-05-04,28.0,20.0,三重區,241,24.0,24.0,60.0,2012,5,4,4
19,莧菜-紅莧菜,LM1,2012-05-05,31.1,18.2,三重區,241,26.7,28.0,420.0,2012,5,5,5
20,莧菜-紅莧菜,LM1,2012-05-06,33.0,17.0,三重區,241,28.6,31.1,165.0,2012,5,6,6
21,莧菜-紅莧菜,LM1,2012-05-08,42.0,40.0,三重區,241,41.6,42.0,225.0,2012,5,8,1
22,莧菜-紅莧菜,LM1,2012-05-09,42.0,40.0,三重區,241,41.0,41.0,150.0,2012,5,9,2
23,莧菜-紅莧菜,LM1,2012-05-10,45.0,45.0,三重區,241,45.0,45.0,45.0,2012,5,10,3
24,莧菜-紅莧菜,LM1,2012-05-11,40.0,30.0,三重區,241,33.8,32.9,160.0,2012,5,11,4
25,莧菜-紅莧菜,LM1,2012-05-12,39.2,25.0,三重區,241,34.4,35.9,170.0,2012,5,12,5
26,莧菜-紅莧菜,LM1,2012-05-13,35.6,26.8,三重區,241,30.5,30.0,375.0,2012,5,13,6
27,莧菜-紅莧菜,LM1,2012-05-15,38.0,10.0,三重區,241,20.6,18.3,315.0,2012,5,15,1
28,莧菜-紅莧菜,LM1,2012-05-16,35.0,27.0,三重區,241,30.5,30.1,225.0,2012,5,16,2
29,莧菜-紅莧菜,LM1,2012-05-17,21.8,10.3,三重區,241,17.6,18.6,425.0,2012,5,17,3
30,莧菜-紅莧菜,LM1,2012-05-18,24.5,16.4,三重區,241,21.4,22.0,305.0,2012,5,18,4
31,莧菜-紅莧菜,LM1,2012-05-19,22.0,14.3,三重區,241,19.2,19.9,395.0,2012,5,19,5
32,莧菜-紅莧菜,LM1,2012-05-20,27.0,15.0,三重區,241,24.2,26.3,150.0,2012,5,20,6
33,莧菜-紅莧菜,LM1,2012-05-22,22.9,14.7,三重區,241,18.3,17.9,640.0,2012,5,22,1
34,莧菜-紅莧菜,LM1,2012-05-23,28.2,18.0,三重區,241,23.0,22.9,585.0,2012,5,23,2
35,莧菜-紅莧菜,LM1,2012-05-24,42.9,25.4,三重區,241,33.4,32.8,250.0,2012,5,24,3
36,莧菜-紅莧菜,LM1,2012-05-25,35.2,25.6,三重區,241,30.9,31.3,305.0,2012,5,25,4
37,莧菜-紅莧菜,LM1,2012-05-26,32.6,27.0,三重區,241,29.5,29.3,175.0,2012,5,26,5
38,莧菜-紅莧菜,LM1,2012-05-27,10.0,10.0,三重區,241,10.0,10.0,60.0,2012,5,27,6
39,莧菜-紅莧菜,LM1,2012-05-29,30.0,15.0,三重區,241,25.0,26.7,150.0,2012,5,29,1
40,莧菜-紅莧菜,LM1,2012-05-30,33.0,31.0,三重區,241,31.4,31.0,75.0,2012,5,30,2
41,莧菜-紅莧菜,LM1,2012-05-31,32.0,20.0,三重區,241,28.6,30.3,105.0,2012,5,31,3
42,莧菜-紅莧菜,LM1,2012-06-01,30.0,12.0,三重區,241,26.4,30.0,150.0,2012,6,1,4
43,莧菜-紅莧菜,LM1,2012-06-02,24.0,7.0,三重區,241,19.8,22.6,80.0,2012,6,2,5
44,莧菜-紅莧菜,LM1,2012-06-03,30.0,10.0,三重區,241,23.1,25.2,163.0,2012,6,3,6
45,莧菜-紅莧菜,LM1,2012-06-05,32.0,13.0,三重區,241,23.9,24.8,365.0,2012,6,5,1
46,莧菜-紅莧菜,LM1,2012-06-06,28.3,16.5,三重區,241,24.0,25.0,675.0,2012,6,6,2
47,莧菜-紅莧菜,LM1,2012-06-07,27.2,5.0,三重區,241,18.1,19.5,175.0,2012,6,7,3
48,莧菜-紅莧菜,LM1,2012-06-08,25.0,6.4,三重區,241,19.3,21.7,365.0,2012,6,8,4
49,莧菜-紅莧菜,LM1,2012-06-09,10.0,2.0,三重區,241,8.0,9.3,160.0,2012,6,9,5
50,莧菜-紅莧菜,LM1,2012-06-10,25.0,10.0,三重區,241,17.7,17.8,460.0,2012,6,10,6
51,莧菜-紅莧菜,LM1,2012-06-12,18.0,13.3,三重區,241,16.6,17.3,240.0,2012,6,12,1
52,莧菜-紅莧菜,LM1,2012-06-14,25.0,9.4,三重區,241,18.3,19.1,455.0,2012,6,14,3
53,莧菜-紅莧菜,LM1,2012-06-15,38.0,12.3,三重區,241,25.7,26.0,225.0,2012,6,15,4
54,莧菜-紅莧菜,LM1,2012-06-16,25.0,11.5,三重區,241,18.7,19.0,655.0,2012,6,16,5
55,莧菜-紅莧菜,LM1,2012-06-17,29.7,15.1,三重區,241,21.6,21.0,555.0,2012,6,17,6
56,莧菜-紅莧菜,LM1,2012-06-19,38.0,30.0,三重區,241,33.6,33.4,165.0,2012,6,19,1
57,莧菜-紅莧菜,LM1,2012-06-20,29.3,15.0,三重區,241,19.7,18.1,145.0,2012,6,20,2
58,莧菜-紅莧菜,LM1,2012-06-21,42.0,18.0,三重區,241,26.7,24.5,45.0,2012,6,21,3
59,莧菜-紅莧菜,LM1,2012-06-22,47.0,15.0,三重區,241,31.7,32.1,145.0,2012,6,22,4
60,莧菜-紅莧菜,LM1,2012-06-23,39.2,22.5,三重區,241,30.3,30.0,90.0,2012,6,23,5
61,莧菜-紅莧菜,LM1,2012-06-26,34.8,19.7,三重區,241,27.8,28.2,319.0,2012,6,26,1
62,莧菜-紅莧菜,LM1,2012-06-27,40.0,22.0,三重區,241,29.2,28.0,75.0,2012,6,27,2
63,莧菜-紅莧菜,LM1,2012-06-28,37.5,10.0,三重區,241,26.7,28.6,170.0,2012,6,28,3
64,莧菜-紅莧菜,LM1,2012-06-29,35.0,22.5,三重區,241,30.7,32.0,145.0,2012,6,29,4
65,莧菜-紅莧菜,LM1,2012-06-30,35.0,10.0,三重區,241,23.0,23.3,133.0,2012,6,30,5
66,莧菜-紅莧菜,LM1,2012-07-01,30.6,18.9,三重區,241,24.8,24.8,270.0,2012,7,1,6
67,莧菜-紅莧菜,LM1,2012-07-03,30.0,16.3,三重區,241,26.6,28.8,535.0,2012,7,3,1
68,莧菜-紅莧菜,LM1,2012-07-04,32.0,12.7,三重區,241,21.5,21.0,215.0,2012,7,4,2
69,莧菜-紅莧菜,LM1,2012-07-05,25.0,11.9,三重區,241,21.2,23.0,310.0,2012,7,5,3
70,莧菜-紅莧菜,LM1,2012-07-06,22.0,15.0,三重區,241,18.5,18.5,120.0,2012,7,6,4
71,莧菜-紅莧菜,LM1,2012-07-07,25.0,10.0,三重區,241,15.0,13.3,75.0,2012,7,7,5
72,莧菜-紅莧菜,LM1,2012-07-08,25.0,21.1,三重區,241,23.5,23.8,170.0,2012,7,8,6
73,莧菜-紅莧菜,LM1,2012-07-10,22.0,17.9,三重區,241,21.1,21.8,480.0,2012,7,10,1
74,莧菜-紅莧菜,LM1,2012-07-11,25.0,15.4,三重區,241,22.0,23.3,505.0,2012,7,11,2
75,莧菜-紅莧菜,LM1,2012-07-12,21.1,8.0,三重區,241,16.7,18.2,345.0,2012,7,12,3
76,莧菜-紅莧菜,LM1,2012-07-13,22.0,11.5,三重區,241,19.3,21.0,495.0,2012,7,13,4
77,莧菜-紅莧菜,LM1,2012-07-14,20.0,15.2,三重區,241,18.7,19.4,405.0,2012,7,14,5
78,莧菜-紅莧菜,LM1,2012-07-15,22.0,16.0,三重區,241,19.1,19.1,225.0,2012,7,15,6
79,莧菜-紅莧菜,LM1,2012-07-17,22.0,16.3,三重區,241,19.3,19.3,300.0,2012,7,17,1
80,莧菜-紅莧菜,LM1,2012-07-18,22.0,17.0,三重區,241,19.0,18.7,135.0,2012,7,18,2
81,莧菜-紅莧菜,LM1,2012-07-19,20.0,10.0,三重區,241,14.9,14.9,365.0,2012,7,19,3
82,莧菜-紅莧菜,LM1,2012-07-20,21.4,17.1,三重區,241,18.8,18.5,315.0,2012,7,20,4
83,莧菜-紅莧菜,LM1,2012-07-21,17.0,15.0,三重區,241,16.1,16.2,405.0,2012,7,21,5
84,莧菜-紅莧菜,LM1,2012-07-22,18.0,14.0,三重區,241,16.3,16.5,270.0,2012,7,22,6
85,莧菜-紅莧菜,LM1,2012-07-24,20.0,12.0,三重區,241,16.9,17.6,240.0,2012,7,24,1
86,莧菜-紅莧菜,LM1,2012-07-25,20.0,12.0,三重區,241,15.8,15.7,435.0,2012,7,25,2
87,莧菜-紅莧菜,LM1,2012-07-26,20.0,15.0,三重區,241,18.3,18.9,450.0,2012,7,26,3
88,莧菜-紅莧菜,LM1,2012-07-27,20.0,13.0,三重區,241,16.8,17.1,360.0,2012,7,27,4
89,莧菜-紅莧菜,LM1,2012-07-28,20.0,12.3,三重區,241,16.6,16.8,365.0,2012,7,28,5
90,莧菜-紅莧菜,LM1,2012-07-29,18.6,10.0,三重區,241,14.6,14.9,470.0,2012,7,29,6
91,莧菜-紅莧菜,LM1,2012-07-31,38.0,35.0,三重區,241,36.5,36.5,150.0,2012,7,31,1
92,莧菜-紅莧菜,LM1,2012-08-01,35.0,35.0,三重區,241,35.0,35.0,150.0,2012,8,1,2
93,莧菜-紅莧菜,LM1,2012-08-02,15.0,10.0,三重區,241,13.1,13.6,120.0,2012,8,2,3
94,莧菜-紅莧菜,LM1,2012-08-04,55.0,36.0,三重區,241,42.3,40.2,45.0,2012,8,4,5
95,莧菜-紅莧菜,LM1,2012-08-05,35.0,30.0,三重區,241,34.0,35.0,290.0,2012,8,5,6
96,莧菜-紅莧菜,LM1,2012-08-07,41.2,15.0,三重區,241,32.0,34.6,260.0,2012,8,7,1
97,莧菜-紅莧菜,LM1,2012-08-08,37.0,31.2,三重區,241,33.9,33.8,180.0,2012,8,8,2
