,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,萵苣莖,SI1,2012-01-08,17.0,17.0,三重區,241,17.0,17.0,36.0,2012,1,8,6
1,萵苣莖,SI1,2012-01-13,22.0,22.0,三重區,241,22.0,22.0,60.0,2012,1,13,4
2,萵苣莖,SI1,2012-01-14,20.0,18.0,三重區,241,19.2,19.3,100.0,2012,1,14,5
3,萵苣莖,SI1,2012-01-15,14.0,14.0,三重區,241,14.0,14.0,120.0,2012,1,15,6
4,萵苣莖,SI1,2012-01-18,12.0,12.0,三重區,241,12.0,12.0,80.0,2012,1,18,2
5,萵苣莖,SI1,2012-01-19,12.4,7.7,三重區,241,8.8,8.0,407.0,2012,1,19,3
6,萵苣莖,SI1,2012-01-20,16.0,16.0,三重區,241,16.0,16.0,120.0,2012,1,20,4
7,萵苣莖,SI1,2012-01-21,8.0,7.0,三重區,241,7.4,7.4,280.0,2012,1,21,5
8,萵苣莖,SI1,2012-01-28,9.0,9.0,三重區,241,9.0,9.0,60.0,2012,1,28,5
9,萵苣莖,SI1,2012-01-29,10.0,10.0,三重區,241,10.0,10.0,40.0,2012,1,29,6
10,萵苣莖,SI1,2012-02-01,8.0,8.0,三重區,241,8.0,8.0,32.0,2012,2,1,2
11,萵苣莖,SI1,2012-02-10,6.0,6.0,三重區,241,6.0,6.0,32.0,2012,2,10,4
12,萵苣莖,SI1,2012-02-15,5.0,5.0,三重區,241,5.0,5.0,29.0,2012,2,15,2
13,萵苣莖,SI1,2012-03-20,9.0,9.0,三重區,241,9.0,9.0,26.0,2012,3,20,1
14,萵苣莖,SI1,2012-03-21,7.0,7.0,三重區,241,7.0,7.0,104.0,2012,3,21,2
15,萵苣莖,SI1,2012-03-22,11.0,7.0,三重區,241,9.9,10.5,278.0,2012,3,22,3
16,萵苣莖,SI1,2012-03-23,4.0,4.0,三重區,241,4.0,4.0,78.0,2012,3,23,4
17,萵苣莖,SI1,2012-03-27,21.0,10.0,三重區,241,18.4,20.3,110.0,2012,3,27,1
18,萵苣莖,SI1,2012-03-28,10.0,8.9,三重區,241,9.8,10.0,452.0,2012,3,28,2
19,萵苣莖,SI1,2012-03-29,15.4,8.0,三重區,241,9.5,8.0,388.0,2012,3,29,3
20,萵苣莖,SI1,2012-03-30,13.2,5.0,三重區,241,6.6,5.0,714.0,2012,3,30,4
21,萵苣莖,SI1,2012-03-31,20.0,20.0,三重區,241,20.0,20.0,156.0,2012,3,31,5
22,萵苣莖,SI1,2012-04-01,15.0,4.0,三重區,241,6.8,4.9,240.0,2012,4,1,6
23,萵苣莖,SI1,2012-04-03,3.0,3.0,三重區,241,3.0,3.0,12.0,2012,4,3,1
24,萵苣莖,SI1,2012-04-06,5.0,5.0,三重區,241,5.0,5.0,10.0,2012,4,6,4
