,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,豆薯,SL1,2012-01-01,18.0,18.0,三重區,241,18.0,18.0,30.0,2012,1,1,6
1,豆薯,SL1,2012-01-03,19.0,15.0,三重區,241,15.9,15.2,270.0,2012,1,3,1
2,豆薯,SL1,2012-01-04,22.2,13.0,三重區,241,14.8,13.0,180.0,2012,1,4,2
3,豆薯,SL1,2012-01-05,15.0,15.0,三重區,241,15.0,15.0,330.0,2012,1,5,3
4,豆薯,SL1,2012-01-06,15.0,15.0,三重區,241,15.0,15.0,180.0,2012,1,6,4
5,豆薯,SL1,2012-01-07,15.0,15.0,三重區,241,15.0,15.0,150.0,2012,1,7,5
6,豆薯,SL1,2012-01-08,15.0,15.0,三重區,241,15.0,15.0,180.0,2012,1,8,6
7,豆薯,SL1,2012-01-10,17.5,15.0,三重區,241,15.5,15.0,300.0,2012,1,10,1
8,豆薯,SL1,2012-01-11,18.6,15.0,三重區,241,15.7,15.0,210.0,2012,1,11,2
9,豆薯,SL1,2012-01-12,18.8,15.0,三重區,241,15.8,15.0,240.0,2012,1,12,3
10,豆薯,SL1,2012-01-13,17.8,15.0,三重區,241,15.6,15.0,270.0,2012,1,13,4
11,豆薯,SL1,2012-01-14,18.6,15.0,三重區,241,15.7,15.0,210.0,2012,1,14,5
12,豆薯,SL1,2012-01-15,20.0,20.0,三重區,241,20.0,20.0,30.0,2012,1,15,6
13,豆薯,SL1,2012-01-17,19.0,15.0,三重區,241,15.8,15.0,300.0,2012,1,17,1
14,豆薯,SL1,2012-01-18,19.4,7.0,三重區,241,12.8,12.6,350.0,2012,1,18,2
15,豆薯,SL1,2012-01-19,19.8,5.0,三重區,241,13.6,14.4,490.0,2012,1,19,3
16,豆薯,SL1,2012-01-20,20.0,13.8,三重區,241,15.9,15.2,410.0,2012,1,20,4
17,豆薯,SL1,2012-01-21,13.0,13.0,三重區,241,13.0,13.0,180.0,2012,1,21,5
18,豆薯,SL1,2012-01-28,20.0,20.0,三重區,241,20.0,20.0,60.0,2012,1,28,5
19,豆薯,SL1,2012-01-29,15.0,15.0,三重區,241,15.0,15.0,120.0,2012,1,29,6
20,豆薯,SL1,2012-01-30,12.0,12.0,三重區,241,12.0,12.0,60.0,2012,1,30,0
21,豆薯,SL1,2012-02-01,15.0,10.0,三重區,241,13.5,14.2,390.0,2012,2,1,2
22,豆薯,SL1,2012-02-03,15.0,10.0,三重區,241,13.3,13.9,270.0,2012,2,3,4
23,豆薯,SL1,2012-02-04,5.0,5.0,三重區,241,5.0,5.0,60.0,2012,2,4,5
24,豆薯,SL1,2012-02-05,15.0,10.0,三重區,241,13.3,13.9,90.0,2012,2,5,6
25,豆薯,SL1,2012-02-06,15.0,15.0,三重區,241,15.0,15.0,180.0,2012,2,6,0
26,豆薯,SL1,2012-02-09,15.0,14.0,三重區,241,14.6,14.7,240.0,2012,2,9,3
27,豆薯,SL1,2012-02-10,15.0,15.0,三重區,241,15.0,15.0,300.0,2012,2,10,4
28,豆薯,SL1,2012-02-11,15.0,10.0,三重區,241,12.6,12.7,330.0,2012,2,11,5
29,豆薯,SL1,2012-02-12,12.0,12.0,三重區,241,12.0,12.0,240.0,2012,2,12,6
30,豆薯,SL1,2012-02-14,13.0,5.0,三重區,241,11.1,12.5,429.0,2012,2,14,1
31,豆薯,SL1,2012-02-15,8.0,5.0,三重區,241,6.1,5.9,135.0,2012,2,15,2
32,豆薯,SL1,2012-02-16,5.0,5.0,三重區,241,5.0,5.0,90.0,2012,2,16,3
33,豆薯,SL1,2012-02-17,13.0,7.2,三重區,241,11.2,12.0,280.0,2012,2,17,4
34,豆薯,SL1,2012-02-18,14.0,12.0,三重區,241,13.0,13.0,50.0,2012,2,18,5
35,豆薯,SL1,2012-02-19,13.0,5.0,三重區,241,10.5,11.5,315.0,2012,2,19,6
36,豆薯,SL1,2012-02-21,13.0,5.2,三重區,241,10.0,10.5,340.0,2012,2,21,1
37,豆薯,SL1,2012-02-22,10.0,7.7,三重區,241,8.3,8.0,1005.0,2012,2,22,2
38,豆薯,SL1,2012-02-23,13.0,7.0,三重區,241,11.8,13.0,290.0,2012,2,23,3
39,豆薯,SL1,2012-02-24,6.0,5.0,三重區,241,5.3,5.2,75.0,2012,2,24,4
40,豆薯,SL1,2012-02-25,8.0,7.0,三重區,241,7.7,7.8,90.0,2012,2,25,5
41,豆薯,SL1,2012-02-26,4.0,4.0,三重區,241,4.0,4.0,60.0,2012,2,26,6
