,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,龍眼-龍眼乾帶殼,K4,2012-01-01,60.0,47.0,三重區,241,51.9,50.8,240.0,2012,1,1,6
1,龍眼-龍眼乾帶殼,K4,2012-01-03,60.0,47.0,三重區,241,51.2,49.6,370.0,2012,1,3,1
2,龍眼-龍眼乾帶殼,K4,2012-01-04,65.0,52.1,三重區,241,62.4,65.0,440.0,2012,1,4,2
3,龍眼-龍眼乾帶殼,K4,2012-01-05,65.0,36.6,三重區,241,48.9,47.6,358.0,2012,1,5,3
4,龍眼-龍眼乾帶殼,K4,2012-01-06,65.0,45.0,三重區,241,53.9,53.2,108.0,2012,1,6,4
5,龍眼-龍眼乾帶殼,K4,2012-01-07,65.0,45.0,三重區,241,53.7,52.8,428.0,2012,1,7,5
6,龍眼-龍眼乾帶殼,K4,2012-01-08,55.0,47.0,三重區,241,52.2,52.9,84.0,2012,1,8,6
7,龍眼-龍眼乾帶殼,K4,2012-01-10,69.2,45.9,三重區,241,59.8,61.3,662.0,2012,1,10,1
8,龍眼-龍眼乾帶殼,K4,2012-01-11,65.0,46.2,三重區,241,57.2,58.3,392.0,2012,1,11,2
9,龍眼-龍眼乾帶殼,K4,2012-01-12,50.0,40.0,三重區,241,44.0,43.3,150.0,2012,1,12,3
10,龍眼-龍眼乾帶殼,K4,2012-01-13,60.0,50.0,三重區,241,56.7,57.8,180.0,2012,1,13,4
11,龍眼-龍眼乾帶殼,K4,2012-01-14,50.0,30.0,三重區,241,42.1,43.5,144.0,2012,1,14,5
12,龍眼-龍眼乾帶殼,K4,2012-01-15,65.0,40.0,三重區,241,52.9,53.2,232.0,2012,1,15,6
13,龍眼-龍眼乾帶殼,K4,2012-01-17,60.0,43.0,三重區,241,54.6,56.6,447.0,2012,1,17,1
14,龍眼-龍眼乾帶殼,K4,2012-01-18,70.0,43.4,三重區,241,61.1,64.0,568.0,2012,1,18,2
15,龍眼-龍眼乾帶殼,K4,2012-01-19,60.0,42.0,三重區,241,48.9,47.5,251.0,2012,1,19,3
16,龍眼-龍眼乾帶殼,K4,2012-01-20,32.0,32.0,三重區,241,32.0,32.0,40.0,2012,1,20,4
17,龍眼-龍眼乾帶殼,K4,2012-01-21,65.0,32.0,三重區,241,44.2,41.3,235.0,2012,1,21,5
18,龍眼-龍眼乾帶殼,K4,2012-01-28,70.0,42.0,三重區,241,62.7,67.1,244.0,2012,1,28,5
19,龍眼-龍眼乾帶殼,K4,2012-01-29,67.9,38.0,三重區,241,52.9,52.9,228.0,2012,1,29,6
20,龍眼-龍眼乾帶殼,K4,2012-01-30,60.0,43.7,三重區,241,56.8,60.0,334.0,2012,1,30,0
21,龍眼-龍眼乾帶殼,K4,2012-02-01,50.0,41.0,三重區,241,47.2,48.4,260.0,2012,2,1,2
22,龍眼-龍眼乾帶殼,K4,2012-02-02,56.0,53.0,三重區,241,55.3,55.8,120.0,2012,2,2,3
23,龍眼-龍眼乾帶殼,K4,2012-02-03,58.3,48.0,三重區,241,51.3,50.0,144.0,2012,2,3,4
24,龍眼-龍眼乾帶殼,K4,2012-02-04,46.6,30.9,三重區,241,40.3,41.3,368.0,2012,2,4,5
25,龍眼-龍眼乾帶殼,K4,2012-02-05,50.0,35.0,三重區,241,44.7,46.2,296.0,2012,2,5,6
26,龍眼-龍眼乾帶殼,K4,2012-02-06,46.0,45.0,三重區,241,45.4,45.4,70.0,2012,2,6,0
27,龍眼-龍眼乾帶殼,K4,2012-02-09,45.0,30.0,三重區,241,34.1,31.8,110.0,2012,2,9,3
28,龍眼-龍眼乾帶殼,K4,2012-02-10,45.0,45.0,三重區,241,45.0,45.0,30.0,2012,2,10,4
29,龍眼-龍眼乾帶殼,K4,2012-02-11,49.4,45.0,三重區,241,46.6,46.3,190.0,2012,2,11,5
30,龍眼-龍眼乾帶殼,K4,2012-02-12,65.0,35.0,三重區,241,55.9,59.9,182.0,2012,2,12,6
31,龍眼-龍眼乾帶殼,K4,2012-02-14,64.0,46.8,三重區,241,56.4,57.0,500.0,2012,2,14,1
32,龍眼-龍眼乾帶殼,K4,2012-02-15,57.8,35.0,三重區,241,43.5,41.5,84.0,2012,2,15,2
33,龍眼-龍眼乾帶殼,K4,2012-02-16,65.0,30.0,三重區,241,52.8,56.4,115.0,2012,2,16,3
34,龍眼-龍眼乾帶殼,K4,2012-02-17,46.9,35.0,三重區,241,42.9,44.2,160.0,2012,2,17,4
35,龍眼-龍眼乾帶殼,K4,2012-02-18,60.0,40.0,三重區,241,51.5,52.5,94.0,2012,2,18,5
36,龍眼-龍眼乾帶殼,K4,2012-02-19,60.0,48.0,三重區,241,57.6,60.0,216.0,2012,2,19,6
37,龍眼-龍眼乾帶殼,K4,2012-02-21,65.0,65.0,三重區,241,65.0,65.0,96.0,2012,2,21,1
38,龍眼-龍眼乾帶殼,K4,2012-02-23,45.0,35.0,三重區,241,42.1,43.6,96.0,2012,2,23,3
39,龍眼-龍眼乾帶殼,K4,2012-02-24,60.0,60.0,三重區,241,60.0,60.0,180.0,2012,2,24,4
40,龍眼-龍眼乾帶殼,K4,2012-02-25,45.0,45.0,三重區,241,45.0,45.0,51.0,2012,2,25,5
41,龍眼-龍眼乾帶殼,K4,2012-02-28,30.0,30.0,三重區,241,30.0,30.0,80.0,2012,2,28,1
42,龍眼-龍眼乾帶殼,K4,2012-02-29,65.0,42.2,三重區,241,58.6,61.9,420.0,2012,2,29,2
43,龍眼-龍眼乾帶殼,K4,2012-03-01,65.0,47.0,三重區,241,59.9,62.4,105.0,2012,3,1,3
44,龍眼-龍眼乾帶殼,K4,2012-03-02,40.0,40.0,三重區,241,40.0,40.0,80.0,2012,3,2,4
45,龍眼-龍眼乾帶殼,K4,2012-03-03,35.0,35.0,三重區,241,35.0,35.0,100.0,2012,3,3,5
46,龍眼-龍眼乾帶殼,K4,2012-03-04,70.0,40.0,三重區,241,47.8,43.0,108.0,2012,3,4,6
47,龍眼-龍眼乾帶殼,K4,2012-03-06,35.0,35.0,三重區,241,35.0,35.0,80.0,2012,3,6,1
