,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,南瓜-木瓜形,FT1,2012-01-01,18.3,12.7,台中市,400,15.3,15.8,535.0,2012,1,1,6
1,南瓜-木瓜形,FT1,2012-01-03,20.0,15.5,台中市,400,18.8,18.2,351.0,2012,1,3,1
2,南瓜-木瓜形,FT1,2012-01-04,22.8,13.7,台中市,400,18.7,18.6,1766.0,2012,1,4,2
3,南瓜-木瓜形,FT1,2012-01-05,20.6,11.6,台中市,400,16.4,16.9,1599.0,2012,1,5,3
4,南瓜-木瓜形,FT1,2012-01-06,21.6,10.8,台中市,400,16.3,15.2,1785.0,2012,1,6,4
5,南瓜-木瓜形,FT1,2012-01-07,19.3,12.0,台中市,400,15.4,15.9,2305.0,2012,1,7,5
6,南瓜-木瓜形,FT1,2012-01-08,18.7,12.8,台中市,400,15.3,15.3,1874.0,2012,1,8,6
7,南瓜-木瓜形,FT1,2012-01-10,21.8,11.2,台中市,400,15.2,14.8,1386.0,2012,1,10,1
8,南瓜-木瓜形,FT1,2012-01-11,17.5,10.0,台中市,400,13.1,12.5,2244.0,2012,1,11,2
9,南瓜-木瓜形,FT1,2012-01-12,18.4,10.0,台中市,400,14.1,12.8,1789.0,2012,1,12,3
10,南瓜-木瓜形,FT1,2012-01-13,18.2,9.2,台中市,400,13.6,12.2,1636.0,2012,1,13,4
11,南瓜-木瓜形,FT1,2012-01-14,16.0,8.8,台中市,400,12.3,11.8,1582.0,2012,1,14,5
12,南瓜-木瓜形,FT1,2012-01-15,18.5,7.0,台中市,400,12.4,11.0,1229.0,2012,1,15,6
13,南瓜-木瓜形,FT1,2012-01-17,19.7,7.7,台中市,400,12.8,12.1,1456.0,2012,1,17,1
14,南瓜-木瓜形,FT1,2012-01-18,15.8,6.8,台中市,400,10.7,10.2,1427.0,2012,1,18,2
15,南瓜-木瓜形,FT1,2012-01-19,16.2,5.2,台中市,400,8.0,7.5,2146.0,2012,1,19,3
16,南瓜-木瓜形,FT1,2012-01-20,17.3,6.3,台中市,400,10.2,10.1,1215.0,2012,1,20,4
17,南瓜-木瓜形,FT1,2012-01-21,17.5,6.0,台中市,400,9.7,8.7,849.0,2012,1,21,5
18,南瓜-木瓜形,FT1,2012-01-22,25.0,7.0,台中市,400,13.1,11.7,450.0,2012,1,22,6
19,南瓜-木瓜形,FT1,2012-01-28,17.7,10.0,台中市,400,13.1,11.3,519.0,2012,1,28,5
20,南瓜-木瓜形,FT1,2012-01-29,15.5,9.0,台中市,400,12.4,13.5,671.0,2012,1,29,6
21,南瓜-木瓜形,FT1,2012-01-30,16.0,10.0,台中市,400,11.7,14.5,250.0,2012,1,30,0
22,南瓜-木瓜形,FT1,2012-02-01,17.3,10.7,台中市,400,14.2,14.2,731.0,2012,2,1,2
23,南瓜-木瓜形,FT1,2012-02-02,15.5,9.5,台中市,400,13.5,13.8,1152.0,2012,2,2,3
24,南瓜-木瓜形,FT1,2012-02-03,16.0,8.0,台中市,400,11.4,11.8,864.0,2012,2,3,4
25,南瓜-木瓜形,FT1,2012-02-04,19.2,7.8,台中市,400,12.9,12.9,1517.0,2012,2,4,5
26,南瓜-木瓜形,FT1,2012-02-05,22.5,7.2,台中市,400,8.8,10.9,1010.0,2012,2,5,6
27,南瓜-木瓜形,FT1,2012-02-06,15.0,8.0,台中市,400,10.2,9.6,449.0,2012,2,6,0
28,南瓜-木瓜形,FT1,2012-02-09,18.7,7.7,台中市,400,12.7,13.0,740.0,2012,2,9,3
29,南瓜-木瓜形,FT1,2012-02-10,17.2,10.2,台中市,400,13.9,15.4,972.0,2012,2,10,4
30,南瓜-木瓜形,FT1,2012-02-11,18.0,12.0,台中市,400,14.2,15.6,995.0,2012,2,11,5
31,南瓜-木瓜形,FT1,2012-02-12,20.7,9.3,台中市,400,13.4,13.4,1140.0,2012,2,12,6
32,南瓜-木瓜形,FT1,2012-02-14,22.3,9.3,台中市,400,14.8,13.8,1134.0,2012,2,14,1
33,南瓜-木瓜形,FT1,2012-02-15,24.7,8.7,台中市,400,15.1,17.0,831.0,2012,2,15,2
34,南瓜-木瓜形,FT1,2012-02-16,22.5,12.5,台中市,400,16.1,17.2,1637.0,2012,2,16,3
35,南瓜-木瓜形,FT1,2012-02-17,23.5,9.5,台中市,400,14.3,15.3,598.0,2012,2,17,4
36,南瓜-木瓜形,FT1,2012-02-18,22.0,9.5,台中市,400,17.0,17.7,1603.0,2012,2,18,5
37,南瓜-木瓜形,FT1,2012-02-19,22.3,9.0,台中市,400,16.5,17.0,638.0,2012,2,19,6
38,南瓜-木瓜形,FT1,2012-02-21,22.0,12.3,台中市,400,17.1,17.3,768.0,2012,2,21,1
39,南瓜-木瓜形,FT1,2012-02-22,24.0,15.5,台中市,400,19.9,19.2,831.0,2012,2,22,2
40,南瓜-木瓜形,FT1,2012-02-23,22.7,10.0,台中市,400,17.9,16.5,754.0,2012,2,23,3
41,南瓜-木瓜形,FT1,2012-02-24,20.0,11.0,台中市,400,17.1,16.3,488.0,2012,2,24,4
42,南瓜-木瓜形,FT1,2012-02-25,24.5,12.5,台中市,400,17.1,18.7,469.0,2012,2,25,5
43,南瓜-木瓜形,FT1,2012-02-26,21.5,9.0,台中市,400,14.6,16.7,316.0,2012,2,26,6
44,南瓜-木瓜形,FT1,2012-02-28,23.5,11.2,台中市,400,18.3,17.8,934.0,2012,2,28,1
45,南瓜-木瓜形,FT1,2012-02-29,23.8,11.8,台中市,400,15.8,17.8,1120.0,2012,2,29,2
46,南瓜-木瓜形,FT1,2012-03-01,30.0,10.0,台中市,400,26.0,15.0,50.0,2012,3,1,3
47,南瓜-木瓜形,FT1,2012-03-02,26.0,13.3,台中市,400,20.9,21.0,1397.0,2012,3,2,4
48,南瓜-木瓜形,FT1,2012-03-03,29.7,14.3,台中市,400,21.7,20.5,659.0,2012,3,3,5
49,南瓜-木瓜形,FT1,2012-03-04,28.5,18.5,台中市,400,24.3,24.2,447.0,2012,3,4,6
50,南瓜-木瓜形,FT1,2012-03-06,25.5,20.0,台中市,400,23.7,22.4,882.0,2012,3,6,1
51,南瓜-木瓜形,FT1,2012-03-07,26.0,21.3,台中市,400,24.4,25.0,538.0,2012,3,7,2
52,南瓜-木瓜形,FT1,2012-03-08,23.0,13.0,台中市,400,20.0,18.0,135.0,2012,3,8,3
53,南瓜-木瓜形,FT1,2012-03-09,27.3,16.7,台中市,400,22.2,21.5,2030.0,2012,3,9,4
54,南瓜-木瓜形,FT1,2012-03-10,26.0,22.0,台中市,400,23.2,23.0,885.0,2012,3,10,5
55,南瓜-木瓜形,FT1,2012-03-11,31.5,14.5,台中市,400,19.6,18.2,338.0,2012,3,11,6
56,南瓜-木瓜形,FT1,2012-03-14,30.5,19.0,台中市,400,23.2,23.0,243.0,2012,3,14,2
57,南瓜-木瓜形,FT1,2012-03-15,29.5,21.0,台中市,400,24.9,25.6,1185.0,2012,3,15,3
58,南瓜-木瓜形,FT1,2012-03-16,36.5,19.5,台中市,400,27.1,25.3,369.0,2012,3,16,4
59,南瓜-木瓜形,FT1,2012-03-17,32.0,20.0,台中市,400,23.5,22.7,450.0,2012,3,17,5
60,南瓜-木瓜形,FT1,2012-03-18,34.0,27.3,台中市,400,29.6,29.3,773.0,2012,3,18,6
61,南瓜-木瓜形,FT1,2012-03-20,45.0,23.0,台中市,400,32.5,32.0,358.0,2012,3,20,1
62,南瓜-木瓜形,FT1,2012-03-21,26.5,22.5,台中市,400,25.3,24.2,420.0,2012,3,21,2
63,南瓜-木瓜形,FT1,2012-03-22,30.0,23.0,台中市,400,26.3,25.7,100.0,2012,3,22,3
64,南瓜-木瓜形,FT1,2012-03-23,40.0,23.0,台中市,400,28.7,27.0,181.0,2012,3,23,4
65,南瓜-木瓜形,FT1,2012-03-24,34.0,17.0,台中市,400,29.0,28.5,586.0,2012,3,24,5
66,南瓜-木瓜形,FT1,2012-03-25,34.0,27.7,台中市,400,30.2,30.0,1011.0,2012,3,25,6
67,南瓜-木瓜形,FT1,2012-03-27,30.7,25.7,台中市,400,28.8,28.1,692.0,2012,3,27,1
68,南瓜-木瓜形,FT1,2012-03-28,30.3,28.0,台中市,400,29.2,29.0,912.0,2012,3,28,2
69,南瓜-木瓜形,FT1,2012-03-29,36.0,25.7,台中市,400,28.6,27.4,1089.0,2012,3,29,3
70,南瓜-木瓜形,FT1,2012-03-30,29.8,20.5,台中市,400,25.0,25.9,1043.0,2012,3,30,4
71,南瓜-木瓜形,FT1,2012-03-31,33.5,23.0,台中市,400,27.7,28.3,1043.0,2012,3,31,5
72,南瓜-木瓜形,FT1,2012-04-01,28.8,22.8,台中市,400,25.5,25.4,832.0,2012,4,1,6
73,南瓜-木瓜形,FT1,2012-04-02,32.0,19.8,台中市,400,24.4,24.1,1051.0,2012,4,2,0
74,南瓜-木瓜形,FT1,2012-04-03,32.2,18.2,台中市,400,23.3,24.4,650.0,2012,4,3,1
75,南瓜-木瓜形,FT1,2012-04-06,32.0,20.0,台中市,400,26.3,26.1,751.0,2012,4,6,4
76,南瓜-木瓜形,FT1,2012-04-07,32.0,17.5,台中市,400,23.4,25.2,698.0,2012,4,7,5
77,南瓜-木瓜形,FT1,2012-04-08,28.3,16.7,台中市,400,22.4,22.3,656.0,2012,4,8,6
78,南瓜-木瓜形,FT1,2012-04-10,25.5,15.0,台中市,400,21.8,22.6,1731.0,2012,4,10,1
79,南瓜-木瓜形,FT1,2012-04-11,29.8,17.5,台中市,400,24.3,22.3,1104.0,2012,4,11,2
80,南瓜-木瓜形,FT1,2012-04-12,25.2,13.5,台中市,400,20.7,19.5,1681.0,2012,4,12,3
81,南瓜-木瓜形,FT1,2012-04-13,28.2,12.6,台中市,400,18.7,19.1,1554.0,2012,4,13,4
82,南瓜-木瓜形,FT1,2012-04-14,28.8,13.8,台中市,400,20.4,19.8,2120.0,2012,4,14,5
83,南瓜-木瓜形,FT1,2012-04-15,25.0,14.3,台中市,400,19.7,20.3,1420.0,2012,4,15,6
84,南瓜-木瓜形,FT1,2012-04-17,26.7,11.5,台中市,400,17.6,17.7,2117.0,2012,4,17,1
85,南瓜-木瓜形,FT1,2012-04-18,24.8,10.0,台中市,400,15.7,16.7,1589.0,2012,4,18,2
86,南瓜-木瓜形,FT1,2012-04-19,21.5,9.7,台中市,400,14.3,13.5,2105.0,2012,4,19,3
87,南瓜-木瓜形,FT1,2012-04-20,18.8,7.2,台中市,400,12.3,12.5,2270.0,2012,4,20,4
88,南瓜-木瓜形,FT1,2012-04-21,17.5,9.5,台中市,400,13.4,12.1,1577.0,2012,4,21,5
89,南瓜-木瓜形,FT1,2012-04-22,21.6,8.0,台中市,400,13.3,13.1,1115.0,2012,4,22,6
90,南瓜-木瓜形,FT1,2012-04-24,18.6,9.8,台中市,400,12.7,12.6,1372.0,2012,4,24,1
91,南瓜-木瓜形,FT1,2012-04-25,16.8,10.8,台中市,400,13.1,12.7,2428.0,2012,4,25,2
92,南瓜-木瓜形,FT1,2012-04-26,18.0,8.0,台中市,400,12.8,11.6,1569.0,2012,4,26,3
93,南瓜-木瓜形,FT1,2012-04-27,20.7,9.7,台中市,400,14.4,13.0,1244.0,2012,4,27,4
94,南瓜-木瓜形,FT1,2012-04-28,18.0,8.5,台中市,400,14.2,13.7,1696.0,2012,4,28,5
95,南瓜-木瓜形,FT1,2012-04-29,18.0,9.0,台中市,400,12.9,12.1,1844.0,2012,4,29,6
96,南瓜-木瓜形,FT1,2012-05-01,18.8,8.5,台中市,400,15.0,14.4,1304.0,2012,5,1,1
97,南瓜-木瓜形,FT1,2012-05-02,19.0,10.3,台中市,400,15.2,14.8,1115.0,2012,5,2,2
