,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,毛豆-豆莢,FQ1,2012-04-21,62.0,60.0,台中市,400,60.9,61.0,26.0,2012,4,21,5
1,毛豆-豆莢,FQ1,2012-04-22,50.0,50.0,台中市,400,50.0,50.0,60.0,2012,4,22,6
2,毛豆-豆莢,FQ1,2012-04-24,50.0,50.0,台中市,400,50.0,50.0,56.0,2012,4,24,1
3,毛豆-豆莢,FQ1,2012-04-25,50.0,50.0,台中市,400,50.0,50.0,56.0,2012,4,25,2
4,毛豆-豆莢,FQ1,2012-04-26,51.0,51.0,台中市,400,51.0,51.0,70.0,2012,4,26,3
5,毛豆-豆莢,FQ1,2012-04-27,50.0,50.0,台中市,400,50.0,50.0,161.0,2012,4,27,4
6,毛豆-豆莢,FQ1,2012-04-28,50.0,48.0,台中市,400,49.9,50.0,204.0,2012,4,28,5
7,毛豆-豆莢,FQ1,2012-04-29,51.0,48.0,台中市,400,49.9,50.0,222.0,2012,4,29,6
8,毛豆-豆莢,FQ1,2012-05-01,55.0,52.0,台中市,400,53.5,53.5,30.0,2012,5,1,1
9,毛豆-豆莢,FQ1,2012-05-02,56.0,55.0,台中市,400,55.5,55.5,58.0,2012,5,2,2
10,毛豆-豆莢,FQ1,2012-05-03,45.0,40.0,台中市,400,42.5,42.5,30.0,2012,5,3,3
11,毛豆-豆莢,FQ1,2012-05-04,50.0,24.0,台中市,400,36.5,32.7,172.0,2012,5,4,4
12,毛豆-豆莢,FQ1,2012-05-05,25.0,25.0,台中市,400,25.0,25.0,26.0,2012,5,5,5
13,毛豆-豆莢,FQ1,2012-05-06,46.0,25.0,台中市,400,38.5,38.3,86.0,2012,5,6,6
14,毛豆-豆莢,FQ1,2012-05-08,38.5,20.0,台中市,400,26.9,26.2,396.0,2012,5,8,1
15,毛豆-豆莢,FQ1,2012-05-09,46.0,10.0,台中市,400,28.5,31.7,87.0,2012,5,9,2
16,毛豆-豆莢,FQ1,2012-05-10,38.5,20.0,台中市,400,28.4,26.5,186.0,2012,5,10,3
17,毛豆-豆莢,FQ1,2012-05-11,40.0,20.0,台中市,400,31.3,30.2,302.0,2012,5,11,4
18,毛豆-豆莢,FQ1,2012-05-12,34.3,20.0,台中市,400,24.8,24.1,400.0,2012,5,12,5
19,毛豆-豆莢,FQ1,2012-05-13,36.5,23.0,台中市,400,31.2,32.2,255.0,2012,5,13,6
20,毛豆-豆莢,FQ1,2012-05-15,25.6,16.4,台中市,400,20.4,20.5,729.0,2012,5,15,1
21,毛豆-豆莢,FQ1,2012-05-16,25.4,10.0,台中市,400,17.9,17.5,640.0,2012,5,16,2
22,毛豆-豆莢,FQ1,2012-05-17,20.4,10.4,台中市,400,15.4,16.0,653.0,2012,5,17,3
23,毛豆-豆莢,FQ1,2012-05-18,19.0,8.0,台中市,400,12.7,12.8,748.0,2012,5,18,4
24,毛豆-豆莢,FQ1,2012-05-19,18.6,5.0,台中市,400,10.5,11.1,577.0,2012,5,19,5
25,毛豆-豆莢,FQ1,2012-05-20,23.0,7.8,台中市,400,16.8,17.2,784.0,2012,5,20,6
26,毛豆-豆莢,FQ1,2012-05-22,16.7,6.4,台中市,400,12.1,12.3,1343.0,2012,5,22,1
27,毛豆-豆莢,FQ1,2012-05-23,16.7,7.5,台中市,400,10.7,10.6,738.0,2012,5,23,2
28,毛豆-豆莢,FQ1,2012-05-24,23.7,7.7,台中市,400,13.1,10.7,284.0,2012,5,24,3
29,毛豆-豆莢,FQ1,2012-05-25,22.0,12.0,台中市,400,14.7,13.3,160.0,2012,5,25,4
30,毛豆-豆莢,FQ1,2012-05-26,33.0,10.0,台中市,400,26.6,25.0,79.0,2012,5,26,5
