,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,油菜,LN1,2012-01-01,16.6,6.5,台中市,400,9.4,9.1,2270.0,2012,1,1,6
1,油菜,LN1,2012-01-03,15.9,6.8,台中市,400,9.5,9.2,2020.0,2012,1,3,1
2,油菜,LN1,2012-01-04,12.3,6.3,台中市,400,8.2,8.2,1810.0,2012,1,4,2
3,油菜,LN1,2012-01-05,13.8,4.9,台中市,400,7.0,6.8,2440.0,2012,1,5,3
4,油菜,LN1,2012-01-06,17.7,5.3,台中市,400,9.0,9.1,1430.0,2012,1,6,4
5,油菜,LN1,2012-01-07,17.9,6.0,台中市,400,9.6,9.2,2005.0,2012,1,7,5
6,油菜,LN1,2012-01-08,15.8,6.1,台中市,400,10.1,10.2,2635.0,2012,1,8,6
7,油菜,LN1,2012-01-10,17.5,8.4,台中市,400,12.5,12.7,2408.0,2012,1,10,1
8,油菜,LN1,2012-01-11,15.8,6.7,台中市,400,11.4,12.0,1984.0,2012,1,11,2
9,油菜,LN1,2012-01-12,14.8,5.5,台中市,400,9.1,8.7,2648.0,2012,1,12,3
10,油菜,LN1,2012-01-13,13.5,3.9,台中市,400,7.7,8.0,1938.0,2012,1,13,4
11,油菜,LN1,2012-01-14,13.0,5.3,台中市,400,8.3,8.7,1342.0,2012,1,14,5
12,油菜,LN1,2012-01-15,13.8,5.8,台中市,400,8.9,9.2,1057.0,2012,1,15,6
13,油菜,LN1,2012-01-17,16.6,5.8,台中市,400,9.2,8.6,1719.0,2012,1,17,1
14,油菜,LN1,2012-01-18,15.2,4.8,台中市,400,7.7,7.8,1111.0,2012,1,18,2
15,油菜,LN1,2012-01-19,16.0,3.0,台中市,400,6.6,5.7,775.0,2012,1,19,3
16,油菜,LN1,2012-01-20,18.0,3.0,台中市,400,9.4,10.2,614.0,2012,1,20,4
17,油菜,LN1,2012-01-21,17.0,2.0,台中市,400,10.8,7.8,384.0,2012,1,21,5
18,油菜,LN1,2012-01-22,22.0,3.0,台中市,400,11.3,8.0,500.0,2012,1,22,6
19,油菜,LN1,2012-01-28,27.0,11.5,台中市,400,17.7,14.0,380.0,2012,1,28,5
20,油菜,LN1,2012-01-29,22.0,14.0,台中市,400,19.2,20.3,440.0,2012,1,29,6
21,油菜,LN1,2012-01-30,12.7,2.7,台中市,400,7.9,9.0,1260.0,2012,1,30,0
22,油菜,LN1,2012-02-01,16.0,8.8,台中市,400,11.7,11.1,840.0,2012,2,1,2
23,油菜,LN1,2012-02-02,18.2,7.2,台中市,400,10.1,10.2,1290.0,2012,2,2,3
24,油菜,LN1,2012-02-03,22.0,5.0,台中市,400,8.9,10.2,548.0,2012,2,3,4
25,油菜,LN1,2012-02-04,23.5,7.0,台中市,400,13.6,11.6,479.0,2012,2,4,5
26,油菜,LN1,2012-02-05,23.5,9.0,台中市,400,18.2,19.2,317.0,2012,2,5,6
27,油菜,LN1,2012-02-06,20.0,7.2,台中市,400,12.0,13.7,1144.0,2012,2,6,0
28,油菜,LN1,2012-02-09,23.0,13.5,台中市,400,18.1,19.4,422.0,2012,2,9,3
29,油菜,LN1,2012-02-10,22.2,9.2,台中市,400,14.9,16.0,954.0,2012,2,10,4
30,油菜,LN1,2012-02-11,16.2,7.8,台中市,400,11.2,11.7,1094.0,2012,2,11,5
31,油菜,LN1,2012-02-12,18.2,6.8,台中市,400,9.9,10.9,1644.0,2012,2,12,6
32,油菜,LN1,2012-02-14,15.5,10.0,台中市,400,11.8,13.6,1690.0,2012,2,14,1
33,油菜,LN1,2012-02-15,18.8,6.5,台中市,400,10.0,11.8,1340.0,2012,2,15,2
34,油菜,LN1,2012-02-16,20.0,8.0,台中市,400,10.7,14.1,1473.0,2012,2,16,3
35,油菜,LN1,2012-02-17,21.5,12.5,台中市,400,16.3,15.5,250.0,2012,2,17,4
36,油菜,LN1,2012-02-18,20.0,12.0,台中市,400,14.2,14.0,560.0,2012,2,18,5
37,油菜,LN1,2012-02-19,19.3,14.3,台中市,400,15.3,15.2,620.0,2012,2,19,6
38,油菜,LN1,2012-02-21,18.5,11.0,台中市,400,15.1,17.6,468.0,2012,2,21,1
39,油菜,LN1,2012-02-22,18.7,15.3,台中市,400,16.9,16.8,600.0,2012,2,22,2
40,油菜,LN1,2012-02-23,18.7,14.0,台中市,400,16.6,17.3,580.0,2012,2,23,3
41,油菜,LN1,2012-02-24,16.2,10.5,台中市,400,13.8,15.1,930.0,2012,2,24,4
42,油菜,LN1,2012-02-25,13.7,11.3,台中市,400,12.2,12.4,1070.0,2012,2,25,5
43,油菜,LN1,2012-02-26,14.2,7.0,台中市,400,9.9,9.6,1394.0,2012,2,26,6
44,油菜,LN1,2012-02-28,14.0,12.0,台中市,400,13.3,13.3,261.0,2012,2,28,1
45,油菜,LN1,2012-02-29,22.0,17.0,台中市,400,19.4,21.0,420.0,2012,2,29,2
46,油菜,LN1,2012-03-01,18.7,12.3,台中市,400,14.9,15.0,560.0,2012,3,1,3
47,油菜,LN1,2012-03-02,21.5,15.0,台中市,400,16.6,17.0,468.0,2012,3,2,4
48,油菜,LN1,2012-03-03,30.0,15.0,台中市,400,21.4,23.0,220.0,2012,3,3,5
49,油菜,LN1,2012-03-04,26.0,18.0,台中市,400,18.9,18.0,217.0,2012,3,4,6
50,油菜,LN1,2012-03-06,34.0,17.5,台中市,400,23.5,24.3,340.0,2012,3,6,1
51,油菜,LN1,2012-03-07,29.3,12.7,台中市,400,20.4,23.0,1270.0,2012,3,7,2
52,油菜,LN1,2012-03-08,28.2,17.5,台中市,400,20.8,24.4,1412.0,2012,3,8,3
53,油菜,LN1,2012-03-09,23.0,14.8,台中市,400,18.1,18.2,1519.0,2012,3,9,4
54,油菜,LN1,2012-03-10,20.2,12.7,台中市,400,15.8,15.3,1400.0,2012,3,10,5
55,油菜,LN1,2012-03-11,17.6,11.4,台中市,400,13.1,12.8,1320.0,2012,3,11,6
56,油菜,LN1,2012-03-13,24.5,16.2,台中市,400,19.3,20.3,1134.0,2012,3,13,1
