,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,甘藍-初秋,LA1,2012-01-01,35.6,26.1,台中市,400,31.4,30.4,8465.0,2012,1,1,6
1,甘藍-初秋,LA1,2012-01-03,38.2,22.6,台中市,400,31.1,30.5,8364.0,2012,1,3,1
2,甘藍-初秋,LA1,2012-01-04,34.8,25.2,台中市,400,30.3,29.7,7357.0,2012,1,4,2
3,甘藍-初秋,LA1,2012-01-05,32.8,22.4,台中市,400,28.6,28.7,8778.0,2012,1,5,3
4,甘藍-初秋,LA1,2012-01-06,29.9,23.9,台中市,400,26.9,27.4,7143.0,2012,1,6,4
5,甘藍-初秋,LA1,2012-01-07,29.8,21.8,台中市,400,25.5,26.0,13776.0,2012,1,7,5
6,甘藍-初秋,LA1,2012-01-08,28.4,15.7,台中市,400,20.7,19.2,18208.0,2012,1,8,6
7,甘藍-初秋,LA1,2012-01-10,30.7,16.7,台中市,400,23.5,23.3,8924.0,2012,1,10,1
8,甘藍-初秋,LA1,2012-01-11,28.3,14.8,台中市,400,21.2,22.2,9608.0,2012,1,11,2
9,甘藍-初秋,LA1,2012-01-12,26.8,18.6,台中市,400,23.3,22.6,9295.0,2012,1,12,3
10,甘藍-初秋,LA1,2012-01-13,26.4,15.9,台中市,400,20.3,20.1,9991.0,2012,1,13,4
11,甘藍-初秋,LA1,2012-01-14,25.6,15.1,台中市,400,18.4,18.9,12629.0,2012,1,14,5
12,甘藍-初秋,LA1,2012-01-15,24.2,12.0,台中市,400,17.0,18.4,15648.0,2012,1,15,6
13,甘藍-初秋,LA1,2012-01-17,22.4,14.5,台中市,400,18.0,17.3,12558.0,2012,1,17,1
14,甘藍-初秋,LA1,2012-01-18,20.6,11.6,台中市,400,15.5,14.3,22593.0,2012,1,18,2
15,甘藍-初秋,LA1,2012-01-19,18.9,10.9,台中市,400,14.0,14.6,22797.0,2012,1,19,3
16,甘藍-初秋,LA1,2012-01-20,17.9,4.7,台中市,400,10.3,9.2,25687.0,2012,1,20,4
17,甘藍-初秋,LA1,2012-01-21,26.0,8.0,台中市,400,15.6,15.6,20408.0,2012,1,21,5
18,甘藍-初秋,LA1,2012-01-22,34.3,16.5,台中市,400,23.1,23.9,6112.0,2012,1,22,6
19,甘藍-初秋,LA1,2012-01-28,31.2,16.1,台中市,400,21.5,21.4,13193.0,2012,1,28,5
20,甘藍-初秋,LA1,2012-01-29,30.6,19.8,台中市,400,26.0,25.9,9842.0,2012,1,29,6
21,甘藍-初秋,LA1,2012-01-30,26.4,18.9,台中市,400,23.1,22.8,13835.0,2012,1,30,0
22,甘藍-初秋,LA1,2012-02-01,26.0,16.6,台中市,400,21.1,21.2,17080.0,2012,2,1,2
23,甘藍-初秋,LA1,2012-02-02,25.8,16.1,台中市,400,20.9,21.1,11705.0,2012,2,2,3
24,甘藍-初秋,LA1,2012-02-03,25.4,14.9,台中市,400,20.0,21.0,16367.0,2012,2,3,4
25,甘藍-初秋,LA1,2012-02-04,23.8,14.3,台中市,400,18.4,19.4,24384.0,2012,2,4,5
26,甘藍-初秋,LA1,2012-02-05,22.8,14.1,台中市,400,19.4,20.3,12869.0,2012,2,5,6
27,甘藍-初秋,LA1,2012-02-06,26.7,16.4,台中市,400,21.9,22.8,6693.0,2012,2,6,0
28,甘藍-初秋,LA1,2012-02-09,28.9,20.3,台中市,400,24.9,25.0,10181.0,2012,2,9,3
29,甘藍-初秋,LA1,2012-02-10,27.1,21.3,台中市,400,23.5,24.0,14381.0,2012,2,10,4
30,甘藍-初秋,LA1,2012-02-11,24.4,15.6,台中市,400,21.0,20.7,14886.0,2012,2,11,5
31,甘藍-初秋,LA1,2012-02-12,24.9,16.1,台中市,400,21.3,21.2,13179.0,2012,2,12,6
32,甘藍-初秋,LA1,2012-02-14,25.1,15.5,台中市,400,20.0,19.4,14742.0,2012,2,14,1
33,甘藍-初秋,LA1,2012-02-15,23.2,14.4,台中市,400,17.9,18.0,16742.0,2012,2,15,2
