,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,皇宮菜-小葉,LE1,2012-01-01,34.0,18.0,台中市,400,25.1,23.0,54.0,2012,1,1,6
1,皇宮菜-小葉,LE1,2012-01-03,35.0,20.0,台中市,400,27.5,25.0,26.0,2012,1,3,1
2,皇宮菜-小葉,LE1,2012-01-04,15.0,15.0,台中市,400,15.0,15.0,26.0,2012,1,4,2
3,皇宮菜-小葉,LE1,2012-01-05,15.0,15.0,台中市,400,15.0,15.0,7.0,2012,1,5,3
4,皇宮菜-小葉,LE1,2012-01-06,25.0,15.0,台中市,400,17.9,20.0,34.0,2012,1,6,4
5,皇宮菜-小葉,LE1,2012-01-07,15.0,15.0,台中市,400,15.0,15.0,7.0,2012,1,7,5
6,皇宮菜-小葉,LE1,2012-01-12,15.0,15.0,台中市,400,15.0,15.0,12.0,2012,1,12,3
7,皇宮菜-小葉,LE1,2012-01-14,25.0,21.0,台中市,400,23.6,24.0,36.0,2012,1,14,5
8,皇宮菜-小葉,LE1,2012-01-15,18.0,12.0,台中市,400,14.1,13.5,91.0,2012,1,15,6
9,皇宮菜-小葉,LE1,2012-01-17,17.0,12.0,台中市,400,13.9,15.0,47.0,2012,1,17,1
10,皇宮菜-小葉,LE1,2012-01-18,19.0,10.0,台中市,400,12.1,11.0,81.0,2012,1,18,2
11,皇宮菜-小葉,LE1,2012-01-19,10.0,5.0,台中市,400,6.4,5.0,39.0,2012,1,19,3
12,皇宮菜-小葉,LE1,2012-01-21,29.0,5.0,台中市,400,19.4,20.0,78.0,2012,1,21,5
13,皇宮菜-小葉,LE1,2012-01-22,13.0,10.0,台中市,400,10.6,11.5,74.0,2012,1,22,6
14,皇宮菜-小葉,LE1,2012-01-29,12.0,12.0,台中市,400,12.0,12.0,7.0,2012,1,29,6
15,皇宮菜-小葉,LE1,2012-02-03,23.0,7.0,台中市,400,13.1,14.0,33.0,2012,2,3,4
16,皇宮菜-小葉,LE1,2012-02-04,7.0,5.0,台中市,400,6.2,6.0,17.0,2012,2,4,5
17,皇宮菜-小葉,LE1,2012-02-12,25.0,23.0,台中市,400,24.1,24.0,19.0,2012,2,12,6
18,皇宮菜-小葉,LE1,2012-02-14,21.0,21.0,台中市,400,21.0,21.0,13.0,2012,2,14,1
19,皇宮菜-小葉,LE1,2012-02-17,38.0,24.0,台中市,400,31.5,31.0,28.0,2012,2,17,4
20,皇宮菜-小葉,LE1,2012-02-18,20.0,20.0,台中市,400,20.0,20.0,11.0,2012,2,18,5
21,皇宮菜-小葉,LE1,2012-02-26,40.0,15.0,台中市,400,26.9,33.0,55.0,2012,2,26,6
22,皇宮菜-小葉,LE1,2012-02-29,41.0,31.0,台中市,400,36.6,36.0,36.0,2012,2,29,2
23,皇宮菜-小葉,LE1,2012-03-07,18.0,18.0,台中市,400,18.0,18.0,32.0,2012,3,7,2
24,皇宮菜-小葉,LE1,2012-03-08,30.0,17.0,台中市,400,20.7,23.5,39.0,2012,3,8,3
25,皇宮菜-小葉,LE1,2012-03-09,25.0,20.0,台中市,400,23.1,22.5,39.0,2012,3,9,4
26,皇宮菜-小葉,LE1,2012-03-10,61.0,20.0,台中市,400,45.2,48.3,57.0,2012,3,10,5
27,皇宮菜-小葉,LE1,2012-03-11,63.0,63.0,台中市,400,63.0,63.0,13.0,2012,3,11,6
28,皇宮菜-小葉,LE1,2012-03-14,62.0,62.0,台中市,400,62.0,62.0,25.0,2012,3,14,2
29,皇宮菜-小葉,LE1,2012-03-17,66.0,65.0,台中市,400,65.6,65.5,25.0,2012,3,17,5
30,皇宮菜-小葉,LE1,2012-03-18,64.0,38.0,台中市,400,54.5,61.0,39.0,2012,3,18,6
