,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,苦瓜-翠綠,FG4,2012-01-01,40.0,10.0,台中市,400,27.0,30.0,81.0,2012,1,1,6
1,苦瓜-翠綠,FG4,2012-01-05,85.0,40.0,台中市,400,61.9,62.5,35.0,2012,1,5,3
2,苦瓜-翠綠,FG4,2012-01-06,30.0,10.0,台中市,400,19.0,20.0,40.0,2012,1,6,4
3,苦瓜-翠綠,FG4,2012-01-07,36.0,36.0,台中市,400,36.0,36.0,10.0,2012,1,7,5
4,苦瓜-翠綠,FG4,2012-01-08,40.0,35.0,台中市,400,37.1,37.5,35.0,2012,1,8,6
5,苦瓜-翠綠,FG4,2012-01-12,40.0,40.0,台中市,400,40.0,40.0,20.0,2012,1,12,3
6,苦瓜-翠綠,FG4,2012-01-13,32.0,32.0,台中市,400,32.0,32.0,19.0,2012,1,13,4
7,苦瓜-翠綠,FG4,2012-01-15,53.0,30.0,台中市,400,45.0,41.5,23.0,2012,1,15,6
8,苦瓜-翠綠,FG4,2012-01-18,35.0,20.0,台中市,400,30.5,27.5,40.0,2012,1,18,2
9,苦瓜-翠綠,FG4,2012-01-19,10.0,10.0,台中市,400,10.0,10.0,72.0,2012,1,19,3
10,苦瓜-翠綠,FG4,2012-01-20,32.0,25.0,台中市,400,28.4,30.0,76.0,2012,1,20,4
11,苦瓜-翠綠,FG4,2012-01-22,15.0,5.0,台中市,400,6.9,5.0,217.0,2012,1,22,6
12,苦瓜-翠綠,FG4,2012-01-29,88.0,88.0,台中市,400,88.0,88.0,23.0,2012,1,29,6
13,苦瓜-翠綠,FG4,2012-02-15,20.0,20.0,台中市,400,20.0,20.0,9.0,2012,2,15,2
14,苦瓜-翠綠,FG4,2012-02-17,32.0,32.0,台中市,400,32.0,32.0,12.0,2012,2,17,4
15,苦瓜-翠綠,FG4,2012-02-21,33.0,33.0,台中市,400,33.0,33.0,17.0,2012,2,21,1
16,苦瓜-翠綠,FG4,2012-02-22,20.0,20.0,台中市,400,20.0,20.0,32.0,2012,2,22,2
17,苦瓜-翠綠,FG4,2012-02-23,20.0,20.0,台中市,400,20.0,20.0,12.0,2012,2,23,3
18,苦瓜-翠綠,FG4,2012-02-24,118.0,118.0,台中市,400,118.0,118.0,12.0,2012,2,24,4
19,苦瓜-翠綠,FG4,2012-02-25,30.0,30.0,台中市,400,30.0,30.0,21.0,2012,2,25,5
20,苦瓜-翠綠,FG4,2012-02-26,10.0,10.0,台中市,400,10.0,10.0,23.0,2012,2,26,6
21,苦瓜-翠綠,FG4,2012-02-28,37.0,25.0,台中市,400,33.9,31.0,73.0,2012,2,28,1
22,苦瓜-翠綠,FG4,2012-03-04,45.0,45.0,台中市,400,45.0,45.0,14.0,2012,3,4,6
23,苦瓜-翠綠,FG4,2012-03-06,20.0,20.0,台中市,400,20.0,20.0,11.0,2012,3,6,1
24,苦瓜-翠綠,FG4,2012-03-07,22.0,22.0,台中市,400,22.0,22.0,21.0,2012,3,7,2
25,苦瓜-翠綠,FG4,2012-03-08,25.0,25.0,台中市,400,25.0,25.0,23.0,2012,3,8,3
26,苦瓜-翠綠,FG4,2012-03-10,124.0,124.0,台中市,400,124.0,124.0,25.0,2012,3,10,5
27,苦瓜-翠綠,FG4,2012-03-13,46.0,46.0,台中市,400,46.0,46.0,15.0,2012,3,13,1
