,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,茭白筍-帶殼,SQ1,2012-01-01,55.0,25.0,台中市,400,40.0,40.0,60.0,2012,1,1,6
1,茭白筍-帶殼,SQ1,2012-01-04,45.0,45.0,台中市,400,45.0,45.0,30.0,2012,1,4,2
2,茭白筍-帶殼,SQ1,2012-01-05,62.0,62.0,台中市,400,62.0,62.0,30.0,2012,1,5,3
3,茭白筍-帶殼,SQ1,2012-01-06,50.0,50.0,台中市,400,50.0,50.0,30.0,2012,1,6,4
4,茭白筍-帶殼,SQ1,2012-01-07,50.0,50.0,台中市,400,50.0,50.0,30.0,2012,1,7,5
5,茭白筍-帶殼,SQ1,2012-01-10,40.0,40.0,台中市,400,40.0,40.0,30.0,2012,1,10,1
6,茭白筍-帶殼,SQ1,2012-01-15,50.0,35.0,台中市,400,42.8,42.5,58.0,2012,1,15,6
7,茭白筍-帶殼,SQ1,2012-01-17,52.0,30.0,台中市,400,41.0,41.0,60.0,2012,1,17,1
8,茭白筍-帶殼,SQ1,2012-01-19,58.0,58.0,台中市,400,58.0,58.0,30.0,2012,1,19,3
9,茭白筍-帶殼,SQ1,2012-01-20,53.0,51.0,台中市,400,52.0,52.0,60.0,2012,1,20,4
10,茭白筍-帶殼,SQ1,2012-01-22,50.0,50.0,台中市,400,50.0,50.0,30.0,2012,1,22,6
11,茭白筍-帶殼,SQ1,2012-01-28,45.0,45.0,台中市,400,45.0,45.0,30.0,2012,1,28,5
12,茭白筍-帶殼,SQ1,2012-01-29,58.0,50.0,台中市,400,53.0,54.0,120.0,2012,1,29,6
13,茭白筍-帶殼,SQ1,2012-01-30,55.0,45.0,台中市,400,52.5,55.0,120.0,2012,1,30,0
14,茭白筍-帶殼,SQ1,2012-02-01,62.0,62.0,台中市,400,62.0,62.0,90.0,2012,2,1,2
15,茭白筍-帶殼,SQ1,2012-02-02,53.0,45.0,台中市,400,50.3,51.5,120.0,2012,2,2,3
16,茭白筍-帶殼,SQ1,2012-02-03,53.0,45.0,台中市,400,49.0,49.0,60.0,2012,2,3,4
17,茭白筍-帶殼,SQ1,2012-02-04,58.0,40.0,台中市,400,49.3,46.0,270.0,2012,2,4,5
18,茭白筍-帶殼,SQ1,2012-02-05,55.0,50.0,台中市,400,54.4,55.0,240.0,2012,2,5,6
19,茭白筍-帶殼,SQ1,2012-02-06,55.0,55.0,台中市,400,55.0,55.0,120.0,2012,2,6,0
20,茭白筍-帶殼,SQ1,2012-02-09,56.0,56.0,台中市,400,56.0,56.0,60.0,2012,2,9,3
21,茭白筍-帶殼,SQ1,2012-02-15,50.0,50.0,台中市,400,50.0,50.0,30.0,2012,2,15,2
22,茭白筍-帶殼,SQ1,2012-02-17,53.0,53.0,台中市,400,53.0,53.0,30.0,2012,2,17,4
23,茭白筍-帶殼,SQ1,2012-02-18,62.0,58.0,台中市,400,60.0,60.0,60.0,2012,2,18,5
24,茭白筍-帶殼,SQ1,2012-02-19,52.0,45.0,台中市,400,48.5,48.5,60.0,2012,2,19,6
25,茭白筍-帶殼,SQ1,2012-02-21,50.0,50.0,台中市,400,50.0,50.0,30.0,2012,2,21,1
26,茭白筍-帶殼,SQ1,2012-02-22,56.0,56.0,台中市,400,56.0,56.0,30.0,2012,2,22,2
27,茭白筍-帶殼,SQ1,2012-02-24,50.0,50.0,台中市,400,50.0,50.0,30.0,2012,2,24,4
28,茭白筍-帶殼,SQ1,2012-02-25,52.0,46.0,台中市,400,48.3,47.0,90.0,2012,2,25,5
29,茭白筍-帶殼,SQ1,2012-02-26,40.0,40.0,台中市,400,40.0,40.0,30.0,2012,2,26,6
30,茭白筍-帶殼,SQ1,2012-03-03,53.0,53.0,台中市,400,53.0,53.0,30.0,2012,3,3,5
31,茭白筍-帶殼,SQ1,2012-03-04,57.0,57.0,台中市,400,57.0,57.0,30.0,2012,3,4,6
32,茭白筍-帶殼,SQ1,2012-03-06,55.0,52.0,台中市,400,53.5,53.5,60.0,2012,3,6,1
33,茭白筍-帶殼,SQ1,2012-03-07,55.0,55.0,台中市,400,55.0,55.0,30.0,2012,3,7,2
34,茭白筍-帶殼,SQ1,2012-03-08,55.0,55.0,台中市,400,55.0,55.0,30.0,2012,3,8,3
35,茭白筍-帶殼,SQ1,2012-03-09,58.0,58.0,台中市,400,58.0,58.0,30.0,2012,3,9,4
36,茭白筍-帶殼,SQ1,2012-03-10,62.0,62.0,台中市,400,62.0,62.0,30.0,2012,3,10,5
