,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,蓮藕,SN1,2012-07-25,45.0,45.0,台中市,400,45.0,45.0,30.0,2012,7,25,2
1,蓮藕,SN1,2012-09-30,120.0,117.5,台中市,400,119.9,120.0,102.0,2012,9,30,6
2,蓮藕,SN1,2012-12-05,130.0,112.5,台中市,400,121.5,120.0,89.0,2012,12,5,2
3,蓮藕,SN1,2012-12-26,140.0,140.0,台中市,400,140.0,140.0,194.0,2012,12,26,2
4,蓮藕,SN1,2013-02-01,140.0,140.0,台中市,400,140.0,140.0,154.0,2013,2,1,4
5,蓮藕,SN1,2013-03-10,40.0,40.0,台中市,400,40.0,40.0,60.0,2013,3,10,6
6,蓮藕,SN1,2013-03-28,140.0,140.0,台中市,400,140.0,140.0,144.0,2013,3,28,3
7,蓮藕,SN1,2013-04-20,140.0,140.0,台中市,400,140.0,140.0,183.0,2013,4,20,5
8,蓮藕,SN1,2013-05-03,145.0,145.0,台中市,400,145.0,145.0,80.0,2013,5,3,4
9,蓮藕,SN1,2013-06-02,145.0,145.0,台中市,400,145.0,145.0,112.0,2013,6,2,6
10,蓮藕,SN1,2013-06-19,145.0,145.0,台中市,400,145.0,145.0,102.0,2013,6,19,2
11,蓮藕,SN1,2013-07-02,55.0,55.0,台中市,400,55.0,55.0,50.0,2013,7,2,1
12,蓮藕,SN1,2013-07-04,145.0,52.0,台中市,400,106.3,114.0,180.0,2013,7,4,3
13,蓮藕,SN1,2013-07-05,52.0,52.0,台中市,400,52.0,52.0,75.0,2013,7,5,4
14,蓮藕,SN1,2013-07-07,52.0,52.0,台中市,400,52.0,52.0,75.0,2013,7,7,6
15,蓮藕,SN1,2013-07-10,52.0,52.0,台中市,400,52.0,52.0,75.0,2013,7,10,2
16,蓮藕,SN1,2013-07-18,52.0,52.0,台中市,400,52.0,52.0,100.0,2013,7,18,3
17,蓮藕,SN1,2013-07-21,52.0,52.0,台中市,400,52.0,52.0,100.0,2013,7,21,6
18,蓮藕,SN1,2013-07-24,55.0,52.0,台中市,400,53.0,53.5,150.0,2013,7,24,2
19,蓮藕,SN1,2013-07-27,55.0,52.0,台中市,400,52.9,52.0,175.0,2013,7,27,5
20,蓮藕,SN1,2013-07-28,145.0,98.5,台中市,400,122.9,145.0,315.0,2013,7,28,6
21,蓮藕,SN1,2013-07-31,48.0,48.0,台中市,400,48.0,48.0,60.0,2013,7,31,2
22,蓮藕,SN1,2013-08-01,52.0,52.0,台中市,400,52.0,52.0,125.0,2013,8,1,3
23,蓮藕,SN1,2013-08-02,30.0,30.0,台中市,400,30.0,30.0,120.0,2013,8,2,4
24,蓮藕,SN1,2013-08-04,53.0,52.0,台中市,400,52.8,53.0,100.0,2013,8,4,6
25,蓮藕,SN1,2013-08-06,30.0,30.0,台中市,400,30.0,30.0,42.0,2013,8,6,1
26,蓮藕,SN1,2013-08-07,52.0,52.0,台中市,400,52.0,52.0,125.0,2013,8,7,2
27,蓮藕,SN1,2013-08-08,30.0,30.0,台中市,400,30.0,30.0,78.0,2013,8,8,3
28,蓮藕,SN1,2013-08-11,52.0,45.0,台中市,400,47.3,52.0,150.0,2013,8,11,6
29,蓮藕,SN1,2013-08-13,52.0,50.0,台中市,400,50.5,50.0,100.0,2013,8,13,1
30,蓮藕,SN1,2013-08-14,50.0,50.0,台中市,400,50.0,50.0,125.0,2013,8,14,2
31,蓮藕,SN1,2013-08-15,25.0,25.0,台中市,400,25.0,25.0,86.0,2013,8,15,3
32,蓮藕,SN1,2013-08-16,50.0,48.0,台中市,400,48.7,48.0,150.0,2013,8,16,4
33,蓮藕,SN1,2013-08-17,145.0,22.0,台中市,400,98.9,126.0,265.0,2013,8,17,5
