,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,薯蕷-紅薯蕷,SU1,2012-01-01,17.0,8.0,台中市,400,12.4,10.0,62.0,2012,1,1,6
1,薯蕷-紅薯蕷,SU1,2012-01-03,11.0,11.0,台中市,400,11.0,11.0,21.0,2012,1,3,1
2,薯蕷-紅薯蕷,SU1,2012-01-06,13.0,12.0,台中市,400,12.7,12.5,44.0,2012,1,6,4
3,薯蕷-紅薯蕷,SU1,2012-01-07,41.0,30.0,台中市,400,35.5,37.3,207.0,2012,1,7,5
4,薯蕷-紅薯蕷,SU1,2012-01-08,55.0,18.0,台中市,400,47.2,36.5,95.0,2012,1,8,6
5,薯蕷-紅薯蕷,SU1,2012-01-10,55.0,55.0,台中市,400,55.0,55.0,75.0,2012,1,10,1
6,薯蕷-紅薯蕷,SU1,2012-01-11,55.0,55.0,台中市,400,55.0,55.0,750.0,2012,1,11,2
7,薯蕷-紅薯蕷,SU1,2012-01-13,20.0,20.0,台中市,400,20.0,20.0,25.0,2012,1,13,4
8,薯蕷-紅薯蕷,SU1,2012-01-19,25.0,25.0,台中市,400,25.0,25.0,66.0,2012,1,19,3
9,薯蕷-紅薯蕷,SU1,2012-01-20,25.0,8.0,台中市,400,16.1,16.5,92.0,2012,1,20,4
10,薯蕷-紅薯蕷,SU1,2012-01-28,105.0,8.0,台中市,400,60.9,56.5,44.0,2012,1,28,5
11,薯蕷-紅薯蕷,SU1,2012-01-29,13.0,13.0,台中市,400,13.0,13.0,12.0,2012,1,29,6
12,薯蕷-紅薯蕷,SU1,2012-01-30,55.0,55.0,台中市,400,55.0,55.0,125.0,2012,1,30,0
13,薯蕷-紅薯蕷,SU1,2012-02-01,32.0,32.0,台中市,400,32.0,32.0,50.0,2012,2,1,2
14,薯蕷-紅薯蕷,SU1,2012-02-02,105.0,18.0,台中市,400,60.6,61.5,49.0,2012,2,2,3
15,薯蕷-紅薯蕷,SU1,2012-02-03,50.0,50.0,台中市,400,50.0,50.0,30.0,2012,2,3,4
16,薯蕷-紅薯蕷,SU1,2012-02-05,50.0,50.0,台中市,400,50.0,50.0,60.0,2012,2,5,6
17,薯蕷-紅薯蕷,SU1,2012-02-12,16.0,13.0,台中市,400,14.0,14.0,123.0,2012,2,12,6
18,薯蕷-紅薯蕷,SU1,2012-02-14,55.0,17.0,台中市,400,50.3,36.0,114.0,2012,2,14,1
19,薯蕷-紅薯蕷,SU1,2012-02-16,55.0,55.0,台中市,400,55.0,55.0,75.0,2012,2,16,3
20,薯蕷-紅薯蕷,SU1,2012-02-22,55.0,10.0,台中市,400,38.1,32.5,80.0,2012,2,22,2
21,薯蕷-紅薯蕷,SU1,2012-02-24,55.0,55.0,台中市,400,55.0,55.0,75.0,2012,2,24,4
22,薯蕷-紅薯蕷,SU1,2012-03-01,55.0,55.0,台中市,400,55.0,55.0,50.0,2012,3,1,3
23,薯蕷-紅薯蕷,SU1,2012-03-02,55.0,55.0,台中市,400,55.0,55.0,75.0,2012,3,2,4
24,薯蕷-紅薯蕷,SU1,2012-03-04,60.0,60.0,台中市,400,60.0,60.0,25.0,2012,3,4,6
25,薯蕷-紅薯蕷,SU1,2012-03-10,60.0,60.0,台中市,400,60.0,60.0,275.0,2012,3,10,5
26,薯蕷-紅薯蕷,SU1,2012-03-15,60.0,50.0,台中市,400,57.1,55.0,105.0,2012,3,15,3
27,薯蕷-紅薯蕷,SU1,2012-03-21,60.0,60.0,台中市,400,60.0,60.0,75.0,2012,3,21,2
28,薯蕷-紅薯蕷,SU1,2012-03-25,60.0,60.0,台中市,400,60.0,60.0,125.0,2012,3,25,6
29,薯蕷-紅薯蕷,SU1,2012-04-07,65.0,65.0,台中市,400,65.0,65.0,125.0,2012,4,7,5
30,薯蕷-紅薯蕷,SU1,2012-04-08,65.0,65.0,台中市,400,65.0,65.0,50.0,2012,4,8,6
31,薯蕷-紅薯蕷,SU1,2012-04-12,65.0,65.0,台中市,400,65.0,65.0,25.0,2012,4,12,3
32,薯蕷-紅薯蕷,SU1,2012-04-14,65.0,13.0,台中市,400,54.1,39.0,95.0,2012,4,14,5
33,薯蕷-紅薯蕷,SU1,2012-04-15,65.0,65.0,台中市,400,65.0,65.0,50.0,2012,4,15,6
34,薯蕷-紅薯蕷,SU1,2012-04-20,65.0,65.0,台中市,400,65.0,65.0,50.0,2012,4,20,4
35,薯蕷-紅薯蕷,SU1,2012-04-21,65.0,65.0,台中市,400,65.0,65.0,50.0,2012,4,21,5
36,薯蕷-紅薯蕷,SU1,2012-04-24,65.0,65.0,台中市,400,65.0,65.0,75.0,2012,4,24,1
37,薯蕷-紅薯蕷,SU1,2012-04-28,30.0,30.0,台中市,400,30.0,30.0,25.0,2012,4,28,5
38,薯蕷-紅薯蕷,SU1,2012-05-03,65.0,65.0,台中市,400,65.0,65.0,150.0,2012,5,3,3
39,薯蕷-紅薯蕷,SU1,2012-05-06,65.0,65.0,台中市,400,65.0,65.0,75.0,2012,5,6,6
40,薯蕷-紅薯蕷,SU1,2012-05-11,65.0,65.0,台中市,400,65.0,65.0,125.0,2012,5,11,4
41,薯蕷-紅薯蕷,SU1,2012-05-12,65.0,65.0,台中市,400,65.0,65.0,50.0,2012,5,12,5
42,薯蕷-紅薯蕷,SU1,2012-05-13,65.0,65.0,台中市,400,65.0,65.0,50.0,2012,5,13,6
43,薯蕷-紅薯蕷,SU1,2012-05-24,65.0,65.0,台中市,400,65.0,65.0,75.0,2012,5,24,3
44,薯蕷-紅薯蕷,SU1,2012-05-25,65.0,65.0,台中市,400,65.0,65.0,75.0,2012,5,25,4
45,薯蕷-紅薯蕷,SU1,2012-05-29,65.0,65.0,台中市,400,65.0,65.0,50.0,2012,5,29,1
46,薯蕷-紅薯蕷,SU1,2012-06-02,65.0,65.0,台中市,400,65.0,65.0,50.0,2012,6,2,5
47,薯蕷-紅薯蕷,SU1,2012-07-06,20.0,20.0,台中市,400,20.0,20.0,55.0,2012,7,6,4
48,薯蕷-紅薯蕷,SU1,2012-08-11,86.0,86.0,台中市,400,86.0,86.0,27.0,2012,8,11,5
