,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,醃瓜-漬,OE2,2012-07-17,25.0,25.0,台中市,400,25.0,25.0,60.0,2012,7,17,1
1,醃瓜-漬,OE2,2012-09-23,15.0,15.0,台中市,400,15.0,15.0,18.0,2012,9,23,6
2,醃瓜-漬,OE2,2013-08-21,21.0,21.0,台中市,400,21.0,21.0,20.0,2013,8,21,2
3,醃瓜-漬,OE2,2013-08-24,20.0,18.0,台中市,400,18.6,18.0,78.0,2013,8,24,5
4,醃瓜-漬,OE2,2013-08-25,16.0,15.0,台中市,400,15.5,15.5,88.0,2013,8,25,6
5,醃瓜-漬,OE2,2013-08-28,15.0,15.0,台中市,400,15.0,15.0,66.0,2013,8,28,2
6,醃瓜-漬,OE2,2013-08-29,15.0,15.0,台中市,400,15.0,15.0,50.0,2013,8,29,3
7,醃瓜-漬,OE2,2013-09-01,18.0,18.0,台中市,400,18.0,18.0,50.0,2013,9,1,6
8,醃瓜-漬,OE2,2013-09-03,21.0,21.0,台中市,400,21.0,21.0,50.0,2013,9,3,1
9,醃瓜-漬,OE2,2013-09-04,22.0,22.0,台中市,400,22.0,22.0,40.0,2013,9,4,2
10,醃瓜-漬,OE2,2013-09-05,25.0,25.0,台中市,400,25.0,25.0,26.0,2013,9,5,3
11,醃瓜-漬,OE2,2013-09-28,27.0,27.0,台中市,400,27.0,27.0,36.0,2013,9,28,5
12,醃瓜-漬,OE2,2013-09-29,27.0,27.0,台中市,400,27.0,27.0,48.0,2013,9,29,6
13,醃瓜-漬,OE2,2013-10-01,28.0,24.0,台中市,400,26.0,26.0,48.0,2013,10,1,1
14,醃瓜-漬,OE2,2013-10-02,27.0,27.0,台中市,400,27.0,27.0,36.0,2013,10,2,2
15,醃瓜-漬,OE2,2013-10-03,25.0,25.0,台中市,400,25.0,25.0,36.0,2013,10,3,3
16,醃瓜-漬,OE2,2013-10-04,25.0,25.0,台中市,400,25.0,25.0,36.0,2013,10,4,4
17,醃瓜-漬,OE2,2013-10-06,25.0,25.0,台中市,400,25.0,25.0,36.0,2013,10,6,6
18,醃瓜-漬,OE2,2013-10-16,24.0,24.0,台中市,400,24.0,24.0,48.0,2013,10,16,2
19,醃瓜-漬,OE2,2013-10-17,24.0,24.0,台中市,400,24.0,24.0,48.0,2013,10,17,3
20,醃瓜-漬,OE2,2013-10-18,30.0,22.0,台中市,400,26.8,26.0,60.0,2013,10,18,4
