,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,柚子-白柚,H2,2012-01-01,5.0,5.0,台北一,109,5.0,5.0,215.0,2012,1,1,6
1,柚子-白柚,H2,2012-01-03,5.0,5.0,台北一,109,5.0,5.0,639.0,2012,1,3,1
2,柚子-白柚,H2,2012-01-04,6.0,5.0,台北一,109,5.5,5.5,342.0,2012,1,4,2
3,柚子-白柚,H2,2012-01-07,5.0,5.0,台北一,109,5.0,5.0,36.0,2012,1,7,5
4,柚子-白柚,H2,2012-01-08,5.0,5.0,台北一,109,5.0,5.0,396.0,2012,1,8,6
5,柚子-白柚,H2,2012-01-10,5.0,5.0,台北一,109,5.0,5.0,68.0,2012,1,10,1
6,柚子-白柚,H2,2012-01-11,4.0,4.0,台北一,109,4.0,4.0,855.0,2012,1,11,2
7,柚子-白柚,H2,2012-01-13,6.0,6.0,台北一,109,6.0,6.0,96.0,2012,1,13,4
8,柚子-白柚,H2,2012-01-14,4.0,4.0,台北一,109,4.0,4.0,102.0,2012,1,14,5
9,柚子-白柚,H2,2012-01-19,10.0,10.0,台北一,109,10.0,10.0,54.0,2012,1,19,3
10,柚子-白柚,H2,2012-01-30,4.0,4.0,台北一,109,4.0,4.0,220.0,2012,1,30,0
11,柚子-白柚,H2,2012-02-03,3.0,3.0,台北一,109,3.0,3.0,375.0,2012,2,3,4
12,柚子-白柚,H2,2012-02-11,7.0,7.0,台北一,109,7.0,7.0,58.0,2012,2,11,5
13,柚子-白柚,H2,2012-02-14,8.0,8.0,台北一,109,8.0,8.0,85.0,2012,2,14,1
14,柚子-白柚,H2,2012-02-22,12.0,12.0,台北一,109,12.0,12.0,34.0,2012,2,22,2
15,柚子-白柚,H2,2012-03-03,12.0,10.0,台北一,109,10.6,10.3,306.0,2012,3,3,5
16,柚子-白柚,H2,2012-03-20,25.0,25.0,台北一,109,25.0,25.0,72.0,2012,3,20,1
17,柚子-白柚,H2,2012-03-21,25.0,25.0,台北一,109,25.0,25.0,51.0,2012,3,21,2
18,柚子-白柚,H2,2012-03-22,25.0,25.0,台北一,109,25.0,25.0,90.0,2012,3,22,3
19,柚子-白柚,H2,2012-03-23,18.0,18.0,台北一,109,18.0,18.0,90.0,2012,3,23,4
20,柚子-白柚,H2,2012-03-31,15.0,15.0,台北一,109,15.0,15.0,73.0,2012,3,31,5
21,柚子-白柚,H2,2012-04-11,10.0,10.0,台北一,109,10.0,10.0,95.0,2012,4,11,2
22,柚子-白柚,H2,2012-04-12,8.0,8.0,台北一,109,8.0,8.0,170.0,2012,4,12,3
23,柚子-白柚,H2,2012-04-13,7.0,7.0,台北一,109,7.0,7.0,136.0,2012,4,13,4
24,柚子-白柚,H2,2012-04-17,13.0,13.0,台北一,109,13.0,13.0,108.0,2012,4,17,1
25,柚子-白柚,H2,2012-04-18,10.0,10.0,台北一,109,10.0,10.0,171.0,2012,4,18,2
26,柚子-白柚,H2,2012-04-19,8.0,8.0,台北一,109,8.0,8.0,180.0,2012,4,19,3
27,柚子-白柚,H2,2012-04-20,8.0,8.0,台北一,109,8.0,8.0,170.0,2012,4,20,4
28,柚子-白柚,H2,2012-04-21,10.0,10.0,台北一,109,10.0,10.0,144.0,2012,4,21,5
29,柚子-白柚,H2,2012-04-24,7.0,7.0,台北一,109,7.0,7.0,180.0,2012,4,24,1
30,柚子-白柚,H2,2012-04-25,12.0,12.0,台北一,109,12.0,12.0,54.0,2012,4,25,2
31,柚子-白柚,H2,2012-09-08,10.0,10.0,台北一,109,10.0,10.0,140.0,2012,9,8,5
32,柚子-白柚,H2,2012-09-15,25.0,25.0,台北一,109,25.0,25.0,18.0,2012,9,15,5
33,柚子-白柚,H2,2012-09-16,13.0,13.0,台北一,109,13.0,13.0,20.0,2012,9,16,6
34,柚子-白柚,H2,2012-09-18,35.0,30.0,台北一,109,33.2,33.7,102.0,2012,9,18,1
35,柚子-白柚,H2,2012-09-19,43.0,31.2,台北一,109,37.6,38.0,78.0,2012,9,19,2
36,柚子-白柚,H2,2012-09-20,45.0,35.0,台北一,109,42.5,44.2,96.0,2012,9,20,3
37,柚子-白柚,H2,2012-09-21,46.0,31.5,台北一,109,42.0,44.2,102.0,2012,9,21,4
38,柚子-白柚,H2,2012-09-22,63.2,50.0,台北一,109,54.8,53.6,282.0,2012,9,22,5
39,柚子-白柚,H2,2012-09-23,65.0,35.0,台北一,109,49.4,49.1,364.0,2012,9,23,6
40,柚子-白柚,H2,2012-09-25,70.0,40.0,台北一,109,56.0,56.7,306.0,2012,9,25,1
41,柚子-白柚,H2,2012-09-26,70.0,19.7,台北一,109,51.2,55.4,666.0,2012,9,26,2
42,柚子-白柚,H2,2012-09-27,80.0,35.0,台北一,109,55.3,53.8,666.0,2012,9,27,3
43,柚子-白柚,H2,2012-09-28,70.0,37.2,台北一,109,52.3,51.5,472.0,2012,9,28,4
44,柚子-白柚,H2,2012-09-29,63.8,35.0,台北一,109,45.1,42.2,818.0,2012,9,29,5
45,柚子-白柚,H2,2012-09-30,65.5,30.0,台北一,109,46.5,45.6,665.0,2012,9,30,6
46,柚子-白柚,H2,2012-10-03,64.5,36.0,台北一,109,47.9,46.3,720.0,2012,10,3,2
47,柚子-白柚,H2,2012-10-04,63.5,24.7,台北一,109,44.8,45.2,1830.0,2012,10,4,3
48,柚子-白柚,H2,2012-10-05,53.4,12.6,台北一,109,33.6,34.0,2354.0,2012,10,5,4
49,柚子-白柚,H2,2012-10-06,65.3,27.3,台北一,109,46.1,46.0,1110.0,2012,10,6,5
50,柚子-白柚,H2,2012-10-07,49.4,23.9,台北一,109,35.8,35.2,778.0,2012,10,7,6
