,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,皇宮菜-小葉,LE1,2012-01-01,59.9,35.1,台北一,109,48.0,48.4,596.0,2012,1,1,6
1,皇宮菜-小葉,LE1,2012-01-03,70.3,31.3,台北一,109,47.7,45.6,705.0,2012,1,3,1
2,皇宮菜-小葉,LE1,2012-01-04,59.8,21.0,台北一,109,41.9,43.0,483.0,2012,1,4,2
3,皇宮菜-小葉,LE1,2012-01-05,72.4,27.1,台北一,109,45.5,42.7,380.0,2012,1,5,3
4,皇宮菜-小葉,LE1,2012-01-06,89.9,31.5,台北一,109,56.1,52.9,289.0,2012,1,6,4
5,皇宮菜-小葉,LE1,2012-01-07,60.0,28.5,台北一,109,43.4,42.9,340.0,2012,1,7,5
6,皇宮菜-小葉,LE1,2012-01-08,79.0,38.1,台北一,109,58.3,58.1,474.0,2012,1,8,6
7,皇宮菜-小葉,LE1,2012-01-10,65.3,25.9,台北一,109,41.5,38.7,585.0,2012,1,10,1
8,皇宮菜-小葉,LE1,2012-01-11,47.3,21.4,台北一,109,34.6,34.8,469.0,2012,1,11,2
9,皇宮菜-小葉,LE1,2012-01-12,49.1,21.8,台北一,109,33.7,32.5,439.0,2012,1,12,3
10,皇宮菜-小葉,LE1,2012-01-13,48.8,22.3,台北一,109,32.5,30.5,326.0,2012,1,13,4
11,皇宮菜-小葉,LE1,2012-01-14,54.7,19.1,台北一,109,34.1,32.3,353.0,2012,1,14,5
12,皇宮菜-小葉,LE1,2012-01-15,48.8,14.5,台北一,109,32.5,33.1,433.0,2012,1,15,6
13,皇宮菜-小葉,LE1,2012-01-17,42.6,12.6,台北一,109,28.2,28.6,374.0,2012,1,17,1
14,皇宮菜-小葉,LE1,2012-01-18,47.1,18.9,台北一,109,29.8,27.6,424.0,2012,1,18,2
15,皇宮菜-小葉,LE1,2012-01-19,59.1,15.0,台北一,109,34.9,33.5,206.0,2012,1,19,3
16,皇宮菜-小葉,LE1,2012-01-20,101.4,10.7,台北一,109,56.1,56.1,242.0,2012,1,20,4
17,皇宮菜-小葉,LE1,2012-01-21,145.9,25.9,台北一,109,86.3,86.5,362.0,2012,1,21,5
18,皇宮菜-小葉,LE1,2012-01-22,36.4,6.3,台北一,109,19.0,17.4,689.0,2012,1,22,6
19,皇宮菜-小葉,LE1,2012-01-28,75.8,16.3,台北一,109,49.1,51.2,392.0,2012,1,28,5
20,皇宮菜-小葉,LE1,2012-01-29,67.1,10.0,台北一,109,34.9,32.5,315.0,2012,1,29,6
21,皇宮菜-小葉,LE1,2012-01-30,75.0,29.5,台北一,109,55.9,58.3,176.0,2012,1,30,0
22,皇宮菜-小葉,LE1,2012-02-01,66.2,25.3,台北一,109,43.4,41.9,214.0,2012,2,1,2
23,皇宮菜-小葉,LE1,2012-02-02,60.0,22.2,台北一,109,41.1,41.1,212.0,2012,2,2,3
24,皇宮菜-小葉,LE1,2012-02-03,77.2,11.2,台北一,109,38.2,34.2,199.0,2012,2,3,4
25,皇宮菜-小葉,LE1,2012-02-04,50.9,15.5,台北一,109,31.6,30.5,173.0,2012,2,4,5
26,皇宮菜-小葉,LE1,2012-02-05,67.8,17.2,台北一,109,41.1,40.1,186.0,2012,2,5,6
27,皇宮菜-小葉,LE1,2012-02-06,63.4,23.5,台北一,109,39.4,36.8,266.0,2012,2,6,0
28,皇宮菜-小葉,LE1,2012-02-09,44.3,16.2,台北一,109,30.5,30.7,346.0,2012,2,9,3
29,皇宮菜-小葉,LE1,2012-02-10,68.9,16.2,台北一,109,40.2,38.5,257.0,2012,2,10,4
30,皇宮菜-小葉,LE1,2012-02-11,81.7,29.7,台北一,109,55.7,55.7,212.0,2012,2,11,5
