,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,薯蕷-紅薯蕷,SU1,2012-01-01,62.0,20.0,台北一,109,42.3,43.1,66.0,2012,1,1,6
1,薯蕷-紅薯蕷,SU1,2012-01-03,52.9,17.3,台北一,109,34.5,34.0,440.0,2012,1,3,1
2,薯蕷-紅薯蕷,SU1,2012-01-04,46.8,17.2,台北一,109,30.6,29.7,385.0,2012,1,4,2
3,薯蕷-紅薯蕷,SU1,2012-01-05,60.6,30.0,台北一,109,46.7,47.7,229.0,2012,1,5,3
4,薯蕷-紅薯蕷,SU1,2012-01-06,56.1,36.0,台北一,109,47.9,49.1,155.0,2012,1,6,4
5,薯蕷-紅薯蕷,SU1,2012-01-07,62.0,36.0,台北一,109,52.0,54.0,66.0,2012,1,7,5
6,薯蕷-紅薯蕷,SU1,2012-01-08,62.0,22.2,台北一,109,46.3,49.2,154.0,2012,1,8,6
7,薯蕷-紅薯蕷,SU1,2012-01-10,66.6,36.2,台北一,109,54.2,56.0,162.0,2012,1,10,1
8,薯蕷-紅薯蕷,SU1,2012-01-11,62.2,27.7,台北一,109,46.4,47.3,483.0,2012,1,11,2
9,薯蕷-紅薯蕷,SU1,2012-01-12,63.6,25.5,台北一,109,41.4,39.3,275.0,2012,1,12,3
10,薯蕷-紅薯蕷,SU1,2012-01-13,55.0,25.2,台北一,109,44.0,46.7,329.0,2012,1,13,4
11,薯蕷-紅薯蕷,SU1,2012-01-14,53.3,32.1,台北一,109,45.4,47.3,151.0,2012,1,14,5
12,薯蕷-紅薯蕷,SU1,2012-01-15,49.9,19.8,台北一,109,35.4,35.7,262.0,2012,1,15,6
13,薯蕷-紅薯蕷,SU1,2012-01-17,51.4,12.0,台北一,109,28.2,25.8,306.0,2012,1,17,1
14,薯蕷-紅薯蕷,SU1,2012-01-18,53.4,16.2,台北一,109,34.0,33.5,521.0,2012,1,18,2
15,薯蕷-紅薯蕷,SU1,2012-01-19,61.4,10.0,台北一,109,23.4,15.3,461.0,2012,1,19,3
16,薯蕷-紅薯蕷,SU1,2012-01-20,77.1,49.2,台北一,109,61.8,60.9,239.0,2012,1,20,4
17,薯蕷-紅薯蕷,SU1,2012-01-21,74.3,46.8,台北一,109,58.1,56.5,172.0,2012,1,21,5
18,薯蕷-紅薯蕷,SU1,2012-01-22,84.6,51.0,台北一,109,61.3,56.9,132.0,2012,1,22,6
19,薯蕷-紅薯蕷,SU1,2012-01-30,82.0,17.8,台北一,109,64.8,74.7,151.0,2012,1,30,0
20,薯蕷-紅薯蕷,SU1,2012-02-01,70.5,32.0,台北一,109,57.9,62.3,269.0,2012,2,1,2
21,薯蕷-紅薯蕷,SU1,2012-02-02,70.0,5.6,台北一,109,25.9,18.0,483.0,2012,2,2,3
22,薯蕷-紅薯蕷,SU1,2012-02-03,60.1,37.5,台北一,109,48.8,48.8,380.0,2012,2,3,4
23,薯蕷-紅薯蕷,SU1,2012-02-04,49.6,27.4,台北一,109,38.2,38.0,709.0,2012,2,4,5
24,薯蕷-紅薯蕷,SU1,2012-02-05,52.7,10.0,台北一,109,28.4,26.4,392.0,2012,2,5,6
25,薯蕷-紅薯蕷,SU1,2012-02-06,27.0,21.4,台北一,109,24.7,25.0,231.0,2012,2,6,0
26,薯蕷-紅薯蕷,SU1,2012-02-09,55.2,14.1,台北一,109,33.7,33.1,384.0,2012,2,9,3
27,薯蕷-紅薯蕷,SU1,2012-02-10,65.0,52.0,台北一,109,58.4,58.3,51.0,2012,2,10,4
28,薯蕷-紅薯蕷,SU1,2012-02-11,69.6,13.8,台北一,109,47.5,51.3,203.0,2012,2,11,5
29,薯蕷-紅薯蕷,SU1,2012-02-12,55.8,10.7,台北一,109,32.6,32.2,416.0,2012,2,12,6
30,薯蕷-紅薯蕷,SU1,2012-02-14,50.0,7.8,台北一,109,26.8,25.4,210.0,2012,2,14,1
31,薯蕷-紅薯蕷,SU1,2012-02-15,57.0,10.0,台北一,109,28.1,24.6,117.0,2012,2,15,2
32,薯蕷-紅薯蕷,SU1,2012-02-16,52.2,9.8,台北一,109,30.3,29.8,447.0,2012,2,16,3
33,薯蕷-紅薯蕷,SU1,2012-02-17,55.1,9.8,台北一,109,28.4,25.6,231.0,2012,2,17,4
34,薯蕷-紅薯蕷,SU1,2012-02-18,62.0,8.8,台北一,109,28.5,23.9,241.0,2012,2,18,5
35,薯蕷-紅薯蕷,SU1,2012-02-19,62.0,6.0,台北一,109,30.3,27.8,126.0,2012,2,19,6
36,薯蕷-紅薯蕷,SU1,2012-02-21,62.5,7.0,台北一,109,31.8,29.8,246.0,2012,2,21,1
37,薯蕷-紅薯蕷,SU1,2012-02-22,62.9,8.4,台北一,109,31.7,29.1,302.0,2012,2,22,2
