,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,蠔菇-鮑魚菇,MF1,2012-01-01,60.0,60.0,台北一,109,60.0,60.0,329.0,2012,1,1,6
1,蠔菇-鮑魚菇,MF1,2012-01-03,60.0,60.0,台北一,109,60.0,60.0,291.0,2012,1,3,1
2,蠔菇-鮑魚菇,MF1,2012-01-04,60.0,60.0,台北一,109,60.0,60.0,354.0,2012,1,4,2
3,蠔菇-鮑魚菇,MF1,2012-01-05,60.0,60.0,台北一,109,60.0,60.0,273.0,2012,1,5,3
4,蠔菇-鮑魚菇,MF1,2012-01-06,60.0,60.0,台北一,109,60.0,60.0,186.0,2012,1,6,4
5,蠔菇-鮑魚菇,MF1,2012-01-07,60.0,60.0,台北一,109,60.0,60.0,238.0,2012,1,7,5
6,蠔菇-鮑魚菇,MF1,2012-01-08,60.0,60.0,台北一,109,60.0,60.0,354.0,2012,1,8,6
7,蠔菇-鮑魚菇,MF1,2012-01-10,60.0,60.0,台北一,109,60.0,60.0,393.0,2012,1,10,1
8,蠔菇-鮑魚菇,MF1,2012-01-11,60.0,60.0,台北一,109,60.0,60.0,387.0,2012,1,11,2
9,蠔菇-鮑魚菇,MF1,2012-01-12,60.0,60.0,台北一,109,60.0,60.0,431.0,2012,1,12,3
10,蠔菇-鮑魚菇,MF1,2012-01-13,75.0,69.9,台北一,109,74.0,75.0,266.0,2012,1,13,4
11,蠔菇-鮑魚菇,MF1,2012-01-14,75.0,75.0,台北一,109,75.0,75.0,237.0,2012,1,14,5
12,蠔菇-鮑魚菇,MF1,2012-01-15,75.0,75.0,台北一,109,75.0,75.0,378.0,2012,1,15,6
13,蠔菇-鮑魚菇,MF1,2012-01-17,75.0,75.0,台北一,109,75.0,75.0,413.0,2012,1,17,1
14,蠔菇-鮑魚菇,MF1,2012-01-18,75.0,70.0,台北一,109,71.1,70.1,46.0,2012,1,18,2
15,蠔菇-鮑魚菇,MF1,2012-01-19,70.0,70.0,台北一,109,70.0,70.0,575.0,2012,1,19,3
16,蠔菇-鮑魚菇,MF1,2012-01-20,70.0,70.0,台北一,109,70.0,70.0,279.0,2012,1,20,4
17,蠔菇-鮑魚菇,MF1,2012-01-21,70.0,70.0,台北一,109,70.0,70.0,1299.0,2012,1,21,5
18,蠔菇-鮑魚菇,MF1,2012-01-22,70.0,70.0,台北一,109,70.0,70.0,374.0,2012,1,22,6
19,蠔菇-鮑魚菇,MF1,2012-01-28,75.5,70.0,台北一,109,73.9,74.7,633.0,2012,1,28,5
20,蠔菇-鮑魚菇,MF1,2012-01-29,75.0,75.0,台北一,109,75.0,75.0,429.0,2012,1,29,6
21,蠔菇-鮑魚菇,MF1,2012-01-30,75.0,75.0,台北一,109,75.0,75.0,453.0,2012,1,30,0
22,蠔菇-鮑魚菇,MF1,2012-02-01,70.0,70.0,台北一,109,70.0,70.0,258.0,2012,2,1,2
23,蠔菇-鮑魚菇,MF1,2012-02-02,70.0,70.0,台北一,109,70.0,70.0,294.0,2012,2,2,3
24,蠔菇-鮑魚菇,MF1,2012-02-03,70.0,70.0,台北一,109,70.0,70.0,246.0,2012,2,3,4
25,蠔菇-鮑魚菇,MF1,2012-02-04,70.0,70.0,台北一,109,70.0,70.0,429.0,2012,2,4,5
26,蠔菇-鮑魚菇,MF1,2012-02-05,70.0,70.0,台北一,109,70.0,70.0,375.0,2012,2,5,6
27,蠔菇-鮑魚菇,MF1,2012-02-06,70.0,70.0,台北一,109,70.0,70.0,432.0,2012,2,6,0
28,蠔菇-鮑魚菇,MF1,2012-02-09,70.0,70.0,台北一,109,70.0,70.0,444.0,2012,2,9,3
29,蠔菇-鮑魚菇,MF1,2012-02-10,55.0,55.0,台北一,109,55.0,55.0,384.0,2012,2,10,4
30,蠔菇-鮑魚菇,MF1,2012-02-11,55.0,55.0,台北一,109,55.0,55.0,264.0,2012,2,11,5
31,蠔菇-鮑魚菇,MF1,2012-02-12,59.6,55.0,台北一,109,55.9,55.0,297.0,2012,2,12,6
32,蠔菇-鮑魚菇,MF1,2012-02-14,55.0,55.0,台北一,109,55.0,55.0,161.0,2012,2,14,1
33,蠔菇-鮑魚菇,MF1,2012-02-15,55.0,55.0,台北一,109,55.0,55.0,124.0,2012,2,15,2
34,蠔菇-鮑魚菇,MF1,2012-02-16,55.0,55.0,台北一,109,55.0,55.0,190.0,2012,2,16,3
35,蠔菇-鮑魚菇,MF1,2012-02-17,65.0,65.0,台北一,109,65.0,65.0,132.0,2012,2,17,4
36,蠔菇-鮑魚菇,MF1,2012-02-18,65.0,65.0,台北一,109,65.0,65.0,131.0,2012,2,18,5
37,蠔菇-鮑魚菇,MF1,2012-02-19,65.0,65.0,台北一,109,65.0,65.0,135.0,2012,2,19,6
38,蠔菇-鮑魚菇,MF1,2012-02-21,60.0,60.0,台北一,109,60.0,60.0,142.0,2012,2,21,1
39,蠔菇-鮑魚菇,MF1,2012-02-22,60.0,60.0,台北一,109,60.0,60.0,135.0,2012,2,22,2
40,蠔菇-鮑魚菇,MF1,2012-02-23,60.0,60.0,台北一,109,60.0,60.0,193.0,2012,2,23,3
41,蠔菇-鮑魚菇,MF1,2012-02-24,60.0,60.0,台北一,109,60.0,60.0,128.0,2012,2,24,4
42,蠔菇-鮑魚菇,MF1,2012-02-25,60.0,60.0,台北一,109,60.0,60.0,143.0,2012,2,25,5
43,蠔菇-鮑魚菇,MF1,2012-02-26,60.0,48.2,台北一,109,57.6,60.0,381.0,2012,2,26,6
44,蠔菇-鮑魚菇,MF1,2012-02-28,60.0,60.0,台北一,109,60.0,60.0,250.0,2012,2,28,1
45,蠔菇-鮑魚菇,MF1,2012-02-29,60.0,60.0,台北一,109,60.0,60.0,195.0,2012,2,29,2
46,蠔菇-鮑魚菇,MF1,2012-03-01,60.0,60.0,台北一,109,60.0,60.0,145.0,2012,3,1,3
47,蠔菇-鮑魚菇,MF1,2012-03-02,60.0,60.0,台北一,109,60.0,60.0,219.0,2012,3,2,4
48,蠔菇-鮑魚菇,MF1,2012-03-03,60.0,60.0,台北一,109,60.0,60.0,147.0,2012,3,3,5
49,蠔菇-鮑魚菇,MF1,2012-03-04,60.0,60.0,台北一,109,60.0,60.0,233.0,2012,3,4,6
50,蠔菇-鮑魚菇,MF1,2012-03-06,60.0,60.0,台北一,109,60.0,60.0,244.0,2012,3,6,1
51,蠔菇-鮑魚菇,MF1,2012-03-07,60.0,60.0,台北一,109,60.0,60.0,201.0,2012,3,7,2
52,蠔菇-鮑魚菇,MF1,2012-03-08,60.0,60.0,台北一,109,60.0,60.0,409.0,2012,3,8,3
53,蠔菇-鮑魚菇,MF1,2012-03-09,60.0,60.0,台北一,109,60.0,60.0,396.0,2012,3,9,4
54,蠔菇-鮑魚菇,MF1,2012-03-10,81.3,79.4,台北一,109,80.1,80.0,354.0,2012,3,10,5
55,蠔菇-鮑魚菇,MF1,2012-03-11,60.0,60.0,台北一,109,60.0,60.0,129.0,2012,3,11,6
56,蠔菇-鮑魚菇,MF1,2012-03-13,60.0,60.0,台北一,109,60.0,60.0,150.0,2012,3,13,1
57,蠔菇-鮑魚菇,MF1,2012-03-14,60.0,60.0,台北一,109,60.0,60.0,244.0,2012,3,14,2
58,蠔菇-鮑魚菇,MF1,2012-03-15,60.0,60.0,台北一,109,60.0,60.0,165.0,2012,3,15,3
59,蠔菇-鮑魚菇,MF1,2012-03-16,60.0,60.0,台北一,109,60.0,60.0,276.0,2012,3,16,4
60,蠔菇-鮑魚菇,MF1,2012-03-17,61.5,60.0,台北一,109,60.3,60.0,207.0,2012,3,17,5
61,蠔菇-鮑魚菇,MF1,2012-03-18,60.0,60.0,台北一,109,60.0,60.0,146.0,2012,3,18,6
62,蠔菇-鮑魚菇,MF1,2012-03-20,60.0,56.1,台北一,109,59.2,60.0,230.0,2012,3,20,1
63,蠔菇-鮑魚菇,MF1,2012-03-21,71.1,60.0,台北一,109,62.5,60.4,395.0,2012,3,21,2
64,蠔菇-鮑魚菇,MF1,2012-03-22,60.0,60.0,台北一,109,60.0,60.0,284.0,2012,3,22,3
65,蠔菇-鮑魚菇,MF1,2012-03-23,60.0,60.0,台北一,109,60.0,60.0,274.0,2012,3,23,4
66,蠔菇-鮑魚菇,MF1,2012-03-24,60.0,60.0,台北一,109,60.0,60.0,221.0,2012,3,24,5
67,蠔菇-鮑魚菇,MF1,2012-03-25,74.4,60.0,台北一,109,66.6,66.3,298.0,2012,3,25,6
68,蠔菇-鮑魚菇,MF1,2012-03-27,60.0,60.0,台北一,109,60.0,60.0,212.0,2012,3,27,1
69,蠔菇-鮑魚菇,MF1,2012-03-28,65.7,60.0,台北一,109,61.1,60.0,159.0,2012,3,28,2
70,蠔菇-鮑魚菇,MF1,2012-03-29,60.0,60.0,台北一,109,60.0,60.0,58.0,2012,3,29,3
71,蠔菇-鮑魚菇,MF1,2012-03-30,60.0,60.0,台北一,109,60.0,60.0,296.0,2012,3,30,4
72,蠔菇-鮑魚菇,MF1,2012-03-31,65.0,60.0,台北一,109,62.9,63.1,287.0,2012,3,31,5
73,蠔菇-鮑魚菇,MF1,2012-04-01,60.0,60.0,台北一,109,60.0,60.0,412.0,2012,4,1,6
74,蠔菇-鮑魚菇,MF1,2012-04-02,65.0,60.0,台北一,109,61.2,60.3,411.0,2012,4,2,0
75,蠔菇-鮑魚菇,MF1,2012-04-03,65.0,60.0,台北一,109,62.7,62.8,396.0,2012,4,3,1
76,蠔菇-鮑魚菇,MF1,2012-04-06,60.0,57.4,台北一,109,59.5,60.0,527.0,2012,4,6,4
77,蠔菇-鮑魚菇,MF1,2012-04-07,60.0,60.0,台北一,109,60.0,60.0,329.0,2012,4,7,5
78,蠔菇-鮑魚菇,MF1,2012-04-08,60.0,60.0,台北一,109,60.0,60.0,363.0,2012,4,8,6
79,蠔菇-鮑魚菇,MF1,2012-04-10,60.0,60.0,台北一,109,60.0,60.0,219.0,2012,4,10,1
80,蠔菇-鮑魚菇,MF1,2012-04-11,60.0,60.0,台北一,109,60.0,60.0,187.0,2012,4,11,2
81,蠔菇-鮑魚菇,MF1,2012-04-12,60.0,60.0,台北一,109,60.0,60.0,189.0,2012,4,12,3
82,蠔菇-鮑魚菇,MF1,2012-04-13,60.0,60.0,台北一,109,60.0,60.0,315.0,2012,4,13,4
83,蠔菇-鮑魚菇,MF1,2012-04-14,60.0,60.0,台北一,109,60.0,60.0,458.0,2012,4,14,5
84,蠔菇-鮑魚菇,MF1,2012-04-15,60.0,60.0,台北一,109,60.0,60.0,259.0,2012,4,15,6
85,蠔菇-鮑魚菇,MF1,2012-04-17,60.0,56.6,台北一,109,59.3,60.0,292.0,2012,4,17,1
86,蠔菇-鮑魚菇,MF1,2012-04-18,60.0,60.0,台北一,109,60.0,60.0,322.0,2012,4,18,2
87,蠔菇-鮑魚菇,MF1,2012-04-19,60.0,60.0,台北一,109,60.0,60.0,231.0,2012,4,19,3
88,蠔菇-鮑魚菇,MF1,2012-04-20,60.0,60.0,台北一,109,60.0,60.0,253.0,2012,4,20,4
89,蠔菇-鮑魚菇,MF1,2012-04-21,60.0,60.0,台北一,109,60.0,60.0,248.0,2012,4,21,5
90,蠔菇-鮑魚菇,MF1,2012-04-22,60.0,41.3,台北一,109,56.3,60.0,458.0,2012,4,22,6
91,蠔菇-鮑魚菇,MF1,2012-04-24,60.0,54.4,台北一,109,58.9,60.0,322.0,2012,4,24,1
92,蠔菇-鮑魚菇,MF1,2012-04-25,60.0,52.2,台北一,109,58.4,60.0,321.0,2012,4,25,2
93,蠔菇-鮑魚菇,MF1,2012-04-26,60.0,52.4,台北一,109,58.5,60.0,237.0,2012,4,26,3
94,蠔菇-鮑魚菇,MF1,2012-04-27,60.0,54.4,台北一,109,58.9,60.0,344.0,2012,4,27,4
