,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,佛利檬-佛利檬,C6,2012-10-21,35.0,25.0,台北二,104,32.5,34.2,72.0,2012,10,21,6
1,佛利檬-佛利檬,C6,2012-10-26,32.0,32.0,台北二,104,32.0,32.0,80.0,2012,10,26,4
2,佛利檬-佛利檬,C6,2012-10-27,25.0,13.0,台北二,104,22.6,25.0,150.0,2012,10,27,5
3,佛利檬-佛利檬,C6,2012-10-28,25.0,25.0,台北二,104,25.0,25.0,120.0,2012,10,28,6
4,佛利檬-佛利檬,C6,2012-10-30,30.0,30.0,台北二,104,30.0,30.0,60.0,2012,10,30,1
5,佛利檬-佛利檬,C6,2012-10-31,25.0,25.0,台北二,104,25.0,25.0,100.0,2012,10,31,2
6,佛利檬-佛利檬,C6,2012-11-01,10.0,10.0,台北二,104,10.0,10.0,60.0,2012,11,1,3
7,佛利檬-佛利檬,C6,2012-11-04,37.4,21.9,台北二,104,28.3,27.3,144.0,2012,11,4,6
8,佛利檬-佛利檬,C6,2012-11-06,28.0,15.0,台北二,104,22.1,22.5,247.0,2012,11,6,1
9,佛利檬-佛利檬,C6,2012-11-08,21.4,15.7,台北二,104,18.2,18.0,142.0,2012,11,8,3
10,佛利檬-佛利檬,C6,2012-11-09,38.0,35.0,台北二,104,36.2,36.0,60.0,2012,11,9,4
11,佛利檬-佛利檬,C6,2012-11-11,24.0,24.0,台北二,104,24.0,24.0,72.0,2012,11,11,6
12,佛利檬-佛利檬,C6,2012-11-13,46.6,21.2,台北二,104,32.4,31.4,744.0,2012,11,13,1
13,佛利檬-佛利檬,C6,2012-11-14,42.6,18.2,台北二,104,27.3,25.3,256.0,2012,11,14,2
14,佛利檬-佛利檬,C6,2012-11-15,45.7,15.9,台北二,104,25.4,21.8,344.0,2012,11,15,3
15,佛利檬-佛利檬,C6,2012-11-16,40.0,40.0,台北二,104,40.0,40.0,40.0,2012,11,16,4
16,佛利檬-佛利檬,C6,2012-11-17,37.8,16.6,台北二,104,27.4,27.6,498.0,2012,11,17,5
17,佛利檬-佛利檬,C6,2012-11-18,40.0,14.0,台北二,104,27.7,28.1,76.0,2012,11,18,6
18,佛利檬-佛利檬,C6,2012-11-20,39.0,20.0,台北二,104,27.8,26.6,238.0,2012,11,20,1
19,佛利檬-佛利檬,C6,2012-11-22,44.6,26.0,台北二,104,34.4,33.8,174.0,2012,11,22,3
20,佛利檬-佛利檬,C6,2012-11-23,39.8,28.6,台北二,104,35.9,37.0,96.0,2012,11,23,4
21,佛利檬-佛利檬,C6,2012-11-24,49.1,20.9,台北二,104,32.9,31.6,244.0,2012,11,24,5
22,佛利檬-佛利檬,C6,2012-11-25,68.5,50.0,台北二,104,56.6,54.7,142.0,2012,11,25,6
23,佛利檬-佛利檬,C6,2012-11-27,52.0,12.1,台北二,104,34.3,35.8,1044.0,2012,11,27,1
24,佛利檬-佛利檬,C6,2012-11-28,49.8,26.8,台北二,104,41.6,43.7,375.0,2012,11,28,2
25,佛利檬-佛利檬,C6,2012-11-29,48.0,40.0,台北二,104,42.0,40.7,80.0,2012,11,29,3
26,佛利檬-佛利檬,C6,2012-11-30,40.0,40.0,台北二,104,40.0,40.0,70.0,2012,11,30,4
27,佛利檬-佛利檬,C6,2012-12-01,55.0,32.0,台北二,104,42.6,42.0,280.0,2012,12,1,5
28,佛利檬-佛利檬,C6,2012-12-02,48.3,21.1,台北二,104,33.5,32.6,198.0,2012,12,2,6
29,佛利檬-佛利檬,C6,2012-12-04,43.0,27.0,台北二,104,35.1,35.1,208.0,2012,12,4,1
30,佛利檬-佛利檬,C6,2012-12-05,22.0,20.0,台北二,104,21.2,21.3,60.0,2012,12,5,2
31,佛利檬-佛利檬,C6,2012-12-06,62.1,47.9,台北二,104,55.0,55.0,140.0,2012,12,6,3
32,佛利檬-佛利檬,C6,2012-12-07,45.0,40.0,台北二,104,41.5,40.8,100.0,2012,12,7,4
33,佛利檬-佛利檬,C6,2012-12-08,53.4,17.0,台北二,104,37.5,38.9,178.0,2012,12,8,5
34,佛利檬-佛利檬,C6,2012-12-09,50.0,26.4,台北二,104,38.7,39.1,244.0,2012,12,9,6
35,佛利檬-佛利檬,C6,2012-12-11,85.0,17.8,台北二,104,54.0,55.7,398.0,2012,12,11,1
36,佛利檬-佛利檬,C6,2012-12-12,62.8,47.7,台北二,104,52.2,50.2,345.0,2012,12,12,2
37,佛利檬-佛利檬,C6,2012-12-13,74.9,28.1,台北二,104,53.1,54.2,322.0,2012,12,13,3
38,佛利檬-佛利檬,C6,2012-12-14,53.0,12.0,台北二,104,28.5,25.8,674.0,2012,12,14,4
39,佛利檬-佛利檬,C6,2012-12-15,55.0,30.0,台北二,104,40.2,38.7,280.0,2012,12,15,5
40,佛利檬-佛利檬,C6,2012-12-16,59.3,27.0,台北二,104,36.9,32.7,478.0,2012,12,16,6
41,佛利檬-佛利檬,C6,2012-12-18,67.1,30.0,台北二,104,42.4,38.3,376.0,2012,12,18,1
42,佛利檬-佛利檬,C6,2012-12-19,70.0,44.5,台北二,104,56.2,55.5,110.0,2012,12,19,2
43,佛利檬-佛利檬,C6,2012-12-20,70.0,38.9,台北二,104,56.5,57.9,242.0,2012,12,20,3
44,佛利檬-佛利檬,C6,2012-12-21,82.0,60.0,台北二,104,66.6,63.7,100.0,2012,12,21,4
45,佛利檬-佛利檬,C6,2012-12-22,75.0,55.4,台北二,104,64.6,64.3,140.0,2012,12,22,5
46,佛利檬-佛利檬,C6,2012-12-23,77.7,37.9,台北二,104,63.3,67.0,210.0,2012,12,23,6
47,佛利檬-佛利檬,C6,2012-12-25,89.7,32.0,台北二,104,56.4,53.4,152.0,2012,12,25,1
48,佛利檬-佛利檬,C6,2012-12-26,65.0,17.2,台北二,104,39.6,38.6,562.0,2012,12,26,2
49,佛利檬-佛利檬,C6,2012-12-27,70.0,36.3,台北二,104,55.5,57.1,272.0,2012,12,27,3
50,佛利檬-佛利檬,C6,2012-12-28,44.7,12.0,台北二,104,24.9,22.6,358.0,2012,12,28,4
