,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,大心菜-帶葉,SS1,2012-01-01,32.3,13.5,台北二,104,23.5,23.9,4463.0,2012,1,1,6
1,大心菜-帶葉,SS1,2012-01-03,31.5,14.8,台北二,104,23.3,23.4,4239.0,2012,1,3,1
2,大心菜-帶葉,SS1,2012-01-04,33.1,9.8,台北二,104,21.2,21.0,4027.0,2012,1,4,2
3,大心菜-帶葉,SS1,2012-01-05,26.6,7.8,台北二,104,16.1,15.3,3992.0,2012,1,5,3
4,大心菜-帶葉,SS1,2012-01-06,30.3,9.7,台北二,104,19.8,19.7,2784.0,2012,1,6,4
5,大心菜-帶葉,SS1,2012-01-07,28.6,12.6,台北二,104,19.4,18.5,4013.0,2012,1,7,5
6,大心菜-帶葉,SS1,2012-01-08,29.6,14.6,台北二,104,21.6,21.3,4881.0,2012,1,8,6
7,大心菜-帶葉,SS1,2012-01-10,32.9,14.8,台北二,104,23.2,22.7,3457.0,2012,1,10,1
8,大心菜-帶葉,SS1,2012-01-11,33.6,13.6,台北二,104,22.0,21.0,2745.0,2012,1,11,2
9,大心菜-帶葉,SS1,2012-01-12,31.2,10.1,台北二,104,21.5,22.0,3786.0,2012,1,12,3
10,大心菜-帶葉,SS1,2012-01-13,32.5,10.8,台北二,104,20.0,18.9,3644.0,2012,1,13,4
11,大心菜-帶葉,SS1,2012-01-14,30.4,15.1,台北二,104,22.7,22.6,3702.0,2012,1,14,5
12,大心菜-帶葉,SS1,2012-01-15,27.2,9.3,台北二,104,19.9,21.0,5626.0,2012,1,15,6
13,大心菜-帶葉,SS1,2012-01-17,33.3,12.5,台北二,104,21.3,20.2,6760.0,2012,1,17,1
14,大心菜-帶葉,SS1,2012-01-18,27.9,10.3,台北二,104,19.3,19.4,8094.0,2012,1,18,2
15,大心菜-帶葉,SS1,2012-01-19,25.7,5.9,台北二,104,14.8,14.1,10784.0,2012,1,19,3
