,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,梨-新興梨,O4,2012-01-04,10.0,10.0,台北二,104,10.0,10.0,210.0,2012,1,4,2
1,梨-新興梨,O4,2012-01-10,25.0,22.0,台北二,104,24.2,24.7,670.0,2012,1,10,1
2,梨-新興梨,O4,2012-01-17,24.0,18.0,台北二,104,20.6,20.3,236.0,2012,1,17,1
3,梨-新興梨,O4,2012-02-04,33.6,14.4,台北二,104,23.1,22.4,349.0,2012,2,4,5
4,梨-新興梨,O4,2012-02-05,34.1,30.0,台北二,104,30.8,30.0,160.0,2012,2,5,6
5,梨-新興梨,O4,2012-02-10,35.0,35.0,台北二,104,35.0,35.0,125.0,2012,2,10,4
6,梨-新興梨,O4,2012-02-14,20.0,18.0,台北二,104,19.3,19.6,45.0,2012,2,14,1
7,梨-新興梨,O4,2012-02-18,45.0,40.0,台北二,104,41.3,40.4,200.0,2012,2,18,5
8,梨-新興梨,O4,2012-02-23,22.0,22.0,台北二,104,22.0,22.0,40.0,2012,2,23,3
9,梨-新興梨,O4,2012-03-07,45.0,45.0,台北二,104,45.0,45.0,23.0,2012,3,7,2
10,梨-新興梨,O4,2012-03-10,15.0,14.0,台北二,104,14.4,14.3,525.0,2012,3,10,5
11,梨-新興梨,O4,2012-03-22,35.0,35.0,台北二,104,35.0,35.0,103.0,2012,3,22,3
12,梨-新興梨,O4,2012-04-29,40.0,40.0,台北二,104,40.0,40.0,20.0,2012,4,29,6
13,梨-新興梨,O4,2012-05-09,40.0,40.0,台北二,104,40.0,40.0,12.0,2012,5,9,2
14,梨-新興梨,O4,2012-05-15,40.0,40.0,台北二,104,40.0,40.0,40.0,2012,5,15,1
15,梨-新興梨,O4,2012-05-18,40.0,40.0,台北二,104,40.0,40.0,85.0,2012,5,18,4
16,梨-新興梨,O4,2012-05-19,40.0,40.0,台北二,104,40.0,40.0,30.0,2012,5,19,5
17,梨-新興梨,O4,2012-05-24,40.0,40.0,台北二,104,40.0,40.0,80.0,2012,5,24,3
18,梨-新興梨,O4,2012-05-31,40.0,40.0,台北二,104,40.0,40.0,16.0,2012,5,31,3
19,梨-新興梨,O4,2012-06-02,40.0,40.0,台北二,104,40.0,40.0,64.0,2012,6,2,5
20,梨-新興梨,O4,2012-06-03,100.0,46.6,台北二,104,69.2,66.5,597.0,2012,6,3,6
