,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,菜豆-白色,FM1,2012-04-11,18.0,18.0,台北二,104,18.0,18.0,30.0,2012,4,11,2
1,菜豆-白色,FM1,2012-04-14,20.0,12.0,台北二,104,16.0,16.0,40.0,2012,4,14,5
2,菜豆-白色,FM1,2012-04-17,10.0,8.0,台北二,104,8.7,8.4,30.0,2012,4,17,1
3,菜豆-白色,FM1,2012-04-21,34.0,34.0,台北二,104,34.0,34.0,26.0,2012,4,21,5
4,菜豆-白色,FM1,2012-04-24,31.0,31.0,台北二,104,31.0,31.0,26.0,2012,4,24,1
5,菜豆-白色,FM1,2012-04-25,20.0,20.0,台北二,104,20.0,20.0,52.0,2012,4,25,2
6,菜豆-白色,FM1,2012-04-26,38.0,38.0,台北二,104,38.0,38.0,48.0,2012,4,26,3
7,菜豆-白色,FM1,2012-04-27,38.0,38.0,台北二,104,38.0,38.0,77.0,2012,4,27,4
8,菜豆-白色,FM1,2012-04-29,38.0,38.0,台北二,104,38.0,38.0,50.0,2012,4,29,6
9,菜豆-白色,FM1,2012-05-02,32.0,25.0,台北二,104,26.6,25.3,66.0,2012,5,2,2
10,菜豆-白色,FM1,2012-05-03,35.0,35.0,台北二,104,35.0,35.0,97.0,2012,5,3,3
11,菜豆-白色,FM1,2012-05-04,35.0,35.0,台北二,104,35.0,35.0,49.0,2012,5,4,4
12,菜豆-白色,FM1,2012-05-05,35.0,35.0,台北二,104,35.0,35.0,85.0,2012,5,5,5
13,菜豆-白色,FM1,2012-05-06,40.0,40.0,台北二,104,40.0,40.0,71.0,2012,5,6,6
14,菜豆-白色,FM1,2012-05-08,45.0,37.9,台北二,104,43.6,45.0,98.0,2012,5,8,1
15,菜豆-白色,FM1,2012-05-13,35.0,35.0,台北二,104,35.0,35.0,67.0,2012,5,13,6
16,菜豆-白色,FM1,2012-05-15,20.0,20.0,台北二,104,20.0,20.0,79.0,2012,5,15,1
17,菜豆-白色,FM1,2012-05-17,26.0,12.0,台北二,104,16.5,14.8,194.0,2012,5,17,3
18,菜豆-白色,FM1,2012-05-18,17.0,17.0,台北二,104,17.0,17.0,26.0,2012,5,18,4
19,菜豆-白色,FM1,2012-05-19,14.0,10.2,台北二,104,13.3,14.0,154.0,2012,5,19,5
20,菜豆-白色,FM1,2012-05-20,23.0,11.4,台北二,104,17.9,18.3,347.0,2012,5,20,6
21,菜豆-白色,FM1,2012-05-22,14.0,12.0,台北二,104,13.3,13.4,110.0,2012,5,22,1
22,菜豆-白色,FM1,2012-05-23,16.0,15.0,台北二,104,15.3,15.2,78.0,2012,5,23,2
23,菜豆-白色,FM1,2012-05-24,26.0,16.0,台北二,104,22.6,23.6,79.0,2012,5,24,3
24,菜豆-白色,FM1,2012-05-25,20.0,18.0,台北二,104,19.5,19.9,98.0,2012,5,25,4
25,菜豆-白色,FM1,2012-05-26,29.0,29.0,台北二,104,29.0,29.0,52.0,2012,5,26,5
26,菜豆-白色,FM1,2012-05-29,17.0,15.0,台北二,104,15.7,15.5,79.0,2012,5,29,1
27,菜豆-白色,FM1,2012-05-30,22.0,22.0,台北二,104,22.0,22.0,27.0,2012,5,30,2
28,菜豆-白色,FM1,2012-05-31,26.0,26.0,台北二,104,26.0,26.0,50.0,2012,5,31,3
29,菜豆-白色,FM1,2012-06-01,15.0,15.0,台北二,104,15.0,15.0,27.0,2012,6,1,4
30,菜豆-白色,FM1,2012-06-02,18.0,17.0,台北二,104,17.5,17.5,53.0,2012,6,2,5
31,菜豆-白色,FM1,2012-06-06,21.0,10.0,台北二,104,17.9,19.6,72.0,2012,6,6,2
32,菜豆-白色,FM1,2012-06-07,5.0,5.0,台北二,104,5.0,5.0,13.0,2012,6,7,3
33,菜豆-白色,FM1,2012-06-09,20.0,20.0,台北二,104,20.0,20.0,32.0,2012,6,9,5
34,菜豆-白色,FM1,2012-06-10,20.0,12.0,台北二,104,15.5,15.1,46.0,2012,6,10,6
35,菜豆-白色,FM1,2012-06-12,6.0,6.0,台北二,104,6.0,6.0,40.0,2012,6,12,1
36,菜豆-白色,FM1,2012-06-14,26.2,12.6,台北二,104,18.6,18.1,138.0,2012,6,14,3
37,菜豆-白色,FM1,2012-06-15,13.0,8.0,台北二,104,11.1,11.5,98.0,2012,6,15,4
38,菜豆-白色,FM1,2012-06-16,15.0,15.0,台北二,104,15.0,15.0,55.0,2012,6,16,5
39,菜豆-白色,FM1,2012-06-17,12.0,12.0,台北二,104,12.0,12.0,27.0,2012,6,17,6
40,菜豆-白色,FM1,2012-06-19,22.0,12.0,台北二,104,17.3,17.5,70.0,2012,6,19,1
41,菜豆-白色,FM1,2012-06-20,25.0,25.0,台北二,104,25.0,25.0,45.0,2012,6,20,2
42,菜豆-白色,FM1,2012-06-22,40.0,10.0,台北二,104,33.1,38.5,74.0,2012,6,22,4
43,菜豆-白色,FM1,2012-06-26,26.0,20.0,台北二,104,24.4,25.4,102.0,2012,6,26,1
44,菜豆-白色,FM1,2012-06-27,35.0,20.0,台北二,104,25.7,24.4,105.0,2012,6,27,2
45,菜豆-白色,FM1,2012-06-28,31.0,31.0,台北二,104,31.0,31.0,38.0,2012,6,28,3
46,菜豆-白色,FM1,2012-06-29,35.0,35.0,台北二,104,35.0,35.0,19.0,2012,6,29,4
47,菜豆-白色,FM1,2012-06-30,30.0,25.0,台北二,104,26.9,26.4,43.0,2012,6,30,5
48,菜豆-白色,FM1,2012-07-01,30.0,30.0,台北二,104,30.0,30.0,22.0,2012,7,1,6
49,菜豆-白色,FM1,2012-07-03,38.0,38.0,台北二,104,38.0,38.0,5.0,2012,7,3,1
50,菜豆-白色,FM1,2012-07-04,20.0,20.0,台北二,104,20.0,20.0,16.0,2012,7,4,2
51,菜豆-白色,FM1,2012-07-05,15.0,15.0,台北二,104,15.0,15.0,15.0,2012,7,5,3
52,菜豆-白色,FM1,2012-07-06,30.0,13.0,台北二,104,22.0,22.4,88.0,2012,7,6,4
53,菜豆-白色,FM1,2012-07-07,15.0,15.0,台北二,104,15.0,15.0,6.0,2012,7,7,5
54,菜豆-白色,FM1,2012-07-08,15.0,15.0,台北二,104,15.0,15.0,9.0,2012,7,8,6
55,菜豆-白色,FM1,2012-07-10,35.0,35.0,台北二,104,35.0,35.0,30.0,2012,7,10,1
56,菜豆-白色,FM1,2012-07-12,41.0,35.0,台北二,104,36.7,35.8,90.0,2012,7,12,3
57,菜豆-白色,FM1,2012-07-13,30.0,29.0,台北二,104,29.7,29.8,76.0,2012,7,13,4
58,菜豆-白色,FM1,2012-07-14,40.0,40.0,台北二,104,40.0,40.0,50.0,2012,7,14,5
59,菜豆-白色,FM1,2012-07-15,40.0,30.0,台北二,104,32.5,30.8,100.0,2012,7,15,6
60,菜豆-白色,FM1,2012-07-17,32.0,32.0,台北二,104,32.0,32.0,23.0,2012,7,17,1
61,菜豆-白色,FM1,2012-07-18,40.0,40.0,台北二,104,40.0,40.0,26.0,2012,7,18,2
62,菜豆-白色,FM1,2012-07-22,32.0,25.0,台北二,104,30.2,31.3,100.0,2012,7,22,6
63,菜豆-白色,FM1,2012-07-24,31.5,20.0,台北二,104,22.3,20.0,65.0,2012,7,24,1
64,菜豆-白色,FM1,2012-07-25,35.0,35.0,台北二,104,35.0,35.0,10.0,2012,7,25,2
65,菜豆-白色,FM1,2012-07-26,30.0,30.0,台北二,104,30.0,30.0,60.0,2012,7,26,3
66,菜豆-白色,FM1,2012-07-27,25.0,25.0,台北二,104,25.0,25.0,30.0,2012,7,27,4
67,菜豆-白色,FM1,2012-08-07,22.0,22.0,台北二,104,22.0,22.0,20.0,2012,8,7,1
68,菜豆-白色,FM1,2012-08-15,30.0,30.0,台北二,104,30.0,30.0,25.0,2012,8,15,2
69,菜豆-白色,FM1,2012-08-18,32.0,30.0,台北二,104,30.5,30.2,88.0,2012,8,18,5
