,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,辣椒-紅小,FV1,2012-01-01,53.1,22.4,台北二,104,41.4,43.8,459.0,2012,1,1,6
1,辣椒-紅小,FV1,2012-01-03,68.7,22.4,台北二,104,44.2,43.4,767.0,2012,1,3,1
2,辣椒-紅小,FV1,2012-01-04,68.0,24.2,台北二,104,42.6,40.3,1080.0,2012,1,4,2
3,辣椒-紅小,FV1,2012-01-05,73.3,28.7,台北二,104,52.0,52.6,539.0,2012,1,5,3
4,辣椒-紅小,FV1,2012-01-06,62.7,18.8,台北二,104,40.9,41.1,580.0,2012,1,6,4
5,辣椒-紅小,FV1,2012-01-07,69.6,37.2,台北二,104,54.9,55.9,456.0,2012,1,7,5
6,辣椒-紅小,FV1,2012-01-08,89.6,27.1,台北二,104,60.4,61.8,654.0,2012,1,8,6
7,辣椒-紅小,FV1,2012-01-10,77.1,28.9,台北二,104,56.6,59.0,751.0,2012,1,10,1
8,辣椒-紅小,FV1,2012-01-11,82.0,34.5,台北二,104,59.6,60.5,696.0,2012,1,11,2
9,辣椒-紅小,FV1,2012-01-12,85.3,33.6,台北二,104,60.3,60.9,682.0,2012,1,12,3
10,辣椒-紅小,FV1,2012-01-13,108.6,34.9,台北二,104,66.5,63.0,865.0,2012,1,13,4
11,辣椒-紅小,FV1,2012-01-14,82.6,27.7,台北二,104,54.1,53.3,446.0,2012,1,14,5
12,辣椒-紅小,FV1,2012-01-15,80.8,46.1,台北二,104,69.7,73.8,297.0,2012,1,15,6
13,辣椒-紅小,FV1,2012-01-17,65.5,39.8,台北二,104,54.6,55.9,1094.0,2012,1,17,1
14,辣椒-紅小,FV1,2012-01-18,110.0,55.7,台北二,104,84.5,85.5,419.0,2012,1,18,2
15,辣椒-紅小,FV1,2012-01-19,156.1,48.8,台北二,104,96.3,92.2,1033.0,2012,1,19,3
16,辣椒-紅小,FV1,2012-01-20,149.8,48.3,台北二,104,101.5,103.2,1042.0,2012,1,20,4
17,辣椒-紅小,FV1,2012-01-21,105.9,40.3,台北二,104,75.8,77.5,1441.0,2012,1,21,5
18,辣椒-紅小,FV1,2012-01-22,100.0,18.6,台北二,104,59.3,59.3,724.0,2012,1,22,6
19,辣椒-紅小,FV1,2012-01-28,55.3,24.2,台北二,104,43.9,46.7,1479.0,2012,1,28,5
20,辣椒-紅小,FV1,2012-01-29,48.4,17.9,台北二,104,34.7,35.7,929.0,2012,1,29,6
