,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,洋蔥-本產,SD1,2013-05-19,20.0,13.0,台東市,930,15.0,0.0,75.0,2013,5,19,6
1,洋蔥-本產,SD1,2013-05-22,20.0,13.0,台東市,930,15.0,0.0,230.0,2013,5,22,2
2,洋蔥-本產,SD1,2013-05-25,20.0,13.0,台東市,930,15.0,0.0,100.0,2013,5,25,5
3,洋蔥-本產,SD1,2013-05-26,20.0,13.0,台東市,930,15.0,0.0,200.0,2013,5,26,6
4,洋蔥-本產,SD1,2013-05-29,20.0,13.0,台東市,930,15.0,0.0,100.0,2013,5,29,2
5,洋蔥-本產,SD1,2013-05-31,25.0,17.0,台東市,930,19.0,0.0,500.0,2013,5,31,4
6,洋蔥-本產,SD1,2013-06-01,25.0,17.0,台東市,930,18.0,0.0,150.0,2013,6,1,5
7,洋蔥-本產,SD1,2013-06-04,25.0,17.0,台東市,930,21.0,21.5,100.0,2013,6,4,1
8,洋蔥-本產,SD1,2013-06-05,25.0,17.0,台東市,930,21.0,21.0,300.0,2013,6,5,2
9,洋蔥-本產,SD1,2013-06-06,25.0,17.0,台東市,930,21.0,22.0,300.0,2013,6,6,3
10,洋蔥-本產,SD1,2013-06-07,30.0,25.0,台東市,930,21.0,22.0,300.0,2013,6,7,4
11,洋蔥-本產,SD1,2013-06-08,35.0,30.0,台東市,930,31.0,32.0,300.0,2013,6,8,5
12,洋蔥-本產,SD1,2013-06-09,35.0,30.0,台東市,930,31.0,32.0,100.0,2013,6,9,6
13,洋蔥-本產,SD1,2013-06-11,35.0,30.0,台東市,930,31.0,32.0,100.0,2013,6,11,1
14,洋蔥-本產,SD1,2013-06-12,35.0,30.0,台東市,930,33.0,33.0,200.0,2013,6,12,2
15,洋蔥-本產,SD1,2013-06-15,35.0,30.0,台東市,930,33.0,33.0,200.0,2013,6,15,5
16,洋蔥-本產,SD1,2013-06-16,35.0,30.0,台東市,930,33.0,33.0,300.0,2013,6,16,6
17,洋蔥-本產,SD1,2013-06-18,35.0,30.0,台東市,930,33.0,33.0,300.0,2013,6,18,1
18,洋蔥-本產,SD1,2013-06-19,35.0,30.0,台東市,930,33.0,33.0,300.0,2013,6,19,2
19,洋蔥-本產,SD1,2013-06-20,35.0,30.0,台東市,930,32.0,33.0,300.0,2013,6,20,3
20,洋蔥-本產,SD1,2013-06-22,35.0,30.0,台東市,930,32.0,33.0,220.0,2013,6,22,5
21,洋蔥-本產,SD1,2013-06-26,35.0,30.0,台東市,930,33.0,33.0,200.0,2013,6,26,2
22,洋蔥-本產,SD1,2013-06-29,35.0,30.0,台東市,930,32.0,33.0,300.0,2013,6,29,5
23,洋蔥-本產,SD1,2013-06-30,35.0,30.0,台東市,930,32.0,33.0,200.0,2013,6,30,6
24,洋蔥-本產,SD1,2013-07-02,25.0,12.0,台東市,930,14.0,12.0,200.0,2013,7,2,1
25,洋蔥-本產,SD1,2013-07-04,35.0,30.0,台東市,930,32.0,33.0,200.0,2013,7,4,3
26,洋蔥-本產,SD1,2013-07-07,35.0,30.0,台東市,930,33.0,33.0,100.0,2013,7,7,6
27,洋蔥-本產,SD1,2013-07-09,35.0,30.0,台東市,930,33.0,33.0,100.0,2013,7,9,1
28,洋蔥-本產,SD1,2013-07-10,35.0,30.0,台東市,930,33.0,33.0,100.0,2013,7,10,2
29,洋蔥-本產,SD1,2013-07-16,35.0,15.0,台東市,930,18.0,18.0,200.0,2013,7,16,1
30,洋蔥-本產,SD1,2013-07-20,30.0,15.0,台東市,930,18.0,15.0,300.0,2013,7,20,5
31,洋蔥-本產,SD1,2013-07-21,35.0,15.0,台東市,930,19.0,15.0,300.0,2013,7,21,6
32,洋蔥-本產,SD1,2013-07-23,30.0,15.0,台東市,930,19.0,15.0,200.0,2013,7,23,1
33,洋蔥-本產,SD1,2013-07-24,30.0,15.0,台東市,930,19.0,15.0,160.0,2013,7,24,2
34,洋蔥-本產,SD1,2013-07-25,30.0,15.0,台東市,930,19.0,15.0,100.0,2013,7,25,3
35,洋蔥-本產,SD1,2013-07-26,30.0,15.0,台東市,930,19.0,15.0,200.0,2013,7,26,4
36,洋蔥-本產,SD1,2013-07-27,30.0,15.0,台東市,930,19.0,15.0,200.0,2013,7,27,5
