,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,甘藍-初秋,LA1,2013-05-19,20.0,12.0,台東市,930,13.0,0.0,6790.0,2013,5,19,6
1,甘藍-初秋,LA1,2013-05-22,20.0,12.0,台東市,930,15.0,0.0,8175.0,2013,5,22,2
2,甘藍-初秋,LA1,2013-05-23,20.0,12.0,台東市,930,15.0,0.0,8836.0,2013,5,23,3
3,甘藍-初秋,LA1,2013-05-25,20.0,12.0,台東市,930,15.0,0.0,6863.0,2013,5,25,5
4,甘藍-初秋,LA1,2013-05-26,20.0,12.0,台東市,930,15.0,0.0,9316.0,2013,5,26,6
5,甘藍-初秋,LA1,2013-05-28,20.0,12.0,台東市,930,15.0,0.0,9344.0,2013,5,28,1
6,甘藍-初秋,LA1,2013-05-29,20.0,12.0,台東市,930,15.0,0.0,7807.0,2013,5,29,2
7,甘藍-初秋,LA1,2013-05-30,23.0,15.0,台東市,930,18.0,0.0,4320.0,2013,5,30,3
8,甘藍-初秋,LA1,2013-05-31,28.0,15.0,台東市,930,22.0,0.0,2956.0,2013,5,31,4
9,甘藍-初秋,LA1,2013-06-01,32.0,20.0,台東市,930,23.0,0.0,3480.0,2013,6,1,5
10,甘藍-初秋,LA1,2013-06-02,40.0,25.0,台東市,930,31.0,0.0,6210.0,2013,6,2,6
11,甘藍-初秋,LA1,2013-06-04,40.0,25.0,台東市,930,32.5,33.0,5322.0,2013,6,4,1
12,甘藍-初秋,LA1,2013-06-05,45.0,25.0,台東市,930,36.0,37.0,6582.0,2013,6,5,2
13,甘藍-初秋,LA1,2013-06-06,40.0,25.0,台東市,930,34.0,35.0,5914.0,2013,6,6,3
14,甘藍-初秋,LA1,2013-06-07,40.0,25.0,台東市,930,35.0,36.0,6748.0,2013,6,7,4
15,甘藍-初秋,LA1,2013-06-08,40.0,25.0,台東市,930,35.0,36.0,3974.0,2013,6,8,5
16,甘藍-初秋,LA1,2013-06-09,40.0,25.0,台東市,930,35.0,36.0,7266.0,2013,6,9,6
17,甘藍-初秋,LA1,2013-06-11,40.0,25.0,台東市,930,36.0,37.0,7988.0,2013,6,11,1
18,甘藍-初秋,LA1,2013-06-12,40.0,25.0,台東市,930,37.0,37.0,12555.0,2013,6,12,2
19,甘藍-初秋,LA1,2013-06-15,40.0,25.0,台東市,930,36.0,37.0,8412.0,2013,6,15,5
20,甘藍-初秋,LA1,2013-06-16,40.0,25.0,台東市,930,37.0,37.0,8622.0,2013,6,16,6
21,甘藍-初秋,LA1,2013-06-18,38.0,20.0,台東市,930,31.0,30.0,7615.0,2013,6,18,1
22,甘藍-初秋,LA1,2013-06-19,37.0,20.0,台東市,930,32.0,31.0,7123.0,2013,6,19,2
23,甘藍-初秋,LA1,2013-06-20,35.0,20.0,台東市,930,28.0,28.0,6076.0,2013,6,20,3
24,甘藍-初秋,LA1,2013-06-21,32.0,20.0,台東市,930,26.0,27.0,8581.0,2013,6,21,4
