,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,絲瓜-絲瓜,FF1,2013-05-19,25.0,15.0,台東市,930,20.0,0.0,2131.0,2013,5,19,6
1,絲瓜-絲瓜,FF1,2013-05-22,25.0,15.0,台東市,930,22.0,0.0,1429.0,2013,5,22,2
2,絲瓜-絲瓜,FF1,2013-05-23,25.0,15.0,台東市,930,20.0,0.0,1366.0,2013,5,23,3
3,絲瓜-絲瓜,FF1,2013-05-25,40.0,15.0,台東市,930,30.0,0.0,571.0,2013,5,25,5
4,絲瓜-絲瓜,FF1,2013-05-26,35.0,15.0,台東市,930,23.0,0.0,1676.0,2013,5,26,6
5,絲瓜-絲瓜,FF1,2013-05-28,30.0,15.0,台東市,930,22.0,0.0,1318.0,2013,5,28,1
6,絲瓜-絲瓜,FF1,2013-05-29,35.0,20.0,台東市,930,28.0,0.0,953.0,2013,5,29,2
7,絲瓜-絲瓜,FF1,2013-05-30,40.0,20.0,台東市,930,32.0,0.0,1046.0,2013,5,30,3
8,絲瓜-絲瓜,FF1,2013-05-31,40.0,20.0,台東市,930,25.0,0.0,1041.0,2013,5,31,4
9,絲瓜-絲瓜,FF1,2013-06-01,40.0,20.0,台東市,930,32.0,0.0,1717.0,2013,6,1,5
10,絲瓜-絲瓜,FF1,2013-06-02,35.0,15.0,台東市,930,22.0,0.0,2173.0,2013,6,2,6
11,絲瓜-絲瓜,FF1,2013-06-04,20.0,10.0,台東市,930,16.0,17.0,4863.0,2013,6,4,1
12,絲瓜-絲瓜,FF1,2013-06-05,20.0,10.0,台東市,930,16.0,17.0,3691.0,2013,6,5,2
13,絲瓜-絲瓜,FF1,2013-06-06,20.0,10.0,台東市,930,15.0,16.0,2912.0,2013,6,6,3
14,絲瓜-絲瓜,FF1,2013-06-07,20.0,10.0,台東市,930,14.0,15.0,3737.0,2013,6,7,4
15,絲瓜-絲瓜,FF1,2013-06-08,20.0,10.0,台東市,930,14.0,15.0,3125.0,2013,6,8,5
16,絲瓜-絲瓜,FF1,2013-06-09,20.0,10.0,台東市,930,14.0,15.0,3840.0,2013,6,9,6
17,絲瓜-絲瓜,FF1,2013-06-11,20.0,10.0,台東市,930,13.0,14.0,4793.0,2013,6,11,1
18,絲瓜-絲瓜,FF1,2013-06-12,15.0,8.0,台東市,930,11.0,11.0,3992.0,2013,6,12,2
19,絲瓜-絲瓜,FF1,2013-06-15,15.0,8.0,台東市,930,12.0,12.0,3689.0,2013,6,15,5
20,絲瓜-絲瓜,FF1,2013-06-16,15.0,8.0,台東市,930,10.0,12.0,2092.0,2013,6,16,6
21,絲瓜-絲瓜,FF1,2013-06-18,15.0,8.0,台東市,930,11.0,12.0,3002.0,2013,6,18,1
22,絲瓜-絲瓜,FF1,2013-06-19,20.0,8.0,台東市,930,15.0,15.0,2264.0,2013,6,19,2
23,絲瓜-絲瓜,FF1,2013-06-20,25.0,12.0,台東市,930,17.0,18.0,1264.0,2013,6,20,3
24,絲瓜-絲瓜,FF1,2013-06-21,25.0,12.0,台東市,930,17.0,18.0,1873.0,2013,6,21,4
25,絲瓜-絲瓜,FF1,2013-06-22,25.0,12.0,台東市,930,17.0,17.0,1528.0,2013,6,22,5
26,絲瓜-絲瓜,FF1,2013-06-23,25.0,12.0,台東市,930,16.0,16.0,1573.0,2013,6,23,6
27,絲瓜-絲瓜,FF1,2013-06-25,25.0,12.0,台東市,930,15.0,16.0,2147.0,2013,6,25,1
28,絲瓜-絲瓜,FF1,2013-06-26,25.0,12.0,台東市,930,15.0,16.0,2225.0,2013,6,26,2
29,絲瓜-絲瓜,FF1,2013-06-27,20.0,12.0,台東市,930,14.0,15.0,2506.0,2013,6,27,3
30,絲瓜-絲瓜,FF1,2013-06-29,20.0,12.0,台東市,930,15.0,15.0,2857.0,2013,6,29,5
31,絲瓜-絲瓜,FF1,2013-06-30,20.0,12.0,台東市,930,15.0,15.0,2180.0,2013,6,30,6
32,絲瓜-絲瓜,FF1,2013-07-02,20.0,8.0,台東市,930,10.0,10.0,3036.0,2013,7,2,1
33,絲瓜-絲瓜,FF1,2013-07-03,20.0,12.0,台東市,930,15.0,15.0,2304.0,2013,7,3,2
34,絲瓜-絲瓜,FF1,2013-07-04,25.0,12.0,台東市,930,18.0,19.0,2858.0,2013,7,4,3
35,絲瓜-絲瓜,FF1,2013-07-05,25.0,12.0,台東市,930,18.0,19.0,2308.0,2013,7,5,4
36,絲瓜-絲瓜,FF1,2013-07-06,25.0,12.0,台東市,930,18.0,19.0,2769.0,2013,7,6,5
37,絲瓜-絲瓜,FF1,2013-07-07,20.0,12.0,台東市,930,16.0,16.0,3303.0,2013,7,7,6
