,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,辣椒-紅小,FV1,2013-05-19,50.0,20.0,台東市,930,35.0,0.0,78.0,2013,5,19,6
1,辣椒-紅小,FV1,2013-05-22,60.0,30.0,台東市,930,45.0,0.0,183.0,2013,5,22,2
2,辣椒-紅小,FV1,2013-05-23,60.0,30.0,台東市,930,45.0,0.0,237.0,2013,5,23,3
3,辣椒-紅小,FV1,2013-05-25,50.0,30.0,台東市,930,42.0,0.0,102.0,2013,5,25,5
4,辣椒-紅小,FV1,2013-05-26,50.0,30.0,台東市,930,42.0,0.0,6.0,2013,5,26,6
5,辣椒-紅小,FV1,2013-05-28,60.0,30.0,台東市,930,45.0,0.0,300.0,2013,5,28,1
6,辣椒-紅小,FV1,2013-05-29,60.0,30.0,台東市,930,42.0,0.0,309.0,2013,5,29,2
7,辣椒-紅小,FV1,2013-05-30,60.0,30.0,台東市,930,48.0,0.0,45.0,2013,5,30,3
8,辣椒-紅小,FV1,2013-05-31,50.0,30.0,台東市,930,38.0,0.0,57.0,2013,5,31,4
9,辣椒-紅小,FV1,2013-06-01,50.0,30.0,台東市,930,42.0,0.0,45.0,2013,6,1,5
10,辣椒-紅小,FV1,2013-06-02,50.0,30.0,台東市,930,38.0,0.0,50.0,2013,6,2,6
11,辣椒-紅小,FV1,2013-06-04,50.0,30.0,台東市,930,41.0,42.0,138.0,2013,6,4,1
12,辣椒-紅小,FV1,2013-06-05,50.0,30.0,台東市,930,41.0,42.0,72.0,2013,6,5,2
13,辣椒-紅小,FV1,2013-06-06,50.0,30.0,台東市,930,41.0,42.0,84.0,2013,6,6,3
14,辣椒-紅小,FV1,2013-06-07,80.0,40.0,台東市,930,63.0,65.0,99.0,2013,6,7,4
15,辣椒-紅小,FV1,2013-06-08,80.0,40.0,台東市,930,63.0,65.0,60.0,2013,6,8,5
16,辣椒-紅小,FV1,2013-06-09,90.0,40.0,台東市,930,67.0,68.0,96.0,2013,6,9,6
17,辣椒-紅小,FV1,2013-06-11,90.0,40.0,台東市,930,69.0,70.0,87.0,2013,6,11,1
18,辣椒-紅小,FV1,2013-06-12,90.0,40.0,台東市,930,75.0,75.0,282.0,2013,6,12,2
19,辣椒-紅小,FV1,2013-06-15,83.0,40.0,台東市,930,75.0,72.0,153.0,2013,6,15,5
20,辣椒-紅小,FV1,2013-06-16,80.0,40.0,台東市,930,73.0,70.0,174.0,2013,6,16,6
21,辣椒-紅小,FV1,2013-06-18,80.0,40.0,台東市,930,72.0,71.0,138.0,2013,6,18,1
22,辣椒-紅小,FV1,2013-06-19,80.0,40.0,台東市,930,71.0,70.0,87.0,2013,6,19,2
23,辣椒-紅小,FV1,2013-06-20,67.0,33.0,台東市,930,53.0,52.0,153.0,2013,6,20,3
24,辣椒-紅小,FV1,2013-06-21,67.0,33.0,台東市,930,53.0,53.0,96.0,2013,6,21,4
25,辣椒-紅小,FV1,2013-06-22,67.0,33.0,台東市,930,53.0,53.0,159.0,2013,6,22,5
26,辣椒-紅小,FV1,2013-06-23,67.0,33.0,台東市,930,52.0,53.0,114.0,2013,6,23,6
27,辣椒-紅小,FV1,2013-06-25,60.0,33.0,台東市,930,49.0,48.0,90.0,2013,6,25,1
28,辣椒-紅小,FV1,2013-06-26,60.0,33.0,台東市,930,48.0,48.0,153.0,2013,6,26,2
29,辣椒-紅小,FV1,2013-06-27,60.0,33.0,台東市,930,47.0,48.0,33.0,2013,6,27,3
30,辣椒-紅小,FV1,2013-06-29,60.0,33.0,台東市,930,47.0,48.0,30.0,2013,6,29,5
31,辣椒-紅小,FV1,2013-06-30,60.0,33.0,台東市,930,47.0,48.0,54.0,2013,6,30,6
32,辣椒-紅小,FV1,2013-07-02,40.0,10.0,台東市,930,18.0,20.0,96.0,2013,7,2,1
33,辣椒-紅小,FV1,2013-07-03,167.0,80.0,台東市,930,125.0,125.0,120.0,2013,7,3,2
34,辣椒-紅小,FV1,2013-07-04,200.0,100.0,台東市,930,155.0,160.0,84.0,2013,7,4,3
35,辣椒-紅小,FV1,2013-07-05,200.0,100.0,台東市,930,155.0,160.0,27.0,2013,7,5,4
36,辣椒-紅小,FV1,2013-07-06,233.0,120.0,台東市,930,177.0,177.0,39.0,2013,7,6,5
37,辣椒-紅小,FV1,2013-07-07,233.0,120.0,台東市,930,177.0,177.0,48.0,2013,7,7,6
38,辣椒-紅小,FV1,2013-07-09,233.0,120.0,台東市,930,177.0,177.0,66.0,2013,7,9,1
39,辣椒-紅小,FV1,2013-07-10,233.0,120.0,台東市,930,177.0,177.0,138.0,2013,7,10,2
40,辣椒-紅小,FV1,2013-07-11,233.0,120.0,台東市,930,177.0,177.0,81.0,2013,7,11,3
41,辣椒-紅小,FV1,2013-07-12,233.0,70.0,台東市,930,80.0,80.0,93.0,2013,7,12,4
42,辣椒-紅小,FV1,2013-07-13,233.0,65.0,台東市,930,70.0,70.0,180.0,2013,7,13,5
43,辣椒-紅小,FV1,2013-07-14,233.0,65.0,台東市,930,80.0,80.0,126.0,2013,7,14,6
44,辣椒-紅小,FV1,2013-07-16,200.0,50.0,台東市,930,71.0,72.0,15.0,2013,7,16,1
45,辣椒-紅小,FV1,2013-07-17,150.0,50.0,台東市,930,71.0,70.0,105.0,2013,7,17,2
46,辣椒-紅小,FV1,2013-07-18,100.0,40.0,台東市,930,71.0,40.0,105.0,2013,7,18,3
47,辣椒-紅小,FV1,2013-07-19,83.0,40.0,台東市,930,71.0,60.0,57.0,2013,7,19,4
48,辣椒-紅小,FV1,2013-07-20,67.0,30.0,台東市,930,60.0,40.0,36.0,2013,7,20,5
49,辣椒-紅小,FV1,2013-07-21,67.0,30.0,台東市,930,60.0,50.0,168.0,2013,7,21,6
50,辣椒-紅小,FV1,2013-07-23,50.0,23.0,台東市,930,50.0,23.0,39.0,2013,7,23,1
51,辣椒-紅小,FV1,2013-07-24,50.0,23.0,台東市,930,40.0,23.0,78.0,2013,7,24,2
52,辣椒-紅小,FV1,2013-07-25,50.0,23.0,台東市,930,40.0,23.0,24.0,2013,7,25,3
53,辣椒-紅小,FV1,2013-07-26,50.0,23.0,台東市,930,40.0,23.0,87.0,2013,7,26,4
54,辣椒-紅小,FV1,2013-07-27,50.0,23.0,台東市,930,40.0,23.0,195.0,2013,7,27,5
55,辣椒-紅小,FV1,2013-07-28,50.0,23.0,台東市,930,40.0,23.0,117.0,2013,7,28,6
56,辣椒-紅小,FV1,2013-07-30,50.0,23.0,台東市,930,40.0,23.0,66.0,2013,7,30,1
57,辣椒-紅小,FV1,2013-07-31,50.0,23.0,台東市,930,40.0,23.0,69.0,2013,7,31,2
58,辣椒-紅小,FV1,2013-08-01,43.0,20.0,台東市,930,30.0,20.0,180.0,2013,8,1,3
59,辣椒-紅小,FV1,2013-08-02,43.0,20.0,台東市,930,30.0,20.0,102.0,2013,8,2,4
60,辣椒-紅小,FV1,2013-08-03,43.0,20.0,台東市,930,30.0,20.0,213.0,2013,8,3,5
61,辣椒-紅小,FV1,2013-08-04,40.0,20.0,台東市,930,30.0,20.0,183.0,2013,8,4,6
62,辣椒-紅小,FV1,2013-08-06,40.0,20.0,台東市,930,28.0,20.0,135.0,2013,8,6,1
63,辣椒-紅小,FV1,2013-08-07,40.0,20.0,台東市,930,29.0,20.0,135.0,2013,8,7,2
64,辣椒-紅小,FV1,2013-08-08,40.0,20.0,台東市,930,30.0,20.0,234.0,2013,8,8,3
65,辣椒-紅小,FV1,2013-08-09,30.0,10.0,台東市,930,16.0,15.0,474.0,2013,8,9,4
66,辣椒-紅小,FV1,2013-08-10,30.0,13.0,台東市,930,17.0,13.0,117.0,2013,8,10,5
67,辣椒-紅小,FV1,2013-08-11,30.0,13.0,台東市,930,17.0,13.0,39.0,2013,8,11,6
68,辣椒-紅小,FV1,2013-08-13,33.0,13.0,台東市,930,18.0,13.0,135.0,2013,8,13,1
69,辣椒-紅小,FV1,2013-08-14,40.0,10.0,台東市,930,18.0,20.0,36.0,2013,8,14,2
70,辣椒-紅小,FV1,2013-08-15,40.0,10.0,台東市,930,18.0,20.0,18.0,2013,8,15,3
71,辣椒-紅小,FV1,2013-08-16,50.0,10.0,台東市,930,26.0,25.0,24.0,2013,8,16,4
72,辣椒-紅小,FV1,2013-08-17,67.0,20.0,台東市,930,60.0,40.0,105.0,2013,8,17,5
73,辣椒-紅小,FV1,2013-08-18,83.0,30.0,台東市,930,70.0,60.0,120.0,2013,8,18,6
74,辣椒-紅小,FV1,2013-08-20,83.0,30.0,台東市,930,70.0,50.0,90.0,2013,8,20,1
75,辣椒-紅小,FV1,2013-08-21,83.0,30.0,台東市,930,70.0,50.0,111.0,2013,8,21,2
76,辣椒-紅小,FV1,2013-08-24,83.0,30.0,台東市,930,70.0,60.0,63.0,2013,8,24,5
77,辣椒-紅小,FV1,2013-08-25,100.0,33.0,台東市,930,70.0,67.0,72.0,2013,8,25,6
78,辣椒-紅小,FV1,2013-08-27,100.0,33.0,台東市,930,70.0,60.0,57.0,2013,8,27,1
79,辣椒-紅小,FV1,2013-08-28,100.0,30.0,台東市,930,70.0,60.0,30.0,2013,8,28,2
80,辣椒-紅小,FV1,2013-08-29,100.0,33.0,台東市,930,80.0,70.0,27.0,2013,8,29,3
81,辣椒-紅小,FV1,2013-09-03,167.0,50.0,台東市,930,120.0,100.0,35.0,2013,9,3,1
82,辣椒-紅小,FV1,2013-09-04,167.0,50.0,台東市,930,120.0,100.0,21.0,2013,9,4,2
83,辣椒-紅小,FV1,2013-09-05,167.0,50.0,台東市,930,120.0,100.0,96.0,2013,9,5,3
84,辣椒-紅小,FV1,2013-09-07,167.0,50.0,台東市,930,120.0,100.0,18.0,2013,9,7,5
85,辣椒-紅小,FV1,2013-09-08,167.0,50.0,台東市,930,121.0,100.0,87.0,2013,9,8,6
86,辣椒-紅小,FV1,2013-09-11,167.0,50.0,台東市,930,120.0,100.0,84.0,2013,9,11,2
87,辣椒-紅小,FV1,2013-09-12,167.0,50.0,台東市,930,120.0,100.0,81.0,2013,9,12,3
88,辣椒-紅小,FV1,2013-09-17,150.0,50.0,台東市,930,120.0,100.0,30.0,2013,9,17,1
89,辣椒-紅小,FV1,2013-09-18,150.0,50.0,台東市,930,110.0,100.0,66.0,2013,9,18,2
90,辣椒-紅小,FV1,2013-09-19,150.0,50.0,台東市,930,110.0,100.0,102.0,2013,9,19,3
91,辣椒-紅小,FV1,2013-09-25,117.0,50.0,台東市,930,100.0,80.0,69.0,2013,9,25,2
92,辣椒-紅小,FV1,2013-09-26,117.0,50.0,台東市,930,90.0,80.0,42.0,2013,9,26,3
93,辣椒-紅小,FV1,2013-09-27,117.0,50.0,台東市,930,90.0,80.0,45.0,2013,9,27,4
94,辣椒-紅小,FV1,2013-09-28,100.0,30.0,台東市,930,70.0,60.0,82.0,2013,9,28,5
95,辣椒-紅小,FV1,2013-09-29,100.0,30.0,台東市,930,70.0,60.0,102.0,2013,9,29,6
96,辣椒-紅小,FV1,2013-10-02,100.0,30.0,台東市,930,70.0,60.0,33.0,2013,10,2,2
97,辣椒-紅小,FV1,2013-10-04,100.0,30.0,台東市,930,60.0,60.0,39.0,2013,10,4,4
98,辣椒-紅小,FV1,2013-10-09,100.0,30.0,台東市,930,60.0,60.0,39.0,2013,10,9,2
99,辣椒-紅小,FV1,2013-10-10,100.0,30.0,台東市,930,70.0,60.0,24.0,2013,10,10,3
100,辣椒-紅小,FV1,2013-10-16,100.0,30.0,台東市,930,60.0,60.0,33.0,2013,10,16,2
101,辣椒-紅小,FV1,2013-10-31,110.0,50.0,台東市,930,80.0,80.0,66.0,2013,10,31,3
102,辣椒-紅小,FV1,2013-11-06,100.0,50.0,台東市,930,80.0,70.0,45.0,2013,11,6,2
103,辣椒-紅小,FV1,2013-12-21,90.0,50.0,台東市,930,75.0,70.0,60.0,2013,12,21,5
104,辣椒-紅小,FV1,2013-12-25,90.0,50.0,台東市,930,75.0,70.0,105.0,2013,12,25,2
105,辣椒-紅小,FV1,2013-12-26,90.0,30.0,台東市,930,60.0,60.0,15.0,2013,12,26,3
106,辣椒-紅小,FV1,2013-12-27,90.0,30.0,台東市,930,60.0,60.0,95.0,2013,12,27,4
107,辣椒-紅小,FV1,2013-12-29,83.0,40.0,台東市,930,60.0,60.0,30.0,2013,12,29,6
