,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,百香果-改良種,51,2012-01-01,21.0,10.0,嘉義市,600,15.0,15.0,400.0,2012,1,1,6
1,百香果-改良種,51,2012-01-02,21.0,9.0,嘉義市,600,15.0,15.0,340.0,2012,1,2,0
2,百香果-改良種,51,2012-01-03,18.0,8.0,嘉義市,600,13.0,13.0,600.0,2012,1,3,1
3,百香果-改良種,51,2012-01-04,18.0,8.0,嘉義市,600,13.0,13.0,500.0,2012,1,4,2
4,百香果-改良種,51,2012-01-17,20.0,8.0,嘉義市,600,14.0,14.0,460.0,2012,1,17,1
5,百香果-改良種,51,2012-06-27,60.0,35.0,嘉義市,600,60.0,60.0,580.0,2012,6,27,2
6,百香果-改良種,51,2012-06-28,60.0,35.0,嘉義市,600,60.0,60.0,600.0,2012,6,28,3
7,百香果-改良種,51,2012-06-29,60.0,36.0,嘉義市,600,60.0,60.0,750.0,2012,6,29,4
8,百香果-改良種,51,2012-06-30,60.0,36.0,嘉義市,600,60.0,60.0,760.0,2012,6,30,5
9,百香果-改良種,51,2012-07-02,60.0,33.0,嘉義市,600,60.0,60.0,800.0,2012,7,2,0
10,百香果-改良種,51,2012-07-03,62.0,32.0,嘉義市,600,50.0,50.0,750.0,2012,7,3,1
11,百香果-改良種,51,2012-07-05,65.0,33.0,嘉義市,600,50.0,50.0,730.0,2012,7,5,3
12,百香果-改良種,51,2012-07-06,60.0,35.0,嘉義市,600,50.0,50.0,820.0,2012,7,6,4
13,百香果-改良種,51,2012-07-09,63.0,38.0,嘉義市,600,55.0,55.0,720.0,2012,7,9,0
14,百香果-改良種,51,2012-07-10,63.0,38.0,嘉義市,600,56.0,56.0,820.0,2012,7,10,1
15,百香果-改良種,51,2012-07-11,64.0,38.0,嘉義市,600,56.0,56.0,880.0,2012,7,11,2
16,百香果-改良種,51,2012-07-12,63.0,38.0,嘉義市,600,55.0,55.0,900.0,2012,7,12,3
17,百香果-改良種,51,2012-07-17,60.0,40.0,嘉義市,600,50.0,50.0,700.0,2012,7,17,1
18,百香果-改良種,51,2012-07-19,65.0,35.0,嘉義市,600,50.0,50.0,800.0,2012,7,19,3
19,百香果-改良種,51,2012-07-21,64.0,34.0,嘉義市,600,50.0,50.0,1050.0,2012,7,21,5
20,百香果-改良種,51,2012-07-22,63.0,34.0,嘉義市,600,48.0,48.0,1000.0,2012,7,22,6
21,百香果-改良種,51,2012-07-23,50.0,30.0,嘉義市,600,40.0,40.0,1300.0,2012,7,23,0
22,百香果-改良種,51,2012-07-24,50.0,32.0,嘉義市,600,40.0,40.0,1380.0,2012,7,24,1
23,百香果-改良種,51,2012-07-25,50.0,31.0,嘉義市,600,41.0,41.0,1400.0,2012,7,25,2
24,百香果-改良種,51,2012-07-26,50.0,30.0,嘉義市,600,40.0,40.0,1200.0,2012,7,26,3
25,百香果-改良種,51,2012-07-27,50.0,32.0,嘉義市,600,40.0,40.0,1000.0,2012,7,27,4
26,百香果-改良種,51,2012-07-28,50.0,33.0,嘉義市,600,40.0,40.0,1100.0,2012,7,28,5
27,百香果-改良種,51,2012-07-29,50.0,34.0,嘉義市,600,40.0,40.0,1200.0,2012,7,29,6
28,百香果-改良種,51,2012-07-30,48.0,33.0,嘉義市,600,38.0,38.0,1600.0,2012,7,30,0
29,百香果-改良種,51,2012-07-31,48.0,32.0,嘉義市,600,37.0,37.0,1800.0,2012,7,31,1
30,百香果-改良種,51,2012-08-01,50.0,30.0,嘉義市,600,38.0,38.0,1960.0,2012,8,1,2
31,百香果-改良種,51,2012-08-04,50.0,30.0,嘉義市,600,40.0,40.0,1400.0,2012,8,4,5
32,百香果-改良種,51,2012-08-06,50.0,30.0,嘉義市,600,44.0,44.0,1500.0,2012,8,6,0
33,百香果-改良種,51,2012-08-07,50.0,30.0,嘉義市,600,43.0,43.0,1400.0,2012,8,7,1
34,百香果-改良種,51,2012-08-08,54.0,30.0,嘉義市,600,45.0,45.0,1200.0,2012,8,8,2
35,百香果-改良種,51,2012-08-09,52.0,20.0,嘉義市,600,45.0,45.0,1360.0,2012,8,9,3
36,百香果-改良種,51,2012-08-10,53.0,24.0,嘉義市,600,46.0,46.0,1450.0,2012,8,10,4
37,百香果-改良種,51,2012-08-12,53.0,25.0,嘉義市,600,45.0,45.0,1400.0,2012,8,12,6
38,百香果-改良種,51,2012-08-13,52.0,25.0,嘉義市,600,45.0,45.0,1300.0,2012,8,13,0
39,百香果-改良種,51,2012-08-14,54.0,28.0,嘉義市,600,45.0,45.0,1500.0,2012,8,14,1
40,百香果-改良種,51,2012-08-15,54.0,30.0,嘉義市,600,45.0,45.0,1350.0,2012,8,15,2
41,百香果-改良種,51,2012-08-16,54.0,30.0,嘉義市,600,45.0,45.0,1200.0,2012,8,16,3
42,百香果-改良種,51,2012-08-17,54.0,30.0,嘉義市,600,42.0,42.0,1000.0,2012,8,17,4
43,百香果-改良種,51,2012-08-20,52.0,30.0,嘉義市,600,40.0,40.0,1300.0,2012,8,20,0
44,百香果-改良種,51,2012-08-22,53.0,30.0,嘉義市,600,43.0,43.0,1260.0,2012,8,22,2
45,百香果-改良種,51,2012-08-23,54.0,30.0,嘉義市,600,43.0,43.0,1100.0,2012,8,23,3
46,百香果-改良種,51,2012-08-24,56.0,30.0,嘉義市,600,45.0,45.0,920.0,2012,8,24,4
47,百香果-改良種,51,2012-08-25,56.0,30.0,嘉義市,600,46.0,46.0,600.0,2012,8,25,5
48,百香果-改良種,51,2012-08-27,55.0,30.0,嘉義市,600,44.0,44.0,680.0,2012,8,27,0
49,百香果-改良種,51,2012-08-28,53.0,30.0,嘉義市,600,44.0,44.0,700.0,2012,8,28,1
50,百香果-改良種,51,2012-09-03,70.0,48.0,嘉義市,600,55.0,55.0,800.0,2012,9,3,0
51,百香果-改良種,51,2012-09-04,70.0,48.0,嘉義市,600,55.0,55.0,920.0,2012,9,4,1
52,百香果-改良種,51,2012-09-05,72.0,48.0,嘉義市,600,55.0,55.0,880.0,2012,9,5,2
53,百香果-改良種,51,2012-09-06,70.0,48.0,嘉義市,600,56.0,56.0,1200.0,2012,9,6,3
54,百香果-改良種,51,2012-09-07,70.0,48.0,嘉義市,600,55.0,55.0,1400.0,2012,9,7,4
55,百香果-改良種,51,2012-09-08,70.0,48.0,嘉義市,600,56.0,56.0,1600.0,2012,9,8,5
56,百香果-改良種,51,2012-09-09,70.0,47.0,嘉義市,600,55.0,55.0,1500.0,2012,9,9,6
57,百香果-改良種,51,2012-09-10,70.0,46.0,嘉義市,600,55.0,55.0,1400.0,2012,9,10,0
58,百香果-改良種,51,2012-09-11,70.0,45.0,嘉義市,600,56.0,56.0,1600.0,2012,9,11,1
59,百香果-改良種,51,2012-09-12,70.0,45.0,嘉義市,600,56.0,56.0,1760.0,2012,9,12,2
60,百香果-改良種,51,2012-09-13,70.0,45.0,嘉義市,600,55.0,55.0,1600.0,2012,9,13,3
61,百香果-改良種,51,2012-09-14,70.0,45.0,嘉義市,600,55.0,55.0,1500.0,2012,9,14,4
62,百香果-改良種,51,2012-09-15,70.0,43.0,嘉義市,600,52.0,52.0,1400.0,2012,9,15,5
63,百香果-改良種,51,2012-09-16,70.0,42.0,嘉義市,600,52.0,52.0,1200.0,2012,9,16,6
64,百香果-改良種,51,2012-09-18,60.0,36.0,嘉義市,600,48.0,48.0,1450.0,2012,9,18,1
65,百香果-改良種,51,2012-09-20,60.0,35.0,嘉義市,600,45.0,45.0,1500.0,2012,9,20,3
66,百香果-改良種,51,2012-09-21,58.0,35.0,嘉義市,600,45.0,45.0,1400.0,2012,9,21,4
67,百香果-改良種,51,2012-09-22,60.0,35.0,嘉義市,600,45.0,45.0,1450.0,2012,9,22,5
68,百香果-改良種,51,2012-09-23,60.0,35.0,嘉義市,600,45.0,45.0,1300.0,2012,9,23,6
69,百香果-改良種,51,2012-09-24,60.0,35.0,嘉義市,600,45.0,45.0,1350.0,2012,9,24,0
70,百香果-改良種,51,2012-09-25,60.0,36.0,嘉義市,600,45.0,45.0,1300.0,2012,9,25,1
71,百香果-改良種,51,2012-09-26,60.0,35.0,嘉義市,600,44.0,44.0,1200.0,2012,9,26,2
72,百香果-改良種,51,2012-09-27,60.0,36.0,嘉義市,600,45.0,45.0,1000.0,2012,9,27,3
73,百香果-改良種,51,2012-09-28,50.0,30.0,嘉義市,600,40.0,40.0,1300.0,2012,9,28,4
74,百香果-改良種,51,2012-09-29,53.0,30.0,嘉義市,600,40.0,40.0,1200.0,2012,9,29,5
75,百香果-改良種,51,2012-10-02,55.0,30.0,嘉義市,600,40.0,40.0,1200.0,2012,10,2,1
76,百香果-改良種,51,2012-10-03,54.0,30.0,嘉義市,600,40.0,40.0,1300.0,2012,10,3,2
77,百香果-改良種,51,2012-10-04,56.0,30.0,嘉義市,600,40.0,40.0,1250.0,2012,10,4,3
78,百香果-改良種,51,2012-10-05,55.0,30.0,嘉義市,600,40.0,40.0,1400.0,2012,10,5,4
79,百香果-改良種,51,2012-10-06,50.0,30.0,嘉義市,600,40.0,40.0,1400.0,2012,10,6,5
80,百香果-改良種,51,2012-10-07,50.0,30.0,嘉義市,600,40.0,40.0,1600.0,2012,10,7,6
81,百香果-改良種,51,2012-10-08,50.0,30.0,嘉義市,600,40.0,40.0,1300.0,2012,10,8,0
82,百香果-改良種,51,2012-10-09,50.0,30.0,嘉義市,600,40.0,40.0,1280.0,2012,10,9,1
83,百香果-改良種,51,2012-10-10,50.0,30.0,嘉義市,600,40.0,40.0,1400.0,2012,10,10,2
84,百香果-改良種,51,2012-10-11,50.0,30.0,嘉義市,600,40.0,40.0,1300.0,2012,10,11,3
85,百香果-改良種,51,2012-10-12,50.0,30.0,嘉義市,600,40.0,40.0,1400.0,2012,10,12,4
86,百香果-改良種,51,2012-10-13,50.0,30.0,嘉義市,600,40.0,40.0,1500.0,2012,10,13,5
87,百香果-改良種,51,2012-10-14,50.0,30.0,嘉義市,600,40.0,40.0,1500.0,2012,10,14,6
88,百香果-改良種,51,2012-10-15,50.0,30.0,嘉義市,600,40.0,40.0,1200.0,2012,10,15,0
89,百香果-改良種,51,2012-10-17,50.0,30.0,嘉義市,600,40.0,40.0,1300.0,2012,10,17,2
