,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,木瓜-網室紅肉,I1,2013-05-01,20.0,10.0,宜蘭市,260,15.0,15.0,1780.0,2013,5,1,2
1,木瓜-網室紅肉,I1,2013-05-02,30.0,10.0,宜蘭市,260,20.0,20.0,2540.0,2013,5,2,3
2,木瓜-網室紅肉,I1,2013-05-03,20.0,10.0,宜蘭市,260,15.0,15.0,2310.0,2013,5,3,4
3,木瓜-網室紅肉,I1,2013-05-04,20.0,10.0,宜蘭市,260,13.0,15.0,3450.0,2013,5,4,5
4,木瓜-網室紅肉,I1,2013-05-05,20.0,10.0,宜蘭市,260,11.3,15.0,2450.0,2013,5,5,6
5,木瓜-網室紅肉,I1,2013-05-07,25.0,15.0,宜蘭市,260,20.0,20.0,4830.0,2013,5,7,1
6,木瓜-網室紅肉,I1,2013-05-08,20.0,15.0,宜蘭市,260,18.0,18.0,3850.0,2013,5,8,2
7,木瓜-網室紅肉,I1,2013-05-09,18.0,12.0,宜蘭市,260,14.0,15.0,6430.0,2013,5,9,3
8,木瓜-網室紅肉,I1,2013-05-10,20.0,10.0,宜蘭市,260,15.0,15.0,3850.0,2013,5,10,4
9,木瓜-網室紅肉,I1,2013-05-12,34.0,14.0,宜蘭市,260,24.0,24.0,3260.0,2013,5,12,6
10,木瓜-網室紅肉,I1,2013-05-14,30.0,20.0,宜蘭市,260,25.0,25.0,3580.0,2013,5,14,1
11,木瓜-網室紅肉,I1,2013-05-15,35.0,20.0,宜蘭市,260,30.0,30.0,3640.0,2013,5,15,2
12,木瓜-網室紅肉,I1,2013-05-16,30.0,20.0,宜蘭市,260,25.0,25.0,3620.0,2013,5,16,3
13,木瓜-網室紅肉,I1,2013-05-17,30.0,20.0,宜蘭市,260,25.0,25.0,3260.0,2013,5,17,4
14,木瓜-網室紅肉,I1,2013-05-18,35.0,25.0,宜蘭市,260,30.0,30.0,4260.0,2013,5,18,5
15,木瓜-網室紅肉,I1,2013-05-19,35.0,20.0,宜蘭市,260,26.0,25.0,4770.0,2013,5,19,6
16,木瓜-網室紅肉,I1,2013-05-21,34.0,20.0,宜蘭市,260,27.0,28.0,4850.0,2013,5,21,1
17,木瓜-網室紅肉,I1,2013-05-22,34.0,25.0,宜蘭市,260,29.0,30.0,3450.0,2013,5,22,2
18,木瓜-網室紅肉,I1,2013-05-23,37.0,20.0,宜蘭市,260,28.0,27.0,3850.0,2013,5,23,3
19,木瓜-網室紅肉,I1,2013-05-26,34.0,20.0,宜蘭市,260,27.0,27.0,2200.0,2013,5,26,6
20,木瓜-網室紅肉,I1,2013-05-28,34.0,20.0,宜蘭市,260,26.0,25.0,3430.0,2013,5,28,1
21,木瓜-網室紅肉,I1,2013-05-29,33.0,20.0,宜蘭市,260,26.0,26.0,2770.0,2013,5,29,2
22,木瓜-網室紅肉,I1,2013-05-30,33.0,20.0,宜蘭市,260,26.0,26.0,2570.0,2013,5,30,3
23,木瓜-網室紅肉,I1,2013-05-31,33.0,20.0,宜蘭市,260,26.0,26.0,2570.0,2013,5,31,4
24,木瓜-網室紅肉,I1,2013-06-01,30.0,20.0,宜蘭市,260,25.0,25.0,2980.0,2013,6,1,5
25,木瓜-網室紅肉,I1,2013-06-02,30.0,20.0,宜蘭市,260,25.0,25.0,2980.0,2013,6,2,6
26,木瓜-網室紅肉,I1,2013-06-04,30.0,20.0,宜蘭市,260,25.0,25.0,3100.0,2013,6,4,1
27,木瓜-網室紅肉,I1,2013-06-05,30.0,20.0,宜蘭市,260,25.0,25.0,3012.0,2013,6,5,2
28,木瓜-網室紅肉,I1,2013-06-06,35.0,25.0,宜蘭市,260,30.0,30.0,3450.0,2013,6,6,3
29,木瓜-網室紅肉,I1,2013-06-07,35.0,25.0,宜蘭市,260,30.0,30.0,3850.0,2013,6,7,4
30,木瓜-網室紅肉,I1,2013-06-08,35.0,25.0,宜蘭市,260,25.0,30.0,3750.0,2013,6,8,5
31,木瓜-網室紅肉,I1,2013-06-09,35.0,25.0,宜蘭市,260,30.0,30.0,3450.0,2013,6,9,6
32,木瓜-網室紅肉,I1,2013-06-11,40.0,30.0,宜蘭市,260,35.0,35.0,4560.0,2013,6,11,1
33,木瓜-網室紅肉,I1,2013-06-12,40.0,30.0,宜蘭市,260,35.0,35.0,3650.0,2013,6,12,2
34,木瓜-網室紅肉,I1,2013-06-15,35.0,25.0,宜蘭市,260,30.0,30.0,3560.0,2013,6,15,5
35,木瓜-網室紅肉,I1,2013-06-16,30.0,20.0,宜蘭市,260,25.0,25.0,3890.0,2013,6,16,6
36,木瓜-網室紅肉,I1,2013-06-18,28.0,20.0,宜蘭市,260,23.6,23.0,3650.0,2013,6,18,1
37,木瓜-網室紅肉,I1,2013-06-19,27.0,20.0,宜蘭市,260,23.3,23.0,3890.0,2013,6,19,2
38,木瓜-網室紅肉,I1,2013-06-20,27.0,20.0,宜蘭市,260,23.3,23.0,3850.0,2013,6,20,3
39,木瓜-網室紅肉,I1,2013-06-21,27.0,20.0,宜蘭市,260,23.3,23.0,4230.0,2013,6,21,4
40,木瓜-網室紅肉,I1,2013-06-22,30.0,20.0,宜蘭市,260,25.0,25.0,4560.0,2013,6,22,5
41,木瓜-網室紅肉,I1,2013-06-23,30.0,20.0,宜蘭市,260,25.0,25.0,3560.0,2013,6,23,6
42,木瓜-網室紅肉,I1,2013-06-26,27.0,20.0,宜蘭市,260,23.3,23.0,3560.0,2013,6,26,2
43,木瓜-網室紅肉,I1,2013-06-27,27.0,20.0,宜蘭市,260,23.3,23.0,3650.0,2013,6,27,3
44,木瓜-網室紅肉,I1,2013-06-28,25.0,18.0,宜蘭市,260,22.0,23.0,3960.0,2013,6,28,4
45,木瓜-網室紅肉,I1,2013-06-29,22.0,18.0,宜蘭市,260,20.0,20.0,3560.0,2013,6,29,5
46,木瓜-網室紅肉,I1,2013-06-30,22.0,18.0,宜蘭市,260,20.0,20.0,4560.0,2013,6,30,6
47,木瓜-網室紅肉,I1,2013-07-02,23.0,15.0,宜蘭市,260,19.3,20.0,3780.0,2013,7,2,1
48,木瓜-網室紅肉,I1,2013-07-03,23.0,15.0,宜蘭市,260,19.3,20.0,3980.0,2013,7,3,2
