,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,百香果-改良種,51,2014-12-20,50.0,30.0,宜蘭市,260,40.0,40.0,1520.0,2014,12,20,5
1,百香果-改良種,51,2014-12-23,50.0,20.0,宜蘭市,260,36.6,40.0,1120.0,2014,12,23,1
2,百香果-改良種,51,2014-12-24,50.0,20.0,宜蘭市,260,36.6,40.0,1120.0,2014,12,24,2
3,百香果-改良種,51,2014-12-25,50.0,20.0,宜蘭市,260,36.6,40.0,1000.0,2014,12,25,3
4,百香果-改良種,51,2014-12-26,50.0,20.0,宜蘭市,260,36.6,40.0,900.0,2014,12,26,4
5,百香果-改良種,51,2014-12-27,50.0,20.0,宜蘭市,260,36.6,40.0,900.0,2014,12,27,5
6,百香果-改良種,51,2014-12-28,50.0,20.0,宜蘭市,260,36.6,40.0,1000.0,2014,12,28,6
7,百香果-改良種,51,2014-12-30,50.0,20.0,宜蘭市,260,36.6,40.0,1000.0,2014,12,30,1
8,百香果-改良種,51,2014-12-31,50.0,20.0,宜蘭市,260,36.6,40.0,900.0,2014,12,31,2
9,百香果-改良種,51,2015-01-01,50.0,20.0,宜蘭市,260,36.6,40.0,1000.0,2015,1,1,3
10,百香果-改良種,51,2015-01-02,50.0,20.0,宜蘭市,260,36.6,40.0,1000.0,2015,1,2,4
11,百香果-改良種,51,2015-01-03,50.0,20.0,宜蘭市,260,36.6,40.0,1200.0,2015,1,3,5
12,百香果-改良種,51,2015-01-04,50.0,20.0,宜蘭市,260,36.6,40.0,1320.0,2015,1,4,6
13,百香果-改良種,51,2015-01-06,50.0,20.0,宜蘭市,260,36.6,40.0,1520.0,2015,1,6,1
14,百香果-改良種,51,2015-01-07,45.0,20.0,宜蘭市,260,33.3,35.0,1520.0,2015,1,7,2
15,百香果-改良種,51,2015-01-08,45.0,15.0,宜蘭市,260,31.6,35.0,1450.0,2015,1,8,3
16,百香果-改良種,51,2015-01-09,45.0,15.0,宜蘭市,260,31.6,35.0,1580.0,2015,1,9,4
17,百香果-改良種,51,2015-01-10,45.0,15.0,宜蘭市,260,31.6,35.0,1650.0,2015,1,10,5
18,百香果-改良種,51,2015-01-11,40.0,15.0,宜蘭市,260,28.3,30.0,1750.0,2015,1,11,6
19,百香果-改良種,51,2015-01-13,40.0,10.0,宜蘭市,260,26.6,30.0,1650.0,2015,1,13,1
20,百香果-改良種,51,2015-01-14,40.0,10.0,宜蘭市,260,26.6,30.0,1650.0,2015,1,14,2
21,百香果-改良種,51,2015-01-15,40.0,10.0,宜蘭市,260,26.6,30.0,1520.0,2015,1,15,3
22,百香果-改良種,51,2015-01-16,40.0,10.0,宜蘭市,260,26.6,30.0,1520.0,2015,1,16,4
23,百香果-改良種,51,2015-01-17,40.0,10.0,宜蘭市,260,26.6,30.0,1650.0,2015,1,17,5
24,百香果-改良種,51,2015-01-18,40.0,10.0,宜蘭市,260,26.6,30.0,1850.0,2015,1,18,6
25,百香果-改良種,51,2015-01-20,40.0,10.0,宜蘭市,260,26.6,30.0,1650.0,2015,1,20,1
26,百香果-改良種,51,2015-01-21,40.0,10.0,宜蘭市,260,26.6,30.0,1420.0,2015,1,21,2
27,百香果-改良種,51,2015-01-22,40.0,10.0,宜蘭市,260,26.6,30.0,1650.0,2015,1,22,3
28,百香果-改良種,51,2015-01-23,40.0,10.0,宜蘭市,260,26.6,30.0,1520.0,2015,1,23,4
29,百香果-改良種,51,2015-01-24,40.0,10.0,宜蘭市,260,26.6,30.0,1750.0,2015,1,24,5
30,百香果-改良種,51,2015-01-25,40.0,10.0,宜蘭市,260,26.6,30.0,1750.0,2015,1,25,6
31,百香果-改良種,51,2015-01-27,40.0,10.0,宜蘭市,260,26.6,30.0,1650.0,2015,1,27,1
32,百香果-改良種,51,2015-01-28,40.0,10.0,宜蘭市,260,26.6,30.0,1520.0,2015,1,28,2
33,百香果-改良種,51,2015-01-29,35.0,10.0,宜蘭市,260,25.0,30.0,1420.0,2015,1,29,3
34,百香果-改良種,51,2015-01-30,35.0,10.0,宜蘭市,260,25.0,30.0,1420.0,2015,1,30,4
35,百香果-改良種,51,2015-01-31,35.0,10.0,宜蘭市,260,25.0,30.0,1850.0,2015,1,31,5
36,百香果-改良種,51,2015-02-01,40.0,15.0,宜蘭市,260,28.3,30.0,1950.0,2015,2,1,6
37,百香果-改良種,51,2015-02-03,40.0,15.0,宜蘭市,260,28.3,30.0,1520.0,2015,2,3,1
38,百香果-改良種,51,2015-02-04,40.0,15.0,宜蘭市,260,28.3,30.0,1250.0,2015,2,4,2
39,百香果-改良種,51,2015-02-05,40.0,15.0,宜蘭市,260,28.3,30.0,1250.0,2015,2,5,3
40,百香果-改良種,51,2015-02-06,40.0,15.0,宜蘭市,260,28.3,30.0,1320.0,2015,2,6,4
41,百香果-改良種,51,2015-02-07,35.0,15.0,宜蘭市,260,25.0,25.0,1520.0,2015,2,7,5
42,百香果-改良種,51,2015-02-08,35.0,15.0,宜蘭市,260,25.0,25.0,1520.0,2015,2,8,6
43,百香果-改良種,51,2015-02-10,35.0,15.0,宜蘭市,260,25.0,25.0,1420.0,2015,2,10,1
44,百香果-改良種,51,2015-02-11,35.0,15.0,宜蘭市,260,25.0,25.0,1560.0,2015,2,11,2
45,百香果-改良種,51,2015-02-12,35.0,15.0,宜蘭市,260,25.0,25.0,1320.0,2015,2,12,3
46,百香果-改良種,51,2015-02-13,35.0,15.0,宜蘭市,260,25.0,25.0,1580.0,2015,2,13,4
47,百香果-改良種,51,2015-02-14,40.0,20.0,宜蘭市,260,30.0,30.0,2350.0,2015,2,14,5
48,百香果-改良種,51,2015-02-15,50.0,30.0,宜蘭市,260,30.0,40.0,1620.0,2015,2,15,6
49,百香果-改良種,51,2015-02-16,50.0,30.0,宜蘭市,260,30.0,40.0,1650.0,2015,2,16,0
50,百香果-改良種,51,2015-02-17,50.0,30.0,宜蘭市,260,40.0,40.0,1850.0,2015,2,17,1
51,百香果-改良種,51,2015-02-18,50.0,30.0,宜蘭市,260,40.0,40.0,1520.0,2015,2,18,2
52,百香果-改良種,51,2015-02-24,40.0,20.0,宜蘭市,260,30.0,30.0,1520.0,2015,2,24,1
53,百香果-改良種,51,2015-02-25,40.0,20.0,宜蘭市,260,30.0,30.0,1150.0,2015,2,25,2
54,百香果-改良種,51,2015-02-26,40.0,20.0,宜蘭市,260,30.0,30.0,1650.0,2015,2,26,3
55,百香果-改良種,51,2015-02-28,40.0,20.0,宜蘭市,260,30.0,30.0,1850.0,2015,2,28,5
56,百香果-改良種,51,2015-03-01,40.0,20.0,宜蘭市,260,30.0,30.0,1750.0,2015,3,1,6
57,百香果-改良種,51,2015-03-03,40.0,20.0,宜蘭市,260,30.0,30.0,1950.0,2015,3,3,1
58,百香果-改良種,51,2015-03-04,40.0,20.0,宜蘭市,260,30.0,30.0,1650.0,2015,3,4,2
59,百香果-改良種,51,2015-03-05,40.0,20.0,宜蘭市,260,30.0,30.0,1980.0,2015,3,5,3
60,百香果-改良種,51,2015-03-11,40.0,20.0,宜蘭市,260,30.0,30.0,1650.0,2015,3,11,2
61,百香果-改良種,51,2015-03-12,40.0,20.0,宜蘭市,260,30.0,30.0,1000.0,2015,3,12,3
62,百香果-改良種,51,2015-03-13,40.0,20.0,宜蘭市,260,30.0,30.0,1320.0,2015,3,13,4
63,百香果-改良種,51,2015-03-14,40.0,20.0,宜蘭市,260,30.0,30.0,1650.0,2015,3,14,5
64,百香果-改良種,51,2015-03-15,40.0,20.0,宜蘭市,260,30.0,30.0,1850.0,2015,3,15,6
65,百香果-改良種,51,2015-03-17,40.0,20.0,宜蘭市,260,30.0,30.0,1780.0,2015,3,17,1
66,百香果-改良種,51,2015-03-18,50.0,20.0,宜蘭市,260,35.0,35.0,1750.0,2015,3,18,2
