,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,花椰菜-青梗,FB1,2013-05-03,35.0,10.0,宜蘭市,260,23.0,20.0,1320.0,2013,5,3,4
1,花椰菜-青梗,FB1,2013-11-23,30.0,15.0,宜蘭市,260,21.6,20.0,2650.0,2013,11,23,5
2,花椰菜-青梗,FB1,2013-11-24,30.0,15.0,宜蘭市,260,21.6,20.0,3210.0,2013,11,24,6
3,花椰菜-青梗,FB1,2013-11-26,30.0,15.0,宜蘭市,260,21.6,20.0,4520.0,2013,11,26,1
4,花椰菜-青梗,FB1,2013-11-27,30.0,15.0,宜蘭市,260,21.6,20.0,3580.0,2013,11,27,2
5,花椰菜-青梗,FB1,2013-11-28,26.0,15.0,宜蘭市,260,20.3,20.0,3560.0,2013,11,28,3
6,花椰菜-青梗,FB1,2013-11-29,26.0,15.0,宜蘭市,260,20.3,20.0,3450.0,2013,11,29,4
7,花椰菜-青梗,FB1,2013-11-30,26.0,15.0,宜蘭市,260,20.3,20.0,3680.0,2013,11,30,5
8,花椰菜-青梗,FB1,2013-12-01,30.0,15.0,宜蘭市,260,21.6,20.0,3980.0,2013,12,1,6
9,花椰菜-青梗,FB1,2013-12-03,30.0,15.0,宜蘭市,260,21.6,20.0,3680.0,2013,12,3,1
10,花椰菜-青梗,FB1,2013-12-04,30.0,15.0,宜蘭市,260,21.6,20.0,3650.0,2013,12,4,2
11,花椰菜-青梗,FB1,2013-12-05,35.0,15.0,宜蘭市,260,25.0,25.0,3690.0,2013,12,5,3
12,花椰菜-青梗,FB1,2013-12-06,35.0,15.0,宜蘭市,260,25.0,25.0,3650.0,2013,12,6,4
13,花椰菜-青梗,FB1,2013-12-07,40.0,20.0,宜蘭市,260,30.0,30.0,3890.0,2013,12,7,5
14,花椰菜-青梗,FB1,2013-12-08,40.0,20.0,宜蘭市,260,30.0,30.0,3890.0,2013,12,8,6
15,花椰菜-青梗,FB1,2013-12-10,40.0,20.0,宜蘭市,260,30.0,30.0,4210.0,2013,12,10,1
16,花椰菜-青梗,FB1,2013-12-11,40.0,20.0,宜蘭市,260,30.0,30.0,3980.0,2013,12,11,2
17,花椰菜-青梗,FB1,2013-12-12,40.0,10.0,宜蘭市,260,30.0,30.0,3890.0,2013,12,12,3
18,花椰菜-青梗,FB1,2013-12-13,40.0,10.0,宜蘭市,260,30.0,30.0,3980.0,2013,12,13,4
19,花椰菜-青梗,FB1,2013-12-14,40.0,10.0,宜蘭市,260,30.0,30.0,3980.0,2013,12,14,5
20,花椰菜-青梗,FB1,2013-12-19,40.0,10.0,宜蘭市,260,30.0,30.0,3450.0,2013,12,19,3
21,花椰菜-青梗,FB1,2013-12-21,40.0,10.0,宜蘭市,260,30.0,30.0,3780.0,2013,12,21,5
22,花椰菜-青梗,FB1,2013-12-22,45.0,15.0,宜蘭市,260,31.6,35.0,3780.0,2013,12,22,6
23,花椰菜-青梗,FB1,2013-12-24,45.0,15.0,宜蘭市,260,31.6,35.0,3780.0,2013,12,24,1
24,花椰菜-青梗,FB1,2013-12-25,45.0,15.0,宜蘭市,260,31.6,35.0,3780.0,2013,12,25,2
25,花椰菜-青梗,FB1,2013-12-26,45.0,15.0,宜蘭市,260,31.6,35.0,3890.0,2013,12,26,3
26,花椰菜-青梗,FB1,2013-12-27,45.0,15.0,宜蘭市,260,31.6,35.0,3650.0,2013,12,27,4
27,花椰菜-青梗,FB1,2013-12-28,45.0,15.0,宜蘭市,260,31.6,35.0,3890.0,2013,12,28,5
28,花椰菜-青梗,FB1,2013-12-29,45.0,15.0,宜蘭市,260,31.6,35.0,3780.0,2013,12,29,6
29,花椰菜-青梗,FB1,2014-01-01,40.0,20.0,宜蘭市,260,30.0,30.0,3780.0,2014,1,1,2
30,花椰菜-青梗,FB1,2014-01-02,40.0,20.0,宜蘭市,260,30.0,30.0,3750.0,2014,1,2,3
31,花椰菜-青梗,FB1,2014-01-03,40.0,20.0,宜蘭市,260,30.0,30.0,3890.0,2014,1,3,4
32,花椰菜-青梗,FB1,2014-01-04,30.0,10.0,宜蘭市,260,20.0,20.0,4120.0,2014,1,4,5
33,花椰菜-青梗,FB1,2014-01-05,30.0,10.0,宜蘭市,260,20.0,20.0,3890.0,2014,1,5,6
34,花椰菜-青梗,FB1,2014-01-07,25.0,10.0,宜蘭市,260,18.3,20.0,4120.0,2014,1,7,1
35,花椰菜-青梗,FB1,2014-01-08,25.0,10.0,宜蘭市,260,18.3,20.0,4210.0,2014,1,8,2
36,花椰菜-青梗,FB1,2014-01-09,20.0,10.0,宜蘭市,260,15.0,15.0,3980.0,2014,1,9,3
37,花椰菜-青梗,FB1,2014-01-10,20.0,10.0,宜蘭市,260,15.0,15.0,3980.0,2014,1,10,4
38,花椰菜-青梗,FB1,2014-01-11,20.0,10.0,宜蘭市,260,15.0,15.0,4320.0,2014,1,11,5
39,花椰菜-青梗,FB1,2014-01-12,20.0,10.0,宜蘭市,260,15.0,15.0,4560.0,2014,1,12,6
40,花椰菜-青梗,FB1,2014-01-14,20.0,10.0,宜蘭市,260,15.0,15.0,4560.0,2014,1,14,1
41,花椰菜-青梗,FB1,2014-01-15,20.0,8.0,宜蘭市,260,12.6,10.0,4890.0,2014,1,15,2
42,花椰菜-青梗,FB1,2014-01-16,20.0,8.0,宜蘭市,260,12.6,10.0,4650.0,2014,1,16,3
43,花椰菜-青梗,FB1,2014-01-17,20.0,8.0,宜蘭市,260,12.6,10.0,4560.0,2014,1,17,4
44,花椰菜-青梗,FB1,2014-01-18,20.0,0.8,宜蘭市,260,12.6,10.0,4680.0,2014,1,18,5
45,花椰菜-青梗,FB1,2014-01-19,20.0,8.0,宜蘭市,260,12.6,10.0,4650.0,2014,1,19,6
46,花椰菜-青梗,FB1,2014-01-21,20.0,8.0,宜蘭市,260,12.6,10.0,4650.0,2014,1,21,1
47,花椰菜-青梗,FB1,2014-01-22,20.0,8.0,宜蘭市,260,12.6,10.0,4650.0,2014,1,22,2
48,花椰菜-青梗,FB1,2014-01-23,25.0,15.0,宜蘭市,260,20.0,20.0,4210.0,2014,1,23,3
49,花椰菜-青梗,FB1,2014-01-24,30.0,15.0,宜蘭市,260,21.6,20.0,4520.0,2014,1,24,4
50,花椰菜-青梗,FB1,2014-01-25,35.0,15.0,宜蘭市,260,25.0,25.0,4890.0,2014,1,25,5
51,花椰菜-青梗,FB1,2014-01-26,35.0,15.0,宜蘭市,260,25.0,25.0,4850.0,2014,1,26,6
52,花椰菜-青梗,FB1,2014-01-27,35.0,15.0,宜蘭市,260,25.0,25.0,4320.0,2014,1,27,0
53,花椰菜-青梗,FB1,2014-01-28,40.0,15.0,宜蘭市,260,28.3,30.0,4680.0,2014,1,28,1
54,花椰菜-青梗,FB1,2014-01-29,45.0,20.0,宜蘭市,260,31.6,30.0,5680.0,2014,1,29,2
55,花椰菜-青梗,FB1,2014-01-30,40.0,20.0,宜蘭市,260,30.0,30.0,4520.0,2014,1,30,3
56,花椰菜-青梗,FB1,2014-02-05,30.0,10.0,宜蘭市,260,20.0,20.0,3210.0,2014,2,5,2
57,花椰菜-青梗,FB1,2014-02-06,25.0,10.0,宜蘭市,260,18.3,20.0,4520.0,2014,2,6,3
58,花椰菜-青梗,FB1,2014-02-07,25.0,10.0,宜蘭市,260,18.3,20.0,4685.0,2014,2,7,4
59,花椰菜-青梗,FB1,2014-02-08,20.0,10.0,宜蘭市,260,15.0,15.0,4890.0,2014,2,8,5
60,花椰菜-青梗,FB1,2014-02-09,20.0,10.0,宜蘭市,260,15.0,15.0,4650.0,2014,2,9,6
61,花椰菜-青梗,FB1,2014-02-11,25.0,10.0,宜蘭市,260,18.3,20.0,4320.0,2014,2,11,1
62,花椰菜-青梗,FB1,2014-02-12,30.0,10.0,宜蘭市,260,20.0,20.0,4250.0,2014,2,12,2
63,花椰菜-青梗,FB1,2014-02-13,30.0,10.0,宜蘭市,260,20.0,20.0,4530.0,2014,2,13,3
64,花椰菜-青梗,FB1,2014-02-14,30.0,10.0,宜蘭市,260,20.0,20.0,4560.0,2014,2,14,4
65,花椰菜-青梗,FB1,2014-02-20,30.0,10.0,宜蘭市,260,20.0,20.0,3580.0,2014,2,20,3
66,花椰菜-青梗,FB1,2014-02-21,30.0,10.0,宜蘭市,260,20.0,20.0,3520.0,2014,2,21,4
67,花椰菜-青梗,FB1,2014-02-22,30.0,10.0,宜蘭市,260,20.0,20.0,3980.0,2014,2,22,5
68,花椰菜-青梗,FB1,2014-02-23,35.0,15.0,宜蘭市,260,25.0,25.0,4120.0,2014,2,23,6
