,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,荔枝-黑葉,J2,2013-06-07,30.0,20.0,宜蘭市,260,25.0,25.0,1120.0,2013,6,7,4
1,荔枝-黑葉,J2,2013-06-08,30.0,20.0,宜蘭市,260,25.0,25.0,1180.0,2013,6,8,5
2,荔枝-黑葉,J2,2013-06-09,30.0,20.0,宜蘭市,260,25.0,25.0,1340.0,2013,6,9,6
3,荔枝-黑葉,J2,2013-06-11,35.0,25.0,宜蘭市,260,30.0,30.0,2540.0,2013,6,11,1
4,荔枝-黑葉,J2,2013-06-12,30.0,20.0,宜蘭市,260,25.0,25.0,1500.0,2013,6,12,2
5,荔枝-黑葉,J2,2013-06-15,28.0,20.0,宜蘭市,260,23.6,23.0,1650.0,2013,6,15,5
6,荔枝-黑葉,J2,2013-06-16,25.0,18.0,宜蘭市,260,22.0,23.0,1650.0,2013,6,16,6
7,荔枝-黑葉,J2,2013-06-18,25.0,15.0,宜蘭市,260,20.0,20.0,1500.0,2013,6,18,1
8,荔枝-黑葉,J2,2013-06-19,22.0,12.0,宜蘭市,260,17.3,18.0,1600.0,2013,6,19,2
9,荔枝-黑葉,J2,2013-06-20,22.0,12.0,宜蘭市,260,17.3,18.0,1500.0,2013,6,20,3
10,荔枝-黑葉,J2,2013-06-21,25.0,15.0,宜蘭市,260,20.0,20.0,1800.0,2013,6,21,4
11,荔枝-黑葉,J2,2013-06-22,25.0,15.0,宜蘭市,260,20.0,20.0,3210.0,2013,6,22,5
12,荔枝-黑葉,J2,2013-06-23,25.0,15.0,宜蘭市,260,15.0,20.0,2460.0,2013,6,23,6
13,荔枝-黑葉,J2,2013-06-25,22.0,12.0,宜蘭市,260,17.3,18.0,2560.0,2013,6,25,1
14,荔枝-黑葉,J2,2013-06-26,22.0,12.0,宜蘭市,260,17.3,18.0,1450.0,2013,6,26,2
15,荔枝-黑葉,J2,2013-06-27,22.0,12.0,宜蘭市,260,17.3,18.0,1320.0,2013,6,27,3
16,荔枝-黑葉,J2,2013-06-28,22.0,12.0,宜蘭市,260,17.3,18.0,1230.0,2013,6,28,4
17,荔枝-黑葉,J2,2013-06-29,22.0,12.0,宜蘭市,260,17.3,18.0,1560.0,2013,6,29,5
