,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,鳳梨-金鑽鳳梨,B2,2013-05-01,25.0,15.0,宜蘭市,260,23.0,20.0,1520.0,2013,5,1,2
1,鳳梨-金鑽鳳梨,B2,2013-05-03,20.0,10.0,宜蘭市,260,13.5,15.0,2540.0,2013,5,3,4
2,鳳梨-金鑽鳳梨,B2,2013-05-04,15.0,8.0,宜蘭市,260,8.0,10.0,2580.0,2013,5,4,5
3,鳳梨-金鑽鳳梨,B2,2013-06-04,25.0,15.0,宜蘭市,260,20.0,20.0,5210.0,2013,6,4,1
4,鳳梨-金鑽鳳梨,B2,2013-06-05,28.0,20.0,宜蘭市,260,23.6,23.0,4170.0,2013,6,5,2
5,鳳梨-金鑽鳳梨,B2,2013-06-06,30.0,20.0,宜蘭市,260,25.0,25.0,4170.0,2013,6,6,3
6,鳳梨-金鑽鳳梨,B2,2013-06-07,30.0,20.0,宜蘭市,260,20.0,25.0,4170.0,2013,6,7,4
7,鳳梨-金鑽鳳梨,B2,2013-06-08,30.0,20.0,宜蘭市,260,25.0,25.0,4230.0,2013,6,8,5
8,鳳梨-金鑽鳳梨,B2,2013-06-09,30.0,20.0,宜蘭市,260,20.0,25.0,4560.0,2013,6,9,6
9,鳳梨-金鑽鳳梨,B2,2013-06-11,35.0,25.0,宜蘭市,260,30.0,30.0,5560.0,2013,6,11,1
10,鳳梨-金鑽鳳梨,B2,2013-06-12,35.0,25.0,宜蘭市,260,30.0,30.0,4580.0,2013,6,12,2
11,鳳梨-金鑽鳳梨,B2,2013-06-15,30.0,20.0,宜蘭市,260,25.0,25.0,5560.0,2013,6,15,5
12,鳳梨-金鑽鳳梨,B2,2013-06-16,28.0,18.0,宜蘭市,260,23.6,25.0,5620.0,2013,6,16,6
13,鳳梨-金鑽鳳梨,B2,2013-06-18,25.0,15.0,宜蘭市,260,20.0,20.0,4650.0,2013,6,18,1
14,鳳梨-金鑽鳳梨,B2,2013-06-20,27.0,18.0,宜蘭市,260,22.6,23.0,5230.0,2013,6,20,3
15,鳳梨-金鑽鳳梨,B2,2013-06-22,30.0,20.0,宜蘭市,260,25.0,25.0,5630.0,2013,6,22,5
16,鳳梨-金鑽鳳梨,B2,2013-06-23,30.0,20.0,宜蘭市,260,25.0,25.0,5640.0,2013,6,23,6
17,鳳梨-金鑽鳳梨,B2,2013-06-25,40.0,20.0,宜蘭市,260,30.0,30.0,6530.0,2013,6,25,1
18,鳳梨-金鑽鳳梨,B2,2013-06-26,25.0,15.0,宜蘭市,260,20.0,20.0,6890.0,2013,6,26,2
19,鳳梨-金鑽鳳梨,B2,2013-06-27,23.0,13.0,宜蘭市,260,18.0,18.0,6950.0,2013,6,27,3
20,鳳梨-金鑽鳳梨,B2,2013-06-28,21.0,12.0,宜蘭市,260,16.6,17.0,6780.0,2013,6,28,4
21,鳳梨-金鑽鳳梨,B2,2013-06-29,18.0,12.0,宜蘭市,260,15.0,15.0,7020.0,2013,6,29,5
22,鳳梨-金鑽鳳梨,B2,2013-06-30,18.0,12.0,宜蘭市,260,15.0,15.0,7890.0,2013,6,30,6
23,鳳梨-金鑽鳳梨,B2,2013-07-02,20.0,12.0,宜蘭市,260,15.6,15.0,7520.0,2013,7,2,1
24,鳳梨-金鑽鳳梨,B2,2013-07-03,20.0,12.0,宜蘭市,260,15.6,15.0,7560.0,2013,7,3,2
25,鳳梨-金鑽鳳梨,B2,2013-07-04,20.0,12.0,宜蘭市,260,15.6,15.0,7560.0,2013,7,4,3
26,鳳梨-金鑽鳳梨,B2,2013-07-05,20.0,12.0,宜蘭市,260,15.6,15.0,7890.0,2013,7,5,4
27,鳳梨-金鑽鳳梨,B2,2013-07-06,25.0,12.0,宜蘭市,260,17.3,15.0,8230.0,2013,7,6,5
28,鳳梨-金鑽鳳梨,B2,2013-07-07,25.0,12.0,宜蘭市,260,17.3,15.0,8970.0,2013,7,7,6
29,鳳梨-金鑽鳳梨,B2,2013-07-09,25.0,12.0,宜蘭市,260,17.3,15.0,8120.0,2013,7,9,1
30,鳳梨-金鑽鳳梨,B2,2013-07-10,25.0,12.0,宜蘭市,260,17.3,15.0,7560.0,2013,7,10,2
31,鳳梨-金鑽鳳梨,B2,2013-07-11,25.0,12.0,宜蘭市,260,17.3,15.0,7890.0,2013,7,11,3
32,鳳梨-金鑽鳳梨,B2,2013-07-12,25.0,12.0,宜蘭市,260,17.3,15.0,7560.0,2013,7,12,4
33,鳳梨-金鑽鳳梨,B2,2013-07-14,25.0,12.0,宜蘭市,260,17.3,15.0,6580.0,2013,7,14,6
34,鳳梨-金鑽鳳梨,B2,2013-07-16,25.0,12.0,宜蘭市,260,17.3,15.0,7980.0,2013,7,16,1
35,鳳梨-金鑽鳳梨,B2,2013-07-17,25.0,12.0,宜蘭市,260,17.3,15.0,8030.0,2013,7,17,2
36,鳳梨-金鑽鳳梨,B2,2013-07-18,25.0,12.0,宜蘭市,260,17.3,15.0,7890.0,2013,7,18,3
37,鳳梨-金鑽鳳梨,B2,2013-07-19,25.0,12.0,宜蘭市,260,17.3,15.0,7590.0,2013,7,19,4
38,鳳梨-金鑽鳳梨,B2,2013-07-20,25.0,12.0,宜蘭市,260,17.3,15.0,8050.0,2013,7,20,5
39,鳳梨-金鑽鳳梨,B2,2013-07-21,30.0,15.0,宜蘭市,260,21.6,20.0,8950.0,2013,7,21,6
40,鳳梨-金鑽鳳梨,B2,2013-07-23,30.0,15.0,宜蘭市,260,21.6,20.0,7890.0,2013,7,23,1
41,鳳梨-金鑽鳳梨,B2,2013-07-24,35.0,25.0,宜蘭市,260,30.0,30.0,5670.0,2013,7,24,2
42,鳳梨-金鑽鳳梨,B2,2013-07-25,35.0,25.0,宜蘭市,260,30.0,30.0,5860.0,2013,7,25,3
43,鳳梨-金鑽鳳梨,B2,2013-07-26,40.0,25.0,宜蘭市,260,31.6,30.0,4890.0,2013,7,26,4
44,鳳梨-金鑽鳳梨,B2,2013-07-27,40.0,25.0,宜蘭市,260,31.65,30.0,5670.0,2013,7,27,5
45,鳳梨-金鑽鳳梨,B2,2013-07-28,40.0,25.0,宜蘭市,260,31.6,30.0,4890.0,2013,7,28,6
46,鳳梨-金鑽鳳梨,B2,2013-07-30,40.0,25.0,宜蘭市,260,31.6,30.0,4320.0,2013,7,30,1
47,鳳梨-金鑽鳳梨,B2,2013-07-31,40.0,25.0,宜蘭市,260,31.6,30.0,4780.0,2013,7,31,2
48,鳳梨-金鑽鳳梨,B2,2013-08-01,40.0,25.0,宜蘭市,260,31.6,30.0,3980.0,2013,8,1,3
49,鳳梨-金鑽鳳梨,B2,2013-08-02,40.0,25.0,宜蘭市,260,31.6,30.0,2560.0,2013,8,2,4
50,鳳梨-金鑽鳳梨,B2,2013-08-03,40.0,25.0,宜蘭市,260,31.6,30.0,2970.0,2013,8,3,5
51,鳳梨-金鑽鳳梨,B2,2013-08-04,45.0,25.0,宜蘭市,260,33.3,30.0,2560.0,2013,8,4,6
52,鳳梨-金鑽鳳梨,B2,2013-08-06,45.0,25.0,宜蘭市,260,33.3,30.0,3090.0,2013,8,6,1
53,鳳梨-金鑽鳳梨,B2,2013-08-07,45.0,25.0,宜蘭市,260,33.3,30.0,2650.0,2013,8,7,2
54,鳳梨-金鑽鳳梨,B2,2013-08-08,45.0,25.0,宜蘭市,260,33.3,30.0,2980.0,2013,8,8,3
55,鳳梨-金鑽鳳梨,B2,2013-08-09,45.0,25.0,宜蘭市,260,33.3,30.0,2450.0,2013,8,9,4
56,鳳梨-金鑽鳳梨,B2,2013-08-10,45.0,25.0,宜蘭市,260,33.3,30.0,2560.0,2013,8,10,5
57,鳳梨-金鑽鳳梨,B2,2013-08-11,45.0,25.0,宜蘭市,260,33.3,30.0,2190.0,2013,8,11,6
58,鳳梨-金鑽鳳梨,B2,2013-08-13,40.0,25.0,宜蘭市,260,31.6,30.0,2540.0,2013,8,13,1
59,鳳梨-金鑽鳳梨,B2,2013-08-14,40.0,25.0,宜蘭市,260,31.6,30.0,2650.0,2013,8,14,2
60,鳳梨-金鑽鳳梨,B2,2013-08-15,40.0,25.0,宜蘭市,260,31.6,30.0,2780.0,2013,8,15,3
61,鳳梨-金鑽鳳梨,B2,2013-08-16,40.0,25.0,宜蘭市,260,31.6,30.0,2650.0,2013,8,16,4
62,鳳梨-金鑽鳳梨,B2,2013-08-17,45.0,25.0,宜蘭市,260,33.3,30.0,2980.0,2013,8,17,5
