,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,濕木耳,MC1,2017-04-07,71.0,40.1,板橋區,220,64.0,69.6,509.0,2017,4,7,4
1,濕木耳,MC1,2017-04-08,66.0,6.0,板橋區,220,52.1,62.8,401.0,2017,4,8,5
2,濕木耳,MC1,2017-04-09,50.0,50.0,板橋區,220,50.0,50.0,189.0,2017,4,9,6
3,濕木耳,MC1,2017-04-11,50.0,42.0,板橋區,220,48.4,50.0,373.0,2017,4,11,1
4,濕木耳,MC1,2017-04-12,50.0,35.2,板橋區,220,45.5,47.4,344.0,2017,4,12,2
5,濕木耳,MC1,2017-04-13,45.0,45.0,板橋區,220,45.0,45.0,229.0,2017,4,13,3
6,濕木耳,MC1,2017-04-14,45.0,42.8,板橋區,220,44.6,45.0,342.0,2017,4,14,4
7,濕木耳,MC1,2017-04-15,45.0,44.4,板橋區,220,44.9,45.0,460.0,2017,4,15,5
8,濕木耳,MC1,2017-04-16,51.0,41.0,板橋區,220,45.3,44.9,373.0,2017,4,16,6
9,濕木耳,MC1,2017-04-18,49.0,31.4,板橋區,220,41.1,41.7,582.0,2017,4,18,1
10,濕木耳,MC1,2017-04-19,42.0,24.1,板橋區,220,37.0,39.6,491.0,2017,4,19,2
11,濕木耳,MC1,2017-04-20,45.0,29.7,板橋區,220,40.3,42.3,474.0,2017,4,20,3
12,濕木耳,MC1,2017-04-21,42.0,39.0,板橋區,220,41.3,41.8,256.0,2017,4,21,4
13,濕木耳,MC1,2017-04-22,42.0,27.9,板橋區,220,39.1,41.9,508.0,2017,4,22,5
14,濕木耳,MC1,2017-04-23,42.0,25.9,板橋區,220,38.0,40.7,288.0,2017,4,23,6
15,濕木耳,MC1,2017-04-25,46.1,34.4,板橋區,220,41.2,41.9,478.0,2017,4,25,1
16,濕木耳,MC1,2017-04-26,46.1,33.9,板橋區,220,41.2,42.0,589.0,2017,4,26,2
17,濕木耳,MC1,2017-04-27,46.0,29.2,板橋區,220,39.8,41.3,595.0,2017,4,27,3
18,濕木耳,MC1,2017-04-28,42.7,26.7,板橋區,220,35.4,35.8,457.0,2017,4,28,4
19,濕木耳,MC1,2017-04-29,45.0,21.1,板橋區,220,37.0,39.6,506.0,2017,4,29,5
20,濕木耳,MC1,2017-04-30,43.0,30.0,板橋區,220,38.9,40.5,744.0,2017,4,30,6
21,濕木耳,MC1,2017-05-02,36.0,25.8,板橋區,220,33.8,35.8,501.0,2017,5,2,1
22,濕木耳,MC1,2017-05-03,44.5,35.5,板橋區,220,37.6,36.0,355.0,2017,5,3,2
23,濕木耳,MC1,2017-05-04,36.0,30.3,板橋區,220,34.9,36.0,439.0,2017,5,4,3
24,濕木耳,MC1,2017-05-05,45.8,35.1,板橋區,220,37.8,36.0,384.0,2017,5,5,4
25,濕木耳,MC1,2017-05-06,40.1,25.6,板橋區,220,35.1,36.6,677.0,2017,5,6,5
26,濕木耳,MC1,2017-05-07,36.0,30.2,板橋區,220,34.8,36.0,406.0,2017,5,7,6
27,濕木耳,MC1,2017-05-09,36.0,28.1,板橋區,220,34.0,35.3,343.0,2017,5,9,1
28,濕木耳,MC1,2017-05-10,36.2,20.0,板橋區,220,27.6,27.2,481.0,2017,5,10,2
29,濕木耳,MC1,2017-05-11,35.0,24.3,板橋區,220,29.8,29.9,392.0,2017,5,11,3
30,濕木耳,MC1,2017-05-12,30.0,18.9,板橋區,220,22.4,21.1,367.0,2017,5,12,4
31,濕木耳,MC1,2017-05-13,20.0,17.4,板橋區,220,18.9,19.1,480.0,2017,5,13,5
32,濕木耳,MC1,2017-05-14,33.0,19.5,板橋區,220,27.1,27.6,321.0,2017,5,14,6
