,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,火龍果-紅肉,812,2017-04-09,147.0,147.0,板橋區,220,147.0,147.0,117.0,2017,4,9,6
1,火龍果-紅肉,812,2017-04-11,140.0,140.0,板橋區,220,140.0,140.0,40.0,2017,4,11,1
2,火龍果-紅肉,812,2017-04-15,100.0,50.0,板橋區,220,86.3,93.8,131.0,2017,4,15,5
3,火龍果-紅肉,812,2017-05-02,100.0,68.1,板橋區,220,89.8,93.6,219.0,2017,5,2,1
4,火龍果-紅肉,812,2017-05-07,98.0,98.0,板橋區,220,98.0,98.0,702.0,2017,5,7,6
5,火龍果-紅肉,812,2017-05-09,88.0,80.0,板橋區,220,83.1,82.4,840.0,2017,5,9,1
6,火龍果-紅肉,812,2017-05-10,95.0,95.0,板橋區,220,95.0,95.0,160.0,2017,5,10,2
7,火龍果-紅肉,812,2017-05-11,95.0,50.0,板橋區,220,71.8,71.3,558.0,2017,5,11,3
8,火龍果-紅肉,812,2017-05-13,118.7,57.0,板橋區,220,76.4,68.8,378.0,2017,5,13,5
9,火龍果-紅肉,812,2017-05-14,78.4,50.0,板橋區,220,60.3,57.6,962.0,2017,5,14,6
10,火龍果-紅肉,812,2017-05-16,93.8,35.0,板橋區,220,54.6,48.1,1036.0,2017,5,16,1
11,火龍果-紅肉,812,2017-05-18,50.0,50.0,板橋區,220,50.0,50.0,81.0,2017,5,18,3
12,火龍果-紅肉,812,2017-05-21,78.0,60.0,板橋區,220,65.3,62.8,184.0,2017,5,21,6
13,火龍果-紅肉,812,2017-05-23,112.4,54.3,板橋區,220,73.5,67.0,378.0,2017,5,23,1
14,火龍果-紅肉,812,2017-05-24,72.6,41.5,板橋區,220,61.3,64.1,1574.0,2017,5,24,2
15,火龍果-紅肉,812,2017-05-25,76.0,50.0,板橋區,220,65.8,67.6,1316.0,2017,5,25,3
16,火龍果-紅肉,812,2017-05-26,83.8,58.7,板橋區,220,71.0,70.9,927.0,2017,5,26,4
17,火龍果-紅肉,812,2017-05-27,75.9,50.0,板橋區,220,64.1,64.8,804.0,2017,5,27,5
18,火龍果-紅肉,812,2017-05-28,70.0,60.7,板橋區,220,66.6,67.4,528.0,2017,5,28,6
19,火龍果-紅肉,812,2017-05-29,66.2,55.0,板橋區,220,59.0,57.9,641.0,2017,5,29,0
20,火龍果-紅肉,812,2017-05-30,60.0,48.0,板橋區,220,56.7,58.5,267.0,2017,5,30,1
21,火龍果-紅肉,812,2017-06-02,60.0,49.4,板橋區,220,54.0,53.6,930.0,2017,6,2,4
22,火龍果-紅肉,812,2017-06-03,56.8,48.0,板橋區,220,50.6,49.4,729.0,2017,6,3,5
23,火龍果-紅肉,812,2017-06-04,58.0,50.0,板橋區,220,54.0,54.0,578.0,2017,6,4,6
24,火龍果-紅肉,812,2017-06-06,62.0,45.0,板橋區,220,53.4,53.4,1125.0,2017,6,6,1
25,火龍果-紅肉,812,2017-06-07,62.0,36.2,板橋區,220,54.2,57.6,3681.0,2017,6,7,2
26,火龍果-紅肉,812,2017-06-08,56.5,43.2,板橋區,220,49.7,49.5,6446.0,2017,6,8,3
27,火龍果-紅肉,812,2017-06-09,59.1,40.0,板橋區,220,50.0,50.3,4895.0,2017,6,9,4
28,火龍果-紅肉,812,2017-06-10,48.0,37.1,板橋區,220,42.6,42.6,3231.0,2017,6,10,5
29,火龍果-紅肉,812,2017-06-11,39.8,29.0,板橋區,220,32.8,31.7,2677.0,2017,6,11,6
30,火龍果-紅肉,812,2017-06-13,34.6,26.8,板橋區,220,29.9,29.4,2595.0,2017,6,13,1
31,火龍果-紅肉,812,2017-06-14,30.6,24.5,板橋區,220,27.3,27.1,2246.0,2017,6,14,2
32,火龍果-紅肉,812,2017-06-15,33.5,14.4,板橋區,220,23.5,23.2,2866.0,2017,6,15,3
33,火龍果-紅肉,812,2017-06-16,28.6,15.1,板橋區,220,19.7,18.2,4263.0,2017,6,16,4
34,火龍果-紅肉,812,2017-06-17,26.8,14.5,板橋區,220,20.0,19.6,6045.0,2017,6,17,5
35,火龍果-紅肉,812,2017-06-18,24.8,9.9,板橋區,220,17.7,18.0,6643.0,2017,6,18,6
36,火龍果-紅肉,812,2017-06-20,29.0,18.9,板橋區,220,23.1,22.6,7631.0,2017,6,20,1
37,火龍果-紅肉,812,2017-06-21,27.5,19.5,板橋區,220,21.7,20.5,5904.0,2017,6,21,2
38,火龍果-紅肉,812,2017-06-22,28.1,18.2,板橋區,220,22.3,21.8,4997.0,2017,6,22,3
39,火龍果-紅肉,812,2017-06-23,29.1,19.1,板橋區,220,23.0,22.3,4725.0,2017,6,23,4
40,火龍果-紅肉,812,2017-06-24,33.3,19.4,板橋區,220,24.7,23.6,5106.0,2017,6,24,5
41,火龍果-紅肉,812,2017-06-25,36.8,22.1,板橋區,220,28.0,27.0,1746.0,2017,6,25,6
42,火龍果-紅肉,812,2017-06-27,39.8,19.4,板橋區,220,27.0,25.2,2924.0,2017,6,27,1
43,火龍果-紅肉,812,2017-06-28,29.2,25.0,板橋區,220,27.3,27.5,981.0,2017,6,28,2
44,火龍果-紅肉,812,2017-06-29,30.0,30.0,板橋區,220,30.0,30.0,934.0,2017,6,29,3
45,火龍果-紅肉,812,2017-06-30,33.0,25.0,板橋區,220,27.9,27.1,732.0,2017,6,30,4
