,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,芽菜類-苜宿芽,SX4,2017-04-07,45.0,45.0,板橋區,220,45.0,45.0,6.0,2017,4,7,4
1,芽菜類-苜宿芽,SX4,2017-04-08,43.0,43.0,板橋區,220,43.0,43.0,12.0,2017,4,8,5
2,芽菜類-苜宿芽,SX4,2017-04-11,6.0,6.0,板橋區,220,6.0,6.0,6.0,2017,4,11,1
3,芽菜類-苜宿芽,SX4,2017-04-29,20.0,20.0,板橋區,220,20.0,20.0,6.0,2017,4,29,5
4,芽菜類-苜宿芽,SX4,2017-05-02,40.0,40.0,板橋區,220,40.0,40.0,7.5,2017,5,2,1
5,芽菜類-苜宿芽,SX4,2017-05-04,40.0,40.0,板橋區,220,40.0,40.0,3.8,2017,5,4,3
6,芽菜類-苜宿芽,SX4,2017-05-06,40.0,40.0,板橋區,220,40.0,40.0,2.5,2017,5,6,5
7,芽菜類-苜宿芽,SX4,2017-05-07,10.0,10.0,板橋區,220,10.0,10.0,5.0,2017,5,7,6
8,芽菜類-苜宿芽,SX4,2017-05-28,40.0,40.0,板橋區,220,40.0,40.0,3.0,2017,5,28,6
9,芽菜類-苜宿芽,SX4,2017-06-02,32.0,32.0,板橋區,220,32.0,32.0,32.0,2017,6,2,4
10,芽菜類-苜宿芽,SX4,2017-06-03,40.0,40.0,板橋區,220,40.0,40.0,4.5,2017,6,3,5
11,芽菜類-苜宿芽,SX4,2017-06-04,32.0,32.0,板橋區,220,32.0,32.0,40.0,2017,6,4,6
12,芽菜類-苜宿芽,SX4,2017-06-06,37.0,30.0,板橋區,220,31.4,30.0,43.0,2017,6,6,1
13,芽菜類-苜宿芽,SX4,2017-06-08,32.0,32.0,板橋區,220,32.0,32.0,16.0,2017,6,8,3
14,芽菜類-苜宿芽,SX4,2017-06-10,35.9,30.0,板橋區,220,31.2,30.0,51.0,2017,6,10,5
15,芽菜類-苜宿芽,SX4,2017-06-17,37.0,37.0,板橋區,220,37.0,37.0,3.0,2017,6,17,5
16,芽菜類-苜宿芽,SX4,2017-06-20,50.0,50.0,板橋區,220,50.0,50.0,1.5,2017,6,20,1
17,芽菜類-苜宿芽,SX4,2017-06-22,50.0,48.0,板橋區,220,49.0,49.0,6.0,2017,6,22,3
18,芽菜類-苜宿芽,SX4,2017-06-24,50.0,50.0,板橋區,220,50.0,50.0,2.0,2017,6,24,5
19,芽菜類-苜宿芽,SX4,2017-07-01,50.0,50.0,板橋區,220,50.0,50.0,3.0,2017,7,1,5
20,芽菜類-苜宿芽,SX4,2017-07-04,50.0,50.0,板橋區,220,50.0,50.0,3.0,2017,7,4,1
21,芽菜類-苜宿芽,SX4,2017-07-08,50.0,50.0,板橋區,220,50.0,50.0,3.0,2017,7,8,5
22,芽菜類-苜宿芽,SX4,2017-07-11,50.0,50.0,板橋區,220,50.0,50.0,3.0,2017,7,11,1
23,芽菜類-苜宿芽,SX4,2017-07-15,50.0,50.0,板橋區,220,50.0,50.0,3.0,2017,7,15,5
24,芽菜類-苜宿芽,SX4,2017-07-18,50.0,50.0,板橋區,220,50.0,50.0,3.0,2017,7,18,1
25,芽菜類-苜宿芽,SX4,2017-07-22,50.0,50.0,板橋區,220,50.0,50.0,4.5,2017,7,22,5
26,芽菜類-苜宿芽,SX4,2017-07-29,50.0,50.0,板橋區,220,50.0,50.0,4.5,2017,7,29,5
27,芽菜類-苜宿芽,SX4,2017-08-05,50.0,50.0,板橋區,220,50.0,50.0,4.5,2017,8,5,5
28,芽菜類-苜宿芽,SX4,2017-08-12,50.0,50.0,板橋區,220,50.0,50.0,4.5,2017,8,12,5
29,芽菜類-苜宿芽,SX4,2017-08-19,50.0,50.0,板橋區,220,50.0,50.0,4.5,2017,8,19,5
30,芽菜類-苜宿芽,SX4,2017-08-22,30.0,30.0,板橋區,220,30.0,30.0,6.0,2017,8,22,1
31,芽菜類-苜宿芽,SX4,2017-08-26,50.0,34.0,板橋區,220,42.0,42.0,12.0,2017,8,26,5
32,芽菜類-苜宿芽,SX4,2017-09-02,50.0,50.0,板橋區,220,50.0,50.0,9.0,2017,9,2,5
33,芽菜類-苜宿芽,SX4,2017-09-09,50.0,50.0,板橋區,220,50.0,50.0,4.5,2017,9,9,5
34,芽菜類-苜宿芽,SX4,2017-09-16,50.0,50.0,板橋區,220,50.0,50.0,4.5,2017,9,16,5
35,芽菜類-苜宿芽,SX4,2017-09-19,35.0,35.0,板橋區,220,35.0,35.0,6.0,2017,9,19,1
