,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,薯蕷-紅薯蕷,SU1,2017-04-18,18.0,18.0,板橋區,220,18.0,18.0,60.0,2017,4,18,1
1,薯蕷-紅薯蕷,SU1,2017-06-10,65.0,65.0,板橋區,220,65.0,65.0,25.0,2017,6,10,5
2,薯蕷-紅薯蕷,SU1,2017-07-22,80.0,55.0,板橋區,220,63.1,60.2,68.0,2017,7,22,5
3,薯蕷-紅薯蕷,SU1,2017-07-23,60.0,60.0,板橋區,220,60.0,60.0,22.0,2017,7,23,6
4,薯蕷-紅薯蕷,SU1,2017-07-25,72.0,60.0,板橋區,220,66.2,66.3,71.0,2017,7,25,1
5,薯蕷-紅薯蕷,SU1,2017-07-26,97.0,92.0,板橋區,220,94.4,94.4,56.0,2017,7,26,2
6,薯蕷-紅薯蕷,SU1,2017-07-27,90.0,55.0,板橋區,220,71.1,70.1,74.0,2017,7,27,3
7,薯蕷-紅薯蕷,SU1,2017-07-28,85.0,42.0,板橋區,220,65.6,67.0,133.0,2017,7,28,4
8,薯蕷-紅薯蕷,SU1,2017-07-29,95.0,85.0,板橋區,220,90.0,89.9,117.0,2017,7,29,5
9,薯蕷-紅薯蕷,SU1,2017-07-30,80.0,80.0,板橋區,220,80.0,80.0,84.0,2017,7,30,6
10,薯蕷-紅薯蕷,SU1,2017-08-01,72.0,70.0,板橋區,220,71.0,70.9,54.0,2017,8,1,1
11,薯蕷-紅薯蕷,SU1,2017-08-02,79.8,60.9,板橋區,220,69.5,68.9,184.0,2017,8,2,2
12,薯蕷-紅薯蕷,SU1,2017-08-03,75.0,67.0,板橋區,220,71.0,71.0,116.0,2017,8,3,3
13,薯蕷-紅薯蕷,SU1,2017-08-04,75.0,70.0,板橋區,220,71.0,70.0,113.0,2017,8,4,4
14,薯蕷-紅薯蕷,SU1,2017-08-05,71.8,55.0,板橋區,220,59.2,56.4,132.0,2017,8,5,5
15,薯蕷-紅薯蕷,SU1,2017-08-06,74.1,45.0,板橋區,220,56.1,53.7,155.0,2017,8,6,6
16,薯蕷-紅薯蕷,SU1,2017-08-08,70.0,50.0,板橋區,220,57.8,56.4,111.0,2017,8,8,1
17,薯蕷-紅薯蕷,SU1,2017-08-09,70.0,55.0,板橋區,220,63.2,63.7,150.0,2017,8,9,2
18,薯蕷-紅薯蕷,SU1,2017-08-10,62.0,40.0,板橋區,220,51.8,52.3,82.0,2017,8,10,3
19,薯蕷-紅薯蕷,SU1,2017-08-11,60.0,37.4,板橋區,220,49.7,50.4,137.0,2017,8,11,4
20,薯蕷-紅薯蕷,SU1,2017-08-12,39.5,35.0,板橋區,220,35.9,35.0,156.0,2017,8,12,5
21,薯蕷-紅薯蕷,SU1,2017-08-13,60.0,60.0,板橋區,220,60.0,60.0,23.0,2017,8,13,6
22,薯蕷-紅薯蕷,SU1,2017-08-15,60.0,42.0,板橋區,220,51.2,51.3,53.0,2017,8,15,1
23,薯蕷-紅薯蕷,SU1,2017-08-16,47.0,45.0,板橋區,220,46.0,46.0,52.0,2017,8,16,2
24,薯蕷-紅薯蕷,SU1,2017-08-18,67.0,65.0,板橋區,220,66.1,66.2,55.0,2017,8,18,4
25,薯蕷-紅薯蕷,SU1,2017-08-19,75.0,57.0,板橋區,220,64.9,64.2,114.0,2017,8,19,5
26,薯蕷-紅薯蕷,SU1,2017-08-20,77.0,40.0,板橋區,220,65.5,70.2,114.0,2017,8,20,6
27,薯蕷-紅薯蕷,SU1,2017-08-22,52.0,45.0,板橋區,220,47.8,47.3,113.0,2017,8,22,1
28,薯蕷-紅薯蕷,SU1,2017-08-23,45.0,45.0,板橋區,220,45.0,45.0,23.0,2017,8,23,2
29,薯蕷-紅薯蕷,SU1,2017-08-24,36.0,35.0,板橋區,220,35.3,35.2,79.0,2017,8,24,3
30,薯蕷-紅薯蕷,SU1,2017-08-25,25.0,25.0,板橋區,220,25.0,25.0,49.0,2017,8,25,4
31,薯蕷-紅薯蕷,SU1,2017-08-26,39.0,30.0,板橋區,220,34.1,33.8,44.0,2017,8,26,5
32,薯蕷-紅薯蕷,SU1,2017-08-27,37.0,37.0,板橋區,220,37.0,37.0,25.0,2017,8,27,6
33,薯蕷-紅薯蕷,SU1,2017-08-29,40.0,40.0,板橋區,220,40.0,40.0,24.0,2017,8,29,1
34,薯蕷-紅薯蕷,SU1,2017-08-30,35.0,35.0,板橋區,220,35.0,35.0,26.0,2017,8,30,2
35,薯蕷-紅薯蕷,SU1,2017-08-31,45.0,30.5,板橋區,220,40.6,42.5,111.0,2017,8,31,3
36,薯蕷-紅薯蕷,SU1,2017-09-01,33.0,30.0,板橋區,220,31.9,32.2,63.0,2017,9,1,4
37,薯蕷-紅薯蕷,SU1,2017-09-02,30.0,30.0,板橋區,220,30.0,30.0,22.0,2017,9,2,5
38,薯蕷-紅薯蕷,SU1,2017-09-04,32.0,32.0,板橋區,220,32.0,32.0,24.0,2017,9,4,0
39,薯蕷-紅薯蕷,SU1,2017-09-05,50.0,50.0,板橋區,220,50.0,50.0,30.0,2017,9,5,1
40,薯蕷-紅薯蕷,SU1,2017-09-08,40.0,39.0,板橋區,220,39.2,39.1,96.0,2017,9,8,4
41,薯蕷-紅薯蕷,SU1,2017-09-09,55.0,35.0,板橋區,220,46.4,47.3,58.0,2017,9,9,5
42,薯蕷-紅薯蕷,SU1,2017-09-10,50.0,35.0,板橋區,220,45.6,47.6,143.0,2017,9,10,6
43,薯蕷-紅薯蕷,SU1,2017-09-12,37.0,37.0,板橋區,220,37.0,37.0,240.0,2017,9,12,1
44,薯蕷-紅薯蕷,SU1,2017-09-13,55.0,35.0,板橋區,220,48.3,50.6,87.0,2017,9,13,2
45,薯蕷-紅薯蕷,SU1,2017-09-14,35.0,35.0,板橋區,220,35.0,35.0,28.0,2017,9,14,3
46,薯蕷-紅薯蕷,SU1,2017-09-15,55.0,45.0,板橋區,220,50.1,50.1,61.0,2017,9,15,4
47,薯蕷-紅薯蕷,SU1,2017-09-16,36.0,25.0,板橋區,220,31.4,32.0,255.0,2017,9,16,5
48,薯蕷-紅薯蕷,SU1,2017-09-17,45.0,35.0,板橋區,220,39.2,38.6,78.0,2017,9,17,6
49,薯蕷-紅薯蕷,SU1,2017-09-19,37.9,10.0,板橋區,220,21.1,19.1,203.0,2017,9,19,1
50,薯蕷-紅薯蕷,SU1,2017-09-20,30.0,15.0,板橋區,220,18.4,15.7,115.0,2017,9,20,2
51,薯蕷-紅薯蕷,SU1,2017-09-21,30.0,20.0,板橋區,220,25.2,25.3,50.0,2017,9,21,3
52,薯蕷-紅薯蕷,SU1,2017-09-22,52.0,52.0,板橋區,220,52.0,52.0,25.0,2017,9,22,4
53,薯蕷-紅薯蕷,SU1,2017-09-23,40.0,12.0,板橋區,220,26.0,26.0,48.0,2017,9,23,5
54,薯蕷-紅薯蕷,SU1,2017-09-24,57.0,57.0,板橋區,220,57.0,57.0,74.0,2017,9,24,6
55,薯蕷-紅薯蕷,SU1,2017-09-26,40.0,40.0,板橋區,220,40.0,40.0,27.0,2017,9,26,1
56,薯蕷-紅薯蕷,SU1,2017-09-27,50.2,24.0,板橋區,220,29.2,24.0,123.0,2017,9,27,2
57,薯蕷-紅薯蕷,SU1,2017-09-28,37.0,37.0,板橋區,220,37.0,37.0,24.0,2017,9,28,3
58,薯蕷-紅薯蕷,SU1,2017-09-29,52.0,52.0,板橋區,220,52.0,52.0,40.0,2017,9,29,4
59,薯蕷-紅薯蕷,SU1,2017-09-30,45.0,32.0,板橋區,220,40.1,41.2,236.0,2017,9,30,5
60,薯蕷-紅薯蕷,SU1,2017-10-01,37.0,35.0,板橋區,220,35.5,35.2,131.0,2017,10,1,6
61,薯蕷-紅薯蕷,SU1,2017-10-03,45.0,32.0,板橋區,220,36.2,34.6,151.0,2017,10,3,1
62,薯蕷-紅薯蕷,SU1,2017-10-04,30.0,30.0,板橋區,220,30.0,30.0,80.0,2017,10,4,2
63,薯蕷-紅薯蕷,SU1,2017-10-07,9.0,9.0,板橋區,220,9.0,9.0,40.0,2017,10,7,5
64,薯蕷-紅薯蕷,SU1,2017-10-12,26.0,26.0,板橋區,220,26.0,26.0,80.0,2017,10,12,3
65,薯蕷-紅薯蕷,SU1,2017-10-13,30.0,30.0,板橋區,220,30.0,30.0,26.0,2017,10,13,4
66,薯蕷-紅薯蕷,SU1,2017-10-15,30.0,30.0,板橋區,220,30.0,30.0,144.0,2017,10,15,6
67,薯蕷-紅薯蕷,SU1,2017-10-24,65.0,40.0,板橋區,220,53.9,54.8,54.0,2017,10,24,1
68,薯蕷-紅薯蕷,SU1,2017-10-25,57.0,57.0,板橋區,220,57.0,57.0,31.0,2017,10,25,2
69,薯蕷-紅薯蕷,SU1,2017-10-27,38.0,38.0,板橋區,220,38.0,38.0,50.0,2017,10,27,4
70,薯蕷-紅薯蕷,SU1,2017-10-29,50.0,50.0,板橋區,220,50.0,50.0,24.0,2017,10,29,6
71,薯蕷-紅薯蕷,SU1,2017-10-31,47.0,35.0,板橋區,220,39.0,37.7,72.0,2017,10,31,1
72,薯蕷-紅薯蕷,SU1,2017-11-01,40.0,40.0,板橋區,220,40.0,40.0,24.0,2017,11,1,2
73,薯蕷-紅薯蕷,SU1,2017-11-02,45.0,45.0,板橋區,220,45.0,45.0,24.0,2017,11,2,3
