,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,酪梨,G3,2017-06-06,90.0,90.0,板橋區,220,90.0,90.0,90.0,2017,6,6,1
1,酪梨,G3,2017-06-08,120.0,120.0,板橋區,220,120.0,120.0,20.0,2017,6,8,3
2,酪梨,G3,2017-06-09,110.0,110.0,板橋區,220,110.0,110.0,40.0,2017,6,9,4
3,酪梨,G3,2017-06-10,100.0,80.0,板橋區,220,96.0,100.0,100.0,2017,6,10,5
4,酪梨,G3,2017-06-11,90.0,65.7,板橋區,220,83.5,87.3,258.0,2017,6,11,6
5,酪梨,G3,2017-06-13,95.0,80.0,板橋區,220,85.0,83.3,100.0,2017,6,13,1
6,酪梨,G3,2017-06-14,79.1,65.0,板橋區,220,69.1,67.2,242.0,2017,6,14,2
7,酪梨,G3,2017-06-15,70.0,45.0,板橋區,220,63.0,66.7,100.0,2017,6,15,3
8,酪梨,G3,2017-06-16,66.0,50.0,板橋區,220,57.6,57.4,168.0,2017,6,16,4
9,酪梨,G3,2017-06-17,62.9,58.0,板橋區,220,59.1,58.3,174.0,2017,6,17,5
10,酪梨,G3,2017-06-20,69.2,55.0,板橋區,220,60.6,59.6,214.0,2017,6,20,1
11,酪梨,G3,2017-06-21,77.1,60.4,板橋區,220,65.0,62.5,336.0,2017,6,21,2
12,酪梨,G3,2017-06-22,65.0,54.0,板橋區,220,59.0,58.7,440.0,2017,6,22,3
13,酪梨,G3,2017-06-23,65.0,60.0,板橋區,220,63.2,63.6,441.0,2017,6,23,4
14,酪梨,G3,2017-06-24,64.1,63.0,板橋區,220,63.2,63.0,318.0,2017,6,24,5
15,酪梨,G3,2017-06-25,61.0,56.0,板橋區,220,59.7,60.4,336.0,2017,6,25,6
16,酪梨,G3,2017-06-27,54.0,45.0,板橋區,220,51.6,53.0,763.0,2017,6,27,1
17,酪梨,G3,2017-06-28,53.0,40.0,板橋區,220,47.5,48.1,508.0,2017,6,28,2
18,酪梨,G3,2017-06-29,49.0,44.0,板橋區,220,45.9,45.6,207.0,2017,6,29,3
19,酪梨,G3,2017-06-30,46.0,42.0,板橋區,220,44.9,45.6,381.0,2017,6,30,4
20,酪梨,G3,2017-07-01,48.4,40.8,板橋區,220,44.5,44.5,589.0,2017,7,1,5
21,酪梨,G3,2017-07-02,49.2,40.0,板橋區,220,44.9,45.2,283.0,2017,7,2,6
22,酪梨,G3,2017-07-04,53.7,43.0,板橋區,220,48.5,48.6,644.0,2017,7,4,1
23,酪梨,G3,2017-07-05,45.6,40.0,板橋區,220,41.8,41.2,665.0,2017,7,5,2
24,酪梨,G3,2017-07-06,50.0,43.6,板橋區,220,47.8,48.5,661.0,2017,7,6,3
25,酪梨,G3,2017-07-07,50.0,40.0,板橋區,220,44.8,44.7,508.0,2017,7,7,4
26,酪梨,G3,2017-07-08,50.0,40.0,板橋區,220,44.7,44.6,1481.0,2017,7,8,5
27,酪梨,G3,2017-07-09,47.0,40.0,板橋區,220,42.7,42.1,34.0,2017,7,9,6
28,酪梨,G3,2017-07-11,52.1,45.0,板橋區,220,47.0,45.9,473.0,2017,7,11,1
29,酪梨,G3,2017-07-12,45.7,40.0,板橋區,220,42.7,42.6,390.0,2017,7,12,2
30,酪梨,G3,2017-07-13,49.8,42.0,板橋區,220,45.8,45.7,674.0,2017,7,13,3
31,酪梨,G3,2017-07-14,45.8,40.0,板橋區,220,42.5,42.3,519.0,2017,7,14,4
32,酪梨,G3,2017-07-15,43.6,37.0,板橋區,220,40.3,40.2,1066.0,2017,7,15,5
33,酪梨,G3,2017-07-16,39.0,36.0,板橋區,220,38.4,39.0,485.0,2017,7,16,6
34,酪梨,G3,2017-07-18,38.7,31.3,板橋區,220,34.4,34.1,1170.0,2017,7,18,1
35,酪梨,G3,2017-07-19,41.9,35.0,板橋區,220,37.9,37.6,798.0,2017,7,19,2
36,酪梨,G3,2017-07-20,40.8,36.8,板橋區,220,39.4,39.8,1090.0,2017,7,20,3
37,酪梨,G3,2017-07-21,40.8,35.8,板橋區,220,39.2,39.9,1544.0,2017,7,21,4
38,酪梨,G3,2017-07-22,41.2,23.0,板橋區,220,34.8,36.6,1647.0,2017,7,22,5
39,酪梨,G3,2017-07-23,44.0,33.6,板橋區,220,36.9,35.7,1231.0,2017,7,23,6
