,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,青蔥-日蔥,SE1,2017-04-07,15.0,15.0,板橋區,220,15.0,15.0,9.0,2017,4,7,4
1,青蔥-日蔥,SE1,2017-04-08,15.0,15.0,板橋區,220,15.0,15.0,40.0,2017,4,8,5
2,青蔥-日蔥,SE1,2017-04-09,14.0,14.0,板橋區,220,14.0,14.0,200.0,2017,4,9,6
3,青蔥-日蔥,SE1,2017-04-11,17.0,17.0,板橋區,220,17.0,17.0,1935.0,2017,4,11,1
4,青蔥-日蔥,SE1,2017-04-14,25.0,25.0,板橋區,220,25.0,25.0,72.0,2017,4,14,4
5,青蔥-日蔥,SE1,2017-04-18,9.0,9.0,板橋區,220,9.0,9.0,48.0,2017,4,18,1
6,青蔥-日蔥,SE1,2017-05-05,23.0,23.0,板橋區,220,23.0,23.0,6.0,2017,5,5,4
7,青蔥-日蔥,SE1,2017-05-11,12.0,12.0,板橋區,220,12.0,12.0,60.0,2017,5,11,3
8,青蔥-日蔥,SE1,2017-06-02,13.0,13.0,板橋區,220,13.0,13.0,20.0,2017,6,2,4
9,青蔥-日蔥,SE1,2017-09-27,230.0,230.0,板橋區,220,230.0,230.0,45.0,2017,9,27,2
10,青蔥-日蔥,SE1,2017-09-28,31.0,31.0,板橋區,220,31.0,31.0,20.0,2017,9,28,3
11,青蔥-日蔥,SE1,2017-09-29,140.0,130.0,板橋區,220,135.0,135.0,30.0,2017,9,29,4
12,青蔥-日蔥,SE1,2017-09-30,110.0,105.0,板橋區,220,107.5,107.5,60.0,2017,9,30,5
13,青蔥-日蔥,SE1,2017-10-01,115.0,115.0,板橋區,220,115.0,115.0,75.0,2017,10,1,6
14,青蔥-日蔥,SE1,2017-10-03,120.0,40.0,板橋區,220,72.0,66.7,75.0,2017,10,3,1
15,青蔥-日蔥,SE1,2017-10-04,115.0,100.0,板橋區,220,106.0,105.0,150.0,2017,10,4,2
16,青蔥-日蔥,SE1,2017-10-07,150.0,150.0,板橋區,220,150.0,150.0,75.0,2017,10,7,5
17,青蔥-日蔥,SE1,2017-10-08,135.0,135.0,板橋區,220,135.0,135.0,90.0,2017,10,8,6
