,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,油菜,LN1,2012-01-01,10.0,4.8,桃農,338,7.1,6.8,48.0,2012,1,1,6
1,油菜,LN1,2012-01-03,12.0,9.0,桃農,338,10.2,10.0,9.0,2012,1,3,1
2,油菜,LN1,2012-01-04,15.0,15.0,桃農,338,15.0,15.0,11.0,2012,1,4,2
3,油菜,LN1,2012-01-05,8.0,3.0,桃農,338,5.0,4.4,615.0,2012,1,5,3
4,油菜,LN1,2012-01-06,10.0,7.0,桃農,338,8.3,8.0,216.0,2012,1,6,4
5,油菜,LN1,2012-01-07,10.5,8.0,桃農,338,9.0,8.5,440.0,2012,1,7,5
6,油菜,LN1,2012-01-08,17.0,8.0,桃農,338,11.4,10.7,160.0,2012,1,8,6
7,油菜,LN1,2012-01-10,18.0,15.0,桃農,338,17.0,18.0,160.0,2012,1,10,1
8,油菜,LN1,2012-01-11,16.0,15.0,桃農,338,15.3,15.0,286.0,2012,1,11,2
9,油菜,LN1,2012-01-12,17.0,10.0,桃農,338,14.3,15.0,278.0,2012,1,12,3
10,油菜,LN1,2012-01-13,10.7,5.0,桃農,338,8.5,9.2,624.0,2012,1,13,4
11,油菜,LN1,2012-01-14,14.0,6.5,桃農,338,10.8,12.0,225.0,2012,1,14,5
12,油菜,LN1,2012-01-15,15.0,7.5,桃農,338,10.6,10.0,340.0,2012,1,15,6
13,油菜,LN1,2012-01-17,20.0,6.0,桃農,338,11.6,10.7,814.0,2012,1,17,1
14,油菜,LN1,2012-01-18,18.3,4.0,桃農,338,10.3,9.7,742.0,2012,1,18,2
15,油菜,LN1,2012-01-19,15.0,2.0,桃農,338,6.4,4.8,500.0,2012,1,19,3
16,油菜,LN1,2012-01-20,18.0,3.0,桃農,338,11.0,11.5,154.0,2012,1,20,4
17,油菜,LN1,2012-01-21,18.0,10.0,桃農,338,12.7,10.0,94.0,2012,1,21,5
