,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,石蓮花,FU3,2012-01-30,8.0,8.0,桃農,338,8.0,8.0,20.0,2012,1,30,0
1,石蓮花,FU3,2012-02-04,10.0,10.0,桃農,338,10.0,10.0,90.0,2012,2,4,5
2,石蓮花,FU3,2012-02-05,7.0,7.0,桃農,338,7.0,7.0,60.0,2012,2,5,6
3,石蓮花,FU3,2012-02-09,10.0,9.0,桃農,338,9.5,10.0,60.0,2012,2,9,3
4,石蓮花,FU3,2012-02-10,8.0,8.0,桃農,338,8.0,8.0,60.0,2012,2,10,4
5,石蓮花,FU3,2012-02-11,10.0,10.0,桃農,338,10.0,10.0,60.0,2012,2,11,5
6,石蓮花,FU3,2012-02-15,8.0,8.0,桃農,338,8.0,8.0,60.0,2012,2,15,2
7,石蓮花,FU3,2012-02-16,8.0,8.0,桃農,338,8.0,8.0,60.0,2012,2,16,3
8,石蓮花,FU3,2012-02-17,7.0,7.0,桃農,338,7.0,7.0,60.0,2012,2,17,4
9,石蓮花,FU3,2012-02-18,7.0,7.0,桃農,338,7.0,7.0,60.0,2012,2,18,5
10,石蓮花,FU3,2012-02-21,7.0,7.0,桃農,338,7.0,7.0,60.0,2012,2,21,1
11,石蓮花,FU3,2012-02-22,8.0,8.0,桃農,338,8.0,8.0,60.0,2012,2,22,2
12,石蓮花,FU3,2012-02-24,7.0,7.0,桃農,338,7.0,7.0,60.0,2012,2,24,4
13,石蓮花,FU3,2012-02-25,6.0,6.0,桃農,338,6.0,6.0,60.0,2012,2,25,5
14,石蓮花,FU3,2012-02-29,7.0,7.0,桃農,338,7.0,7.0,60.0,2012,2,29,2
15,石蓮花,FU3,2012-03-03,6.0,6.0,桃農,338,6.0,6.0,60.0,2012,3,3,5
16,石蓮花,FU3,2012-03-12,10.0,10.0,桃農,338,10.0,10.0,60.0,2012,3,12,0
17,石蓮花,FU3,2012-03-17,7.0,7.0,桃農,338,7.0,7.0,30.0,2012,3,17,5
18,石蓮花,FU3,2012-03-22,10.0,10.0,桃農,338,10.0,10.0,60.0,2012,3,22,3
19,石蓮花,FU3,2012-03-24,5.0,5.0,桃農,338,5.0,5.0,70.0,2012,3,24,5
20,石蓮花,FU3,2012-05-01,12.0,12.0,桃農,338,12.0,12.0,60.0,2012,5,1,1
21,石蓮花,FU3,2012-06-07,9.0,9.0,桃農,338,9.0,9.0,30.0,2012,6,7,3
22,石蓮花,FU3,2012-06-08,9.0,9.0,桃農,338,9.0,9.0,60.0,2012,6,8,4
23,石蓮花,FU3,2012-06-14,10.0,10.0,桃農,338,10.0,10.0,60.0,2012,6,14,3
24,石蓮花,FU3,2012-06-15,10.0,10.0,桃農,338,10.0,10.0,60.0,2012,6,15,4
25,石蓮花,FU3,2012-06-27,9.0,9.0,桃農,338,9.0,9.0,30.0,2012,6,27,2
26,石蓮花,FU3,2012-11-06,10.0,10.0,桃農,338,10.0,10.0,30.0,2012,11,6,1
27,石蓮花,FU3,2012-11-07,8.0,8.0,桃農,338,8.0,8.0,30.0,2012,11,7,2
28,石蓮花,FU3,2012-11-23,8.0,8.0,桃農,338,8.0,8.0,10.0,2012,11,23,4
29,石蓮花,FU3,2012-12-19,15.0,15.0,桃農,338,15.0,15.0,30.0,2012,12,19,2
30,石蓮花,FU3,2012-12-20,12.0,12.0,桃農,338,12.0,12.0,10.0,2012,12,20,3
31,石蓮花,FU3,2012-12-21,10.0,10.0,桃農,338,10.0,10.0,10.0,2012,12,21,4
32,石蓮花,FU3,2012-12-22,7.0,7.0,桃農,338,7.0,7.0,30.0,2012,12,22,5
33,石蓮花,FU3,2012-12-25,8.0,8.0,桃農,338,8.0,8.0,30.0,2012,12,25,1
34,石蓮花,FU3,2012-12-26,8.0,8.0,桃農,338,8.0,8.0,30.0,2012,12,26,2
35,石蓮花,FU3,2012-12-27,8.0,8.0,桃農,338,8.0,8.0,30.0,2012,12,27,3
36,石蓮花,FU3,2012-12-28,7.0,7.0,桃農,338,7.0,7.0,30.0,2012,12,28,4
37,石蓮花,FU3,2013-01-15,8.0,8.0,桃農,338,8.0,8.0,30.0,2013,1,15,1
38,石蓮花,FU3,2013-01-18,7.0,7.0,桃農,338,7.0,7.0,30.0,2013,1,18,4
39,石蓮花,FU3,2013-01-23,7.0,7.0,桃農,338,7.0,7.0,30.0,2013,1,23,2
40,石蓮花,FU3,2013-02-02,7.0,7.0,桃農,338,7.0,7.0,30.0,2013,2,2,5
41,石蓮花,FU3,2013-02-05,7.0,7.0,桃農,338,7.0,7.0,30.0,2013,2,5,1
42,石蓮花,FU3,2013-02-22,3.0,3.0,桃農,338,3.0,3.0,30.0,2013,2,22,4
43,石蓮花,FU3,2013-03-08,7.0,7.0,桃農,338,7.0,7.0,30.0,2013,3,8,4
44,石蓮花,FU3,2013-03-16,8.0,8.0,桃農,338,8.0,8.0,60.0,2013,3,16,5
45,石蓮花,FU3,2013-03-17,7.0,7.0,桃農,338,7.0,7.0,60.0,2013,3,17,6
46,石蓮花,FU3,2013-03-27,5.0,5.0,桃農,338,5.0,5.0,60.0,2013,3,27,2
47,石蓮花,FU3,2013-04-03,5.0,5.0,桃農,338,5.0,5.0,30.0,2013,4,3,2
48,石蓮花,FU3,2013-04-24,9.0,9.0,桃農,338,9.0,9.0,30.0,2013,4,24,2
49,石蓮花,FU3,2013-04-25,5.0,5.0,桃農,338,5.0,5.0,60.0,2013,4,25,3
50,石蓮花,FU3,2013-05-09,6.0,6.0,桃農,338,6.0,6.0,30.0,2013,5,9,3
51,石蓮花,FU3,2013-05-30,15.0,15.0,桃農,338,15.0,15.0,30.0,2013,5,30,3
52,石蓮花,FU3,2013-05-31,7.0,7.0,桃農,338,7.0,7.0,60.0,2013,5,31,4
53,石蓮花,FU3,2013-06-06,6.0,6.0,桃農,338,6.0,6.0,30.0,2013,6,6,3
54,石蓮花,FU3,2013-06-28,6.0,6.0,桃農,338,6.0,6.0,30.0,2013,6,28,4
55,石蓮花,FU3,2013-11-08,8.0,8.0,桃農,338,8.0,8.0,30.0,2013,11,8,4
56,石蓮花,FU3,2013-11-09,7.0,7.0,桃農,338,7.0,7.0,30.0,2013,11,9,5
57,石蓮花,FU3,2013-11-10,7.0,7.0,桃農,338,7.0,7.0,30.0,2013,11,10,6
58,石蓮花,FU3,2013-11-13,5.0,5.0,桃農,338,5.0,5.0,30.0,2013,11,13,2
59,石蓮花,FU3,2014-02-28,8.0,8.0,桃農,338,8.0,8.0,30.0,2014,2,28,4
60,石蓮花,FU3,2014-03-01,11.0,11.0,桃農,338,11.0,11.0,30.0,2014,3,1,5
61,石蓮花,FU3,2014-03-02,13.0,13.0,桃農,338,13.0,13.0,30.0,2014,3,2,6
62,石蓮花,FU3,2014-03-05,10.0,10.0,桃農,338,10.0,10.0,30.0,2014,3,5,2
63,石蓮花,FU3,2014-03-06,8.0,8.0,桃農,338,8.0,8.0,30.0,2014,3,6,3
64,石蓮花,FU3,2014-03-07,7.0,7.0,桃農,338,7.0,7.0,30.0,2014,3,7,4
65,石蓮花,FU3,2014-03-08,7.0,7.0,桃農,338,7.0,7.0,30.0,2014,3,8,5
66,石蓮花,FU3,2014-03-09,7.0,7.0,桃農,338,7.0,7.0,30.0,2014,3,9,6
67,石蓮花,FU3,2014-03-11,8.0,8.0,桃農,338,8.0,8.0,30.0,2014,3,11,1
68,石蓮花,FU3,2014-03-12,7.0,7.0,桃農,338,7.0,7.0,30.0,2014,3,12,2
69,石蓮花,FU3,2014-03-13,7.0,7.0,桃農,338,7.0,7.0,30.0,2014,3,13,3
70,石蓮花,FU3,2014-03-19,7.0,7.0,桃農,338,7.0,7.0,30.0,2014,3,19,2
71,石蓮花,FU3,2014-03-20,7.0,7.0,桃農,338,7.0,7.0,30.0,2014,3,20,3
72,石蓮花,FU3,2014-03-21,6.0,6.0,桃農,338,6.0,6.0,30.0,2014,3,21,4
73,石蓮花,FU3,2014-04-03,9.0,9.0,桃農,338,9.0,9.0,30.0,2014,4,3,3
74,石蓮花,FU3,2014-04-09,10.0,10.0,桃農,338,10.0,10.0,30.0,2014,4,9,2
75,石蓮花,FU3,2014-04-11,8.0,8.0,桃農,338,8.0,8.0,60.0,2014,4,11,4
76,石蓮花,FU3,2014-04-12,9.0,9.0,桃農,338,9.0,9.0,30.0,2014,4,12,5
77,石蓮花,FU3,2014-04-13,7.0,7.0,桃農,338,7.0,7.0,30.0,2014,4,13,6
78,石蓮花,FU3,2014-04-15,7.0,7.0,桃農,338,7.0,7.0,30.0,2014,4,15,1
