,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,茴香,LS1,2012-01-10,31.0,31.0,桃農,338,31.0,31.0,14.0,2012,1,10,1
1,茴香,LS1,2012-01-15,25.0,20.0,桃農,338,23.3,25.0,75.0,2012,1,15,6
2,茴香,LS1,2012-01-17,17.0,17.0,桃農,338,17.0,17.0,100.0,2012,1,17,1
3,茴香,LS1,2012-01-19,25.0,25.0,桃農,338,25.0,25.0,20.0,2012,1,19,3
4,茴香,LS1,2012-01-21,25.0,25.0,桃農,338,25.0,25.0,18.0,2012,1,21,5
5,茴香,LS1,2012-01-30,10.0,8.0,桃農,338,9.0,10.0,70.0,2012,1,30,0
6,茴香,LS1,2012-02-01,30.0,25.0,桃農,338,27.5,30.0,40.0,2012,2,1,2
7,茴香,LS1,2012-02-02,15.0,10.0,桃農,338,11.7,10.0,82.0,2012,2,2,3
8,茴香,LS1,2012-02-03,20.0,15.0,桃農,338,17.7,18.0,55.0,2012,2,3,4
9,茴香,LS1,2012-02-04,10.0,9.0,桃農,338,9.5,9.5,80.0,2012,2,4,5
10,茴香,LS1,2012-02-15,13.0,13.0,桃農,338,13.0,13.0,20.0,2012,2,15,2
11,茴香,LS1,2012-02-16,20.0,20.0,桃農,338,20.0,20.0,20.0,2012,2,16,3
12,茴香,LS1,2012-04-05,23.0,23.0,桃農,338,23.0,23.0,60.0,2012,4,5,3
13,茴香,LS1,2012-04-06,24.0,2.0,桃農,338,15.5,18.0,80.0,2012,4,6,4
14,茴香,LS1,2012-04-07,20.0,10.0,桃農,338,15.0,20.0,40.0,2012,4,7,5
15,茴香,LS1,2012-04-09,20.0,20.0,桃農,338,20.0,20.0,20.0,2012,4,9,0
16,茴香,LS1,2012-05-01,42.0,42.0,桃農,338,42.0,42.0,12.0,2012,5,1,1
17,茴香,LS1,2012-05-02,25.0,25.0,桃農,338,25.0,25.0,14.0,2012,5,2,2
18,茴香,LS1,2012-05-03,31.0,30.0,桃農,338,30.5,31.0,20.0,2012,5,3,3
19,茴香,LS1,2012-07-12,30.0,25.0,桃農,338,26.7,26.7,31.0,2012,7,12,3
20,茴香,LS1,2012-07-13,27.0,27.0,桃農,338,27.0,27.0,24.0,2012,7,13,4
21,茴香,LS1,2012-07-17,35.0,35.0,桃農,338,35.0,35.0,24.0,2012,7,17,1
22,茴香,LS1,2012-07-18,30.0,30.0,桃農,338,30.0,30.0,7.0,2012,7,18,2
23,茴香,LS1,2012-08-29,70.0,70.0,桃農,338,70.0,70.0,13.0,2012,8,29,2
