,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,西瓜-大西瓜,T1,2012-04-16,15.0,12.0,桃農,338,13.3,13.3,109.0,2012,4,16,0
1,西瓜-大西瓜,T1,2012-04-18,15.0,15.0,桃農,338,15.0,15.0,414.0,2012,4,18,2
2,西瓜-大西瓜,T1,2012-04-19,16.0,15.0,桃農,338,15.5,15.5,567.0,2012,4,19,3
3,西瓜-大西瓜,T1,2012-05-01,16.0,14.3,桃農,338,15.3,15.3,840.0,2012,5,1,1
4,西瓜-大西瓜,T1,2012-05-02,12.5,10.0,桃農,338,10.6,10.6,695.0,2012,5,2,2
5,西瓜-大西瓜,T1,2012-05-03,12.8,10.5,桃農,338,11.1,11.1,724.0,2012,5,3,3
6,西瓜-大西瓜,T1,2012-06-28,13.0,13.0,桃農,338,13.0,13.0,60.0,2012,6,28,3
7,西瓜-大西瓜,T1,2012-06-29,2.0,2.0,桃農,338,2.0,2.0,319.0,2012,6,29,4
8,西瓜-大西瓜,T1,2012-08-10,22.0,17.0,桃農,338,20.2,20.2,176.0,2012,8,10,4
9,西瓜-大西瓜,T1,2012-08-14,23.0,10.0,桃農,338,17.8,17.8,915.0,2012,8,14,1
10,西瓜-大西瓜,T1,2012-08-15,20.0,15.0,桃農,338,17.8,17.8,2537.0,2012,8,15,2
11,西瓜-大西瓜,T1,2013-04-27,8.0,6.0,桃農,338,7.1,7.1,320.0,2013,4,27,5
12,西瓜-大西瓜,T1,2013-06-09,3.0,3.0,桃農,338,3.0,3.0,140.0,2013,6,9,6
13,西瓜-大西瓜,T1,2013-06-11,16.5,9.0,桃農,338,12.4,12.4,88.0,2013,6,11,1
14,西瓜-大西瓜,T1,2013-08-06,15.0,14.0,桃農,338,14.3,14.3,123.0,2013,8,6,1
15,西瓜-大西瓜,T1,2013-08-07,15.0,10.0,桃農,338,13.0,13.0,114.0,2013,8,7,2
16,西瓜-大西瓜,T1,2013-08-10,15.0,11.0,桃農,338,12.5,12.5,83.0,2013,8,10,5
