,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,豆薯,SL1,2012-01-17,18.0,18.0,桃農,338,18.0,18.0,30.0,2012,1,17,1
1,豆薯,SL1,2012-02-05,17.0,17.0,桃農,338,17.0,17.0,30.0,2012,2,5,6
2,豆薯,SL1,2012-02-18,18.0,17.0,桃農,338,17.3,17.0,300.0,2012,2,18,5
3,豆薯,SL1,2012-02-21,15.0,15.0,桃農,338,15.0,15.0,375.0,2012,2,21,1
4,豆薯,SL1,2012-02-22,9.0,6.0,桃農,338,7.0,6.0,128.0,2012,2,22,2
5,豆薯,SL1,2012-02-23,16.0,8.0,桃農,338,12.3,13.0,152.0,2012,2,23,3
6,豆薯,SL1,2012-02-24,8.0,8.0,桃農,338,8.0,8.0,282.0,2012,2,24,4
7,豆薯,SL1,2012-02-25,12.0,10.0,桃農,338,11.0,12.0,210.0,2012,2,25,5
8,豆薯,SL1,2012-02-27,13.0,13.0,桃農,338,13.0,13.0,100.0,2012,2,27,0
9,豆薯,SL1,2012-02-28,13.0,11.0,桃農,338,12.6,13.0,475.0,2012,2,28,1
10,豆薯,SL1,2012-02-29,9.0,9.0,桃農,338,9.0,9.0,100.0,2012,2,29,2
11,豆薯,SL1,2012-03-01,15.0,15.0,桃農,338,15.0,15.0,200.0,2012,3,1,3
12,豆薯,SL1,2012-03-02,14.0,12.0,桃農,338,12.8,12.5,175.0,2012,3,2,4
13,豆薯,SL1,2012-03-03,14.0,10.0,桃農,338,12.6,13.0,375.0,2012,3,3,5
14,豆薯,SL1,2012-03-08,14.0,14.0,桃農,338,14.0,14.0,120.0,2012,3,8,3
15,豆薯,SL1,2012-03-09,9.0,9.0,桃農,338,9.0,9.0,240.0,2012,3,9,4
16,豆薯,SL1,2012-03-13,10.0,10.0,桃農,338,10.0,10.0,30.0,2012,3,13,1
17,豆薯,SL1,2012-04-01,17.0,17.0,桃農,338,17.0,17.0,60.0,2012,4,1,6
