,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,酪梨,G3,2012-07-03,22.0,22.0,桃農,338,22.0,22.0,60.0,2012,7,3,1
1,酪梨,G3,2012-07-10,25.0,25.0,桃農,338,25.0,25.0,60.0,2012,7,10,1
2,酪梨,G3,2012-07-24,32.0,30.0,桃農,338,31.0,31.0,40.0,2012,7,24,1
3,酪梨,G3,2012-07-25,32.0,28.0,桃農,338,30.0,30.0,40.0,2012,7,25,2
4,酪梨,G3,2012-07-26,30.0,30.0,桃農,338,30.0,30.0,20.0,2012,7,26,3
5,酪梨,G3,2012-08-01,32.0,30.0,桃農,338,31.3,31.3,44.0,2012,8,1,2
6,酪梨,G3,2012-08-10,20.0,20.0,桃農,338,20.0,20.0,12.0,2012,8,10,4
7,酪梨,G3,2012-08-22,40.0,40.0,桃農,338,40.0,40.0,12.0,2012,8,22,2
8,酪梨,G3,2013-07-06,20.0,20.0,桃農,338,20.0,20.0,40.0,2013,7,6,5
9,酪梨,G3,2013-07-09,30.0,30.0,桃農,338,30.0,30.0,60.0,2013,7,9,1
10,酪梨,G3,2013-07-10,30.0,30.0,桃農,338,30.0,30.0,60.0,2013,7,10,2
11,酪梨,G3,2013-07-12,40.0,27.0,桃農,338,33.5,33.5,104.0,2013,7,12,4
12,酪梨,G3,2013-07-13,10.0,10.0,桃農,338,10.0,10.0,66.0,2013,7,13,5
13,酪梨,G3,2013-07-16,38.0,15.0,桃農,338,25.2,25.2,150.0,2013,7,16,1
14,酪梨,G3,2013-07-17,35.0,35.0,桃農,338,35.0,35.0,30.0,2013,7,17,2
15,酪梨,G3,2013-07-18,18.0,15.0,桃農,338,17.0,17.0,180.0,2013,7,18,3
16,酪梨,G3,2013-07-23,22.0,15.0,桃農,338,19.7,19.7,160.0,2013,7,23,1
17,酪梨,G3,2013-07-25,20.0,20.0,桃農,338,20.0,20.0,20.0,2013,7,25,3
18,酪梨,G3,2013-08-03,30.0,25.0,桃農,338,27.7,27.7,140.0,2013,8,3,5
19,酪梨,G3,2013-08-04,28.0,22.0,桃農,338,26.0,26.0,100.0,2013,8,4,6
20,酪梨,G3,2013-08-06,30.0,20.0,桃農,338,24.8,24.8,290.0,2013,8,6,1
21,酪梨,G3,2013-08-08,35.0,35.0,桃農,338,35.0,35.0,16.0,2013,8,8,3
22,酪梨,G3,2013-08-11,35.0,35.0,桃農,338,35.0,35.0,10.0,2013,8,11,6
23,酪梨,G3,2013-08-13,35.0,30.0,桃農,338,32.4,32.4,200.0,2013,8,13,1
24,酪梨,G3,2013-08-14,48.0,35.0,桃農,338,41.5,41.5,28.0,2013,8,14,2
25,酪梨,G3,2013-08-16,39.0,30.0,桃農,338,36.0,36.0,118.0,2013,8,16,4
26,酪梨,G3,2013-08-17,35.0,35.0,桃農,338,35.0,35.0,20.0,2013,8,17,5
27,酪梨,G3,2013-08-20,35.0,35.0,桃農,338,35.0,35.0,33.0,2013,8,20,1
28,酪梨,G3,2013-08-21,25.0,25.0,桃農,338,25.0,25.0,44.0,2013,8,21,2
29,酪梨,G3,2013-08-28,22.0,22.0,桃農,338,22.0,22.0,160.0,2013,8,28,2
30,酪梨,G3,2013-09-04,40.0,37.0,桃農,338,38.5,38.5,31.0,2013,9,4,2
31,酪梨,G3,2013-10-20,38.0,38.0,桃農,338,38.0,38.0,11.0,2013,10,20,6
32,酪梨,G3,2013-10-22,35.0,25.0,桃農,338,30.7,30.7,33.0,2013,10,22,1
33,酪梨,G3,2014-07-11,35.0,20.0,桃農,338,26.7,26.7,120.0,2014,7,11,4
34,酪梨,G3,2014-07-15,30.0,25.0,桃農,338,27.5,27.5,80.0,2014,7,15,1
35,酪梨,G3,2014-07-19,35.0,35.0,桃農,338,35.0,35.0,10.0,2014,7,19,5
36,酪梨,G3,2014-07-22,60.0,60.0,桃農,338,60.0,60.0,15.0,2014,7,22,1
37,酪梨,G3,2014-07-23,28.5,20.0,桃農,338,23.6,23.6,228.0,2014,7,23,2
38,酪梨,G3,2014-07-24,20.0,20.0,桃農,338,20.0,20.0,10.0,2014,7,24,3
39,酪梨,G3,2014-07-31,28.0,28.0,桃農,338,28.0,28.0,7.0,2014,7,31,3
40,酪梨,G3,2014-08-01,20.0,17.0,桃農,338,18.5,18.5,100.0,2014,8,1,4
41,酪梨,G3,2014-08-02,18.0,18.0,桃農,338,18.0,18.0,7.0,2014,8,2,5
42,酪梨,G3,2014-08-10,25.0,25.0,桃農,338,25.0,25.0,60.0,2014,8,10,6
43,酪梨,G3,2014-08-17,35.0,28.0,桃農,338,30.4,30.4,121.0,2014,8,17,6
44,酪梨,G3,2014-08-19,41.0,41.0,桃農,338,41.0,41.0,50.0,2014,8,19,1
45,酪梨,G3,2014-08-20,22.0,20.0,桃農,338,20.4,20.4,95.0,2014,8,20,2
46,酪梨,G3,2014-08-23,25.0,15.0,桃農,338,20.0,20.0,55.0,2014,8,23,5
47,酪梨,G3,2015-07-10,35.0,30.0,桃農,338,32.5,32.5,16.0,2015,7,10,4
48,酪梨,G3,2015-07-11,30.0,30.0,桃農,338,30.0,30.0,20.0,2015,7,11,5
49,酪梨,G3,2015-07-16,32.0,26.0,桃農,338,28.8,28.8,120.0,2015,7,16,3
50,酪梨,G3,2015-07-19,28.0,20.0,桃農,338,24.0,24.0,80.0,2015,7,19,6
51,酪梨,G3,2015-07-21,30.0,30.0,桃農,338,30.0,30.0,40.0,2015,7,21,1
52,酪梨,G3,2015-07-25,30.0,25.0,桃農,338,26.8,26.8,55.0,2015,7,25,5
53,酪梨,G3,2015-07-26,30.0,30.0,桃農,338,30.0,30.0,10.0,2015,7,26,6
54,酪梨,G3,2015-07-28,27.3,16.7,桃農,338,21.5,21.5,262.0,2015,7,28,1
55,酪梨,G3,2015-07-30,30.0,26.0,桃農,338,27.0,27.0,99.0,2015,7,30,3
56,酪梨,G3,2015-07-31,27.0,27.0,桃農,338,27.0,27.0,26.0,2015,7,31,4
57,酪梨,G3,2015-08-01,31.0,27.0,桃農,338,29.0,29.0,54.0,2015,8,1,5
58,酪梨,G3,2015-08-04,30.0,25.0,桃農,338,27.1,27.1,190.0,2015,8,4,1
59,酪梨,G3,2015-08-05,34.5,22.0,桃農,338,27.9,27.9,218.0,2015,8,5,2
60,酪梨,G3,2015-08-06,32.0,22.0,桃農,338,26.3,26.3,110.0,2015,8,6,3
61,酪梨,G3,2015-08-07,32.0,25.0,桃農,338,30.2,30.2,115.0,2015,8,7,4
62,酪梨,G3,2015-08-08,25.0,15.0,桃農,338,17.5,17.5,210.0,2015,8,8,5
63,酪梨,G3,2015-08-11,19.5,12.0,桃農,338,15.0,15.0,173.0,2015,8,11,1
64,酪梨,G3,2015-08-15,27.0,27.0,桃農,338,27.0,27.0,18.0,2015,8,15,5
65,酪梨,G3,2015-08-16,28.0,25.0,桃農,338,26.5,26.5,17.0,2015,8,16,6
66,酪梨,G3,2015-08-25,30.0,28.0,桃農,338,29.0,29.0,65.0,2015,8,25,1
67,酪梨,G3,2015-08-26,35.0,35.0,桃農,338,35.0,35.0,18.0,2015,8,26,2
68,酪梨,G3,2015-09-09,50.0,50.0,桃農,338,50.0,50.0,20.0,2015,9,9,2
69,酪梨,G3,2016-08-02,46.0,35.0,桃農,338,38.7,38.7,59.0,2016,8,2,1
70,酪梨,G3,2016-08-21,50.0,50.0,桃農,338,50.0,50.0,40.0,2016,8,21,6
71,酪梨,G3,2016-08-24,55.0,55.0,桃農,338,55.0,55.0,20.0,2016,8,24,2
72,酪梨,G3,2016-09-01,32.0,32.0,桃農,338,32.0,32.0,40.0,2016,9,1,3
73,酪梨,G3,2016-09-14,58.0,58.0,桃農,338,58.0,58.0,12.0,2016,9,14,2
74,酪梨,G3,2017-07-15,55.0,55.0,桃農,338,55.0,55.0,16.0,2017,7,15,5
75,酪梨,G3,2017-07-22,38.0,38.0,桃農,338,38.0,38.0,30.0,2017,7,22,5
76,酪梨,G3,2017-07-23,54.0,54.0,桃農,338,54.0,54.0,80.0,2017,7,23,6
77,酪梨,G3,2017-07-25,32.0,30.0,桃農,338,31.3,31.6,60.0,2017,7,25,1
78,酪梨,G3,2017-07-26,50.0,50.0,桃農,338,50.0,50.0,25.0,2017,7,26,2
79,酪梨,G3,2017-07-28,45.0,45.0,桃農,338,45.0,45.0,10.0,2017,7,28,4
80,酪梨,G3,2017-07-30,48.0,28.0,桃農,338,38.0,38.0,82.0,2017,7,30,6
81,酪梨,G3,2017-08-01,60.0,38.0,桃農,338,49.5,49.9,93.0,2017,8,1,1
82,酪梨,G3,2017-08-04,50.0,50.0,桃農,338,50.0,50.0,15.0,2017,8,4,4
83,酪梨,G3,2017-08-10,55.0,52.0,桃農,338,53.6,53.6,48.0,2017,8,10,3
84,酪梨,G3,2017-08-15,50.0,45.0,桃農,338,46.7,46.1,90.0,2017,8,15,1
85,酪梨,G3,2017-08-18,53.0,45.0,桃農,338,49.2,49.3,40.0,2017,8,18,4
86,酪梨,G3,2017-09-05,65.0,65.0,桃農,338,65.0,65.0,32.0,2017,9,5,1
87,酪梨,G3,2017-11-03,75.0,75.0,桃農,338,75.0,75.0,28.0,2017,11,3,4
88,酪梨,G3,2017-11-05,75.0,75.0,桃農,338,75.0,75.0,28.0,2017,11,5,6
89,酪梨,G3,2017-11-08,70.0,60.0,桃農,338,62.5,60.8,28.0,2017,11,8,2
90,酪梨,G3,2018-07-10,60.0,46.0,桃農,338,55.3,56.9,30.0,2018,7,10,1
91,酪梨,G3,2018-07-11,50.0,45.0,桃農,338,48.3,48.9,60.0,2018,7,11,2
92,酪梨,G3,2018-07-12,60.0,55.0,桃農,338,58.3,58.9,30.0,2018,7,12,3
93,酪梨,G3,2018-07-17,35.0,35.0,桃農,338,35.0,35.0,3.0,2018,7,17,1
94,酪梨,G3,2018-07-18,51.1,50.0,桃農,338,50.2,50.0,90.0,2018,7,18,2
95,酪梨,G3,2018-07-19,51.0,50.2,桃農,338,50.8,51.0,72.0,2018,7,19,3
96,酪梨,G3,2018-07-20,49.0,45.0,桃農,338,47.8,48.3,80.0,2018,7,20,4
97,酪梨,G3,2018-07-22,45.0,43.0,桃農,338,43.7,43.5,120.0,2018,7,22,6
98,酪梨,G3,2018-07-24,46.0,42.0,桃農,338,43.5,43.2,32.0,2018,7,24,1
99,酪梨,G3,2018-07-25,46.0,46.0,桃農,338,46.0,46.0,30.0,2018,7,25,2
100,酪梨,G3,2018-07-26,50.0,50.0,桃農,338,50.0,50.0,10.0,2018,7,26,3
101,酪梨,G3,2018-07-27,47.0,45.0,桃農,338,46.0,46.0,38.0,2018,7,27,4
102,酪梨,G3,2018-07-28,54.0,54.0,桃農,338,54.0,54.0,60.0,2018,7,28,5
103,酪梨,G3,2018-07-29,56.0,51.0,桃農,338,52.0,51.0,50.0,2018,7,29,6
104,酪梨,G3,2018-07-31,48.0,45.0,桃農,338,46.2,46.0,30.0,2018,7,31,1
105,酪梨,G3,2018-08-01,50.0,45.0,桃農,338,47.0,46.7,25.0,2018,8,1,2
106,酪梨,G3,2018-08-02,48.0,48.0,桃農,338,48.0,48.0,10.0,2018,8,2,3
107,酪梨,G3,2018-08-03,60.0,60.0,桃農,338,60.0,60.0,10.0,2018,8,3,4
108,酪梨,G3,2018-08-05,45.0,45.0,桃農,338,45.0,45.0,10.0,2018,8,5,6
109,酪梨,G3,2018-08-08,60.0,60.0,桃農,338,60.0,60.0,21.0,2018,8,8,2
110,酪梨,G3,2018-08-09,60.0,50.0,桃農,338,57.3,58.7,29.0,2018,8,9,3
111,酪梨,G3,2018-08-10,53.0,50.0,桃農,338,50.8,50.3,81.0,2018,8,10,4
112,酪梨,G3,2018-08-14,55.0,50.0,桃農,338,53.6,54.4,55.0,2018,8,14,1
113,酪梨,G3,2018-08-17,55.0,55.0,桃農,338,55.0,55.0,40.0,2018,8,17,4
114,酪梨,G3,2018-08-18,57.0,57.0,桃農,338,57.0,57.0,21.0,2018,8,18,5
115,酪梨,G3,2018-08-19,50.0,45.0,桃農,338,47.3,47.1,22.0,2018,8,19,6
116,酪梨,G3,2018-08-21,55.0,55.0,桃農,338,55.0,55.0,15.0,2018,8,21,1
117,酪梨,G3,2018-08-22,55.0,55.0,桃農,338,55.0,55.0,60.0,2018,8,22,2
118,酪梨,G3,2018-08-23,68.0,63.3,桃農,338,66.7,67.4,66.0,2018,8,23,3
119,酪梨,G3,2018-08-24,50.0,50.0,桃農,338,50.0,50.0,60.0,2018,8,24,4
120,酪梨,G3,2018-08-25,45.0,35.0,桃農,338,39.9,39.8,74.0,2018,8,25,5
121,酪梨,G3,2018-08-31,75.0,71.0,桃農,338,72.1,71.5,73.0,2018,8,31,4
122,酪梨,G3,2018-09-01,80.0,55.0,桃農,338,67.0,66.6,72.0,2018,9,1,5
123,酪梨,G3,2018-09-02,75.0,70.0,桃農,338,72.9,73.2,38.0,2018,9,2,6
124,酪梨,G3,2018-09-04,75.0,71.0,桃農,338,73.0,73.0,24.0,2018,9,4,1
125,酪梨,G3,2018-09-05,72.0,71.0,桃農,338,71.5,71.5,50.0,2018,9,5,2
126,酪梨,G3,2018-09-06,73.9,60.0,桃農,338,65.2,64.0,70.0,2018,9,6,3
