,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,雜柑-檸檬,F1,2012-01-03,7.0,7.0,桃農,338,7.0,7.0,32.0,2012,1,3,1
1,雜柑-檸檬,F1,2012-01-04,30.0,30.0,桃農,338,30.0,30.0,20.0,2012,1,4,2
2,雜柑-檸檬,F1,2012-01-12,5.0,5.0,桃農,338,5.0,5.0,9.0,2012,1,12,3
3,雜柑-檸檬,F1,2012-01-14,25.0,25.0,桃農,338,25.0,25.0,36.0,2012,1,14,5
4,雜柑-檸檬,F1,2012-01-15,5.0,5.0,桃農,338,5.0,5.0,32.0,2012,1,15,6
5,雜柑-檸檬,F1,2012-02-01,30.0,30.0,桃農,338,30.0,30.0,18.0,2012,2,1,2
6,雜柑-檸檬,F1,2012-02-03,22.0,22.0,桃農,338,22.0,22.0,36.0,2012,2,3,4
7,雜柑-檸檬,F1,2012-02-21,42.0,42.0,桃農,338,42.0,42.0,100.0,2012,2,21,1
8,雜柑-檸檬,F1,2012-02-22,40.0,32.0,桃農,338,34.7,34.7,64.0,2012,2,22,2
9,雜柑-檸檬,F1,2012-03-21,37.0,37.0,桃農,338,37.0,37.0,36.0,2012,3,21,2
10,雜柑-檸檬,F1,2012-03-23,38.0,38.0,桃農,338,38.0,38.0,20.0,2012,3,23,4
11,雜柑-檸檬,F1,2012-06-07,70.0,70.0,桃農,338,70.0,70.0,36.0,2012,6,7,3
12,雜柑-檸檬,F1,2012-06-08,70.0,70.0,桃農,338,70.0,70.0,18.0,2012,6,8,4
13,雜柑-檸檬,F1,2012-06-19,50.0,45.0,桃農,338,47.5,47.5,72.0,2012,6,19,1
14,雜柑-檸檬,F1,2012-06-26,50.0,40.0,桃農,338,45.0,45.0,142.0,2012,6,26,1
15,雜柑-檸檬,F1,2012-06-27,50.0,42.0,桃農,338,45.7,45.7,85.0,2012,6,27,2
16,雜柑-檸檬,F1,2012-06-28,35.0,35.0,桃農,338,35.0,35.0,54.0,2012,6,28,3
17,雜柑-檸檬,F1,2012-06-29,42.0,40.0,桃農,338,41.0,41.0,68.0,2012,6,29,4
18,雜柑-檸檬,F1,2012-07-03,37.0,30.0,桃農,338,33.5,33.5,237.0,2012,7,3,1
19,雜柑-檸檬,F1,2012-07-06,20.0,20.0,桃農,338,20.0,20.0,12.0,2012,7,6,4
20,雜柑-檸檬,F1,2012-07-10,20.0,20.0,桃農,338,20.0,20.0,216.0,2012,7,10,1
21,雜柑-檸檬,F1,2012-07-12,22.0,22.0,桃農,338,22.0,22.0,10.0,2012,7,12,3
22,雜柑-檸檬,F1,2012-07-24,23.0,23.0,桃農,338,23.0,23.0,33.0,2012,7,24,1
23,雜柑-檸檬,F1,2012-07-25,18.0,14.0,桃農,338,16.0,16.0,111.0,2012,7,25,2
24,雜柑-檸檬,F1,2012-07-26,22.0,22.0,桃農,338,22.0,22.0,32.0,2012,7,26,3
25,雜柑-檸檬,F1,2012-08-03,20.0,20.0,桃農,338,20.0,20.0,57.0,2012,8,3,4
26,雜柑-檸檬,F1,2012-08-09,19.0,17.0,桃農,338,18.0,18.0,51.0,2012,8,9,3
27,雜柑-檸檬,F1,2012-08-15,21.0,15.0,桃農,338,19.0,19.0,82.0,2012,8,15,2
28,雜柑-檸檬,F1,2012-08-16,15.0,15.0,桃農,338,15.0,15.0,40.0,2012,8,16,3
29,雜柑-檸檬,F1,2012-08-24,28.0,28.0,桃農,338,28.0,28.0,20.0,2012,8,24,4
30,雜柑-檸檬,F1,2012-08-28,28.0,20.0,桃農,338,24.3,24.3,64.0,2012,8,28,1
31,雜柑-檸檬,F1,2012-08-30,25.0,5.0,桃農,338,18.3,18.3,132.0,2012,8,30,3
32,雜柑-檸檬,F1,2012-08-31,24.0,13.0,桃農,338,20.3,20.3,84.0,2012,8,31,4
33,雜柑-檸檬,F1,2012-09-05,36.0,25.0,桃農,338,27.2,27.2,113.0,2012,9,5,2
34,雜柑-檸檬,F1,2012-09-06,15.0,15.0,桃農,338,15.0,15.0,53.0,2012,9,6,3
35,雜柑-檸檬,F1,2012-09-07,10.0,10.0,桃農,338,10.0,10.0,44.0,2012,9,7,4
36,雜柑-檸檬,F1,2012-09-09,20.0,5.0,桃農,338,12.5,12.5,52.0,2012,9,9,6
37,雜柑-檸檬,F1,2012-09-18,36.0,32.0,桃農,338,34.0,34.0,40.0,2012,9,18,1
38,雜柑-檸檬,F1,2012-09-20,27.0,27.0,桃農,338,27.0,27.0,22.0,2012,9,20,3
39,雜柑-檸檬,F1,2012-09-22,20.0,2.0,桃農,338,14.0,14.0,64.0,2012,9,22,5
40,雜柑-檸檬,F1,2012-09-25,30.0,30.0,桃農,338,30.0,30.0,33.0,2012,9,25,1
41,雜柑-檸檬,F1,2012-09-28,30.0,30.0,桃農,338,30.0,30.0,33.0,2012,9,28,4
42,雜柑-檸檬,F1,2012-09-29,39.0,39.0,桃農,338,39.0,39.0,19.0,2012,9,29,5
43,雜柑-檸檬,F1,2012-10-03,28.0,28.0,桃農,338,28.0,28.0,33.0,2012,10,3,2
44,雜柑-檸檬,F1,2012-10-04,32.0,18.0,桃農,338,24.3,24.3,74.0,2012,10,4,3
45,雜柑-檸檬,F1,2012-10-14,35.0,20.0,桃農,338,27.5,27.5,42.0,2012,10,14,6
46,雜柑-檸檬,F1,2012-10-20,25.0,25.0,桃農,338,25.0,25.0,33.0,2012,10,20,5
47,雜柑-檸檬,F1,2012-11-16,15.0,15.0,桃農,338,15.0,15.0,20.0,2012,11,16,4
48,雜柑-檸檬,F1,2012-12-15,15.0,15.0,桃農,338,15.0,15.0,34.0,2012,12,15,5
49,雜柑-檸檬,F1,2012-12-18,30.0,30.0,桃農,338,30.0,30.0,60.0,2012,12,18,1
50,雜柑-檸檬,F1,2012-12-22,45.0,45.0,桃農,338,45.0,45.0,15.0,2012,12,22,5
51,雜柑-檸檬,F1,2012-12-25,40.0,40.0,桃農,338,40.0,40.0,30.0,2012,12,25,1
52,雜柑-檸檬,F1,2012-12-26,35.0,35.0,桃農,338,35.0,35.0,30.0,2012,12,26,2
53,雜柑-檸檬,F1,2013-01-06,15.0,5.0,桃農,338,10.0,10.0,50.0,2013,1,6,6
54,雜柑-檸檬,F1,2013-01-08,15.0,15.0,桃農,338,15.0,15.0,34.0,2013,1,8,1
55,雜柑-檸檬,F1,2013-01-09,7.0,7.0,桃農,338,7.0,7.0,34.0,2013,1,9,2
56,雜柑-檸檬,F1,2013-01-13,26.0,26.0,桃農,338,26.0,26.0,90.0,2013,1,13,6
