,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,枇杷-茂木,L1,2016-02-25,100.0,100.0,豐原區,420,100.0,100.0,633.0,2016,2,25,3
1,枇杷-茂木,L1,2016-02-26,150.0,150.0,豐原區,420,150.0,150.0,28.0,2016,2,26,4
2,枇杷-茂木,L1,2016-02-27,150.0,150.0,豐原區,420,150.0,150.0,312.0,2016,2,27,5
3,枇杷-茂木,L1,2016-02-28,150.0,150.0,豐原區,420,150.0,150.0,56.0,2016,2,28,6
4,枇杷-茂木,L1,2016-03-01,100.0,100.0,豐原區,420,100.0,100.0,300.0,2016,3,1,1
5,枇杷-茂木,L1,2016-03-02,150.0,150.0,豐原區,420,150.0,150.0,18.0,2016,3,2,2
6,枇杷-茂木,L1,2016-03-03,150.0,150.0,豐原區,420,150.0,150.0,136.0,2016,3,3,3
7,枇杷-茂木,L1,2016-03-04,112.7,100.0,豐原區,420,102.53,100.0,316.0,2016,3,4,4
8,枇杷-茂木,L1,2016-03-05,100.0,100.0,豐原區,420,100.0,100.0,45.0,2016,3,5,5
9,枇杷-茂木,L1,2016-03-08,148.4,100.0,豐原區,420,109.68,100.0,372.0,2016,3,8,1
10,枇杷-茂木,L1,2016-03-09,100.0,100.0,豐原區,420,100.0,100.0,30.0,2016,3,9,2
11,枇杷-茂木,L1,2016-03-15,100.0,100.0,豐原區,420,100.0,100.0,204.0,2016,3,15,1
12,枇杷-茂木,L1,2016-03-17,150.0,150.0,豐原區,420,150.0,150.0,44.0,2016,3,17,3
13,枇杷-茂木,L1,2016-03-18,150.0,150.0,豐原區,420,150.0,150.0,136.0,2016,3,18,4
14,枇杷-茂木,L1,2016-03-19,75.0,75.0,豐原區,420,75.0,75.0,400.0,2016,3,19,5
15,枇杷-茂木,L1,2016-03-20,140.0,100.0,豐原區,420,108.0,100.0,25.0,2016,3,20,6
16,枇杷-茂木,L1,2016-03-22,100.0,100.0,豐原區,420,100.0,100.0,414.0,2016,3,22,1
17,枇杷-茂木,L1,2016-03-23,100.0,100.0,豐原區,420,100.0,100.0,294.0,2016,3,23,2
18,枇杷-茂木,L1,2016-03-24,100.0,100.0,豐原區,420,100.0,100.0,60.0,2016,3,24,3
19,枇杷-茂木,L1,2016-03-25,89.4,75.0,豐原區,420,77.88,75.0,624.0,2016,3,25,4
20,枇杷-茂木,L1,2016-03-26,100.0,100.0,豐原區,420,100.0,100.0,540.0,2016,3,26,5
21,枇杷-茂木,L1,2016-03-27,150.0,100.0,豐原區,420,114.66,107.8,382.0,2016,3,27,6
22,枇杷-茂木,L1,2016-03-29,150.0,100.0,豐原區,420,116.67,111.1,360.0,2016,3,29,1
23,枇杷-茂木,L1,2016-03-30,150.0,150.0,豐原區,420,150.0,150.0,24.0,2016,3,30,2
24,枇杷-茂木,L1,2016-03-31,150.0,150.0,豐原區,420,150.0,150.0,24.0,2016,3,31,3
25,枇杷-茂木,L1,2016-04-01,150.0,100.0,豐原區,420,114.0,106.7,50.0,2016,4,1,4
26,枇杷-茂木,L1,2016-04-02,150.0,100.0,豐原區,420,127.59,129.3,174.0,2016,4,2,5
27,枇杷-茂木,L1,2016-04-03,75.6,75.0,豐原區,420,75.12,75.0,627.0,2016,4,3,6
28,枇杷-茂木,L1,2016-04-06,113.0,100.0,豐原區,420,102.6,100.0,500.0,2016,4,6,2
29,枇杷-茂木,L1,2016-04-07,126.1,100.0,豐原區,420,105.22,100.0,345.0,2016,4,7,3
30,枇杷-茂木,L1,2016-04-08,150.0,100.0,豐原區,420,131.25,135.4,96.0,2016,4,8,4
31,枇杷-茂木,L1,2016-04-09,150.0,100.0,豐原區,420,128.57,131.0,350.0,2016,4,9,5
32,枇杷-茂木,L1,2016-04-10,150.0,150.0,豐原區,420,150.0,150.0,42.0,2016,4,10,6
33,枇杷-茂木,L1,2016-04-12,150.0,100.0,豐原區,420,126.32,127.2,76.0,2016,4,12,1
34,枇杷-茂木,L1,2016-04-13,150.0,100.0,豐原區,420,122.22,120.4,108.0,2016,4,13,2
35,枇杷-茂木,L1,2016-04-14,150.0,100.0,豐原區,420,117.33,112.2,202.0,2016,4,14,3
36,枇杷-茂木,L1,2016-04-15,150.0,100.0,豐原區,420,116.03,110.0,287.0,2016,4,15,4
37,枇杷-茂木,L1,2016-04-16,139.5,100.0,豐原區,420,107.91,100.0,253.0,2016,4,16,5
38,枇杷-茂木,L1,2016-04-17,150.0,100.0,豐原區,420,120.0,116.7,20.0,2016,4,17,6
39,枇杷-茂木,L1,2016-04-19,100.0,75.0,豐原區,420,87.05,86.8,417.0,2016,4,19,1
40,枇杷-茂木,L1,2016-04-20,100.0,75.0,豐原區,420,83.55,80.9,912.0,2016,4,20,2
41,枇杷-茂木,L1,2016-04-21,150.0,100.0,豐原區,420,113.11,105.2,122.0,2016,4,21,3
42,枇杷-茂木,L1,2016-04-22,150.0,100.0,豐原區,420,118.87,114.8,53.0,2016,4,22,4
43,枇杷-茂木,L1,2016-04-23,117.4,75.0,豐原區,420,89.58,85.2,144.0,2016,4,23,5
44,枇杷-茂木,L1,2016-04-24,95.3,75.0,豐原區,420,79.05,75.0,296.0,2016,4,24,6
45,枇杷-茂木,L1,2016-04-27,100.0,75.0,豐原區,420,80.25,75.4,557.0,2016,4,27,2
46,枇杷-茂木,L1,2016-05-06,150.0,100.0,豐原區,420,115.38,109.0,260.0,2016,5,6,4
47,枇杷-茂木,L1,2016-05-08,150.0,150.0,豐原區,420,150.0,150.0,2.0,2016,5,8,6
48,枇杷-茂木,L1,2017-02-19,150.0,75.0,豐原區,420,122.73,129.5,22.0,2017,2,19,6
49,枇杷-茂木,L1,2017-02-21,150.0,79.8,豐原區,420,119.76,123.0,248.0,2017,2,21,1
50,枇杷-茂木,L1,2017-02-22,150.0,100.0,豐原區,420,132.0,136.7,25.0,2017,2,22,2
51,枇杷-茂木,L1,2017-02-23,185.7,100.0,豐原區,420,142.86,142.9,105.0,2017,2,23,3
52,枇杷-茂木,L1,2017-02-24,212.5,100.0,豐原區,420,150.0,145.8,12.0,2017,2,24,4
53,枇杷-茂木,L1,2017-02-26,164.2,75.0,豐原區,420,118.87,118.4,265.0,2017,2,26,6
54,枇杷-茂木,L1,2017-02-28,165.3,75.0,豐原區,420,122.45,124.0,245.0,2017,2,28,1
55,枇杷-茂木,L1,2017-03-02,150.0,100.0,豐原區,420,130.43,134.1,115.0,2017,3,2,3
56,枇杷-茂木,L1,2017-03-04,177.8,75.0,豐原區,420,111.11,100.9,270.0,2017,3,4,5
57,枇杷-茂木,L1,2017-03-05,150.0,75.0,豐原區,420,107.14,103.6,140.0,2017,3,5,6
58,枇杷-茂木,L1,2017-03-07,138.0,107.6,豐原區,420,121.92,121.3,242.0,2017,3,7,1
59,枇杷-茂木,L1,2017-03-09,149.8,75.0,豐原區,420,114.21,115.4,127.0,2017,3,9,3
60,枇杷-茂木,L1,2017-03-10,151.0,114.9,豐原區,420,138.06,141.5,351.0,2017,3,10,4
61,枇杷-茂木,L1,2017-03-11,173.2,100.0,豐原區,420,131.05,127.4,456.0,2017,3,11,5
62,枇杷-茂木,L1,2017-03-12,171.4,75.0,豐原區,420,128.57,132.1,700.0,2017,3,12,6
63,枇杷-茂木,L1,2017-03-14,193.6,100.0,豐原區,420,141.04,137.2,212.0,2017,3,14,1
64,枇杷-茂木,L1,2017-03-15,191.7,75.0,豐原區,420,120.83,112.5,24.0,2017,3,15,2
65,枇杷-茂木,L1,2017-03-17,156.0,76.1,豐原區,420,110.64,107.0,545.0,2017,3,17,4
66,枇杷-茂木,L1,2017-03-18,150.0,60.0,豐原區,420,116.23,123.7,493.0,2017,3,18,5
67,枇杷-茂木,L1,2017-03-19,200.0,100.0,豐原區,420,155.22,158.7,464.0,2017,3,19,6
68,枇杷-茂木,L1,2017-03-21,300.0,118.2,豐原區,420,258.96,292.2,307.0,2017,3,21,1
