,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,波羅蜜,G9,2017-08-31,30.0,30.0,豐原區,420,30.0,30.0,10.0,2017,8,31,3
1,波羅蜜,G9,2018-06-24,30.0,30.0,豐原區,420,30.0,30.0,30.0,2018,6,24,6
2,波羅蜜,G9,2018-06-27,30.0,15.0,豐原區,420,23.08,23.5,130.0,2018,6,27,2
3,波羅蜜,G9,2018-07-04,32.0,32.0,豐原區,420,32.0,32.0,9.0,2018,7,4,2
4,波羅蜜,G9,2018-07-07,40.0,20.0,豐原區,420,28.46,27.4,52.0,2018,7,7,5
5,波羅蜜,G9,2018-07-10,30.0,30.0,豐原區,420,30.0,30.0,20.0,2018,7,10,1
6,波羅蜜,G9,2018-07-12,30.0,8.0,豐原區,420,19.43,19.7,77.0,2018,7,12,3
7,波羅蜜,G9,2018-07-13,25.0,25.0,豐原區,420,25.0,25.0,12.0,2018,7,13,4
8,波羅蜜,G9,2018-07-20,20.0,20.0,豐原區,420,20.0,20.0,45.0,2018,7,20,4
9,波羅蜜,G9,2018-07-24,30.0,12.0,豐原區,420,20.0,19.3,90.0,2018,7,24,1
10,波羅蜜,G9,2018-08-04,20.0,15.0,豐原區,420,16.36,15.6,165.0,2018,8,4,5
11,波羅蜜,G9,2018-08-07,20.0,20.0,豐原區,420,20.0,20.0,45.0,2018,8,7,1
12,波羅蜜,G9,2018-08-18,25.0,25.0,豐原區,420,25.0,25.0,60.0,2018,8,18,5
13,波羅蜜,G9,2018-08-31,20.0,20.0,豐原區,420,20.0,20.0,30.0,2018,8,31,4
14,波羅蜜,G9,2018-09-01,25.0,25.0,豐原區,420,25.0,25.0,60.0,2018,9,1,5
15,波羅蜜,G9,2018-09-14,20.0,20.0,豐原區,420,20.0,20.0,15.0,2018,9,14,4
16,波羅蜜,G9,2018-09-22,25.0,25.0,豐原區,420,25.0,25.0,36.0,2018,9,22,5
17,波羅蜜,G9,2018-09-28,25.0,25.0,豐原區,420,25.0,25.0,48.0,2018,9,28,4
18,波羅蜜,G9,2018-10-05,20.0,20.0,豐原區,420,20.0,20.0,90.0,2018,10,5,4
19,波羅蜜,G9,2018-10-06,60.0,60.0,豐原區,420,60.0,60.0,25.0,2018,10,6,5
20,波羅蜜,G9,2018-10-07,8.0,8.0,豐原區,420,8.0,8.0,112.0,2018,10,7,6
21,波羅蜜,G9,2018-10-09,8.0,8.0,豐原區,420,8.0,8.0,75.0,2018,10,9,1
22,波羅蜜,G9,2018-10-11,12.0,12.0,豐原區,420,12.0,12.0,75.0,2018,10,11,3
23,波羅蜜,G9,2018-10-14,8.0,8.0,豐原區,420,8.0,8.0,75.0,2018,10,14,6
24,波羅蜜,G9,2018-10-18,8.0,8.0,豐原區,420,8.0,8.0,112.0,2018,10,18,3
25,波羅蜜,G9,2018-10-21,8.0,8.0,豐原區,420,8.0,8.0,37.0,2018,10,21,6
26,波羅蜜,G9,2019-04-16,20.0,20.0,豐原區,420,20.0,20.0,30.0,2019,4,16,1
27,波羅蜜,G9,2019-04-27,50.0,50.0,豐原區,420,50.0,50.0,12.0,2019,4,27,5
28,波羅蜜,G9,2019-04-28,30.0,30.0,豐原區,420,30.0,30.0,10.0,2019,4,28,6
29,波羅蜜,G9,2019-04-16,20.0,20.0,豐原區,420,20.0,20.0,30.0,2019,4,16,1
30,波羅蜜,G9,2019-04-27,50.0,50.0,豐原區,420,50.0,50.0,12.0,2019,4,27,5
31,波羅蜜,G9,2019-04-28,30.0,30.0,豐原區,420,30.0,30.0,10.0,2019,4,28,6
32,波羅蜜,G9,2019-05-11,30.0,30.0,豐原區,420,30.0,30.0,30.0,2019,5,11,5
33,波羅蜜,G9,2019-05-15,30.0,30.0,豐原區,420,30.0,30.0,30.0,2019,5,15,2
34,波羅蜜,G9,2019-05-16,30.0,30.0,豐原區,420,30.0,30.0,30.0,2019,5,16,3
35,波羅蜜,G9,2019-05-17,30.0,30.0,豐原區,420,30.0,30.0,10.0,2019,5,17,4
36,波羅蜜,G9,2019-05-22,25.0,25.0,豐原區,420,25.0,25.0,36.0,2019,5,22,2
37,波羅蜜,G9,2019-05-28,25.0,20.0,豐原區,420,22.86,23.1,105.0,2019,5,28,1
38,波羅蜜,G9,2019-06-04,30.0,15.0,豐原區,420,19.09,16.8,110.0,2019,6,4,1
39,波羅蜜,G9,2019-06-06,23.7,16.3,豐原區,420,20.0,20.0,135.0,2019,6,6,3
40,波羅蜜,G9,2019-06-07,20.0,20.0,豐原區,420,20.0,20.0,15.0,2019,6,7,4
41,波羅蜜,G9,2019-06-11,30.0,20.0,豐原區,420,24.19,23.7,62.0,2019,6,11,1
