,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,花椰菜-青梗,FB1,2016-01-03,20.0,15.0,豐原區,420,17.4,17.3,1500.0,2016,1,3,6
1,花椰菜-青梗,FB1,2016-01-05,20.0,15.0,豐原區,420,17.69,17.8,1930.0,2016,1,5,1
2,花椰菜-青梗,FB1,2016-01-06,25.0,15.0,豐原區,420,18.38,17.3,1950.0,2016,1,6,2
3,花椰菜-青梗,FB1,2016-01-10,18.0,15.0,豐原區,420,16.5,16.5,1200.0,2016,1,10,6
4,花椰菜-青梗,FB1,2016-01-24,18.9,10.0,豐原區,420,14.29,14.2,4180.0,2016,1,24,6
5,花椰菜-青梗,FB1,2016-01-26,21.3,16.0,豐原區,420,18.25,18.0,1340.0,2016,1,26,1
6,花椰菜-青梗,FB1,2016-01-27,28.0,18.4,豐原區,420,23.53,23.8,4560.0,2016,1,27,2
7,花椰菜-青梗,FB1,2016-02-23,30.0,30.0,豐原區,420,30.0,30.0,1200.0,2016,2,23,1
8,花椰菜-青梗,FB1,2016-02-24,26.8,16.0,豐原區,420,20.47,19.9,3560.0,2016,2,24,2
9,花椰菜-青梗,FB1,2016-02-25,49.9,32.0,豐原區,420,42.47,43.5,2580.0,2016,2,25,3
10,花椰菜-青梗,FB1,2016-02-26,50.0,40.0,豐原區,420,44.6,44.3,2150.0,2016,2,26,4
11,花椰菜-青梗,FB1,2016-02-27,45.0,30.0,豐原區,420,37.27,37.1,1100.0,2016,2,27,5
12,花椰菜-青梗,FB1,2016-02-28,49.9,40.0,豐原區,420,45.24,45.4,2100.0,2016,2,28,6
13,花椰菜-青梗,FB1,2016-03-03,30.0,25.0,豐原區,420,26.88,26.5,1200.0,2016,3,3,3
14,花椰菜-青梗,FB1,2016-04-01,52.0,30.4,豐原區,420,43.1,44.3,1570.0,2016,4,1,4
15,花椰菜-青梗,FB1,2016-04-02,40.0,20.0,豐原區,420,31.25,32.1,2400.0,2016,4,2,5
16,花椰菜-青梗,FB1,2016-04-03,29.1,20.0,豐原區,420,23.41,22.6,3110.0,2016,4,3,6
17,花椰菜-青梗,FB1,2016-04-16,25.0,10.0,豐原區,420,15.86,14.8,2930.0,2016,4,16,5
18,花椰菜-青梗,FB1,2016-04-17,22.8,10.2,豐原區,420,15.37,14.6,3310.0,2016,4,17,6
19,花椰菜-青梗,FB1,2016-04-19,23.2,9.0,豐原區,420,13.58,11.9,2740.0,2016,4,19,1
20,花椰菜-青梗,FB1,2016-04-20,23.0,11.1,豐原區,420,14.83,13.3,2420.0,2016,4,20,2
21,花椰菜-青梗,FB1,2016-04-21,20.0,20.0,豐原區,420,20.0,20.0,1140.0,2016,4,21,3
22,花椰菜-青梗,FB1,2016-04-22,25.0,12.0,豐原區,420,15.05,12.8,730.0,2016,4,22,4
23,花椰菜-青梗,FB1,2016-04-23,32.3,12.9,豐原區,420,18.9,16.4,2730.0,2016,4,23,5
24,花椰菜-青梗,FB1,2016-04-26,30.0,20.0,豐原區,420,23.93,23.2,1870.0,2016,4,26,1
25,花椰菜-青梗,FB1,2016-04-27,22.6,8.0,豐原區,420,15.31,15.3,5100.0,2016,4,27,2
26,花椰菜-青梗,FB1,2016-04-28,32.0,20.0,豐原區,420,25.89,25.8,1350.0,2016,4,28,3
27,花椰菜-青梗,FB1,2016-04-29,26.0,8.0,豐原區,420,15.8,15.0,2380.0,2016,4,29,4
28,花椰菜-青梗,FB1,2016-04-30,26.0,26.0,豐原區,420,26.0,26.0,600.0,2016,4,30,5
29,花椰菜-青梗,FB1,2016-05-01,12.0,10.0,豐原區,420,11.0,11.0,1500.0,2016,5,1,6
30,花椰菜-青梗,FB1,2016-05-03,12.0,10.0,豐原區,420,11.0,11.0,1800.0,2016,5,3,1
31,花椰菜-青梗,FB1,2016-05-04,39.8,13.0,豐原區,420,26.15,26.0,1220.0,2016,5,4,2
32,花椰菜-青梗,FB1,2016-05-05,23.3,12.0,豐原區,420,15.56,14.1,1080.0,2016,5,5,3
33,花椰菜-青梗,FB1,2016-05-06,20.0,6.0,豐原區,420,16.24,18.4,2460.0,2016,5,6,4
34,花椰菜-青梗,FB1,2016-05-08,70.0,60.0,豐原區,420,65.0,65.0,200.0,2016,5,8,6
35,花椰菜-青梗,FB1,2016-05-10,11.8,5.0,豐原區,420,8.07,7.9,540.0,2016,5,10,1
36,花椰菜-青梗,FB1,2016-05-11,30.0,6.0,豐原區,420,18.55,18.9,880.0,2016,5,11,2
37,花椰菜-青梗,FB1,2016-05-12,30.0,23.0,豐原區,420,26.5,26.5,800.0,2016,5,12,3
