,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,茴香,LS1,2016-01-05,25.0,25.0,豐原區,420,25.0,25.0,700.0,2016,1,5,1
1,茴香,LS1,2016-01-06,20.0,16.7,豐原區,420,19.33,20.0,1500.0,2016,1,6,2
2,茴香,LS1,2016-01-07,32.0,32.0,豐原區,420,32.0,32.0,400.0,2016,1,7,3
3,茴香,LS1,2016-01-09,25.0,25.0,豐原區,420,25.0,25.0,800.0,2016,1,9,5
4,茴香,LS1,2016-01-10,25.0,20.0,豐原區,420,22.5,22.5,400.0,2016,1,10,6
5,茴香,LS1,2016-01-13,28.0,25.0,豐原區,420,26.5,26.5,400.0,2016,1,13,2
6,茴香,LS1,2016-01-14,22.0,22.0,豐原區,420,22.0,22.0,300.0,2016,1,14,3
7,茴香,LS1,2016-01-15,25.5,20.0,豐原區,420,22.2,21.8,1000.0,2016,1,15,4
8,茴香,LS1,2016-01-16,18.7,18.0,豐原區,420,18.14,18.0,830.0,2016,1,16,5
9,茴香,LS1,2016-01-17,13.0,13.0,豐原區,420,13.0,13.0,100.0,2016,1,17,6
10,茴香,LS1,2016-01-19,17.0,17.0,豐原區,420,17.0,17.0,200.0,2016,1,19,1
11,茴香,LS1,2016-01-20,29.0,23.5,豐原區,420,26.59,26.8,1700.0,2016,1,20,2
12,茴香,LS1,2016-01-21,23.0,22.0,豐原區,420,22.8,23.0,1000.0,2016,1,21,3
13,茴香,LS1,2016-01-22,20.0,19.0,豐原區,420,19.6,19.7,500.0,2016,1,22,4
14,茴香,LS1,2016-01-23,25.0,25.0,豐原區,420,25.0,25.0,300.0,2016,1,23,5
15,茴香,LS1,2016-01-24,20.0,10.0,豐原區,420,16.65,17.7,3100.0,2016,1,24,6
16,茴香,LS1,2016-01-27,30.0,30.0,豐原區,420,30.0,30.0,100.0,2016,1,27,2
17,茴香,LS1,2016-01-31,24.0,24.0,豐原區,420,24.0,24.0,400.0,2016,1,31,6
18,茴香,LS1,2016-02-24,22.0,22.0,豐原區,420,22.0,22.0,800.0,2016,2,24,2
19,茴香,LS1,2016-02-27,30.0,30.0,豐原區,420,30.0,30.0,800.0,2016,2,27,5
20,茴香,LS1,2016-03-01,23.0,23.0,豐原區,420,23.0,23.0,200.0,2016,3,1,1
21,茴香,LS1,2016-03-02,27.1,19.0,豐原區,420,22.43,22.0,1400.0,2016,3,2,2
22,茴香,LS1,2016-03-03,27.5,23.0,豐原區,420,23.91,23.0,1100.0,2016,3,3,3
23,茴香,LS1,2016-03-04,31.0,31.0,豐原區,420,31.0,31.0,500.0,2016,3,4,4
24,茴香,LS1,2016-03-05,16.0,15.0,豐原區,420,15.53,15.6,1500.0,2016,3,5,5
25,茴香,LS1,2016-03-08,37.3,29.0,豐原區,420,30.67,29.0,600.0,2016,3,8,1
26,茴香,LS1,2016-03-09,25.0,25.0,豐原區,420,25.0,25.0,500.0,2016,3,9,2
27,茴香,LS1,2016-03-10,26.0,26.0,豐原區,420,26.0,26.0,500.0,2016,3,10,3
28,茴香,LS1,2016-03-11,25.4,25.0,豐原區,420,25.09,25.0,1168.0,2016,3,11,4
29,茴香,LS1,2016-03-15,32.0,26.0,豐原區,420,28.18,27.6,1100.0,2016,3,15,1
30,茴香,LS1,2016-03-16,37.0,37.0,豐原區,420,37.0,37.0,700.0,2016,3,16,2
31,茴香,LS1,2016-03-18,43.0,43.0,豐原區,420,43.0,43.0,100.0,2016,3,18,4
32,茴香,LS1,2016-03-19,45.0,45.0,豐原區,420,45.0,45.0,800.0,2016,3,19,5
33,茴香,LS1,2016-03-22,51.0,35.0,豐原區,420,44.0,44.7,600.0,2016,3,22,1
34,茴香,LS1,2016-03-27,70.0,60.0,豐原區,420,65.0,65.0,200.0,2016,3,27,6
35,茴香,LS1,2016-03-29,30.0,22.0,豐原區,420,24.67,23.8,300.0,2016,3,29,1
36,茴香,LS1,2016-03-31,27.0,27.0,豐原區,420,27.0,27.0,200.0,2016,3,31,3
37,茴香,LS1,2016-04-01,45.0,28.0,豐原區,420,39.0,40.7,900.0,2016,4,1,4
38,茴香,LS1,2016-04-02,55.0,55.0,豐原區,420,55.0,55.0,300.0,2016,4,2,5
39,茴香,LS1,2016-04-03,45.6,25.0,豐原區,420,35.0,34.8,1800.0,2016,4,3,6
