,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,蓮霧-紅蓮霧,Q1,2016-01-01,42.3,30.0,豐原區,420,32.45,30.0,1858.0,2016,1,1,4
1,蓮霧-紅蓮霧,Q1,2016-01-02,36.3,30.0,豐原區,420,31.25,30.0,1440.0,2016,1,2,5
2,蓮霧-紅蓮霧,Q1,2016-01-03,49.2,30.0,豐原區,420,33.84,30.0,718.0,2016,1,3,6
3,蓮霧-紅蓮霧,Q1,2016-01-05,50.0,30.0,豐原區,420,34.24,30.4,1358.0,2016,1,5,1
4,蓮霧-紅蓮霧,Q1,2016-01-06,35.5,30.0,豐原區,420,31.11,30.0,1302.0,2016,1,6,2
5,蓮霧-紅蓮霧,Q1,2016-01-07,33.9,30.0,豐原區,420,30.78,30.0,1540.0,2016,1,7,3
6,蓮霧-紅蓮霧,Q1,2016-01-08,39.8,30.0,豐原區,420,31.95,30.0,2338.0,2016,1,8,4
7,蓮霧-紅蓮霧,Q1,2016-01-09,39.2,30.0,豐原區,420,31.83,30.0,2950.0,2016,1,9,5
8,蓮霧-紅蓮霧,Q1,2016-01-10,31.5,20.0,豐原區,420,23.72,22.4,1960.0,2016,1,10,6
9,蓮霧-紅蓮霧,Q1,2016-01-12,30.7,30.0,豐原區,420,30.15,30.0,2408.0,2016,1,12,1
10,蓮霧-紅蓮霧,Q1,2016-01-13,50.0,30.0,豐原區,420,44.24,47.1,1424.0,2016,1,13,2
11,蓮霧-紅蓮霧,Q1,2016-01-14,50.0,50.0,豐原區,420,50.0,50.0,858.0,2016,1,14,3
12,蓮霧-紅蓮霧,Q1,2016-01-15,30.0,10.0,豐原區,420,24.91,28.2,4010.0,2016,1,15,4
13,蓮霧-紅蓮霧,Q1,2016-01-16,50.0,50.0,豐原區,420,50.0,50.0,750.0,2016,1,16,5
14,蓮霧-紅蓮霧,Q1,2016-01-17,50.0,50.0,豐原區,420,50.0,50.0,768.0,2016,1,17,6
15,蓮霧-紅蓮霧,Q1,2016-01-19,30.0,30.0,豐原區,420,30.0,30.0,3640.0,2016,1,19,1
16,蓮霧-紅蓮霧,Q1,2016-01-20,47.2,30.0,豐原區,420,33.43,30.0,2306.0,2016,1,20,2
17,蓮霧-紅蓮霧,Q1,2016-01-21,36.2,20.0,豐原區,420,28.79,29.3,2428.0,2016,1,21,3
