,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,黃秋葵,FA1,2016-01-12,60.0,60.0,豐原區,420,60.0,60.0,955.0,2016,1,12,1
1,黃秋葵,FA1,2016-05-03,35.0,35.0,豐原區,420,35.0,35.0,30.0,2016,5,3,1
2,黃秋葵,FA1,2016-05-04,25.0,25.0,豐原區,420,25.0,25.0,30.0,2016,5,4,2
3,黃秋葵,FA1,2016-05-28,85.5,30.0,豐原區,420,56.05,54.9,2920.0,2016,5,28,5
4,黃秋葵,FA1,2016-06-24,100.0,50.0,豐原區,420,79.2,82.0,150.0,2016,6,24,4
5,黃秋葵,FA1,2016-06-29,70.0,50.0,豐原區,420,60.0,60.0,800.0,2016,6,29,2
6,黃秋葵,FA1,2016-07-06,55.0,55.0,豐原區,420,55.0,55.0,40.0,2016,7,6,2
7,黃秋葵,FA1,2016-07-16,75.0,75.0,豐原區,420,75.0,75.0,30.0,2016,7,16,5
8,黃秋葵,FA1,2016-07-24,90.0,40.0,豐原區,420,77.5,85.8,160.0,2016,7,24,6
9,黃秋葵,FA1,2016-07-29,50.0,50.0,豐原區,420,50.0,50.0,280.0,2016,7,29,4
10,黃秋葵,FA1,2016-07-30,50.0,40.0,豐原區,420,45.0,45.0,120.0,2016,7,30,5
11,黃秋葵,FA1,2016-08-02,55.0,16.0,豐原區,420,39.4,42.0,150.0,2016,8,2,1
12,黃秋葵,FA1,2016-08-03,52.0,12.0,豐原區,420,32.0,32.0,40.0,2016,8,3,2
13,黃秋葵,FA1,2016-08-04,47.0,11.0,豐原區,420,29.0,29.0,80.0,2016,8,4,3
14,黃秋葵,FA1,2016-08-06,44.0,10.0,豐原區,420,27.0,27.0,80.0,2016,8,6,5
15,黃秋葵,FA1,2016-08-09,50.0,9.5,豐原區,420,32.62,34.6,1830.0,2016,8,9,1
16,黃秋葵,FA1,2016-08-11,48.7,10.0,豐原區,420,17.74,10.0,186.0,2016,8,11,3
17,黃秋葵,FA1,2016-08-13,50.0,10.0,豐原區,420,35.25,38.8,400.0,2016,8,13,5
18,黃秋葵,FA1,2016-08-14,50.0,5.0,豐原區,420,26.32,25.5,76.0,2016,8,14,6
19,黃秋葵,FA1,2016-08-16,75.0,17.5,豐原區,420,42.5,40.0,180.0,2016,8,16,1
20,黃秋葵,FA1,2016-08-17,67.0,10.0,豐原區,420,48.57,55.3,84.0,2016,8,17,2
21,黃秋葵,FA1,2016-08-21,60.0,10.0,豐原區,420,30.0,26.7,200.0,2016,8,21,6
22,黃秋葵,FA1,2016-08-23,60.0,10.0,豐原區,420,43.33,48.9,60.0,2016,8,23,1
23,黃秋葵,FA1,2016-08-25,47.5,10.0,豐原區,420,17.5,10.0,360.0,2016,8,25,3
24,黃秋葵,FA1,2016-08-31,56.0,10.0,豐原區,420,33.0,33.0,600.0,2016,8,31,2
25,黃秋葵,FA1,2016-09-02,70.0,18.3,豐原區,420,41.0,38.9,120.0,2016,9,2,4
26,黃秋葵,FA1,2016-09-03,65.0,15.0,豐原區,420,48.33,53.9,60.0,2016,9,3,5
27,黃秋葵,FA1,2016-09-14,75.0,15.0,豐原區,420,51.0,55.0,100.0,2016,9,14,2
28,黃秋葵,FA1,2016-09-16,80.0,20.0,豐原區,420,44.0,40.0,1500.0,2016,9,16,4
29,黃秋葵,FA1,2016-09-17,80.0,20.0,豐原區,420,50.0,50.0,40.0,2016,9,17,5
30,黃秋葵,FA1,2016-09-18,75.0,15.0,豐原區,420,41.67,39.4,18.0,2016,9,18,6
31,黃秋葵,FA1,2016-09-20,30.0,30.0,豐原區,420,30.0,30.0,20.0,2016,9,20,1
32,黃秋葵,FA1,2016-09-21,30.0,30.0,豐原區,420,30.0,30.0,10.0,2016,9,21,2
33,黃秋葵,FA1,2016-09-22,80.0,15.0,豐原區,420,51.83,54.7,710.0,2016,9,22,3
34,黃秋葵,FA1,2016-09-23,80.3,10.0,豐原區,420,48.21,50.2,3120.0,2016,9,23,4
35,黃秋葵,FA1,2016-09-25,60.0,60.0,豐原區,420,60.0,60.0,5.0,2016,9,25,6
36,黃秋葵,FA1,2016-09-27,30.0,30.0,豐原區,420,30.0,30.0,20.0,2016,9,27,1
37,黃秋葵,FA1,2016-09-30,30.0,30.0,豐原區,420,30.0,30.0,10.0,2016,9,30,4
38,黃秋葵,FA1,2016-10-02,110.0,40.0,豐原區,420,75.0,75.0,40.0,2016,10,2,6
39,黃秋葵,FA1,2016-10-09,150.0,60.0,豐原區,420,85.71,72.9,7.0,2016,10,9,6
40,黃秋葵,FA1,2016-10-13,130.0,40.0,豐原區,420,94.0,100.0,1000.0,2016,10,13,3
41,黃秋葵,FA1,2016-10-15,110.0,50.0,豐原區,420,84.29,87.1,700.0,2016,10,15,5
42,黃秋葵,FA1,2016-10-20,30.0,30.0,豐原區,420,30.0,30.0,10.0,2016,10,20,3
43,黃秋葵,FA1,2016-10-23,50.0,50.0,豐原區,420,50.0,50.0,6.0,2016,10,23,6
44,黃秋葵,FA1,2016-10-27,115.0,40.0,豐原區,420,82.86,86.4,700.0,2016,10,27,3
45,黃秋葵,FA1,2016-10-28,90.0,25.0,豐原區,420,65.63,71.0,32.0,2016,10,28,4
46,黃秋葵,FA1,2016-11-02,30.0,30.0,豐原區,420,30.0,30.0,10.0,2016,11,2,2
47,黃秋葵,FA1,2016-11-04,82.0,30.6,豐原區,420,60.29,63.0,70.0,2016,11,4,4
48,黃秋葵,FA1,2016-11-06,100.0,37.5,豐原區,420,68.52,68.4,810.0,2016,11,6,6
49,黃秋葵,FA1,2016-11-08,95.0,30.0,豐原區,420,62.44,62.4,205.0,2016,11,8,1
50,黃秋葵,FA1,2016-11-10,80.0,30.0,豐原區,420,55.0,55.0,200.0,2016,11,10,3
51,黃秋葵,FA1,2016-11-11,30.0,30.0,豐原區,420,30.0,30.0,10.0,2016,11,11,4
52,黃秋葵,FA1,2016-11-13,30.0,30.0,豐原區,420,30.0,30.0,10.0,2016,11,13,6
53,黃秋葵,FA1,2016-11-15,30.0,30.0,豐原區,420,30.0,30.0,10.0,2016,11,15,1
54,黃秋葵,FA1,2016-11-16,30.0,30.0,豐原區,420,30.0,30.0,10.0,2016,11,16,2
55,黃秋葵,FA1,2016-11-17,75.0,15.0,豐原區,420,48.75,51.3,80.0,2016,11,17,3
