,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,枇杷-茂木,L1,2012-01-18,150.0,150.0,高雄市,800,150.0,150.0,12.0,2012,1,18,2
1,枇杷-茂木,L1,2012-01-19,150.0,150.0,高雄市,800,150.0,150.0,12.0,2012,1,19,3
2,枇杷-茂木,L1,2012-01-29,50.0,50.0,高雄市,800,50.0,50.0,20.0,2012,1,29,6
3,枇杷-茂木,L1,2012-01-30,120.0,80.0,高雄市,800,112.0,120.0,50.0,2012,1,30,0
4,枇杷-茂木,L1,2012-02-03,120.0,120.0,高雄市,800,120.0,120.0,12.0,2012,2,3,4
5,枇杷-茂木,L1,2012-02-04,120.0,120.0,高雄市,800,120.0,120.0,52.0,2012,2,4,5
6,枇杷-茂木,L1,2012-02-05,150.0,150.0,高雄市,800,150.0,150.0,10.0,2012,2,5,6
7,枇杷-茂木,L1,2012-02-10,50.0,50.0,高雄市,800,50.0,50.0,34.0,2012,2,10,4
8,枇杷-茂木,L1,2012-02-11,80.0,41.7,高雄市,800,54.4,50.2,36.0,2012,2,11,5
9,枇杷-茂木,L1,2012-02-12,100.0,41.7,高雄市,800,73.9,75.9,36.0,2012,2,12,6
10,枇杷-茂木,L1,2012-02-14,114.3,72.9,高雄市,800,85.7,80.5,84.0,2012,2,14,1
11,枇杷-茂木,L1,2012-02-15,100.0,80.0,高雄市,800,90.0,90.0,24.0,2012,2,15,2
12,枇杷-茂木,L1,2012-02-16,150.0,41.7,高雄市,800,100.4,103.5,146.0,2012,2,16,3
13,枇杷-茂木,L1,2012-02-17,108.8,41.7,高雄市,800,67.1,61.7,118.0,2012,2,17,4
14,枇杷-茂木,L1,2012-02-18,130.8,50.0,高雄市,800,88.6,87.3,166.0,2012,2,18,5
15,枇杷-茂木,L1,2012-02-19,111.3,47.5,高雄市,800,83.3,85.9,212.0,2012,2,19,6
16,枇杷-茂木,L1,2012-02-21,138.5,80.0,高雄市,800,100.6,94.8,355.0,2012,2,21,1
