,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,豆薯,SL1,2012-01-01,22.4,15.0,高雄市,800,18.3,18.0,1370.0,2012,1,1,6
1,豆薯,SL1,2012-01-03,23.7,16.9,高雄市,800,20.3,20.3,1280.0,2012,1,3,1
2,豆薯,SL1,2012-01-04,21.7,17.3,高雄市,800,18.6,18.0,1640.0,2012,1,4,2
3,豆薯,SL1,2012-01-05,22.6,17.0,高雄市,800,18.9,18.4,1520.0,2012,1,5,3
4,豆薯,SL1,2012-01-06,22.4,13.8,高雄市,800,18.9,19.3,1640.0,2012,1,6,4
5,豆薯,SL1,2012-01-07,22.1,15.9,高雄市,800,18.3,17.8,1930.0,2012,1,7,5
6,豆薯,SL1,2012-01-08,24.0,13.6,高雄市,800,19.2,19.5,860.0,2012,1,8,6
7,豆薯,SL1,2012-01-10,22.8,16.3,高雄市,800,19.9,20.1,1330.0,2012,1,10,1
8,豆薯,SL1,2012-01-11,21.8,15.7,高雄市,800,19.5,20.0,1690.0,2012,1,11,2
9,豆薯,SL1,2012-01-12,20.9,17.4,高雄市,800,19.7,20.0,2350.0,2012,1,12,3
10,豆薯,SL1,2012-01-13,21.8,12.8,高雄市,800,16.2,15.4,1630.0,2012,1,13,4
11,豆薯,SL1,2012-01-14,22.1,12.3,高雄市,800,17.8,18.2,1450.0,2012,1,14,5
12,豆薯,SL1,2012-01-15,20.8,13.5,高雄市,800,15.9,15.0,2080.0,2012,1,15,6
13,豆薯,SL1,2012-01-17,22.0,14.7,高雄市,800,19.1,19.6,1120.0,2012,1,17,1
14,豆薯,SL1,2012-01-18,21.8,12.8,高雄市,800,17.5,17.7,1590.0,2012,1,18,2
15,豆薯,SL1,2012-01-19,21.8,11.5,高雄市,800,18.7,20.0,1690.0,2012,1,19,3
16,豆薯,SL1,2012-01-20,22.2,13.8,高雄市,800,17.2,16.7,2170.0,2012,1,20,4
17,豆薯,SL1,2012-01-21,25.0,15.2,高雄市,800,19.6,19.2,3010.0,2012,1,21,5
18,豆薯,SL1,2012-01-22,24.7,18.8,高雄市,800,20.9,20.4,1100.0,2012,1,22,6
19,豆薯,SL1,2012-01-28,22.0,14.4,高雄市,800,18.2,18.1,1540.0,2012,1,28,5
20,豆薯,SL1,2012-01-29,23.7,16.7,高雄市,800,20.3,20.4,2590.0,2012,1,29,6
21,豆薯,SL1,2012-01-31,22.8,16.1,高雄市,800,19.3,19.3,1820.0,2012,1,31,1
22,豆薯,SL1,2012-02-01,21.0,9.7,高雄市,800,16.0,16.4,1880.0,2012,2,1,2
23,豆薯,SL1,2012-02-02,21.1,11.8,高雄市,800,18.6,20.0,1750.0,2012,2,2,3
24,豆薯,SL1,2012-02-03,20.9,9.9,高雄市,800,15.6,15.8,2240.0,2012,2,3,4
