,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,馬鈴薯-本產,SC1,2012-01-01,22.5,13.2,高雄市,800,18.0,18.2,3171.0,2012,1,1,6
1,馬鈴薯-本產,SC1,2012-01-03,21.9,9.2,高雄市,800,16.6,17.3,3748.0,2012,1,3,1
2,馬鈴薯-本產,SC1,2012-01-04,23.5,12.0,高雄市,800,17.2,16.9,3160.0,2012,1,4,2
3,馬鈴薯-本產,SC1,2012-01-05,24.4,10.8,高雄市,800,16.1,15.0,4196.0,2012,1,5,3
4,馬鈴薯-本產,SC1,2012-01-06,25.2,13.2,高雄市,800,19.5,19.6,2740.0,2012,1,6,4
5,馬鈴薯-本產,SC1,2012-01-07,25.2,15.0,高雄市,800,19.0,18.3,2540.0,2012,1,7,5
6,馬鈴薯-本產,SC1,2012-01-08,26.8,13.0,高雄市,800,19.0,18.3,3748.0,2012,1,8,6
7,馬鈴薯-本產,SC1,2012-01-10,26.7,13.2,高雄市,800,19.7,19.5,4308.0,2012,1,10,1
8,馬鈴薯-本產,SC1,2012-01-11,25.4,5.4,高雄市,800,16.4,17.1,3920.0,2012,1,11,2
9,馬鈴薯-本產,SC1,2012-01-12,22.0,9.8,高雄市,800,16.5,16.9,3340.0,2012,1,12,3
10,馬鈴薯-本產,SC1,2012-01-13,22.0,7.1,高雄市,800,15.0,15.4,3460.0,2012,1,13,4
11,馬鈴薯-本產,SC1,2012-01-14,20.5,6.4,高雄市,800,13.1,12.9,3820.0,2012,1,14,5
12,馬鈴薯-本產,SC1,2012-01-15,21.0,6.7,高雄市,800,15.1,15.9,2911.0,2012,1,15,6
13,馬鈴薯-本產,SC1,2012-01-17,24.3,9.4,高雄市,800,16.6,16.5,2992.0,2012,1,17,1
14,馬鈴薯-本產,SC1,2012-01-18,22.0,7.0,高雄市,800,15.9,16.9,3324.0,2012,1,18,2
15,馬鈴薯-本產,SC1,2012-01-19,23.8,5.6,高雄市,800,15.9,16.7,4031.0,2012,1,19,3
16,馬鈴薯-本產,SC1,2012-01-20,25.1,5.3,高雄市,800,16.7,17.8,3520.0,2012,1,20,4
17,馬鈴薯-本產,SC1,2012-01-21,27.2,15.0,高雄市,800,20.2,19.5,3940.0,2012,1,21,5
18,馬鈴薯-本產,SC1,2012-01-22,23.0,15.0,高雄市,800,18.0,17.3,1480.0,2012,1,22,6
19,馬鈴薯-本產,SC1,2012-01-28,25.0,10.4,高雄市,800,17.7,17.7,2710.0,2012,1,28,5
20,馬鈴薯-本產,SC1,2012-01-29,27.0,12.5,高雄市,800,19.6,19.5,2985.0,2012,1,29,6
21,馬鈴薯-本產,SC1,2012-01-31,25.7,14.7,高雄市,800,19.6,19.2,2670.0,2012,1,31,1
22,馬鈴薯-本產,SC1,2012-02-01,22.0,15.0,高雄市,800,18.9,19.1,2340.0,2012,2,1,2
23,馬鈴薯-本產,SC1,2012-02-02,25.9,14.7,高雄市,800,20.0,19.8,3720.0,2012,2,2,3
24,馬鈴薯-本產,SC1,2012-02-03,24.2,15.0,高雄市,800,19.4,19.2,3220.0,2012,2,3,4
25,馬鈴薯-本產,SC1,2012-02-04,23.5,13.8,高雄市,800,18.7,18.7,3510.0,2012,2,4,5
26,馬鈴薯-本產,SC1,2012-02-05,23.1,16.2,高雄市,800,20.2,20.5,3290.0,2012,2,5,6
27,馬鈴薯-本產,SC1,2012-02-08,21.5,15.0,高雄市,800,17.2,16.6,2736.0,2012,2,8,2
28,馬鈴薯-本產,SC1,2012-02-09,23.6,14.3,高雄市,800,17.5,16.4,3050.0,2012,2,9,3
29,馬鈴薯-本產,SC1,2012-02-10,22.0,11.0,高雄市,800,17.3,17.9,2905.0,2012,2,10,4
30,馬鈴薯-本產,SC1,2012-02-11,23.3,9.2,高雄市,800,16.8,17.1,3500.0,2012,2,11,5
31,馬鈴薯-本產,SC1,2012-02-12,22.0,11.4,高雄市,800,17.4,17.9,3495.0,2012,2,12,6
32,馬鈴薯-本產,SC1,2012-02-14,22.0,13.4,高雄市,800,17.2,16.9,2915.0,2012,2,14,1
33,馬鈴薯-本產,SC1,2012-02-15,22.2,12.3,高雄市,800,17.5,17.6,3126.0,2012,2,15,2
34,馬鈴薯-本產,SC1,2012-02-16,23.7,13.3,高雄市,800,17.7,17.3,3311.0,2012,2,16,3
35,馬鈴薯-本產,SC1,2012-02-17,21.8,11.6,高雄市,800,16.3,16.1,2796.0,2012,2,17,4
36,馬鈴薯-本產,SC1,2012-02-18,22.1,15.0,高雄市,800,17.9,17.4,2360.0,2012,2,18,5
37,馬鈴薯-本產,SC1,2012-02-19,25.0,12.9,高雄市,800,18.1,17.6,3419.0,2012,2,19,6
38,馬鈴薯-本產,SC1,2012-02-21,22.8,15.0,高雄市,800,18.4,18.1,2700.0,2012,2,21,1
39,馬鈴薯-本產,SC1,2012-02-22,25.0,14.7,高雄市,800,19.1,18.6,3265.0,2012,2,22,2
40,馬鈴薯-本產,SC1,2012-02-23,22.7,14.4,高雄市,800,18.3,18.1,2870.0,2012,2,23,3
41,馬鈴薯-本產,SC1,2012-02-24,21.1,12.9,高雄市,800,16.8,16.6,2955.0,2012,2,24,4
42,馬鈴薯-本產,SC1,2012-02-25,25.7,10.5,高雄市,800,17.8,17.6,3043.0,2012,2,25,5
43,馬鈴薯-本產,SC1,2012-02-26,25.0,14.5,高雄市,800,18.7,18.1,3635.0,2012,2,26,6
44,馬鈴薯-本產,SC1,2012-02-28,23.7,14.2,高雄市,800,19.4,19.6,4419.0,2012,2,28,1
45,馬鈴薯-本產,SC1,2012-02-29,24.8,13.8,高雄市,800,19.4,19.4,4264.0,2012,2,29,2
46,馬鈴薯-本產,SC1,2012-03-01,22.5,14.3,高雄市,800,18.7,18.9,3586.0,2012,3,1,3
47,馬鈴薯-本產,SC1,2012-03-02,23.2,13.1,高雄市,800,18.4,18.6,2724.0,2012,3,2,4
48,馬鈴薯-本產,SC1,2012-03-03,23.9,14.1,高雄市,800,19.5,19.8,3826.0,2012,3,3,5
49,馬鈴薯-本產,SC1,2012-03-04,24.9,14.3,高雄市,800,20.5,21.1,2902.0,2012,3,4,6
50,馬鈴薯-本產,SC1,2012-03-06,24.4,14.7,高雄市,800,18.8,18.3,3694.0,2012,3,6,1
51,馬鈴薯-本產,SC1,2012-03-07,24.6,12.4,高雄市,800,18.9,19.2,4540.0,2012,3,7,2
52,馬鈴薯-本產,SC1,2012-03-08,25.0,14.7,高雄市,800,19.5,19.3,2899.0,2012,3,8,3
53,馬鈴薯-本產,SC1,2012-03-09,24.4,9.0,高雄市,800,17.6,18.2,3391.0,2012,3,9,4
54,馬鈴薯-本產,SC1,2012-03-10,24.9,4.0,高雄市,800,15.9,16.9,4637.0,2012,3,10,5
55,馬鈴薯-本產,SC1,2012-03-11,25.0,17.1,高雄市,800,20.9,20.7,3524.0,2012,3,11,6
56,馬鈴薯-本產,SC1,2012-03-13,24.9,17.8,高雄市,800,21.5,21.5,2502.0,2012,3,13,1
57,馬鈴薯-本產,SC1,2012-03-14,26.3,14.5,高雄市,800,20.7,20.9,2305.0,2012,3,14,2
58,馬鈴薯-本產,SC1,2012-03-15,25.0,19.2,高雄市,800,21.9,21.8,1880.0,2012,3,15,3
59,馬鈴薯-本產,SC1,2012-03-16,25.5,18.9,高雄市,800,22.0,21.9,3307.0,2012,3,16,4
60,馬鈴薯-本產,SC1,2012-03-17,27.4,16.2,高雄市,800,21.6,21.4,4182.0,2012,3,17,5
61,馬鈴薯-本產,SC1,2012-03-18,25.0,18.0,高雄市,800,21.3,21.1,4140.0,2012,3,18,6
62,馬鈴薯-本產,SC1,2012-03-20,27.0,14.7,高雄市,800,21.1,21.2,3690.0,2012,3,20,1
63,馬鈴薯-本產,SC1,2012-03-21,26.7,14.4,高雄市,800,20.7,20.8,4336.0,2012,3,21,2
64,馬鈴薯-本產,SC1,2012-03-22,26.4,14.7,高雄市,800,20.6,20.7,5074.0,2012,3,22,3
65,馬鈴薯-本產,SC1,2012-03-23,26.3,16.9,高雄市,800,21.9,22.1,3532.0,2012,3,23,4
66,馬鈴薯-本產,SC1,2012-03-24,26.3,16.3,高雄市,800,21.8,22.1,3932.0,2012,3,24,5
67,馬鈴薯-本產,SC1,2012-03-25,26.0,19.3,高雄市,800,22.8,22.9,4107.0,2012,3,25,6
68,馬鈴薯-本產,SC1,2012-03-27,26.7,19.3,高雄市,800,23.3,23.5,4350.0,2012,3,27,1
69,馬鈴薯-本產,SC1,2012-03-28,28.6,16.4,高雄市,800,23.1,23.5,2584.0,2012,3,28,2
70,馬鈴薯-本產,SC1,2012-03-29,30.0,19.0,高雄市,800,24.4,24.3,2950.0,2012,3,29,3
71,馬鈴薯-本產,SC1,2012-03-30,30.0,19.6,高雄市,800,25.1,25.3,3540.0,2012,3,30,4
72,馬鈴薯-本產,SC1,2012-03-31,29.7,19.6,高雄市,800,23.3,22.4,3580.0,2012,3,31,5
73,馬鈴薯-本產,SC1,2012-04-01,30.0,20.0,高雄市,800,25.1,25.1,3890.0,2012,4,1,6
