,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,扁蒲-花蒲,FH3,2012-01-01,22.2,19.7,鳳山區,830,21.18,21.3,100.0,2012,1,1,6
1,扁蒲-花蒲,FH3,2012-01-04,19.8,17.2,鳳山區,830,18.0,18.1,100.0,2012,1,4,2
2,扁蒲-花蒲,FH3,2012-01-12,19.3,19.1,鳳山區,830,19.15,19.1,54.0,2012,1,12,3
3,扁蒲-花蒲,FH3,2012-01-13,15.7,14.7,鳳山區,830,15.33,15.1,54.0,2012,1,13,4
4,扁蒲-花蒲,FH3,2012-01-14,16.5,14.7,鳳山區,830,15.55,15.5,76.0,2012,1,14,5
5,扁蒲-花蒲,FH3,2012-01-15,12.4,10.9,鳳山區,830,11.47,11.4,164.0,2012,1,15,6
6,扁蒲-花蒲,FH3,2012-01-18,11.1,8.2,鳳山區,830,9.6,9.6,162.0,2012,1,18,2
7,扁蒲-花蒲,FH3,2012-01-20,9.9,8.2,鳳山區,830,9.35,9.5,156.0,2012,1,20,4
8,扁蒲-花蒲,FH3,2012-01-21,5.0,4.9,鳳山區,830,4.93,4.9,140.0,2012,1,21,5
9,扁蒲-花蒲,FH3,2012-01-29,12.6,9.6,鳳山區,830,10.65,10.4,220.0,2012,1,29,6
10,扁蒲-花蒲,FH3,2012-02-02,8.4,8.2,鳳山區,830,8.22,8.2,90.0,2012,2,2,3
11,扁蒲-花蒲,FH3,2012-02-04,7.4,7.4,鳳山區,830,7.4,7.4,20.0,2012,2,4,5
12,扁蒲-花蒲,FH3,2012-02-05,7.6,4.9,鳳山區,830,6.18,6.1,40.0,2012,2,5,6
13,扁蒲-花蒲,FH3,2012-02-09,8.0,7.4,鳳山區,830,7.58,7.5,65.0,2012,2,9,3
14,扁蒲-花蒲,FH3,2012-02-11,2.6,2.4,鳳山區,830,2.48,2.5,40.0,2012,2,11,5
15,扁蒲-花蒲,FH3,2012-02-12,8.8,8.8,鳳山區,830,8.8,8.8,18.0,2012,2,12,6
16,扁蒲-花蒲,FH3,2012-02-26,7.1,6.5,鳳山區,830,6.74,6.7,38.0,2012,2,26,6
17,扁蒲-花蒲,FH3,2012-03-01,10.0,9.7,鳳山區,830,9.83,9.8,18.0,2012,3,1,3
18,扁蒲-花蒲,FH3,2012-03-07,15.0,14.7,鳳山區,830,14.78,14.7,36.0,2012,3,7,2
19,扁蒲-花蒲,FH3,2012-03-08,13.9,13.6,鳳山區,830,13.69,13.7,36.0,2012,3,8,3
20,扁蒲-花蒲,FH3,2012-03-10,13.4,13.3,鳳山區,830,13.3,13.3,60.0,2012,3,10,5
21,扁蒲-花蒲,FH3,2012-03-13,11.1,10.8,鳳山區,830,10.94,10.9,18.0,2012,3,13,1
22,扁蒲-花蒲,FH3,2012-03-18,17.4,14.8,鳳山區,830,16.03,16.0,40.0,2012,3,18,6
23,扁蒲-花蒲,FH3,2012-03-20,17.6,12.3,鳳山區,830,14.83,14.8,208.0,2012,3,20,1
24,扁蒲-花蒲,FH3,2012-03-25,9.9,7.4,鳳山區,830,9.03,9.3,120.0,2012,3,25,6
25,扁蒲-花蒲,FH3,2012-04-01,12.4,9.8,鳳山區,830,10.9,10.7,150.0,2012,4,1,6
26,扁蒲-花蒲,FH3,2012-04-03,7.5,6.4,鳳山區,830,6.84,6.8,111.0,2012,4,3,1
27,扁蒲-花蒲,FH3,2012-04-06,7.3,4.9,鳳山區,830,5.4,4.9,420.0,2012,4,6,4
28,扁蒲-花蒲,FH3,2012-04-08,5.0,4.9,鳳山區,830,4.94,4.9,200.0,2012,4,8,6
29,扁蒲-花蒲,FH3,2012-04-10,7.8,4.9,鳳山區,830,5.81,5.4,355.0,2012,4,10,1
30,扁蒲-花蒲,FH3,2012-04-11,7.8,7.3,鳳山區,830,7.4,7.3,20.0,2012,4,11,2
31,扁蒲-花蒲,FH3,2012-04-12,5.0,2.5,鳳山區,830,4.01,4.2,571.0,2012,4,12,3
32,扁蒲-花蒲,FH3,2012-04-13,2.8,2.0,鳳山區,830,2.1,2.1,803.0,2012,4,13,4
33,扁蒲-花蒲,FH3,2012-04-14,4.4,1.5,鳳山區,830,2.24,1.8,286.0,2012,4,14,5
34,扁蒲-花蒲,FH3,2012-04-15,3.4,3.0,鳳山區,830,3.16,3.1,25.0,2012,4,15,6
35,扁蒲-花蒲,FH3,2012-04-17,5.1,4.1,鳳山區,830,4.39,4.3,54.0,2012,4,17,1
36,扁蒲-花蒲,FH3,2012-04-18,3.9,2.0,鳳山區,830,2.64,2.5,608.0,2012,4,18,2
37,扁蒲-花蒲,FH3,2012-04-19,4.3,2.9,鳳山區,830,3.26,3.0,281.0,2012,4,19,3
38,扁蒲-花蒲,FH3,2012-04-20,4.8,2.6,鳳山區,830,3.72,3.7,223.0,2012,4,20,4
39,扁蒲-花蒲,FH3,2012-04-22,5.7,4.4,鳳山區,830,5.13,5.2,54.0,2012,4,22,6
40,扁蒲-花蒲,FH3,2012-04-24,5.0,3.1,鳳山區,830,4.12,4.2,340.0,2012,4,24,1
41,扁蒲-花蒲,FH3,2012-04-25,2.6,2.0,鳳山區,830,2.1,2.0,300.0,2012,4,25,2
42,扁蒲-花蒲,FH3,2012-04-27,5.1,4.9,鳳山區,830,4.95,4.9,96.0,2012,4,27,4
43,扁蒲-花蒲,FH3,2012-04-28,7.5,7.3,鳳山區,830,7.4,7.4,60.0,2012,4,28,5
44,扁蒲-花蒲,FH3,2012-04-29,7.6,4.9,鳳山區,830,6.4,6.5,97.0,2012,4,29,6
45,扁蒲-花蒲,FH3,2012-05-01,8.3,7.7,鳳山區,830,7.87,7.8,15.0,2012,5,1,1
46,扁蒲-花蒲,FH3,2012-05-02,10.0,9.8,鳳山區,830,9.85,9.8,40.0,2012,5,2,2
47,扁蒲-花蒲,FH3,2012-05-03,10.0,9.8,鳳山區,830,9.85,9.8,60.0,2012,5,3,3
48,扁蒲-花蒲,FH3,2012-05-04,14.9,10.9,鳳山區,830,13.6,14.1,116.0,2012,5,4,4
49,扁蒲-花蒲,FH3,2012-05-05,12.4,8.2,鳳山區,830,9.75,9.4,212.0,2012,5,5,5
50,扁蒲-花蒲,FH3,2012-05-06,11.3,10.9,鳳山區,830,11.01,11.0,102.0,2012,5,6,6
51,扁蒲-花蒲,FH3,2012-05-08,13.8,9.8,鳳山區,830,12.4,12.8,181.0,2012,5,8,1
52,扁蒲-花蒲,FH3,2012-05-09,13.8,11.3,鳳山區,830,12.5,12.5,130.0,2012,5,9,2
53,扁蒲-花蒲,FH3,2012-05-10,12.5,10.7,鳳山區,830,11.54,11.5,81.0,2012,5,10,3
54,扁蒲-花蒲,FH3,2012-05-11,10.6,8.2,鳳山區,830,9.43,9.5,166.0,2012,5,11,4
