,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,枇杷-茂木,L1,2012-02-21,111.0,46.5,鳳山區,830,65.2,65.2,1320.0,2012,2,21,1
1,枇杷-茂木,L1,2012-02-25,150.0,68.1,鳳山區,830,94.4,94.4,890.0,2012,2,25,5
2,枇杷-茂木,L1,2012-03-06,164.7,82.4,鳳山區,830,104.2,104.2,980.0,2012,3,6,1
3,枇杷-茂木,L1,2012-03-07,164.7,85.4,鳳山區,830,107.4,107.4,1020.0,2012,3,7,2
4,枇杷-茂木,L1,2012-03-10,171.4,84.1,鳳山區,830,109.0,109.0,770.0,2012,3,10,5
5,枇杷-茂木,L1,2012-03-11,142.9,80.0,鳳山區,830,103.1,103.1,1280.0,2012,3,11,6
6,枇杷-茂木,L1,2012-03-21,148.0,91.0,鳳山區,830,110.7,110.7,1120.0,2012,3,21,2
7,枇杷-茂木,L1,2012-04-29,153.8,55.3,鳳山區,830,77.2,77.2,1850.0,2012,4,29,6
8,枇杷-茂木,L1,2013-02-07,104.2,81.6,鳳山區,830,94.0,94.0,1250.0,2013,2,7,3
9,枇杷-茂木,L1,2013-02-08,133.3,85.9,鳳山區,830,104.4,101.4,1480.0,2013,2,8,4
10,枇杷-茂木,L1,2013-02-09,129.0,90.9,鳳山區,830,100.8,100.8,1190.0,2013,2,9,5
11,枇杷-茂木,L1,2013-02-19,169.2,101.4,鳳山區,830,119.5,119.5,970.0,2013,2,19,1
12,枇杷-茂木,L1,2013-02-20,164.7,91.6,鳳山區,830,111.0,111.0,640.0,2013,2,20,2
13,枇杷-茂木,L1,2013-02-24,170.5,137.9,鳳山區,830,156.7,156.7,750.0,2013,2,24,6
14,枇杷-茂木,L1,2013-02-27,181.8,102.0,鳳山區,830,130.0,130.0,1000.0,2013,2,27,2
15,枇杷-茂木,L1,2013-02-28,176.0,85.4,鳳山區,830,108.8,108.8,970.0,2013,2,28,3
16,枇杷-茂木,L1,2013-03-01,153.8,90.6,鳳山區,830,116.8,116.8,1130.0,2013,3,1,4
17,枇杷-茂木,L1,2013-03-02,170.8,170.8,鳳山區,830,170.8,170.8,200.0,2013,3,2,5
18,枇杷-茂木,L1,2013-03-03,173.9,88.5,鳳山區,830,108.8,108.8,970.0,2013,3,3,6
19,枇杷-茂木,L1,2013-03-05,151.7,98.0,鳳山區,830,113.0,113.0,1040.0,2013,3,5,1
20,枇杷-茂木,L1,2013-03-08,125.0,81.3,鳳山區,830,92.3,92.3,640.0,2013,3,8,4
21,枇杷-茂木,L1,2013-03-09,129.4,79.6,鳳山區,830,97.4,97.4,1500.0,2013,3,9,5
22,枇杷-茂木,L1,2013-03-10,133.3,90.4,鳳山區,830,101.7,101.7,1140.0,2013,3,10,6
23,枇杷-茂木,L1,2013-03-14,125.0,85.5,鳳山區,830,96.2,96.2,1180.0,2013,3,14,3
24,枇杷-茂木,L1,2013-03-16,133.3,82.5,鳳山區,830,94.8,94.8,1240.0,2013,3,16,5
25,枇杷-茂木,L1,2013-03-17,129.0,85.1,鳳山區,830,100.0,100.0,910.0,2013,3,17,6
26,枇杷-茂木,L1,2013-04-02,133.3,85.4,鳳山區,830,106.4,106.4,1330.0,2013,4,2,1
27,枇杷-茂木,L1,2013-04-06,142.9,87.2,鳳山區,830,104.9,104.9,440.0,2013,4,6,5
28,枇杷-茂木,L1,2013-04-20,120.0,100.1,鳳山區,830,106.4,106.4,630.0,2013,4,20,5
29,枇杷-茂木,L1,2013-05-03,100.0,70.6,鳳山區,830,79.8,79.8,1280.0,2013,5,3,4
30,枇杷-茂木,L1,2014-02-19,125.0,111.1,鳳山區,830,115.4,115.4,1040.0,2014,2,19,2
31,枇杷-茂木,L1,2014-02-23,200.8,111.6,鳳山區,830,150.7,150.7,890.0,2014,2,23,6
32,枇杷-茂木,L1,2014-02-25,200.0,104.0,鳳山區,830,133.0,133.0,2130.0,2014,2,25,1
33,枇杷-茂木,L1,2014-02-28,200.0,112.2,鳳山區,830,147.1,147.1,870.0,2014,2,28,4
34,枇杷-茂木,L1,2014-03-06,172.3,126.3,鳳山區,830,145.2,145.2,930.0,2014,3,6,3
35,枇杷-茂木,L1,2014-03-07,160.0,100.0,鳳山區,830,124.3,124.3,840.0,2014,3,7,4
36,枇杷-茂木,L1,2014-03-08,205.1,133.3,鳳山區,830,157.1,157.1,860.0,2014,3,8,5
37,枇杷-茂木,L1,2014-03-28,200.0,130.2,鳳山區,830,153.5,153.5,990.0,2014,3,28,4
38,枇杷-茂木,L1,2015-02-28,144.4,111.3,鳳山區,830,121.4,121.4,1440.0,2015,2,28,5
39,枇杷-茂木,L1,2015-03-03,145.5,97.6,鳳山區,830,111.3,111.3,970.0,2015,3,3,1
40,枇杷-茂木,L1,2015-03-04,153.8,96.6,鳳山區,830,114.3,114.3,630.0,2015,3,4,2
41,枇杷-茂木,L1,2015-03-06,153.8,98.2,鳳山區,830,120.4,120.4,1130.0,2015,3,6,4
42,枇杷-茂木,L1,2015-03-10,166.7,88.4,鳳山區,830,97.1,97.1,1800.0,2015,3,10,1
43,枇杷-茂木,L1,2015-03-11,163.6,93.6,鳳山區,830,117.6,117.6,1020.0,2015,3,11,2
44,枇杷-茂木,L1,2015-03-12,171.4,96.0,鳳山區,830,120.8,120.8,1060.0,2015,3,12,3
45,枇杷-茂木,L1,2015-03-13,153.8,65.1,鳳山區,830,91.1,91.1,790.0,2015,3,13,4
46,枇杷-茂木,L1,2015-03-15,181.8,90.3,鳳山區,830,118.0,118.0,610.0,2015,3,15,6
47,枇杷-茂木,L1,2015-03-17,181.8,90.3,鳳山區,830,116.1,116.1,620.0,2015,3,17,1
48,枇杷-茂木,L1,2015-03-18,181.8,100.0,鳳山區,830,126.3,126.3,570.0,2015,3,18,2
49,枇杷-茂木,L1,2015-03-19,181.8,100.0,鳳山區,830,126.3,126.3,570.0,2015,3,19,3
50,枇杷-茂木,L1,2015-03-20,184.6,97.0,鳳山區,830,123.5,123.5,680.0,2015,3,20,4
51,枇杷-茂木,L1,2015-03-21,184.6,97.0,鳳山區,830,121.7,121.7,690.0,2015,3,21,5
52,枇杷-茂木,L1,2015-03-22,181.8,80.0,鳳山區,830,107.5,107.5,670.0,2015,3,22,6
53,枇杷-茂木,L1,2015-03-25,173.9,85.7,鳳山區,830,111.8,111.8,1180.0,2015,3,25,2
54,枇杷-茂木,L1,2015-03-26,150.0,91.4,鳳山區,830,110.5,110.5,760.0,2015,3,26,3
55,枇杷-茂木,L1,2015-03-29,164.7,90.9,鳳山區,830,111.2,111.2,960.0,2015,3,29,6
56,枇杷-茂木,L1,2015-03-31,140.0,85.1,鳳山區,830,101.8,101.8,1010.0,2015,3,31,1
57,枇杷-茂木,L1,2015-04-02,166.7,87.5,鳳山區,830,109.1,109.1,660.0,2015,4,2,3
58,枇杷-茂木,L1,2015-04-04,166.7,75.7,鳳山區,830,98.6,98.6,730.0,2015,4,4,5
59,枇杷-茂木,L1,2015-04-07,160.0,62.5,鳳山區,830,87.2,87.2,1560.0,2015,4,7,1
60,枇杷-茂木,L1,2015-04-08,114.3,46.2,鳳山區,830,61.9,61.9,970.0,2015,4,8,2
61,枇杷-茂木,L1,2015-04-10,111.1,56.0,鳳山區,830,73.5,73.5,980.0,2015,4,10,4
62,枇杷-茂木,L1,2015-04-12,114.3,56.1,鳳山區,830,74.3,74.3,1130.0,2015,4,12,6
63,枇杷-茂木,L1,2015-04-25,105.9,57.1,鳳山區,830,73.7,73.7,1700.0,2015,4,25,5
64,枇杷-茂木,L1,2015-04-29,100.0,50.0,鳳山區,830,60.5,60.5,1190.0,2015,4,29,2
65,枇杷-茂木,L1,2016-03-10,142.9,96.6,鳳山區,830,107.5,107.5,670.0,2016,3,10,3
66,枇杷-茂木,L1,2016-03-12,140.0,90.9,鳳山區,830,104.9,104.9,980.0,2016,3,12,5
67,枇杷-茂木,L1,2016-03-13,142.9,93.3,鳳山區,830,107.5,107.5,670.0,2016,3,13,6
68,枇杷-茂木,L1,2016-03-16,133.3,70.0,鳳山區,830,90.0,90.0,800.0,2016,3,16,2
69,枇杷-茂木,L1,2016-03-18,142.9,97.0,鳳山區,830,113.4,113.4,670.0,2016,3,18,4
70,枇杷-茂木,L1,2016-03-20,133.3,80.0,鳳山區,830,96.0,96.0,750.0,2016,3,20,6
71,枇杷-茂木,L1,2016-03-23,141.2,94.1,鳳山區,830,112.0,112.0,750.0,2016,3,23,2
72,枇杷-茂木,L1,2016-03-24,142.9,93.3,鳳山區,830,104.3,104.3,690.0,2016,3,24,3
73,枇杷-茂木,L1,2016-03-26,142.9,94.1,鳳山區,830,108.0,108.0,1210.0,2016,3,26,5
74,枇杷-茂木,L1,2016-03-27,140.0,95.2,鳳山區,830,110.9,110.9,930.0,2016,3,27,6
75,枇杷-茂木,L1,2016-03-29,141.9,96.2,鳳山區,830,110.2,110.2,1270.0,2016,3,29,1
76,枇杷-茂木,L1,2016-03-30,140.0,95.2,鳳山區,830,109.2,109.2,930.0,2016,3,30,2
77,枇杷-茂木,L1,2016-03-31,140.0,97.6,鳳山區,830,115.4,115.4,890.0,2016,3,31,3
78,枇杷-茂木,L1,2016-04-01,155.6,97.6,鳳山區,830,111.7,111.7,920.0,2016,4,1,4
79,枇杷-茂木,L1,2016-04-02,139.1,75.5,鳳山區,830,96.4,96.4,1120.0,2016,4,2,5
80,枇杷-茂木,L1,2016-04-03,140.0,93.0,鳳山區,830,110.5,110.5,930.0,2016,4,3,6
81,枇杷-茂木,L1,2016-04-07,127.3,75.5,鳳山區,830,91.7,91.7,1120.0,2016,4,7,3
82,枇杷-茂木,L1,2016-04-08,147.4,90.9,鳳山區,830,108.7,108.7,920.0,2016,4,8,4
83,枇杷-茂木,L1,2016-04-10,166.7,100.0,鳳山區,830,126.7,126.7,600.0,2016,4,10,6
84,枇杷-茂木,L1,2016-04-12,175.0,117.6,鳳山區,830,135.2,135.2,760.0,2016,4,12,1
85,枇杷-茂木,L1,2016-04-13,171.4,100.0,鳳山區,830,122.7,122.7,1760.0,2016,4,13,2
86,枇杷-茂木,L1,2016-04-14,160.0,106.7,鳳山區,830,121.3,121.3,1780.0,2016,4,14,3
87,枇杷-茂木,L1,2016-04-15,124.1,116.3,鳳山區,830,120.0,120.0,1100.0,2016,4,15,4
88,枇杷-茂木,L1,2016-04-16,124.1,116.3,鳳山區,830,120.0,120.0,1100.0,2016,4,16,5
89,枇杷-茂木,L1,2016-04-17,122.7,108.3,鳳山區,830,115.8,115.8,1140.0,2016,4,17,6
90,枇杷-茂木,L1,2016-04-19,120.0,111.1,鳳山區,830,114.8,114.8,1150.0,2016,4,19,1
91,枇杷-茂木,L1,2016-04-20,122.7,108.3,鳳山區,830,114.8,114.8,1150.0,2016,4,20,2
92,枇杷-茂木,L1,2016-04-21,120.0,100.0,鳳山區,830,109.1,109.1,1210.0,2016,4,21,3
93,枇杷-茂木,L1,2016-04-22,120.0,100.0,鳳山區,830,109.1,109.1,1210.0,2016,4,22,4
94,枇杷-茂木,L1,2016-04-24,120.0,111.1,鳳山區,830,114.8,114.8,1150.0,2016,4,24,6
95,枇杷-茂木,L1,2016-04-26,120.0,100.0,鳳山區,830,109.1,109.1,1210.0,2016,4,26,1
96,枇杷-茂木,L1,2017-03-21,100.0,60.4,鳳山區,830,71.4,71.4,1850.0,2017,3,21,1
97,枇杷-茂木,L1,2017-03-22,100.0,60.4,鳳山區,830,71.4,71.4,1850.0,2017,3,22,2
98,枇杷-茂木,L1,2017-03-23,100.0,60.4,鳳山區,830,71.4,71.4,1850.0,2017,3,23,3
99,枇杷-茂木,L1,2017-03-24,100.0,60.4,鳳山區,830,71.7,71.7,920.0,2017,3,24,4
100,枇杷-茂木,L1,2017-03-25,100.0,50.0,鳳山區,830,64.1,64.1,1030.0,2017,3,25,5
101,枇杷-茂木,L1,2017-03-26,100.0,70.3,鳳山區,830,77.6,77.6,1700.0,2017,3,26,6
102,枇杷-茂木,L1,2017-03-28,92.3,50.0,鳳山區,830,62.1,62.1,1030.0,2017,3,28,1
103,枇杷-茂木,L1,2017-03-29,92.3,50.0,鳳山區,830,63.2,63.2,2090.0,2017,3,29,2
104,枇杷-茂木,L1,2017-03-31,120.0,56.0,鳳山區,830,70.4,70.4,2000.0,2017,3,31,4
105,枇杷-茂木,L1,2017-04-14,133.3,73.7,鳳山區,830,88.9,88.9,720.0,2017,4,14,4
106,枇杷-茂木,L1,2017-04-15,133.3,63.6,鳳山區,830,82.2,82.2,650.0,2017,4,15,5
107,枇杷-茂木,L1,2017-04-16,133.3,60.2,鳳山區,830,78.0,78.0,870.0,2017,4,16,6
108,枇杷-茂木,L1,2017-04-25,133.3,90.3,鳳山區,830,103.2,103.2,620.0,2017,4,25,1
109,枇杷-茂木,L1,2017-04-26,120.0,82.4,鳳山區,830,94.1,94.1,680.0,2017,4,26,2
110,枇杷-茂木,L1,2018-03-15,133.3,70.0,鳳山區,830,86.6,86.6,2220.0,2018,3,15,3
111,枇杷-茂木,L1,2018-03-16,160.0,70.3,鳳山區,830,95.0,95.0,1390.0,2018,3,16,4
112,枇杷-茂木,L1,2018-03-17,150.0,70.3,鳳山區,830,92.9,92.9,1460.0,2018,3,17,5
113,枇杷-茂木,L1,2018-03-18,155.6,70.1,鳳山區,830,97.7,97.7,1630.0,2018,3,18,6
114,枇杷-茂木,L1,2018-03-20,171.4,53.8,鳳山區,830,83.1,83.1,2360.0,2018,3,20,1
115,枇杷-茂木,L1,2018-03-21,133.3,70.3,鳳山區,830,86.3,86.3,1530.0,2018,3,21,2
116,枇杷-茂木,L1,2018-03-22,133.3,70.6,鳳山區,830,89.5,89.5,1630.0,2018,3,22,3
117,枇杷-茂木,L1,2018-03-23,177.8,60.0,鳳山區,830,86.7,86.7,2490.0,2018,3,23,4
118,枇杷-茂木,L1,2018-03-24,171.4,48.3,鳳山區,830,78.4,78.4,2500.0,2018,3,24,5
119,枇杷-茂木,L1,2018-03-25,133.3,70.6,鳳山區,830,89.5,89.5,1630.0,2018,3,25,6
120,枇杷-茂木,L1,2018-03-27,171.4,48.0,鳳山區,830,77.5,77.5,3540.0,2018,3,27,1
121,枇杷-茂木,L1,2018-03-28,171.4,56.0,鳳山區,830,84.1,84.1,2330.0,2018,3,28,2
122,枇杷-茂木,L1,2018-03-29,171.4,56.2,鳳山區,830,82.0,82.0,2570.0,2018,3,29,3
123,枇杷-茂木,L1,2018-03-30,120.0,70.3,鳳山區,830,85.2,85.2,1550.0,2018,3,30,4
