,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,甘藷葉,LO1,2012-01-04,15.0,15.0,鳳山區,830,15.0,15.0,12.0,2012,1,4,2
1,甘藷葉,LO1,2012-01-07,23.1,23.1,鳳山區,830,23.1,23.1,2560.0,2012,1,7,5
2,甘藷葉,LO1,2012-01-08,33.2,33.2,鳳山區,830,33.2,33.2,1780.0,2012,1,8,6
3,甘藷葉,LO1,2012-01-15,20.1,20.1,鳳山區,830,20.1,20.1,1210.0,2012,1,15,6
4,甘藷葉,LO1,2012-01-17,11.0,11.0,鳳山區,830,11.0,11.0,4380.0,2012,1,17,1
5,甘藷葉,LO1,2012-02-02,5.0,5.0,鳳山區,830,5.0,5.0,20.0,2012,2,2,3
6,甘藷葉,LO1,2012-02-03,10.0,10.0,鳳山區,830,10.0,10.0,800.0,2012,2,3,4
7,甘藷葉,LO1,2012-02-11,13.1,13.1,鳳山區,830,13.1,13.1,610.0,2012,2,11,5
8,甘藷葉,LO1,2012-02-12,10.0,10.0,鳳山區,830,10.0,10.0,1500.0,2012,2,12,6
9,甘藷葉,LO1,2012-02-14,10.0,10.0,鳳山區,830,10.0,10.0,800.0,2012,2,14,1
10,甘藷葉,LO1,2012-02-21,15.7,12.7,鳳山區,830,15.09,15.7,540.0,2012,2,21,1
11,甘藷葉,LO1,2012-02-28,10.0,10.0,鳳山區,830,10.0,10.0,4120.0,2012,2,28,1
12,甘藷葉,LO1,2012-03-02,12.2,12.1,鳳山區,830,12.12,12.1,330.0,2012,3,2,4
13,甘藷葉,LO1,2012-03-03,14.3,14.3,鳳山區,830,14.3,14.3,280.0,2012,3,3,5
14,甘藷葉,LO1,2012-03-06,12.0,12.0,鳳山區,830,12.0,12.0,1000.0,2012,3,6,1
15,甘藷葉,LO1,2012-03-07,10.0,10.0,鳳山區,830,10.0,10.0,4820.0,2012,3,7,2
16,甘藷葉,LO1,2012-03-11,10.0,10.0,鳳山區,830,10.0,10.0,800.0,2012,3,11,6
17,甘藷葉,LO1,2012-03-13,10.0,10.0,鳳山區,830,10.0,10.0,800.0,2012,3,13,1
18,甘藷葉,LO1,2012-03-14,10.0,10.0,鳳山區,830,10.0,10.0,980.0,2012,3,14,2
19,甘藷葉,LO1,2012-03-17,10.0,10.0,鳳山區,830,10.0,10.0,800.0,2012,3,17,5
20,甘藷葉,LO1,2012-04-03,10.0,10.0,鳳山區,830,10.0,10.0,800.0,2012,4,3,1
21,甘藷葉,LO1,2012-04-08,12.0,12.0,鳳山區,830,12.0,12.0,1000.0,2012,4,8,6
22,甘藷葉,LO1,2012-04-10,10.0,10.0,鳳山區,830,10.0,10.0,800.0,2012,4,10,1
23,甘藷葉,LO1,2012-04-12,10.0,10.0,鳳山區,830,10.0,10.0,800.0,2012,4,12,3
24,甘藷葉,LO1,2012-04-13,12.1,12.1,鳳山區,830,12.1,12.1,830.0,2012,4,13,4
25,甘藷葉,LO1,2012-04-15,12.1,10.9,鳳山區,830,11.35,11.3,2303.0,2012,4,15,6
26,甘藷葉,LO1,2012-04-17,11.1,10.3,鳳山區,830,10.94,11.1,740.0,2012,4,17,1
27,甘藷葉,LO1,2012-04-20,5.1,4.9,鳳山區,830,4.95,4.9,40.0,2012,4,20,4
28,甘藷葉,LO1,2012-04-21,2.8,2.3,鳳山區,830,2.45,2.4,20.0,2012,4,21,5
29,甘藷葉,LO1,2012-04-24,10.0,10.0,鳳山區,830,10.0,10.0,800.0,2012,4,24,1
30,甘藷葉,LO1,2012-04-25,18.2,18.2,鳳山區,830,18.2,18.2,440.0,2012,4,25,2
31,甘藷葉,LO1,2012-04-29,7.8,7.3,鳳山區,830,7.4,7.3,20.0,2012,4,29,6
32,甘藷葉,LO1,2012-05-02,9.5,9.3,鳳山區,830,9.48,9.5,1068.0,2012,5,2,2
33,甘藷葉,LO1,2012-05-03,14.1,11.9,鳳山區,830,13.61,14.0,592.0,2012,5,3,3
34,甘藷葉,LO1,2012-05-05,15.0,14.4,鳳山區,830,14.87,15.0,420.0,2012,5,5,5
35,甘藷葉,LO1,2012-05-06,13.4,13.3,鳳山區,830,13.33,13.3,600.0,2012,5,6,6
36,甘藷葉,LO1,2012-05-08,7.6,4.9,鳳山區,830,6.27,6.3,52.0,2012,5,8,1
37,甘藷葉,LO1,2012-05-10,10.0,9.8,鳳山區,830,9.85,9.8,40.0,2012,5,10,3
38,甘藷葉,LO1,2012-05-13,18.8,16.8,鳳山區,830,18.35,18.8,670.0,2012,5,13,6
39,甘藷葉,LO1,2012-05-15,8.6,5.1,鳳山區,830,6.76,6.7,38.0,2012,5,15,1
40,甘藷葉,LO1,2012-05-19,6.2,5.6,鳳山區,830,5.82,5.8,17.0,2012,5,19,5
41,甘藷葉,LO1,2012-05-22,2.5,2.5,鳳山區,830,2.5,2.5,100.0,2012,5,22,1
42,甘藷葉,LO1,2012-05-24,18.2,18.2,鳳山區,830,18.2,18.2,880.0,2012,5,24,3
43,甘藷葉,LO1,2012-05-29,7.6,4.9,鳳山區,830,6.18,6.1,40.0,2012,5,29,1
44,甘藷葉,LO1,2012-05-31,8.0,1.9,鳳山區,830,5.11,5.2,56.0,2012,5,31,3
45,甘藷葉,LO1,2012-06-01,12.1,6.4,鳳山區,830,10.94,12.1,840.0,2012,6,1,4
46,甘藷葉,LO1,2012-06-05,12.1,12.1,鳳山區,830,12.1,12.1,660.0,2012,6,5,1
47,甘藷葉,LO1,2012-06-08,5.0,5.0,鳳山區,830,5.0,5.0,60.0,2012,6,8,4
48,甘藷葉,LO1,2012-06-10,12.1,10.0,鳳山區,830,10.9,10.8,2110.0,2012,6,10,6
49,甘藷葉,LO1,2012-06-12,7.3,5.9,鳳山區,830,6.36,6.2,11.0,2012,6,12,1
50,甘藷葉,LO1,2012-06-13,8.6,8.2,鳳山區,830,8.33,8.3,36.0,2012,6,13,2
51,甘藷葉,LO1,2012-06-15,10.0,10.0,鳳山區,830,10.0,10.0,15.0,2012,6,15,4
52,甘藷葉,LO1,2012-06-16,25.1,16.4,鳳山區,830,23.35,25.1,606.0,2012,6,16,5
53,甘藷葉,LO1,2012-06-17,10.1,8.3,鳳山區,830,9.62,9.9,78.0,2012,6,17,6
54,甘藷葉,LO1,2012-06-19,11.2,8.9,鳳山區,830,9.7,9.4,33.0,2012,6,19,1
55,甘藷葉,LO1,2012-06-20,47.1,47.1,鳳山區,830,47.1,47.1,510.0,2012,6,20,2
56,甘藷葉,LO1,2012-06-21,63.4,60.7,鳳山區,830,62.1,62.1,810.0,2012,6,21,3
57,甘藷葉,LO1,2012-06-22,33.3,13.1,鳳山區,830,20.44,18.6,1370.0,2012,6,22,4
58,甘藷葉,LO1,2012-06-23,10.0,10.0,鳳山區,830,10.0,10.0,18.0,2012,6,23,5
59,甘藷葉,LO1,2012-06-26,20.1,11.7,鳳山區,830,15.09,14.6,53.0,2012,6,26,1
60,甘藷葉,LO1,2012-06-27,20.0,19.2,鳳山區,830,19.44,19.4,18.0,2012,6,27,2
61,甘藷葉,LO1,2012-06-28,20.0,20.0,鳳山區,830,20.0,20.0,20.0,2012,6,28,3
62,甘藷葉,LO1,2012-06-29,30.0,20.0,鳳山區,830,25.0,25.0,40.0,2012,6,29,4
63,甘藷葉,LO1,2012-06-30,25.6,10.1,鳳山區,830,19.21,20.1,203.0,2012,6,30,5
64,甘藷葉,LO1,2012-07-01,30.0,12.5,鳳山區,830,20.83,20.6,72.0,2012,7,1,6
65,甘藷葉,LO1,2012-07-03,30.1,12.5,鳳山區,830,24.83,27.2,87.0,2012,7,3,1
66,甘藷葉,LO1,2012-07-04,35.7,12.1,鳳山區,830,22.8,22.8,1022.0,2012,7,4,2
67,甘藷葉,LO1,2012-07-06,33.4,16.1,鳳山區,830,26.01,26.9,654.0,2012,7,6,4
68,甘藷葉,LO1,2012-07-07,27.3,21.3,鳳山區,830,24.83,25.2,831.0,2012,7,7,5
69,甘藷葉,LO1,2012-07-08,30.0,19.0,鳳山區,830,24.56,24.6,1339.0,2012,7,8,6
70,甘藷葉,LO1,2012-07-10,25.0,13.8,鳳山區,830,20.16,20.7,816.0,2012,7,10,1
71,甘藷葉,LO1,2012-07-11,23.4,16.8,鳳山區,830,22.09,23.4,506.0,2012,7,11,2
72,甘藷葉,LO1,2012-07-12,7.5,7.5,鳳山區,830,7.5,7.5,40.0,2012,7,12,3
73,甘藷葉,LO1,2012-07-13,10.0,5.0,鳳山區,830,7.69,7.8,104.0,2012,7,13,4
74,甘藷葉,LO1,2012-07-14,5.3,5.3,鳳山區,830,5.3,5.3,38.0,2012,7,14,5
75,甘藷葉,LO1,2012-07-15,16.0,8.1,鳳山區,830,14.41,16.0,290.0,2012,7,15,6
76,甘藷葉,LO1,2012-07-17,8.4,7.6,鳳山區,830,7.89,7.8,19.0,2012,7,17,1
77,甘藷葉,LO1,2012-07-18,5.7,4.0,鳳山區,830,5.14,5.3,74.0,2012,7,18,2
78,甘藷葉,LO1,2012-07-19,5.0,5.0,鳳山區,830,5.0,5.0,100.0,2012,7,19,3
79,甘藷葉,LO1,2012-07-20,20.0,20.0,鳳山區,830,20.0,20.0,200.0,2012,7,20,4
