,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,雜柑-檸檬,F1,2012-01-07,48.2,30.1,鳳山區,830,35.5,35.5,4310.0,2012,1,7,5
1,雜柑-檸檬,F1,2012-01-13,45.5,22.0,鳳山區,830,26.6,26.6,4510.0,2012,1,13,4
2,雜柑-檸檬,F1,2012-01-19,40.0,25.0,鳳山區,830,29.8,29.8,3140.0,2012,1,19,3
3,雜柑-檸檬,F1,2012-02-03,40.0,23.0,鳳山區,830,28.9,28.9,7200.0,2012,2,3,4
4,雜柑-檸檬,F1,2012-02-10,38.2,20.0,鳳山區,830,25.3,25.3,9920.0,2012,2,10,4
5,雜柑-檸檬,F1,2012-02-15,40.0,22.1,鳳山區,830,26.7,26.7,3070.0,2012,2,15,2
6,雜柑-檸檬,F1,2012-02-17,42.4,25.0,鳳山區,830,30.2,30.2,3760.0,2012,2,17,4
7,雜柑-檸檬,F1,2012-02-23,42.4,22.0,鳳山區,830,28.3,28.3,3870.0,2012,2,23,3
8,雜柑-檸檬,F1,2012-02-24,42.1,26.1,鳳山區,830,30.1,30.1,3770.0,2012,2,24,4
9,雜柑-檸檬,F1,2012-03-15,44.4,25.0,鳳山區,830,29.8,29.8,5590.0,2012,3,15,3
10,雜柑-檸檬,F1,2012-03-17,40.0,20.0,鳳山區,830,25.2,25.2,4510.0,2012,3,17,5
11,雜柑-檸檬,F1,2012-03-22,48.4,30.1,鳳山區,830,34.1,34.1,5510.0,2012,3,22,3
12,雜柑-檸檬,F1,2012-03-28,45.3,15.0,鳳山區,830,24.3,24.3,3460.0,2012,3,28,2
13,雜柑-檸檬,F1,2012-03-31,18.7,14.0,鳳山區,830,18.7,18.7,5880.0,2012,3,31,5
14,雜柑-檸檬,F1,2012-04-01,44.4,18.0,鳳山區,830,26.0,26.0,5780.0,2012,4,1,6
15,雜柑-檸檬,F1,2012-04-06,42.1,20.0,鳳山區,830,24.6,24.6,4620.0,2012,4,6,4
16,雜柑-檸檬,F1,2012-04-08,46.5,24.3,鳳山區,830,31.5,31.5,2590.0,2012,4,8,6
17,雜柑-檸檬,F1,2012-04-18,70.0,50.0,鳳山區,830,55.5,55.5,1470.0,2012,4,18,2
18,雜柑-檸檬,F1,2012-04-28,80.0,50.0,鳳山區,830,61.2,61.2,1830.0,2012,4,28,5
19,雜柑-檸檬,F1,2012-04-29,80.0,60.2,鳳山區,830,67.2,67.2,1130.0,2012,4,29,6
20,雜柑-檸檬,F1,2012-05-03,90.6,60.0,鳳山區,830,72.1,72.1,2220.0,2012,5,3,3
21,雜柑-檸檬,F1,2012-06-01,110.3,72.3,鳳山區,830,84.7,84.7,1340.0,2012,6,1,4
22,雜柑-檸檬,F1,2012-06-15,70.2,40.0,鳳山區,830,48.5,48.5,3160.0,2012,6,15,4
23,雜柑-檸檬,F1,2012-06-29,36.0,20.0,鳳山區,830,24.4,24.4,6790.0,2012,6,29,4
24,雜柑-檸檬,F1,2012-06-30,30.1,20.0,鳳山區,830,24.5,24.5,5190.0,2012,6,30,5
25,雜柑-檸檬,F1,2012-07-01,32.0,20.0,鳳山區,830,23.8,23.8,6730.0,2012,7,1,6
26,雜柑-檸檬,F1,2012-07-06,32.0,20.1,鳳山區,830,25.0,25.0,5840.0,2012,7,6,4
27,雜柑-檸檬,F1,2012-07-10,33.1,15.0,鳳山區,830,21.2,21.2,6110.0,2012,7,10,1
28,雜柑-檸檬,F1,2012-07-31,32.0,18.0,鳳山區,830,22.2,22.2,6130.0,2012,7,31,1
29,雜柑-檸檬,F1,2012-08-07,30.1,16.0,鳳山區,830,21.0,21.0,7040.0,2012,8,7,1
30,雜柑-檸檬,F1,2012-08-09,30.1,16.0,鳳山區,830,21.5,21.5,5650.0,2012,8,9,3
31,雜柑-檸檬,F1,2012-08-11,31.2,15.0,鳳山區,830,21.1,21.1,6820.0,2012,8,11,5
32,雜柑-檸檬,F1,2012-08-14,30.1,16.0,鳳山區,830,20.9,20.9,6900.0,2012,8,14,1
33,雜柑-檸檬,F1,2012-08-16,32.1,18.0,鳳山區,830,21.4,21.4,5670.0,2012,8,16,3
34,雜柑-檸檬,F1,2012-08-19,30.3,15.0,鳳山區,830,21.1,21.1,6160.0,2012,8,19,6
35,雜柑-檸檬,F1,2012-08-21,30.1,16.0,鳳山區,830,21.6,21.6,6260.0,2012,8,21,1
36,雜柑-檸檬,F1,2012-08-22,35.1,16.0,鳳山區,830,22.9,22.9,11720.0,2012,8,22,2
37,雜柑-檸檬,F1,2012-08-23,36.1,18.0,鳳山區,830,24.2,24.2,5700.0,2012,8,23,3
38,雜柑-檸檬,F1,2012-08-24,34.2,18.1,鳳山區,830,23.2,23.2,5870.0,2012,8,24,4
39,雜柑-檸檬,F1,2012-08-25,35.0,20.0,鳳山區,830,25.3,25.3,5030.0,2012,8,25,5
40,雜柑-檸檬,F1,2012-08-26,33.1,20.0,鳳山區,830,23.6,23.6,4360.0,2012,8,26,6
41,雜柑-檸檬,F1,2012-09-05,32.0,16.0,鳳山區,830,21.7,21.7,7740.0,2012,9,5,2
42,雜柑-檸檬,F1,2012-09-06,33.1,20.0,鳳山區,830,24.7,24.7,6280.0,2012,9,6,3
43,雜柑-檸檬,F1,2012-09-09,33.1,20.0,鳳山區,830,25.0,25.0,6570.0,2012,9,9,6
44,雜柑-檸檬,F1,2012-09-12,33.1,18.0,鳳山區,830,22.5,22.5,7420.0,2012,9,12,2
45,雜柑-檸檬,F1,2012-09-15,35.0,16.0,鳳山區,830,22.9,22.9,6290.0,2012,9,15,5
46,雜柑-檸檬,F1,2012-09-16,40.0,19.0,鳳山區,830,25.8,25.8,5730.0,2012,9,16,6
47,雜柑-檸檬,F1,2012-09-26,50.0,16.0,鳳山區,830,24.3,24.3,6410.0,2012,9,26,2
48,雜柑-檸檬,F1,2012-09-29,52.6,24.1,鳳山區,830,31.7,31.7,4290.0,2012,9,29,5
49,雜柑-檸檬,F1,2012-09-30,48.4,24.0,鳳山區,830,33.4,33.4,4040.0,2012,9,30,6
50,雜柑-檸檬,F1,2012-10-30,82.6,35.1,鳳山區,830,53.3,53.3,9880.0,2012,10,30,1
51,雜柑-檸檬,F1,2012-11-29,83.3,58.8,鳳山區,830,69.0,69.0,1160.0,2012,11,29,3
52,雜柑-檸檬,F1,2012-11-30,80.0,38.1,鳳山區,830,50.9,50.9,2120.0,2012,11,30,4
53,雜柑-檸檬,F1,2012-12-02,80.0,40.3,鳳山區,830,52.9,52.9,940.0,2012,12,2,6
54,雜柑-檸檬,F1,2012-12-07,68.2,32.1,鳳山區,830,42.7,42.7,1500.0,2012,12,7,4
55,雜柑-檸檬,F1,2012-12-14,65.6,30.1,鳳山區,830,37.8,37.8,2790.0,2012,12,14,4
56,雜柑-檸檬,F1,2012-12-21,62.1,24.1,鳳山區,830,36.2,36.2,2540.0,2012,12,21,4
57,雜柑-檸檬,F1,2012-12-30,48.4,24.0,鳳山區,830,33.2,33.2,3830.0,2012,12,30,6
58,雜柑-檸檬,F1,2013-01-09,45.5,25.0,鳳山區,830,32.1,32.1,4490.0,2013,1,9,2
59,雜柑-檸檬,F1,2013-01-22,36.1,25.0,鳳山區,830,28.6,28.6,4110.0,2013,1,22,1
60,雜柑-檸檬,F1,2013-01-25,33.1,20.0,鳳山區,830,23.8,23.8,4190.0,2013,1,25,4
61,雜柑-檸檬,F1,2013-02-01,33.1,20.0,鳳山區,830,25.1,25.1,5160.0,2013,2,1,4
62,雜柑-檸檬,F1,2013-02-03,40.0,20.0,鳳山區,830,27.2,27.2,5440.0,2013,2,3,6
63,雜柑-檸檬,F1,2013-02-05,40.0,20.0,鳳山區,830,26.3,26.3,5550.0,2013,2,5,1
64,雜柑-檸檬,F1,2013-02-23,52.6,30.0,鳳山區,830,35.2,35.2,3290.0,2013,2,23,5
65,雜柑-檸檬,F1,2013-03-01,60.7,30.1,鳳山區,830,38.3,38.3,1820.0,2013,3,1,4
66,雜柑-檸檬,F1,2013-03-02,62.5,28.1,鳳山區,830,34.9,34.9,4090.0,2013,3,2,5
67,雜柑-檸檬,F1,2013-04-07,50.0,30.1,鳳山區,830,37.3,37.3,4150.0,2013,4,7,6
68,雜柑-檸檬,F1,2013-04-09,52.4,28.1,鳳山區,830,36.0,36.0,2600.0,2013,4,9,1
69,雜柑-檸檬,F1,2013-04-25,40.0,21.1,鳳山區,830,28.1,28.1,4840.0,2013,4,25,3
70,雜柑-檸檬,F1,2013-04-27,38.1,20.0,鳳山區,830,26.1,26.1,4860.0,2013,4,27,5
71,雜柑-檸檬,F1,2013-04-28,41.2,21.0,鳳山區,830,26.4,26.4,6060.0,2013,4,28,6
72,雜柑-檸檬,F1,2013-04-30,42.2,20.0,鳳山區,830,28.5,28.5,9240.0,2013,4,30,1
73,雜柑-檸檬,F1,2013-05-03,40.0,20.0,鳳山區,830,26.7,26.7,5400.0,2013,5,3,4
74,雜柑-檸檬,F1,2013-05-04,41.2,20.1,鳳山區,830,27.5,27.5,5200.0,2013,5,4,5
75,雜柑-檸檬,F1,2013-05-07,41.2,18.0,鳳山區,830,24.9,24.9,6020.0,2013,5,7,1
76,雜柑-檸檬,F1,2013-05-08,50.0,20.0,鳳山區,830,27.9,27.9,6590.0,2013,5,8,2
77,雜柑-檸檬,F1,2013-05-09,47.1,21.1,鳳山區,830,30.3,30.3,8780.0,2013,5,9,3
78,雜柑-檸檬,F1,2013-05-10,45.3,25.0,鳳山區,830,32.4,32.4,4940.0,2013,5,10,4
79,雜柑-檸檬,F1,2013-05-11,46.5,25.0,鳳山區,830,32.8,32.8,9240.0,2013,5,11,5
80,雜柑-檸檬,F1,2013-05-12,46.3,24.0,鳳山區,830,33.1,33.1,3620.0,2013,5,12,6
81,雜柑-檸檬,F1,2013-05-14,46.5,24.0,鳳山區,830,31.9,31.9,4140.0,2013,5,14,1
82,雜柑-檸檬,F1,2013-05-15,46.7,24.1,鳳山區,830,32.3,32.3,7930.0,2013,5,15,2
83,雜柑-檸檬,F1,2013-05-16,46.3,24.0,鳳山區,830,32.1,32.1,4360.0,2013,5,16,3
84,雜柑-檸檬,F1,2013-05-17,46.2,25.0,鳳山區,830,33.9,33.9,1770.0,2013,5,17,4
85,雜柑-檸檬,F1,2013-05-18,46.5,24.0,鳳山區,830,31.9,31.9,8160.0,2013,5,18,5
86,雜柑-檸檬,F1,2013-05-21,44.0,24.1,鳳山區,830,31.5,31.5,4570.0,2013,5,21,1
87,雜柑-檸檬,F1,2013-05-22,45.1,24.1,鳳山區,830,33.8,33.8,7100.0,2013,5,22,2
88,雜柑-檸檬,F1,2013-05-23,45.1,24.0,鳳山區,830,32.4,32.4,8510.0,2013,5,23,3
89,雜柑-檸檬,F1,2013-05-24,46.6,24.0,鳳山區,830,32.5,32.5,9180.0,2013,5,24,4
90,雜柑-檸檬,F1,2013-05-25,46.2,16.0,鳳山區,830,23.6,23.6,3390.0,2013,5,25,5
91,雜柑-檸檬,F1,2013-05-26,47.1,24.0,鳳山區,830,32.2,32.2,4100.0,2013,5,26,6
92,雜柑-檸檬,F1,2013-05-28,50.0,25.0,鳳山區,830,32.4,32.4,2960.0,2013,5,28,1
93,雜柑-檸檬,F1,2013-05-29,47.5,24.0,鳳山區,830,31.5,31.5,3300.0,2013,5,29,2
94,雜柑-檸檬,F1,2013-05-30,46.7,24.0,鳳山區,830,29.6,29.6,2430.0,2013,5,30,3
95,雜柑-檸檬,F1,2013-05-31,46.7,24.1,鳳山區,830,30.1,30.1,2260.0,2013,5,31,4
96,雜柑-檸檬,F1,2013-06-02,47.3,24.1,鳳山區,830,31.9,31.9,4860.0,2013,6,2,6
97,雜柑-檸檬,F1,2013-06-04,49.4,24.0,鳳山區,830,33.0,33.0,7270.0,2013,6,4,1
98,雜柑-檸檬,F1,2013-06-05,62.5,38.3,鳳山區,830,47.6,47.6,2270.0,2013,6,5,2
99,雜柑-檸檬,F1,2013-06-06,63.2,38.3,鳳山區,830,44.7,44.7,2060.0,2013,6,6,3
100,雜柑-檸檬,F1,2013-06-07,69.8,34.0,鳳山區,830,44.6,44.6,4970.0,2013,6,7,4
101,雜柑-檸檬,F1,2013-06-11,68.4,40.0,鳳山區,830,48.0,48.0,4280.0,2013,6,11,1
102,雜柑-檸檬,F1,2013-06-12,69.0,34.3,鳳山區,830,44.4,44.4,990.0,2013,6,12,2
103,雜柑-檸檬,F1,2013-06-16,71.6,34.1,鳳山區,830,43.7,43.7,3660.0,2013,6,16,6
104,雜柑-檸檬,F1,2013-06-18,69.8,34.1,鳳山區,830,45.4,45.4,4320.0,2013,6,18,1
105,雜柑-檸檬,F1,2013-06-19,68.6,34.0,鳳山區,830,42.4,42.4,2360.0,2013,6,19,2
106,雜柑-檸檬,F1,2013-06-20,63.2,36.0,鳳山區,830,42.7,42.7,2250.0,2013,6,20,3
107,雜柑-檸檬,F1,2013-06-21,69.8,34.0,鳳山區,830,45.5,45.5,2990.0,2013,6,21,4
108,雜柑-檸檬,F1,2013-06-22,63.6,28.1,鳳山區,830,38.1,38.1,2520.0,2013,6,22,5
109,雜柑-檸檬,F1,2013-06-23,54.3,32.1,鳳山區,830,39.3,39.3,3660.0,2013,6,23,6
110,雜柑-檸檬,F1,2013-06-25,59.3,28.2,鳳山區,830,35.7,35.7,1120.0,2013,6,25,1
111,雜柑-檸檬,F1,2013-06-27,48.3,30.0,鳳山區,830,37.9,37.9,1900.0,2013,6,27,3
112,雜柑-檸檬,F1,2013-06-28,50.0,28.5,鳳山區,830,36.5,36.5,6010.0,2013,6,28,4
113,雜柑-檸檬,F1,2013-06-29,49.4,28.0,鳳山區,830,36.2,36.2,7510.0,2013,6,29,5
114,雜柑-檸檬,F1,2013-06-30,50.0,28.1,鳳山區,830,37.4,37.4,6740.0,2013,6,30,6
115,雜柑-檸檬,F1,2013-07-02,48.2,24.1,鳳山區,830,32.9,32.9,4140.0,2013,7,2,1
116,雜柑-檸檬,F1,2013-07-03,49.4,24.1,鳳山區,830,33.0,33.0,4700.0,2013,7,3,2
117,雜柑-檸檬,F1,2013-07-04,49.4,24.1,鳳山區,830,32.4,32.4,4780.0,2013,7,4,3
118,雜柑-檸檬,F1,2013-07-06,49.4,24.1,鳳山區,830,31.2,31.2,2890.0,2013,7,6,5
119,雜柑-檸檬,F1,2013-07-07,54.5,24.0,鳳山區,830,33.0,33.0,6670.0,2013,7,7,6
120,雜柑-檸檬,F1,2013-07-09,48.0,24.1,鳳山區,830,31.8,31.8,7170.0,2013,7,9,1
121,雜柑-檸檬,F1,2013-07-10,48.0,26.1,鳳山區,830,32.8,32.8,2680.0,2013,7,10,2
122,雜柑-檸檬,F1,2013-07-11,48.4,26.0,鳳山區,830,34.4,34.4,3690.0,2013,7,11,3
123,雜柑-檸檬,F1,2013-07-12,48.4,24.1,鳳山區,830,32.1,32.1,4480.0,2013,7,12,4
124,雜柑-檸檬,F1,2013-07-13,50.0,22.2,鳳山區,830,34.4,34.4,2090.0,2013,7,13,5
125,雜柑-檸檬,F1,2013-07-14,45.1,24.0,鳳山區,830,31.2,31.2,7700.0,2013,7,14,6
126,雜柑-檸檬,F1,2013-07-16,48.0,26.1,鳳山區,830,36.1,36.1,2440.0,2013,7,16,1
127,雜柑-檸檬,F1,2013-07-17,49.5,24.0,鳳山區,830,33.3,33.3,6680.0,2013,7,17,2
128,雜柑-檸檬,F1,2013-07-18,53.8,23.1,鳳山區,830,32.8,32.8,6960.0,2013,7,18,3
129,雜柑-檸檬,F1,2013-07-19,48.2,23.1,鳳山區,830,31.9,31.9,6890.0,2013,7,19,4
130,雜柑-檸檬,F1,2013-07-20,48.4,26.1,鳳山區,830,35.6,35.6,3570.0,2013,7,20,5
131,雜柑-檸檬,F1,2013-07-21,53.3,24.1,鳳山區,830,33.2,33.2,8200.0,2013,7,21,6
132,雜柑-檸檬,F1,2013-07-23,49.4,23.0,鳳山區,830,32.2,32.2,7830.0,2013,7,23,1
133,雜柑-檸檬,F1,2013-07-24,49.4,24.0,鳳山區,830,31.2,31.2,4540.0,2013,7,24,2
134,雜柑-檸檬,F1,2013-07-25,32.2,25.0,鳳山區,830,27.7,27.7,3610.0,2013,7,25,3
135,雜柑-檸檬,F1,2013-07-26,36.0,25.0,鳳山區,830,29.9,29.9,3210.0,2013,7,26,4
