,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,黃秋葵,FA1,2012-01-01,40.0,39.0,鳳山區,830,39.4,39.3,5.0,2012,1,1,6
1,黃秋葵,FA1,2012-04-10,28.8,27.5,鳳山區,830,27.92,27.8,12.0,2012,4,10,1
2,黃秋葵,FA1,2012-04-14,30.0,29.3,鳳山區,830,29.57,29.5,7.0,2012,4,14,5
3,黃秋葵,FA1,2012-04-15,26.0,19.8,鳳山區,830,23.65,24.2,20.0,2012,4,15,6
4,黃秋葵,FA1,2012-04-17,25.0,24.4,鳳山區,830,24.67,24.6,18.0,2012,4,17,1
5,黃秋葵,FA1,2012-04-18,25.0,24.4,鳳山區,830,24.63,24.6,8.0,2012,4,18,2
6,黃秋葵,FA1,2012-04-19,30.0,29.3,鳳山區,830,29.6,29.6,15.0,2012,4,19,3
7,黃秋葵,FA1,2012-04-20,30.6,24.4,鳳山區,830,27.13,26.9,8.0,2012,4,20,4
8,黃秋葵,FA1,2012-04-21,30.0,24.6,鳳山區,830,28.08,28.6,13.0,2012,4,21,5
9,黃秋葵,FA1,2012-04-24,33.3,18.5,鳳山區,830,26.92,27.6,26.0,2012,4,24,1
10,黃秋葵,FA1,2012-04-26,39.5,39.2,鳳山區,830,39.4,39.4,35.0,2012,4,26,3
11,黃秋葵,FA1,2012-04-27,29.8,21.1,鳳山區,830,26.0,28.7,27.0,2012,4,27,4
12,黃秋葵,FA1,2012-04-29,29.8,19.6,鳳山區,830,26.04,26.9,28.0,2012,4,29,6
13,黃秋葵,FA1,2012-05-04,35.7,21.0,鳳山區,830,32.59,35.4,29.0,2012,5,4,4
14,黃秋葵,FA1,2012-05-05,35.6,35.4,鳳山區,830,35.48,34.5,40.0,2012,5,5,5
15,黃秋葵,FA1,2012-05-06,35.6,35.4,鳳山區,830,35.44,35.4,25.0,2012,5,6,6
16,黃秋葵,FA1,2012-05-09,40.0,19.6,鳳山區,830,31.64,32.9,14.0,2012,5,9,2
17,黃秋葵,FA1,2012-05-10,30.0,29.5,鳳山區,830,29.6,29.5,10.0,2012,5,10,3
18,黃秋葵,FA1,2012-05-11,42.6,9.8,鳳山區,830,25.59,25.2,27.0,2012,5,11,4
19,黃秋葵,FA1,2012-05-13,10.3,9.7,鳳山區,830,9.87,9.8,15.0,2012,5,13,6
20,黃秋葵,FA1,2012-05-15,22.8,12.3,鳳山區,830,17.38,17.3,50.0,2012,5,15,1
21,黃秋葵,FA1,2012-05-16,15.3,14.1,鳳山區,830,14.53,14.4,17.0,2012,5,16,2
22,黃秋葵,FA1,2012-05-17,20.3,19.5,鳳山區,830,19.75,19.7,20.0,2012,5,17,3
23,黃秋葵,FA1,2012-05-18,19.4,9.8,鳳山區,830,13.8,13.3,80.0,2012,5,18,4
24,黃秋葵,FA1,2012-05-19,10.4,6.7,鳳山區,830,8.17,7.9,12.0,2012,5,19,5
25,黃秋葵,FA1,2012-05-20,16.0,14.5,鳳山區,830,15.55,15.8,47.0,2012,5,20,6
26,黃秋葵,FA1,2012-05-22,15.0,15.0,鳳山區,830,15.0,15.0,2.0,2012,5,22,1
27,黃秋葵,FA1,2012-05-24,40.0,39.2,鳳山區,830,39.33,39.2,6.0,2012,5,24,3
28,黃秋葵,FA1,2012-05-25,30.5,29.5,鳳山區,830,29.6,29.6,10.0,2012,5,25,4
29,黃秋葵,FA1,2012-05-26,40.0,39.0,鳳山區,830,39.4,39.3,10.0,2012,5,26,5
30,黃秋葵,FA1,2012-05-27,5.2,4.8,鳳山區,830,4.93,4.9,30.0,2012,5,27,6
31,黃秋葵,FA1,2012-05-29,33.2,9.8,鳳山區,830,25.97,28.9,30.0,2012,5,29,1
32,黃秋葵,FA1,2012-05-30,29.7,29.4,鳳山區,830,29.5,29.5,45.0,2012,5,30,2
33,黃秋葵,FA1,2012-05-31,25.0,19.6,鳳山區,830,21.32,20.7,37.0,2012,5,31,3
34,黃秋葵,FA1,2012-06-01,20.0,20.0,鳳山區,830,20.0,20.0,15.0,2012,6,1,4
35,黃秋葵,FA1,2012-06-02,20.0,16.7,鳳山區,830,19.35,20.0,26.0,2012,6,2,5
36,黃秋葵,FA1,2012-06-03,18.8,14.2,鳳山區,830,15.83,15.4,12.0,2012,6,3,6
37,黃秋葵,FA1,2012-06-05,20.0,20.0,鳳山區,830,20.0,20.0,17.0,2012,6,5,1
38,黃秋葵,FA1,2012-06-07,20.5,16.4,鳳山區,830,18.18,18.0,11.0,2012,6,7,3
39,黃秋葵,FA1,2012-06-13,20.0,20.0,鳳山區,830,20.0,20.0,15.0,2012,6,13,2
40,黃秋葵,FA1,2012-06-14,16.7,16.7,鳳山區,830,16.7,16.7,6.0,2012,6,14,3
41,黃秋葵,FA1,2012-06-16,20.0,20.0,鳳山區,830,20.0,20.0,6.0,2012,6,16,5
42,黃秋葵,FA1,2012-06-17,25.0,20.0,鳳山區,830,22.5,22.5,10.0,2012,6,17,6
43,黃秋葵,FA1,2012-06-20,25.6,23.2,鳳山區,830,23.7,23.3,27.0,2012,6,20,2
44,黃秋葵,FA1,2012-06-22,14.0,13.0,鳳山區,830,13.33,13.2,15.0,2012,6,22,4
45,黃秋葵,FA1,2012-06-23,25.0,25.0,鳳山區,830,25.0,25.0,6.0,2012,6,23,5
46,黃秋葵,FA1,2012-06-26,25.0,25.0,鳳山區,830,25.0,25.0,76.0,2012,6,26,1
47,黃秋葵,FA1,2012-06-28,25.0,25.0,鳳山區,830,25.0,25.0,16.0,2012,6,28,3
48,黃秋葵,FA1,2012-06-30,30.5,28.2,鳳山區,830,29.09,28.9,11.0,2012,6,30,5
49,黃秋葵,FA1,2012-07-01,30.0,30.0,鳳山區,830,30.0,30.0,18.0,2012,7,1,6
50,黃秋葵,FA1,2012-07-03,30.1,25.5,鳳山區,830,27.57,27.4,74.0,2012,7,3,1
51,黃秋葵,FA1,2012-07-04,25.0,25.0,鳳山區,830,25.0,25.0,14.0,2012,7,4,2
52,黃秋葵,FA1,2012-07-06,31.7,28.3,鳳山區,830,30.0,30.0,15.0,2012,7,6,4
53,黃秋葵,FA1,2012-07-07,26.1,21.4,鳳山區,830,23.89,24.0,18.0,2012,7,7,5
54,黃秋葵,FA1,2012-07-10,15.3,8.0,鳳山區,830,11.28,11.1,39.0,2012,7,10,1
55,黃秋葵,FA1,2012-07-11,20.0,20.0,鳳山區,830,20.0,20.0,35.0,2012,7,11,2
56,黃秋葵,FA1,2012-07-12,21.6,20.0,鳳山區,830,20.4,20.1,25.0,2012,7,12,3
57,黃秋葵,FA1,2012-07-13,20.0,20.0,鳳山區,830,20.0,20.0,20.0,2012,7,13,4
58,黃秋葵,FA1,2012-07-14,18.4,14.2,鳳山區,830,15.48,15.0,31.0,2012,7,14,5
59,黃秋葵,FA1,2012-07-15,20.0,18.4,鳳山區,830,19.67,20.0,46.0,2012,7,15,6
60,黃秋葵,FA1,2012-07-17,20.0,20.0,鳳山區,830,20.0,20.0,22.0,2012,7,17,1
61,黃秋葵,FA1,2012-07-19,15.1,10.0,鳳山區,830,12.11,11.8,76.0,2012,7,19,3
62,黃秋葵,FA1,2012-07-20,20.0,18.9,鳳山區,830,19.78,20.0,89.0,2012,7,20,4
63,黃秋葵,FA1,2012-07-22,15.1,14.2,鳳山區,830,14.8,14.8,33.0,2012,7,22,6
64,黃秋葵,FA1,2012-07-24,16.0,7.0,鳳山區,830,12.1,12.1,133.0,2012,7,24,1
65,黃秋葵,FA1,2012-07-25,16.8,10.1,鳳山區,830,13.8,13.8,57.0,2012,7,25,2
66,黃秋葵,FA1,2012-07-26,15.2,10.4,鳳山區,830,13.57,14.1,56.0,2012,7,26,3
67,黃秋葵,FA1,2012-07-27,18.7,8.3,鳳山區,830,13.43,13.4,35.0,2012,7,27,4
68,黃秋葵,FA1,2012-07-28,20.0,10.0,鳳山區,830,14.17,13.6,12.0,2012,7,28,5
69,黃秋葵,FA1,2012-07-29,15.3,8.1,鳳山區,830,13.08,14.0,39.0,2012,7,29,6
70,黃秋葵,FA1,2012-07-31,15.1,12.5,鳳山區,830,13.5,13.5,54.0,2012,7,31,1
71,黃秋葵,FA1,2012-08-01,16.7,15.0,鳳山區,830,16.0,16.1,30.0,2012,8,1,2
72,黃秋葵,FA1,2012-08-02,16.7,14.3,鳳山區,830,14.75,14.3,61.0,2012,8,2,3
73,黃秋葵,FA1,2012-08-05,20.1,15.2,鳳山區,830,18.79,19.6,58.0,2012,8,5,6
74,黃秋葵,FA1,2012-08-07,15.5,14.5,鳳山區,830,15.0,15.0,61.0,2012,8,7,1
75,黃秋葵,FA1,2012-08-08,16.9,15.0,鳳山區,830,16.0,16.0,70.0,2012,8,8,2
76,黃秋葵,FA1,2012-08-09,16.9,15.8,鳳山區,830,16.15,16.0,13.0,2012,8,9,3
77,黃秋葵,FA1,2012-08-10,16.8,15.0,鳳山區,830,16.14,16.3,44.0,2012,8,10,4
78,黃秋葵,FA1,2012-08-11,20.3,16.6,鳳山區,830,18.75,19.0,16.0,2012,8,11,5
79,黃秋葵,FA1,2012-08-12,10.0,10.0,鳳山區,830,10.0,10.0,15.0,2012,8,12,6
80,黃秋葵,FA1,2012-08-14,19.8,18.1,鳳山區,830,18.81,18.7,42.0,2012,8,14,1
81,黃秋葵,FA1,2012-08-15,20.0,18.8,鳳山區,830,19.32,19.3,44.0,2012,8,15,2
82,黃秋葵,FA1,2012-08-16,20.0,20.0,鳳山區,830,20.0,20.0,32.0,2012,8,16,3
83,黃秋葵,FA1,2012-08-17,20.0,20.0,鳳山區,830,20.0,20.0,63.0,2012,8,17,4
84,黃秋葵,FA1,2012-08-18,20.1,16.9,鳳山區,830,18.33,19.4,61.0,2012,8,18,5
85,黃秋葵,FA1,2012-08-21,20.0,20.0,鳳山區,830,20.0,20.0,45.0,2012,8,21,1
86,黃秋葵,FA1,2012-08-22,20.0,20.0,鳳山區,830,20.0,20.0,46.0,2012,8,22,2
87,黃秋葵,FA1,2012-08-23,20.0,20.0,鳳山區,830,20.0,20.0,19.0,2012,8,23,3
88,黃秋葵,FA1,2012-08-24,20.0,20.0,鳳山區,830,20.0,20.0,15.0,2012,8,24,4
89,黃秋葵,FA1,2012-08-25,20.0,20.0,鳳山區,830,20.0,20.0,34.0,2012,8,25,5
90,黃秋葵,FA1,2012-08-26,20.0,10.0,鳳山區,830,14.67,14.4,75.0,2012,8,26,6
91,黃秋葵,FA1,2012-08-28,20.0,20.0,鳳山區,830,20.0,20.0,30.0,2012,8,28,1
92,黃秋葵,FA1,2012-08-29,20.2,18.6,鳳山區,830,19.09,18.9,50.0,2012,8,29,2
93,黃秋葵,FA1,2012-08-30,20.1,15.2,鳳山區,830,18.42,19.0,76.0,2012,8,30,3
94,黃秋葵,FA1,2012-08-31,14.8,14.1,鳳山區,830,14.29,14.2,28.0,2012,8,31,4
95,黃秋葵,FA1,2012-09-01,20.2,13.9,鳳山區,830,16.77,16.6,26.0,2012,9,1,5
96,黃秋葵,FA1,2012-09-05,4.6,4.6,鳳山區,830,4.6,4.6,11.0,2012,9,5,2
97,黃秋葵,FA1,2012-09-06,20.0,16.7,鳳山區,830,17.78,17.4,18.0,2012,9,6,3
98,黃秋葵,FA1,2012-09-07,20.0,20.0,鳳山區,830,20.0,20.0,6.0,2012,9,7,4
99,黃秋葵,FA1,2012-09-08,16.1,15.0,鳳山區,830,15.56,15.6,36.0,2012,9,8,5
100,黃秋葵,FA1,2012-09-09,20.0,20.0,鳳山區,830,20.0,20.0,40.0,2012,9,9,6
